date,open,high,low,close,volume
2024-03-28,171.75,172.23,170.51,171.48,65672690
2024-03-27,170.41,173.6,170.11,173.31,60273265
2024-03-26,170.0,171.42,169.58,169.71,57388449
2024-03-25,170.57,171.94,169.45,170.85,54288328
2024-03-22,171.76,173.05,170.06,172.28,71160138
2024-03-21,177.05,177.49,170.84,171.37,106181270
2024-03-20,175.72,178.67,175.09,178.67,53423102
2024-03-19,174.34,176.61,173.03,176.08,55215244
2024-03-18,175.57,177.71,173.52,173.72,75604184
2024-03-15,171.17,172.62,170.29,172.62,121752699
2024-03-14,172.91,174.31,172.05,173.0,72913507
2024-03-13,172.77,173.19,170.76,171.13,52488692
2024-03-12,173.15,174.03,171.01,173.23,59825372
2024-03-11,172.94,174.38,172.05,172.75,60139473
2024-03-08,169.0,173.7,168.94,170.73,76267041
2024-03-07,169.15,170.73,168.49,169.0,71765061
2024-03-06,171.06,171.24,168.68,169.12,68587707
2024-03-05,170.76,172.04,169.62,170.12,95132355
2024-03-04,176.15,176.9,173.79,175.1,81510101
2024-03-01,179.55,180.53,177.38,179.66,73563082
2024-02-29,181.27,182.57,179.53,180.75,136682597
2024-02-28,182.51,183.12,180.13,181.42,48953939
2024-02-27,181.1,183.92,179.56,182.63,54318851
2024-02-26,182.24,182.76,180.65,181.16,40867421
2024-02-23,185.01,185.04,182.23,182.52,45119677
2024-02-22,183.48,184.96,182.46,184.37,52292208
2024-02-21,181.94,182.89,180.66,182.32,41529674
2024-02-20,181.79,182.43,180.0,181.56,53665553
2024-02-16,183.42,184.85,181.67,182.31,49752465
2024-02-15,183.55,184.49,181.35,183.86,65434496
2024-02-14,185.32,185.53,182.44,184.15,54630517
2024-02-13,185.77,186.21,183.51,185.04,56529529
2024-02-12,188.42,188.67,186.79,187.15,41781934
2024-02-09,188.65,189.99,188.0,188.85,45155216
2024-02-08,189.39,189.54,187.35,188.32,40962046
2024-02-07,190.64,191.05,188.61,189.41,53438955
2024-02-06,186.86,189.31,186.77,189.3,43490759
2024-02-05,188.15,189.25,185.84,187.68,69668820
2024-02-02,179.86,187.33,179.25,185.85,102551680
2024-02-01,183.99,186.95,183.82,186.86,64885408
2024-01-31,187.04,187.1,184.35,184.4,55467803
2024-01-30,190.94,191.8,187.47,188.04,55859370
2024-01-29,192.01,192.2,189.58,191.73,47145622
2024-01-26,194.27,194.76,191.94,192.42,44594011
2024-01-25,195.22,196.27,193.11,194.17,54822126
2024-01-24,195.42,196.38,194.34,194.5,53631316
2024-01-23,195.02,195.75,193.83,195.18,42355590
2024-01-22,192.3,195.33,192.26,193.89,60133852
