date,open,high,low,close,volume
2024-03-28,33.24,33.97,33.2,33.74,4648762
2024-03-27,31.72,33.23,31.67,33.21,6438969
2024-03-26,32.32,32.32,31.23,31.58,3764994
2024-03-25,31.57,32.3,31.5,31.86,4744964
2024-03-22,31.0,31.53,30.84,31.4,4334930
2024-03-21,31.71,32.13,31.05,31.35,5594696
2024-03-20,29.63,31.88,29.52,31.35,7446940
2024-03-19,30.3,30.47,28.72,29.67,9888748
2024-03-18,30.94,31.66,30.79,31.03,6844543
2024-03-15,29.9,30.76,29.64,30.44,8175194
2024-03-14,30.38,30.65,29.61,30.02,5678606
2024-03-13,30.03,31.19,29.98,30.56,6703181
2024-03-12,30.6,30.75,29.21,29.79,6140114
2024-03-11,29.58,30.79,29.48,30.49,6274509
2024-03-08,30.38,30.64,29.27,29.85,6537765
2024-03-07,28.86,30.1,28.86,29.87,7740525
2024-03-06,27.67,28.73,26.9,28.22,6335600
2024-03-05,27.05,27.21,26.57,26.91,5704755
2024-03-04,27.5,27.55,27.04,27.48,3954744
2024-03-01,27.5,27.82,26.88,27.68,6845450
2024-02-29,26.69,27.26,26.31,27.21,6020162
2024-02-28,26.19,26.54,25.97,26.32,3748436
2024-02-27,25.91,27.0,25.2,26.7,6822581
2024-02-26,26.15,26.15,24.86,25.34,11130001
2024-02-23,27.62,27.71,26.47,26.52,5340275
2024-02-22,27.77,27.84,27.26,27.75,6720750
2024-02-21,27.12,28.04,27.07,27.96,5642088
2024-02-20,26.88,26.88,26.16,26.69,4711849
2024-02-16,27.34,28.03,27.16,27.4,4686221
2024-02-15,27.04,27.64,26.92,27.39,4385488
2024-02-14,26.21,26.99,25.87,26.79,5100599
2024-02-13,26.9,27.2,25.58,25.85,7264231
2024-02-12,27.1,28.1,26.87,27.9,4374586
2024-02-09,27.71,27.73,26.7,26.89,4762128
2024-02-08,27.44,28.07,27.14,27.71,4854492
2024-02-07,27.6,27.77,26.93,27.53,5017197
2024-02-06,26.94,27.79,26.93,27.62,7829540
2024-02-05,28.6,28.6,26.74,26.84,8824323
2024-02-02,29.0,29.72,28.55,29.49,4959005
2024-02-01,30.08,30.41,29.15,29.69,4174587
2024-01-31,30.49,31.36,29.72,29.75,5760362
2024-01-30,30.34,30.84,30.0,30.61,4714657
2024-01-29,30.46,30.97,29.69,30.91,4647865
2024-01-26,30.22,30.7,29.87,30.61,5124014
2024-01-25,29.96,30.45,29.21,29.88,4683347
2024-01-24,30.25,30.37,29.32,29.76,8916006
2024-01-23,29.15,30.49,29.03,29.51,9363900
2024-01-22,26.87,27.86,26.77,27.62,5793822
2024-01-19,26.73,27.38,26.35,27.36,6001915
2024-01-18,27.62,28.72,26.58,26.75,12853154
2024-01-17,27.17,27.67,27.05,27.18,9606378
2024-01-16,29.17,29.29,27.28,27.87,10715028
2024-01-12,31.19,31.82,30.02,30.03,3933935
2024-01-11,31.49,31.64,30.66,30.88,4419749
2024-01-10,31.8,32.14,31.31,31.65,4733613
2024-01-09,31.82,32.45,31.55,31.94,5792123
2024-01-08,31.82,32.09,31.22,31.73,4992051
2024-01-05,30.54,32.31,30.09,32.13,7317669
2024-01-04,31.13,31.49,30.86,31.13,4543572
2024-01-03,32.12,32.27,31.05,31.49,8245658
2024-01-02,33.53,33.97,33.04,33.31,3837998
2023-12-29,34.31,34.74,33.93,34.0,3295505
2023-12-28,34.68,34.81,34.2,34.55,3909863
2023-12-27,34.23,35.03,33.75,34.81,5798101
2023-12-26,33.86,34.12,33.5,33.87,4505900
2023-12-22,32.96,34.44,32.88,33.77,9066769
2023-12-21,31.25,32.14,30.59,32.02,5566085
2023-12-20,32.01,32.48,30.56,30.65,7516945
2023-12-19,31.19,33.0,30.91,32.42,7967243
2023-12-18,31.44,32.31,30.52,30.52,7271280
2023-12-15,29.93,32.5,29.67,31.1,19183792
2023-12-14,27.04,30.14,26.94,29.9,16594044
2023-12-13,24.04,26.04,23.89,25.99,7919148
2023-12-12,24.68,24.75,23.8,24.05,5849349
2023-12-11,24.75,25.32,24.67,24.93,4290666
2023-12-08,25.04,25.73,24.87,25.02,5133177
2023-12-07,25.16,25.29,24.27,24.94,6780082
2023-12-06,25.6,25.96,25.04,25.12,4055033
2023-12-05,26.5,26.53,25.13,25.24,7715838
2023-12-04,27.28,27.93,26.77,26.81,4964975
2023-12-01,27.0,28.02,26.51,27.74,5462935
2023-11-30,26.58,27.25,26.44,26.86,4823473
2023-11-29,26.42,27.04,26.22,26.44,6103838
2023-11-28,26.22,26.29,25.64,26.08,4382377
2023-11-27,26.22,26.6,25.87,26.3,3428999
2023-11-24,26.16,26.56,26.16,26.24,1282299
2023-11-22,26.28,26.62,25.98,26.38,2925838
2023-11-21,26.28,26.63,26.17,26.39,2881900
2023-11-20,26.32,26.7,25.97,26.47,4231732
2023-11-17,26.35,26.98,26.12,26.22,4988743
2023-11-16,26.6,26.99,25.94,26.0,4080260
2023-11-15,26.52,27.34,26.36,26.95,5857249
2023-11-14,25.44,26.57,25.36,26.17,5472140
2023-11-13,24.49,25.03,24.3,24.6,2839661
2023-11-10,24.7,24.89,24.28,24.64,3040197
2023-11-09,25.81,25.87,24.41,24.58,4078496
2023-11-08,25.12,25.66,24.97,25.53,3671356
2023-11-07,25.22,25.6,24.82,25.54,4852895
2023-11-06,26.71,26.73,25.76,25.97,3869527
2023-11-03,26.5,27.01,26.14,26.53,5479951
2023-11-02,25.5,26.14,25.3,26.07,5825331
2023-11-01,25.67,25.78,24.28,25.03,6202053
2023-10-31,25.28,25.89,24.84,25.64,5156478
2023-10-30,24.0,25.43,23.85,25.32,9442581
2023-10-27,23.98,24.11,23.17,23.51,6325040
2023-10-26,23.99,24.19,23.37,23.51,6386776
2023-10-25,23.34,24.03,23.14,23.84,5510187
2023-10-24,23.66,24.21,23.36,23.44,7557444
2023-10-23,23.16,24.21,23.07,23.41,6780193
2023-10-20,23.5,24.37,23.26,24.01,9204421
2023-10-19,26.16,26.22,24.22,24.24,13580570
2023-10-18,27.1,27.43,26.5,26.52,6489364
2023-10-17,26.3,28.37,26.27,27.77,6025202
2023-10-16,27.2,27.45,26.78,26.81,4977729
2023-10-13,27.0,27.25,26.33,26.58,4533433
2023-10-12,28.04,28.06,26.41,26.9,4851815
2023-10-11,28.29,28.4,27.6,28.04,3749841
2023-10-10,27.64,28.57,27.47,28.2,4850018
2023-10-09,26.68,27.47,26.62,27.25,3857120
2023-10-06,26.57,27.5,26.13,27.15,6246883
2023-10-05,27.13,27.3,26.45,26.53,4425076
2023-10-04,27.73,27.81,26.37,27.16,5335536
2023-10-03,28.11,28.85,27.27,27.65,5457898
2023-10-02,28.69,29.33,28.33,28.84,4496029
2023-09-29,29.07,29.83,28.97,29.06,7723051
2023-09-28,26.59,28.15,26.41,28.14,7998093
2023-09-27,26.07,26.78,25.95,26.2,5604857
2023-09-26,26.36,26.75,25.59,25.86,6536845
2023-09-25,27.75,27.77,26.34,26.63,9304192
2023-09-22,28.27,28.6,28.05,28.35,5096808
2023-09-21,28.68,28.68,27.86,27.87,5488792
2023-09-20,28.65,29.79,28.55,29.38,8084407
2023-09-19,28.83,28.99,27.84,28.34,5153224
2023-09-18,29.19,29.24,28.49,28.85,4524804
2023-09-15,29.89,29.89,28.8,28.85,8716044
2023-09-14,29.52,30.3,29.41,30.19,6722592
2023-09-13,28.22,28.69,28.07,28.65,3960695
2023-09-12,28.45,28.82,28.12,28.2,3630503
2023-09-11,28.82,29.05,28.43,28.68,5012351
2023-09-08,28.3,28.47,27.96,28.1,4524257
2023-09-07,29.45,29.45,28.06,28.45,9406076
2023-09-06,30.04,30.65,29.81,30.2,4090894
2023-09-05,30.78,31.12,30.2,30.29,4304771
2023-09-01,30.95,31.45,30.7,31.1,5976992
2023-08-31,29.82,30.83,29.56,30.08,19155338
2023-08-30,29.65,29.65,29.07,29.51,4926964
2023-08-29,28.54,29.62,28.34,29.61,6315824
2023-08-28,28.6,29.02,28.38,28.48,4457549
2023-08-25,28.82,29.08,27.76,28.23,5398305
2023-08-24,28.36,29.11,28.31,28.75,4329546
2023-08-23,28.78,29.03,28.56,28.81,5915245
2023-08-22,28.91,29.09,28.18,28.78,4594258
2023-08-21,29.0,29.07,28.03,28.59,4701351
2023-08-18,28.45,29.0,28.23,28.97,7345396
2023-08-17,29.92,30.04,28.91,29.11,6527408
2023-08-16,30.08,30.52,29.1,29.31,7915883
2023-08-15,31.48,31.48,30.31,30.34,5807857
2023-08-14,31.56,31.86,30.6,31.73,7337110
2023-08-11,32.47,32.49,31.81,31.96,4735375
2023-08-10,33.97,34.0,32.55,32.88,4810865
2023-08-09,33.48,34.09,33.03,33.62,4132679
2023-08-08,33.02,33.35,32.68,33.23,5366294
2023-08-07,33.9,34.06,33.22,34.06,3520608
2023-08-04,34.55,34.93,33.76,33.95,3820122
2023-08-03,34.0,34.69,33.51,34.5,4244965
