date,open,high,low,close,volume
2024-03-28,181.0,182.3,180.3,182.1,5418687
2024-03-27,179.8,180.58,178.81,180.35,5073508
2024-03-26,179.23,179.77,178.38,179.19,4392427
2024-03-25,179.0,179.2,178.13,178.53,4366502
2024-03-22,177.23,178.99,176.78,178.45,4084352
2024-03-21,176.81,177.74,175.88,177.5,5743564
2024-03-20,179.22,179.23,175.73,176.27,7326558
2024-03-19,178.19,179.93,178.19,179.66,7625613
2024-03-18,179.01,179.88,177.57,178.49,8569244
2024-03-15,179.84,180.58,177.54,177.88,20957948
2024-03-14,180.16,182.04,178.66,181.2,6999445
2024-03-13,182.5,182.51,179.42,179.86,5987932
2024-03-12,179.72,182.89,179.69,180.92,5391070
2024-03-11,178.41,181.26,178.24,179.63,5134817
2024-03-08,179.74,182.14,178.68,178.85,6195824
2024-03-07,182.19,182.42,179.54,180.57,6125187
2024-03-06,178.4,182.16,178.1,181.06,6047148
2024-03-05,177.79,179.59,177.79,179.16,5309903
2024-03-04,178.35,179.98,176.28,177.05,4723582
2024-03-01,176.05,179.19,175.75,178.91,4028935
2024-02-29,177.87,178.02,175.39,176.05,7485722
2024-02-28,179.85,179.89,176.89,178.0,4326102
2024-02-27,178.77,179.53,176.98,178.99,3888566
2024-02-26,178.84,179.79,178.0,178.81,4327400
2024-02-23,177.26,178.91,177.01,178.09,3941923
2024-02-22,174.78,177.34,173.14,176.75,4852394
2024-02-21,176.29,176.63,173.5,175.14,3819124
2024-02-20,175.83,178.68,175.52,175.75,5484327
2024-02-16,176.89,178.92,176.07,177.49,6689902
2024-02-15,174.02,176.74,173.81,176.59,5276243
2024-02-14,173.06,174.86,172.68,174.42,4348610
2024-02-13,174.46,175.2,171.97,173.29,5480551
2024-02-12,173.54,174.76,172.23,173.07,3477198
2024-02-09,175.07,175.4,173.05,174.08,3502661
2024-02-08,174.35,175.91,174.3,174.79,5709326
2024-02-07,174.01,175.56,173.32,175.01,6409084
2024-02-06,171.65,173.96,169.77,173.29,7038000
2024-02-05,169.84,173.13,168.45,171.26,6486886
2024-02-02,169.42,172.85,165.23,168.67,7870521
2024-02-01,163.7,167.68,162.67,167.59,5584434
2024-01-31,165.75,165.86,163.95,164.4,4994053
2024-01-30,164.22,164.98,163.26,164.92,3819615
2024-01-29,165.85,166.76,163.68,163.91,4704269
2024-01-26,165.27,165.86,163.5,164.4,4654408
2024-01-25,164.0,165.21,163.2,165.13,4465939
2024-01-24,167.77,167.95,164.06,164.22,5422244
2024-01-23,164.45,167.53,164.06,167.5,5784885
2024-01-22,164.44,165.45,163.76,165.39,4864044
2024-01-19,163.91,164.87,162.6,164.77,5863150
2024-01-18,161.16,163.66,161.0,163.3,5074330
2024-01-17,161.75,162.95,161.52,162.04,4423158
2024-01-16,161.98,162.3,161.02,161.48,4747730
2024-01-12,162.75,163.3,162.18,162.4,4971442
2024-01-11,164.25,165.12,163.09,163.78,4591523
2024-01-10,162.27,165.08,161.88,164.89,6609876
2024-01-09,161.43,163.47,160.84,162.31,4454130
2024-01-08,162.18,162.77,159.78,161.43,6001632
2024-01-05,161.33,163.03,160.61,162.14,4853039
2024-01-04,160.31,162.29,159.43,161.46,8332192
2024-01-03,160.59,161.75,159.84,160.46,5301350
2024-01-02,154.9,160.14,154.77,159.82,8059876
2023-12-29,154.54,155.21,154.41,154.97,3712029
2023-12-28,155.25,155.63,154.54,154.75,2601447
2023-12-27,154.05,154.97,153.72,154.88,3747362
2023-12-26,154.25,155.28,154.13,154.62,2073611
2023-12-22,153.29,155.46,153.09,154.94,3373413
2023-12-21,152.05,152.91,151.29,152.59,4036192
2023-12-20,153.99,154.21,151.54,151.69,4716407
2023-12-19,153.59,154.48,152.45,153.6,5476837
2023-12-18,153.0,154.35,151.75,153.42,5379553
2023-12-15,154.74,155.89,153.11,154.04,15203070
2023-12-14,154.36,155.16,152.76,154.88,7869640
2023-12-13,152.98,154.77,152.73,154.3,8104528
2023-12-12,151.73,153.59,150.17,153.24,5882226
2023-12-11,150.67,152.71,150.64,151.24,6343530
2023-12-08,148.07,150.07,148.0,149.28,5695196
2023-12-07,147.64,148.38,145.2,147.97,7225141
2023-12-06,144.79,147.07,144.73,146.38,4978839
2023-12-05,144.11,145.08,142.66,144.57,3961719
2023-12-04,143.41,145.49,143.27,144.15,4845465
2023-12-01,142.54,144.1,142.28,143.41,4902200
2023-11-30,138.01,142.7,138.01,142.39,9297400
2023-11-29,138.02,139.09,137.65,138.5,3996500
2023-11-28,139.05,139.66,137.92,138.08,5347200
2023-11-27,138.7,139.38,137.79,139.09,5529400
2023-11-24,140.0,140.08,138.46,138.67,1636500
2023-11-22,139.06,139.84,138.33,138.47,3428500
2023-11-21,138.73,139.36,137.83,138.73,4690800
2023-11-20,137.53,138.69,137.14,138.31,4490000
2023-11-17,138.36,138.88,137.38,138.3,4332300
2023-11-16,138.28,138.82,137.05,138.28,5257000
2023-11-15,138.25,138.25,136.3,137.6,6473200
2023-11-14,138.93,140.1,137.96,138.06,4509200
2023-11-13,138.59,139.16,137.43,138.64,4454700
2023-11-10,138.65,139.36,136.4,138.59,4586400
2023-11-09,141.0,141.6,135.85,138.04,14970300
2023-11-08,143.44,143.89,141.92,142.03,5299100
