date,open,high,low,close,volume
2024-03-28,63.09,63.42,62.63,62.81,2815924
2024-03-27,62.11,63.17,62.08,62.99,4083122
2024-03-26,62.61,62.61,61.71,61.82,3903457
2024-03-25,62.1,63.08,62.01,62.51,4296609
2024-03-22,63.0,63.09,61.6,62.0,4434165
2024-03-21,61.51,62.99,61.47,62.47,6053405
2024-03-20,61.03,61.77,60.89,61.31,5097610
2024-03-19,60.16,61.23,60.16,61.03,6668922
2024-03-18,59.1,61.1,59.1,60.41,7266318
2024-03-15,57.77,59.78,57.71,59.31,14039579
2024-03-14,58.39,59.59,57.67,58.21,8970289
2024-03-13,57.5,59.32,57.45,58.27,14417842
2024-03-12,57.08,58.46,56.68,57.07,10925983
2024-03-11,54.69,55.56,54.67,54.91,5209637
2024-03-08,54.21,55.24,53.95,54.81,4757405
2024-03-07,54.38,55.83,53.4,54.25,11253202
2024-03-06,53.76,54.39,53.61,54.15,3473570
2024-03-05,52.96,53.73,52.89,53.46,4131427
2024-03-04,54.25,54.39,52.92,53.22,4712554
2024-03-01,54.64,54.75,53.55,54.24,8080075
2024-02-29,53.54,53.88,52.8,53.11,4941720
2024-02-28,52.8,53.48,52.65,53.01,3027925
2024-02-27,53.42,53.78,52.7,52.79,3783297
2024-02-26,53.44,53.6,53.03,53.17,3044212
2024-02-23,53.5,53.92,53.0,53.45,3106102
2024-02-22,53.58,53.91,52.95,53.7,6515534
2024-02-21,53.3,53.93,53.1,53.9,3142028
2024-02-20,53.52,53.85,52.74,53.4,4459613
2024-02-16,54.3,54.52,53.36,53.65,3302726
2024-02-15,53.26,54.73,53.25,54.31,3826429
2024-02-14,52.55,53.32,52.45,53.27,3746378
2024-02-13,53.5,54.17,52.47,52.47,5274417
2024-02-12,53.22,53.86,53.15,53.74,3651786
2024-02-09,52.7,53.26,52.33,53.05,5519041
2024-02-08,52.9,53.04,52.32,52.7,3476798
2024-02-07,52.63,53.17,52.28,52.88,4051575
2024-02-06,53.03,54.02,52.82,53.37,5787722
2024-02-05,54.8,55.0,52.87,52.96,10606345
2024-02-02,56.6,56.83,55.67,55.69,4745507
2024-02-01,55.68,56.79,55.56,56.76,5654064
2024-01-31,55.95,56.26,55.23,55.58,10987683
2024-01-30,55.1,56.15,54.72,56.0,7266997
2024-01-29,53.91,55.15,53.07,54.94,11737431
2024-01-26,52.01,52.49,51.16,52.05,10795844
2024-01-25,52.63,53.11,50.72,51.38,13214249
2024-01-24,52.31,54.27,51.94,52.63,13638876
2024-01-23,52.23,54.19,51.81,52.31,24466637
2024-01-22,56.88,57.76,51.49,51.69,47394172
2024-01-19,68.76,68.81,68.0,68.19,5030231
2024-01-18,68.68,68.85,68.16,68.74,2609750
2024-01-17,68.5,69.51,68.35,68.92,2564585
2024-01-16,69.78,69.85,68.85,69.1,2941335
2024-01-12,70.0,70.51,69.4,69.56,2548690
2024-01-11,69.27,69.76,69.01,69.47,2739543
2024-01-10,70.68,70.89,69.3,69.33,3480556
2024-01-09,70.94,70.99,70.09,70.67,2875089
2024-01-08,70.34,71.08,69.77,71.06,3087489
2024-01-05,71.37,72.0,70.29,70.81,2926152
2024-01-04,73.15,73.25,71.72,71.75,3442226
2024-01-03,72.48,74.02,72.19,73.13,3760862
2024-01-02,72.35,73.23,72.18,72.76,3072643
2023-12-29,72.15,72.41,71.77,72.22,2195895
2023-12-28,71.99,72.48,71.93,72.27,2389711
2023-12-27,72.08,72.36,71.76,72.17,2372946
2023-12-26,71.55,72.6,71.55,72.39,1892498
2023-12-22,71.11,72.14,71.11,71.46,3018564
2023-12-21,70.7,71.22,70.06,70.93,3827780
2023-12-20,73.34,73.45,70.6,70.68,5051194
2023-12-19,72.65,74.17,72.55,73.94,3770412
2023-12-18,75.4,75.6,72.17,72.34,6458535
2023-12-15,76.44,76.62,75.58,75.75,11609689
2023-12-14,75.48,77.35,75.48,76.42,3863750
2023-12-13,74.4,75.43,72.53,75.26,4365154
2023-12-12,75.0,75.1,74.01,74.58,2588162
2023-12-11,73.85,75.2,73.62,75.08,2936763
2023-12-08,74.13,74.69,73.7,73.75,2903785
2023-12-07,73.55,74.56,73.31,73.83,3030820
2023-12-06,73.96,74.19,73.08,73.19,3188626
2023-12-05,74.29,74.7,73.96,74.14,2888840
2023-12-04,74.58,75.57,74.42,74.63,4183851
2023-12-01,73.76,75.29,73.72,75.08,2722400
