date,open,high,low,close,volume
2024-03-28,97.93,98.08,97.85,97.94,8863332
2024-03-27,97.8,98.08,97.79,98.06,9366825
2024-03-26,97.66,97.76,97.52,97.74,8830456
2024-03-25,97.76,97.76,97.57,97.64,11037736
2024-03-22,97.91,97.91,97.74,97.82,8359208
2024-03-21,97.62,97.68,97.41,97.51,10100253
2024-03-20,97.29,97.63,97.13,97.44,8681408
2024-03-19,97.15,97.34,97.11,97.24,5076659
2024-03-18,97.07,97.12,96.92,97.0,5227228
2024-03-15,97.15,97.2,97.02,97.1,5756900
2024-03-14,97.48,97.48,97.1,97.11,10541000
2024-03-13,97.82,97.93,97.73,97.73,5846648
2024-03-12,98.02,98.04,97.8,97.91,7471902
2024-03-11,98.28,98.31,98.09,98.16,11354561
2024-03-08,98.34,98.41,98.19,98.27,7168723
2024-03-07,98.22,98.24,97.97,98.18,7726663
2024-03-06,97.95,98.16,97.91,97.97,16536204
2024-03-05,97.69,97.92,97.6,97.82,6815524
2024-03-04,97.26,97.38,97.23,97.29,7428243
2024-03-01,96.99,97.55,96.81,97.53,8994931
2024-02-29,97.38,97.56,97.29,97.35,16774092
2024-02-28,97.07,97.23,97.01,97.19,7942456
2024-02-27,97.1,97.22,96.94,97.0,9065486
2024-02-26,97.34,97.35,96.97,97.13,9374597
2024-02-23,96.99,97.39,96.99,97.34,7738039
2024-02-22,96.93,97.09,96.84,96.98,7538284
2024-02-21,97.28,97.28,96.87,96.9,7785144
2024-02-20,97.23,97.36,97.16,97.19,8735680
2024-02-16,96.95,97.1,96.9,97.1,7723697
2024-02-15,97.49,97.55,97.23,97.41,7194549
2024-02-14,96.84,97.22,96.84,97.18,8776901
2024-02-13,97.04,97.1,96.75,96.75,15872616
2024-02-12,97.7,97.75,97.52,97.65,5696254
2024-02-09,97.54,97.63,97.5,97.63,7120463
2024-02-08,97.78,97.84,97.62,97.66,12446860
2024-02-07,97.99,98.28,97.94,97.96,8785226
2024-02-06,97.79,98.2,97.78,98.16,6608583
2024-02-05,97.89,97.91,97.56,97.65,7656888
2024-02-02,98.49,98.62,98.26,98.46,8422612
2024-02-01,99.2,99.57,99.02,99.37,11937364
2024-01-31,99.0,99.26,98.81,99.1,10829125
2024-01-30,98.64,98.69,98.29,98.65,6740125
2024-01-29,98.3,98.53,98.19,98.46,6423562
2024-01-26,98.2,98.2,97.98,98.07,5022843
2024-01-25,98.01,98.2,97.96,98.18,16521614
2024-01-24,98.29,98.33,97.7,97.74,11278509
2024-01-23,97.99,98.0,97.82,97.96,5642997
2024-01-22,98.26,98.36,98.1,98.2,8712582
2024-01-19,97.89,98.02,97.67,98.02,9126093
2024-01-18,98.16,98.2,97.89,98.0,10575151
2024-01-17,98.16,98.21,97.94,98.09,8977600
2024-01-16,98.72,98.85,98.27,98.36,14489797
2024-01-12,99.14,99.36,98.96,99.1,6359407
2024-01-11,98.53,98.96,98.41,98.92,7275940
2024-01-10,98.74,98.8,98.36,98.36,7679382
2024-01-09,98.39,98.66,98.39,98.55,7157411
2024-01-08,98.24,98.71,98.21,98.57,7946495
2024-01-05,98.13,98.69,98.07,98.2,9038700
2024-01-04,98.42,98.55,98.33,98.43,9896688
2024-01-03,98.45,98.94,98.31,98.83,10002137
2024-01-02,98.84,98.97,98.73,98.78,9754476
2023-12-29,99.2,99.43,99.13,99.25,7327825
2023-12-28,99.54,99.65,99.31,99.44,7172285
2023-12-27,99.4,99.7,99.31,99.66,6919952
2023-12-26,98.93,99.08,98.89,99.03,5418487
2023-12-22,99.13,99.14,98.81,98.83,13234679
2023-12-21,99.22,99.26,98.83,98.96,9099118
2023-12-20,98.87,99.04,98.69,98.97,9994103
2023-12-19,98.63,98.78,98.59,98.61,13787123
2023-12-18,98.58,98.58,98.42,98.49,11521007
2023-12-15,98.8,98.88,98.59,98.69,10079311
2023-12-14,98.68,99.04,98.61,98.92,12651257
2023-12-13,97.39,98.45,97.33,98.41,11194420
