date,open,high,low,close,volume
2023-07-27,57.98,58.01,57.98,57.99,3994466
2023-07-26,56.65,57.415,56.55,57.18,5811925
2023-07-25,56.06,56.56,55.96,56.55,749062
2023-07-24,56.2,56.3,55.85,56.22,747579
2023-07-21,56.27,56.36,55.91,56.05,701426
2023-07-20,55.56,56.27,55.55,56.21,790105
2023-07-19,55.64,55.79,55.5,55.6,671014
2023-07-18,55.85,56.14,55.6,55.61,615361
2023-07-17,55.95,56.18,55.81,55.83,442133
2023-07-14,56.1,56.16,55.93,55.93,812996
2023-07-13,56.05,56.47,55.95,56.13,1338509
2023-07-12,55.18,56.14,54.99,56.01,946518
2023-07-11,54.94,55.43,54.63,55.04,1388937
2023-07-10,55.15,55.54,54.71,54.85,1022553
2023-07-07,55.27,55.625,55.14,55.19,567844
2023-07-06,55.43,55.55,55.07,55.13,1149460
2023-07-05,55.01,55.53,54.77,55.48,363343
2023-07-03,54.89,55.14,54.79,55.06,184965
2023-06-30,55.18,55.18,54.79,54.87,732704
2023-06-29,55.18,55.22,55.1,55.12,792335
2023-06-28,55.16,55.16,55.07,55.1,349956
2023-06-27,54.92,55.22,54.8,55.04,337656
2023-06-26,54.81,54.91,54.68,54.86,353173
2023-06-23,54.7,55.25,54.605,54.94,1480891
2023-06-22,54.4,54.98,54.35,54.91,781873
2023-06-21,54.33,54.8,54.25,54.49,1019705
2023-06-20,53.99,54.4037,53.99,54.33,1070632
2023-06-16,54.16,54.16,53.85,54.05,1206621
2023-06-15,54.01,54.05,53.82,53.9,657811
2023-06-14,54.11,54.17,53.75,54.0,696671
2023-06-13,54.19,54.44,53.75,54.12,827905
2023-06-12,54.13,54.48,54.0,54.44,1056300
2023-06-09,54.39,54.49,54.0,54.04,1233127
2023-06-08,54.41,54.65,53.83,54.53,1748337
2023-06-07,54.62,54.885,54.4,54.5,1099514
2023-06-06,54.75,54.78,54.2,54.51,857490
2023-06-05,54.25,54.75,54.22,54.7,948176
2023-06-02,54.52,54.739,54.2,54.32,1737974
2023-06-01,54.52,55.09,54.37,54.51,2277126
2023-05-31,54.86,54.86,54.43,54.48,948076
2023-05-30,54.41,54.78,54.31,54.73,779665
2023-05-26,54.95,55.06,54.2,54.29,1755283
2023-05-25,54.94,55.04,54.84,55.01,1358420
2023-05-24,55.04,55.15,54.95,54.95,845666
2023-05-23,55.24,55.33,55.085,55.1,1039433
2023-05-22,55.25,55.32,55.095,55.23,799646
2023-05-19,55.7,55.7,55.24,55.27,922959
2023-05-18,55.59,55.65,55.48,55.5,1346273
2023-05-17,55.75,55.81,55.54,55.58,1158792
2023-05-16,55.74,56.0175,55.5,55.7,1841667
2023-05-15,56.08,56.19,56.03,56.17,327936
2023-05-12,56.06,56.13,56.0,56.1,524772
2023-05-11,56.0,56.11,55.7,56.11,651396
2023-05-10,56.14,56.14,56.02,56.04,575542
2023-05-09,56.24,56.24,56.02,56.02,1059331
2023-05-08,56.32,56.35,56.19,56.21,601782
2023-05-05,56.35,56.39,56.3,56.31,650160
2023-05-04,56.35,56.405,56.3,56.39,386614
2023-05-03,56.32,56.44,56.32,56.39,541608
2023-05-02,56.33,56.375,56.31,56.35,387070
2023-05-01,56.25,56.41,56.25,56.35,448940
2023-04-28,56.34,56.42,56.32,56.41,940575
2023-04-27,56.31,56.43,56.31,56.4,560457
2023-04-26,56.4,56.445,56.215,56.37,760283
2023-04-25,56.45,56.485,56.43,56.43,413901
2023-04-24,56.47,56.57,56.425,56.56,292370
2023-04-21,56.72,56.75,56.49,56.53,574065
2023-04-20,56.5,56.8,56.44,56.78,652068
2023-04-19,56.44,56.55,56.42,56.5,684458
2023-04-18,56.46,56.49,56.44,56.44,354946
2023-04-17,56.42,56.47,56.4,56.46,372845
2023-04-14,56.33,56.43,56.31,56.42,677526
2023-04-13,56.39,56.44,56.37,56.43,334304
2023-04-12,56.38,56.43,56.35,56.39,300494
2023-04-11,56.38,56.43,56.33,56.35,535841
2023-04-10,56.34,56.4,56.32,56.36,412719
2023-04-06,56.31,56.37,56.31,56.34,657561
2023-04-05,56.25,56.4,56.23,56.4,1538063
2023-04-04,56.27,56.29,56.25,56.28,352156
2023-04-03,56.11,56.3,56.09,56.27,496707
2023-03-31,56.26,56.26,56.14,56.17,1008087
2023-03-30,55.89,56.175,55.85,56.15,905032
2023-03-29,55.78,55.92,55.67,55.9,600251
2023-03-28,55.7,55.79,55.65,55.73,956802
2023-03-27,55.66,55.81,55.61,55.76,908087
2023-03-24,55.62,55.7,55.57,55.6,3019377
2023-03-23,55.55,55.74,55.55,55.65,1232435
2023-03-22,55.72,55.74,55.49,55.51,1183816
2023-03-21,55.88,55.885,55.68,55.71,864341
2023-03-20,55.71,55.86,55.66,55.79,1066561
2023-03-17,55.74,55.84,55.54,55.61,1823016
2023-03-16,55.59,55.935,55.45,55.75,4094194
2023-03-15,55.8,56.25,55.75,56.12,3142107
2023-03-14,55.99,56.06,55.83,55.93,1006617
2023-03-13,55.62,55.99,55.62,55.84,1153398
2023-03-10,56.0,56.02,55.58,55.9,954280
2023-03-09,56.12,56.19,55.95,56.01,672334
2023-03-08,56.14,56.14,55.96,56.08,511198
2023-03-07,56.19,56.19,55.96,56.06,564260
2023-03-06,56.1,56.235,55.94,56.04,1062763
2023-03-03,56.3,56.3,56.06,56.1,1036708
