date,open,high,low,close,volume
2024-03-28,287.86,288.57,284.21,284.28,1157358
2024-03-27,284.22,286.82,282.55,286.3,2256315
2024-03-26,282.15,284.5,280.7,281.77,3343181
2024-03-25,276.43,281.33,275.41,280.82,2954416
2024-03-22,277.39,278.29,275.1,276.17,2303249
2024-03-21,274.63,277.92,274.39,276.95,2489645
2024-03-20,271.21,273.08,269.24,273.05,2564622
2024-03-19,270.18,273.16,269.51,271.73,3037584
2024-03-18,270.0,273.58,269.21,270.9,3608491
2024-03-15,272.09,275.18,268.17,268.87,8795786
2024-03-14,276.84,277.23,270.45,271.54,2370492
2024-03-13,278.18,278.56,275.21,275.99,1641024
2024-03-12,276.85,278.15,274.14,276.54,1738941
2024-03-11,274.51,278.19,272.99,275.36,1851124
2024-03-08,272.81,276.56,272.01,273.75,2251117
2024-03-07,276.3,276.81,269.58,272.86,4066261
2024-03-06,275.38,278.97,274.55,276.59,2240153
2024-03-05,279.62,279.75,275.02,276.65,3064004
2024-03-04,283.26,285.89,277.65,279.39,2470317
2024-03-01,276.5,281.93,274.88,280.33,3772930
2024-02-29,278.52,279.83,273.43,273.83,5863428
2024-02-28,278.99,280.43,277.09,277.46,3026971
2024-02-27,279.1,281.22,277.09,278.49,3353933
2024-02-26,288.28,289.87,285.43,286.37,2448935
2024-02-23,286.52,292.24,286.01,289.18,2462555
2024-02-22,282.48,285.72,281.3,285.18,2992891
2024-02-21,284.84,285.78,280.8,283.46,1934490
2024-02-20,283.85,285.3,280.55,283.51,3402126
2024-02-16,287.71,287.71,283.27,283.7,3596798
2024-02-15,287.88,290.35,285.6,289.07,2901954
2024-02-14,289.88,290.87,287.55,290.07,2617288
2024-02-13,294.61,295.52,286.89,290.48,3610118
2024-02-12,289.97,294.6,288.86,294.43,3298539
2024-02-09,294.85,295.0,289.71,291.12,3341055
2024-02-08,297.0,298.0,288.78,294.85,5946119
2024-02-07,315.51,315.51,295.27,295.87,8411337
2024-02-06,325.4,326.96,314.75,316.07,5767390
2024-02-05,323.53,329.72,317.71,321.97,3563345
2024-02-02,323.64,325.77,320.75,323.19,2585923
2024-02-01,314.5,324.82,313.7,324.56,3883174
2024-01-31,316.0,316.64,312.62,314.26,3456737
2024-01-30,312.53,314.92,310.52,314.62,2636955
2024-01-29,311.44,313.62,309.89,313.45,2447608
2024-01-26,310.57,312.02,309.86,311.77,2035761
2024-01-25,308.72,310.32,305.7,310.26,2005410
2024-01-24,309.92,312.45,305.24,305.5,1954418
2024-01-23,309.53,311.3,309.1,309.91,1775382
2024-01-22,308.7,312.16,306.6,310.16,2599964
2024-01-19,304.73,309.09,301.11,307.81,2566513
2024-01-18,302.25,305.65,299.55,304.49,2357076
2024-01-17,302.46,304.63,301.1,304.08,2210523
2024-01-16,306.51,308.0,301.18,303.48,1996271
2024-01-12,305.24,306.95,303.4,306.51,1567908
2024-01-11,303.43,304.61,300.0,303.1,2137224
2024-01-10,307.16,307.64,304.27,304.57,2210940
2024-01-09,308.02,309.97,305.94,307.26,2603714
2024-01-08,301.47,311.05,300.35,310.88,3467666
2024-01-05,302.2,303.53,299.76,303.0,1846201
2024-01-04,301.5,305.09,298.59,303.17,3358035
2024-01-03,300.05,303.25,297.05,300.69,2771618
2024-01-02,287.28,300.65,287.28,297.39,3375095
2023-12-29,287.86,288.49,286.39,288.02,1766799
2023-12-28,287.88,289.04,287.63,288.46,1228453
2023-12-27,284.5,287.29,283.35,286.53,1866842
2023-12-26,284.12,284.72,281.67,283.9,1330502
2023-12-22,280.0,285.68,280.0,284.16,1814168
2023-12-21,276.55,279.82,276.4,279.33,1850006
2023-12-20,277.83,278.8,275.01,275.18,2561239
2023-12-19,278.69,280.57,276.59,278.44,2484125
2023-12-18,277.0,277.1,274.35,275.48,2227641
2023-12-15,276.27,279.27,273.33,275.45,8731114
2023-12-14,281.32,282.73,274.08,276.32,2935224
