date,open,high,low,close,volume
2024-03-28,163.61,163.61,160.26,160.79,416279
2024-03-27,159.36,162.75,159.16,162.33,266621
2024-03-26,162.57,163.83,154.45,158.13,786201
2024-03-25,164.48,167.21,162.72,163.11,234932
2024-03-22,163.43,168.33,162.59,162.68,321294
2024-03-21,163.9,166.71,162.57,164.89,469078
2024-03-20,162.75,166.65,160.74,163.74,493602
2024-03-19,160.24,165.0,158.55,164.17,551834
2024-03-18,161.0,163.27,158.68,160.91,669148
2024-03-15,161.92,163.39,157.45,161.0,5449841
2024-03-14,167.49,167.49,157.64,162.03,913432
2024-03-13,167.83,169.63,162.66,167.72,876351
2024-03-12,175.72,177.58,167.06,168.57,905818
2024-03-11,182.73,182.73,173.8,176.4,666780
2024-03-08,184.43,187.6,182.11,184.5,455864
2024-03-07,184.73,187.23,182.74,184.59,595430
2024-03-06,181.1,186.28,179.97,184.43,663909
2024-03-05,177.92,182.0,175.73,178.95,635888
2024-03-04,174.21,182.27,174.21,178.18,1303684
2024-03-01,165.74,169.72,165.32,169.0,577772
2024-02-29,163.04,166.42,162.32,165.29,367920
2024-02-28,167.55,168.12,160.74,162.03,385460
2024-02-27,169.55,173.67,168.99,169.74,263620
2024-02-26,167.71,170.85,166.99,169.54,322310
2024-02-23,168.2,169.5,166.71,167.68,255830
2024-02-22,161.67,169.89,159.04,169.24,553253
2024-02-21,157.0,164.07,157.0,162.81,501098
2024-02-20,159.57,159.57,155.25,158.13,395761
2024-02-16,165.61,165.61,156.26,159.99,737868
2024-02-15,163.78,168.24,156.75,166.67,1078898
2024-02-14,171.05,173.77,167.51,173.56,414114
2024-02-13,170.05,171.75,166.79,170.06,256891
2024-02-12,169.64,172.98,169.64,171.27,209823
2024-02-09,172.33,172.33,165.37,168.68,268977
2024-02-08,164.42,171.8,161.0,171.01,286755
2024-02-07,167.29,167.67,163.6,165.86,258962
2024-02-06,171.64,171.64,164.4,167.08,282696
2024-02-05,173.98,173.98,167.45,170.85,290169
2024-02-02,175.8,178.5,174.95,175.04,138268
2024-02-01,178.4,179.49,175.56,177.83,163639
2024-01-31,180.0,180.98,176.04,176.96,179461
2024-01-30,177.15,179.82,173.82,179.32,146974
2024-01-29,178.5,180.65,176.16,178.65,158278
2024-01-26,176.27,180.0,174.23,178.39,234418
2024-01-25,182.96,185.48,173.2,176.47,372314
2024-01-24,185.11,187.45,181.42,181.56,280025
2024-01-23,184.9,186.31,181.47,183.44,200957
2024-01-22,185.06,186.36,181.61,183.38,345703
2024-01-19,179.46,186.7,178.72,185.75,591190
2024-01-18,170.54,179.65,168.81,177.95,554938
2024-01-17,163.69,169.46,162.89,168.65,283942
2024-01-16,169.77,169.77,164.76,166.53,285359
2024-01-12,170.45,172.84,168.41,170.54,228655
2024-01-11,170.14,170.85,166.86,168.88,270944
2024-01-10,176.25,176.25,168.1,169.29,270911
2024-01-09,175.0,178.22,173.9,175.58,336136
2024-01-08,175.0,175.0,168.78,173.64,252631
