date,open,high,low,close,volume
2024-03-28,30.33,30.59,30.24,30.31,193562
2024-03-27,30.92,30.99,30.02,30.24,690434
2024-03-26,30.76,30.86,30.44,30.46,264894
2024-03-25,30.06,30.61,30.06,30.51,270447
2024-03-22,30.22,30.43,29.96,30.03,253537
2024-03-21,30.47,30.92,30.34,30.49,316121
2024-03-20,29.03,30.21,29.03,30.2,604545
2024-03-19,28.77,29.14,28.4,29.05,468758
2024-03-18,29.19,29.37,28.88,29.23,359357
2024-03-15,29.12,29.55,29.01,29.17,539840
2024-03-14,30.22,30.28,29.11,29.4,586179
2024-03-13,29.74,30.54,29.74,30.08,394723
2024-03-12,29.79,29.95,29.2,29.84,339111
2024-03-11,29.86,30.09,29.61,29.63,366769
2024-03-08,29.48,30.49,29.47,29.69,573087
2024-03-07,29.13,29.37,28.92,29.31,389988
2024-03-06,28.69,29.03,28.37,28.84,582012
2024-03-05,28.82,28.93,27.9,28.08,746571
2024-03-04,29.07,29.41,28.78,29.13,614895
2024-03-01,28.7,28.91,28.42,28.87,453644
2024-02-29,28.72,28.93,28.31,28.68,433781
2024-02-28,28.39,28.81,28.23,28.37,462634
2024-02-27,28.31,28.5,28.05,28.39,589787
2024-02-26,27.36,28.1,27.36,28.0,595795
2024-02-23,27.3,27.61,27.06,27.31,378342
2024-02-22,27.08,27.2,26.86,27.05,503946
2024-02-21,26.69,26.81,26.28,26.46,579673
2024-02-20,27.85,27.93,27.07,27.48,517772
2024-02-16,28.44,28.8,28.1,28.17,424726
2024-02-15,28.25,28.43,28.03,28.29,464367
2024-02-14,27.5,28.15,27.46,28.13,397853
2024-02-13,26.71,27.26,26.43,26.79,573014
2024-02-12,27.78,28.33,27.76,28.03,466246
2024-02-09,27.75,27.9,27.5,27.77,518538
2024-02-08,26.8,27.47,26.8,27.3,668456
2024-02-07,26.17,26.6,25.96,26.53,604154
2024-02-06,25.8,26.12,25.68,26.05,712122
2024-02-05,26.21,26.25,25.42,25.7,597382
2024-02-02,25.82,26.43,25.65,26.39,870841
2024-02-01,25.75,26.01,25.34,25.81,517462
2024-01-31,25.99,26.43,25.47,25.54,1328174
2024-01-30,26.69,26.72,26.2,26.25,442586
2024-01-29,25.84,26.68,25.84,26.68,481839
2024-01-26,25.52,25.91,25.49,25.69,598243
2024-01-25,25.55,25.59,25.17,25.36,566177
2024-01-24,26.11,26.15,25.33,25.35,678121
2024-01-23,25.77,25.95,25.55,25.7,590381
2024-01-22,25.62,26.3,25.51,25.75,618315
2024-01-19,25.22,25.34,24.71,25.32,827350
2024-01-18,25.4,25.55,24.83,25.08,650776
2024-01-17,24.96,25.17,24.62,25.14,582965
2024-01-16,25.28,25.63,25.05,25.41,754545
2024-01-12,25.92,26.25,25.57,25.57,681008
2024-01-11,26.57,26.69,25.49,25.97,986673
2024-01-10,26.38,26.44,25.84,26.26,970990
2024-01-09,26.34,26.56,26.15,26.32,463289
2024-01-08,25.87,26.51,25.87,26.48,704268
2024-01-05,25.4,25.95,25.36,25.63,467617
2024-01-04,25.33,25.83,25.09,25.58,604579
2024-01-03,25.48,25.82,25.33,25.4,1878790
2024-01-02,27.16,27.2,26.17,26.33,1508733
2023-12-29,28.25,28.36,27.48,27.58,640390
2023-12-28,28.17,28.44,28.1,28.31,719501
2023-12-27,27.91,28.39,27.91,28.34,772712
2023-12-26,27.68,27.96,27.6,27.83,673116
