date,open,high,low,close,volume
2024-03-28,28.76,29.11,28.48,28.76,2266564
2024-03-27,28.23,28.57,27.81,28.55,1210568
2024-03-26,28.48,28.76,27.9,27.9,1640897
2024-03-25,28.17,28.59,28.04,28.18,1808006
2024-03-22,28.82,28.83,28.05,28.15,2351185
2024-03-21,29.21,29.75,28.81,28.81,1168015
2024-03-20,28.27,29.17,27.89,28.86,2381202
2024-03-19,28.0,28.71,27.83,28.34,1381592
2024-03-18,28.75,28.75,28.0,28.22,1566787
2024-03-15,28.36,28.79,28.22,28.44,1792553
2024-03-14,29.61,29.62,28.13,28.41,3201477
2024-03-13,29.41,30.05,29.16,29.54,1146853
2024-03-12,30.03,30.1,29.3,29.46,1831540
2024-03-11,30.25,31.03,29.79,29.95,1947589
2024-03-08,30.8,31.95,29.83,30.37,3585355
2024-03-07,30.4,30.97,29.96,30.42,1990382
2024-03-06,30.61,30.71,29.89,30.1,2168833
2024-03-05,30.53,31.0,29.83,30.06,3664077
2024-03-04,31.89,31.92,30.71,31.04,2252515
2024-03-01,31.35,32.32,31.02,31.63,2087533
2024-02-29,32.69,32.9,31.42,31.51,2152964
2024-02-28,32.38,32.97,32.15,32.28,1876538
2024-02-27,32.06,33.15,31.73,32.96,3031782
2024-02-26,30.22,31.5,30.04,31.42,2348157
2024-02-23,30.64,30.82,30.0,30.21,1724763
2024-02-22,30.42,31.05,30.11,30.71,1929374
2024-02-21,30.2,30.32,29.43,30.02,2292530
2024-02-20,31.06,31.37,30.24,30.59,2824330
2024-02-16,31.41,31.99,31.17,31.4,2859162
2024-02-15,31.33,32.33,31.26,31.88,2841584
2024-02-14,30.06,31.07,29.85,30.9,3360072
2024-02-13,30.27,30.39,29.15,29.59,4376997
2024-02-12,30.45,31.84,30.33,31.81,3523380
2024-02-09,30.09,30.72,29.89,30.42,2338629
2024-02-08,29.07,30.07,28.88,29.87,2178179
2024-02-07,29.73,29.73,28.97,29.05,1759472
2024-02-06,28.64,29.77,28.42,29.73,2288205
2024-02-05,28.69,28.82,28.04,28.64,2960953
2024-02-02,28.82,29.35,28.09,29.16,4425922
2024-02-01,28.79,29.33,28.37,29.05,2657792
2024-01-31,29.32,29.91,28.4,28.44,5826900
2024-01-30,30.38,30.38,29.4,29.44,3289766
2024-01-29,29.2,30.68,28.7,30.62,2638422
2024-01-26,29.55,30.35,28.94,29.09,2933735
2024-01-25,29.51,29.86,29.2,29.46,2295796
2024-01-24,30.31,30.43,29.14,29.21,2489289
2024-01-23,30.13,30.47,29.41,29.96,1943187
2024-01-22,29.2,30.37,29.13,29.82,2609505
2024-01-19,28.87,29.01,28.25,28.83,2703658
2024-01-18,29.21,29.32,28.29,28.76,3690919
2024-01-17,29.36,29.39,28.51,28.9,7307958
2024-01-16,30.18,30.18,29.47,29.85,2763059
2024-01-12,31.17,31.97,30.55,30.68,4019323
2024-01-11,31.93,31.93,30.67,30.99,7146900
2024-01-10,32.59,32.69,31.66,32.23,1938168
2024-01-09,32.06,32.83,31.76,32.42,2378152
2024-01-08,31.21,32.31,30.52,32.21,2883119
2024-01-05,31.11,31.73,30.54,31.61,1987484
2024-01-04,31.14,31.83,30.98,31.52,2447853
2024-01-03,32.21,32.21,30.93,31.19,3253915
2024-01-02,32.6,33.74,32.09,32.72,4162811
2023-12-29,34.23,34.37,32.73,32.81,3462807
2023-12-28,33.88,34.27,33.53,34.25,5438598
2023-12-27,34.07,34.33,33.39,33.68,4470497
2023-12-26,33.24,33.88,33.03,33.67,2026793
2023-12-22,32.3,33.14,32.2,32.81,2040036
2023-12-21,31.79,32.21,31.44,32.04,2213704
2023-12-20,33.0,33.29,31.04,31.1,4098631
2023-12-19,30.96,32.95,30.86,32.7,4960889
2023-12-18,30.97,31.37,30.43,30.62,1875888
2023-12-15,31.95,32.27,30.61,30.95,3143285
2023-12-14,30.73,32.08,30.7,31.66,6107840
2023-12-13,28.22,29.92,27.74,29.85,4908378
2023-12-12,28.39,28.42,27.68,28.24,4050538
2023-12-11,28.46,28.63,27.77,28.41,2602973
2023-12-08,28.52,29.31,28.04,28.6,3308735
2023-12-07,28.75,28.86,28.27,28.71,1817934
2023-12-06,28.64,29.33,28.27,28.61,1923551
2023-12-05,28.93,28.93,28.15,28.25,2623540
2023-12-04,28.88,29.47,28.53,29.2,2967319
2023-12-01,27.79,29.09,27.24,29.03,2994588
2023-11-30,28.37,28.65,27.595,27.74,3808871
2023-11-29,28.27,29.25,28.05,28.12,3327300
2023-11-28,27.64,28.04,27.17,28.02,2357973
2023-11-27,27.83,27.96,27.15,27.83,1736418
2023-11-24,27.66,28.25,27.52,27.99,1364471
2023-11-22,27.48,28.03,27.3308,27.6,1952433
2023-11-21,28.035,28.035,27.11,27.15,3092647
2023-11-20,27.77,28.72,27.44,28.18,3426685
2023-11-17,26.35,27.665,26.32,27.57,4320071
2023-11-16,26.55,26.61,25.54,26.03,3838560
2023-11-15,26.15,27.5,26.1001,26.62,4172941
2023-11-14,25.1,26.02,25.1,25.96,5178272
2023-11-13,23.69,23.86,22.916,23.85,2432533
2023-11-10,24.06,24.14,23.25,24.1,2722600
2023-11-09,25.235,25.33,23.86,23.98,3962992
2023-11-08,26.17,26.2498,24.9,25.05,2928549
2023-11-07,25.26,26.25,25.16,26.12,2708619
2023-11-06,26.4,26.4,25.14,25.3,2837960
2023-11-03,24.68,26.38,24.68,26.04,5694048
2023-11-02,23.69,24.47,23.69,24.33,4518130
2023-11-01,23.18,23.24,22.61,23.22,2705311
2023-10-31,22.4,23.1359,22.2,23.02,1757349
2023-10-30,22.57,22.64,21.97,22.43,1545006
2023-10-27,23.28,23.33,22.18,22.24,2624616
2023-10-26,23.04,23.35,22.835,22.98,1786667
2023-10-25,23.94,24.0,22.85,22.95,2053704
2023-10-24,23.72,24.49,23.72,24.25,2932857
2023-10-23,23.575,24.015,23.22,23.57,2016204
2023-10-20,23.82,24.19,23.48,23.75,1930876
2023-10-19,24.67,24.67,23.88,23.92,2580547
2023-10-18,25.61,25.61,24.51,24.59,1679600
2023-10-17,25.2,26.09,25.13,25.75,1526584
2023-10-16,25.08,25.68,24.7,25.46,1466742
2023-10-13,25.06,25.22,24.75,25.12,1911326
2023-10-12,26.65,26.65,24.93,25.02,2690218
2023-10-11,26.92,27.225,26.19,26.51,1907114
2023-10-10,26.23,27.15,26.23,26.84,1771697
2023-10-09,25.92,26.2899,25.56,26.17,1304702
2023-10-06,26.19,26.49,25.82,26.27,1637202
2023-10-05,26.18,26.605,25.73,26.55,1861766
2023-10-04,26.67,26.68,26.05,26.27,1508479
2023-10-03,26.62,26.94,26.3,26.49,1855793
2023-10-02,27.75,27.75,26.72,26.95,1793362
2023-09-29,28.19,28.505,27.7,27.86,1813376
2023-09-28,28.05,28.26,27.45,27.87,1716070
2023-09-27,28.11,28.46,27.69,27.97,1531191
2023-09-26,27.61,28.31,27.605,27.64,1162417
2023-09-25,27.73,27.94,27.44,27.6,1380513
2023-09-22,28.37,28.56,27.875,27.91,1741095
2023-09-21,28.77,28.77,28.205,28.23,1294000
2023-09-20,29.67,29.9,29.02,29.02,1180148
2023-09-19,29.61,29.65,29.105,29.55,1687544
2023-09-18,30.38,30.38,29.593,29.62,969946
2023-09-15,30.96,31.148,30.35,30.51,988019
2023-09-14,31.68,31.69,31.0032,31.03,788233
2023-09-13,31.52,31.85,31.321,31.33,940124
2023-09-12,31.34,31.88,31.26,31.53,559354
2023-09-11,31.23,31.6999,31.07,31.57,654024
2023-09-08,31.46,31.46,31.05,31.11,1298915
2023-09-07,31.61,31.635,31.015,31.49,1582686
2023-09-06,31.95,32.2,31.535,32.0,1079850
2023-09-05,32.44,32.53,31.95,32.01,786020
2023-09-01,32.57,33.08,32.54,32.61,904072
2023-08-31,32.34,32.6,32.15,32.25,696615
2023-08-30,31.97,32.345,31.64,32.24,622036
2023-08-29,30.83,32.235,30.6,31.98,2339023
2023-08-28,30.9,31.14,30.63,30.79,784872
2023-08-25,30.49,30.81,30.01,30.56,1812527
2023-08-24,31.78,31.83,30.35,30.41,1974048
2023-08-23,31.0,31.8,31.0,31.61,1605598
2023-08-22,31.18,31.405,30.66,30.95,1389204
2023-08-21,30.5,31.1,30.17,30.94,1525056
2023-08-18,29.95,30.85,29.85,30.33,1294719
2023-08-17,30.65,30.65,30.2299,30.36,1214356
2023-08-16,31.5,31.51,30.57,30.6,1379782
2023-08-15,31.68,32.02,31.505,31.6,1139561
2023-08-14,31.73,31.84,31.26,31.84,1470128
2023-08-11,31.95,32.27,31.69,31.88,1667154
2023-08-10,32.78,33.15,31.94,32.22,2030171
2023-08-09,33.24,33.47,32.43,32.68,1907957
2023-08-08,32.67,33.13,32.36,33.12,1289081
2023-08-07,34.0,34.0,32.55,33.02,1793774
2023-08-04,34.43,34.485,33.78,33.99,1387543
2023-08-03,34.56,34.58,33.905,33.96,1709326
2023-08-02,36.33,36.33,35.04,35.21,1675882
2023-08-01,37.66,37.68,36.76,37.04,1022541
2023-07-31,37.5,38.0,37.34,38.0,1780657
2023-07-28,36.64,37.29,36.48,37.29,1246817
2023-07-27,37.71,37.76,35.94,36.13,1899409
2023-07-26,36.45,37.21,36.29,37.13,1148152
2023-07-25,36.34,36.87,36.25,36.46,871012
2023-07-24,37.24,37.33,36.19,36.32,1332700
2023-07-21,36.98,37.47,36.345,37.11,1637137
2023-07-20,37.83,38.03,36.44,36.57,2155638
2023-07-19,37.98,38.97,37.92,38.18,1850086
2023-07-18,37.44,37.8725,37.2,37.76,1288985
2023-07-17,36.39,37.46,35.8801,37.21,1568927
2023-07-14,37.33,37.43,36.17,36.26,1537244
2023-07-13,36.93,37.155,36.4,36.94,1692594
2023-07-12,36.72,36.92,35.98,36.57,2650837
2023-07-11,35.13,35.4532,34.69,35.31,1165020
2023-07-10,33.07,34.875,33.03,34.87,1754231
2023-07-07,32.86,33.34,32.66,33.15,849202
2023-07-06,33.09,33.19,32.33,32.54,1162813
