date,open,high,low,close,volume
2024-03-28,50.22,50.61,49.97,50.08,8187411
2024-03-27,50.79,50.89,49.45,50.11,11450137
2024-03-26,50.81,50.96,50.0,50.03,6904760
2024-03-25,49.42,50.45,49.39,50.25,8755915
2024-03-22,50.07,50.33,49.25,49.41,8941729
2024-03-21,50.76,51.36,50.5,50.53,13536979
2024-03-20,48.44,50.48,48.29,50.21,15661765
2024-03-19,48.05,48.78,47.45,48.51,11645254
2024-03-18,48.9,49.12,48.03,48.79,8728945
2024-03-15,48.22,49.15,48.15,48.66,11891734
2024-03-14,50.39,50.61,48.19,48.74,17854559
2024-03-13,49.94,51.31,49.78,50.36,9033662
2024-03-12,50.83,50.89,49.53,50.25,10073705
2024-03-11,50.94,51.8,50.49,50.65,11376920
2024-03-08,50.81,52.43,50.24,50.75,16412418
2024-03-07,50.07,50.59,49.49,50.25,8873614
2024-03-06,49.91,50.17,48.97,49.68,12097361
2024-03-05,50.0,50.47,48.58,48.9,14098045
2024-03-04,51.37,51.48,50.19,50.68,9194792
2024-03-01,51.07,51.59,50.36,51.14,10880552
2024-02-29,52.06,52.33,50.71,51.25,12412383
2024-02-28,51.3,52.09,50.91,51.16,12116347
2024-02-27,50.82,51.55,50.6,51.54,14213534
2024-02-26,48.44,50.14,48.38,50.08,12132742
2024-02-23,48.89,49.29,48.1,48.41,10598614
2024-02-22,48.12,48.75,47.62,48.48,10923305
2024-02-21,47.64,47.91,46.91,47.31,12669482
2024-02-20,49.52,49.88,47.87,48.69,15225377
2024-02-16,50.96,51.74,50.29,50.33,16510836
2024-02-15,51.0,52.06,50.81,51.64,15272552
2024-02-14,49.12,50.56,48.77,50.5,17210460
2024-02-13,48.07,48.88,47.39,47.88,25947552
2024-02-12,49.6,51.1,49.56,50.72,13661702
2024-02-09,49.17,49.91,48.85,49.59,17091687
2024-02-08,47.47,48.61,47.12,48.44,14530284
2024-02-07,47.05,47.59,46.33,47.17,11384494
2024-02-06,45.45,46.74,45.29,46.7,14335773
2024-02-05,46.2,46.3,44.63,45.2,19679342
2024-02-02,45.75,46.81,45.23,46.66,21927579
2024-02-01,45.8,46.39,44.99,46.03,17395535
2024-01-31,46.26,47.43,45.33,45.41,27028911
2024-01-30,48.1,48.1,46.85,46.86,15485297
2024-01-29,46.19,48.19,45.92,48.11,18104210
2024-01-26,46.21,46.88,45.78,45.92,13739355
2024-01-25,46.28,46.7,45.54,45.82,16519905
2024-01-24,48.22,48.23,46.25,46.28,16696199
2024-01-23,47.68,47.92,46.89,47.38,12640312
2024-01-22,46.89,48.53,46.8,47.33,23104068
2024-01-19,45.92,46.3,45.02,46.28,16684632
2024-01-18,46.45,46.57,45.08,45.66,18101373
2024-01-17,45.94,45.99,45.2,45.92,15512808
2024-01-16,46.71,47.18,46.04,46.76,17272963
2024-01-12,48.03,48.9,47.32,47.38,14080340
2024-01-11,49.41,49.54,47.38,48.18,21393180
2024-01-10,49.5,49.8,48.52,49.35,15628689
2024-01-09,49.7,50.16,49.37,49.5,13039093
2024-01-08,48.97,50.38,48.7,50.28,16536535
2024-01-05,48.35,49.35,48.17,48.9,17077949
2024-01-04,48.41,49.39,48.07,48.91,16950617
2024-01-03,49.24,49.46,48.37,48.52,27345639
2024-01-02,51.8,51.84,50.22,50.5,24389169
2023-12-29,54.0,54.21,52.24,52.37,18769128
2023-12-28,54.0,54.39,53.79,54.14,11828164
2023-12-27,54.3,54.52,53.8,54.26,13797944
2023-12-26,53.25,54.02,53.07,53.79,13212017
2023-12-22,52.57,53.34,52.34,53.01,15303396
2023-12-21,52.04,52.46,51.29,52.31,15321681
2023-12-20,53.08,53.58,50.99,51.01,24224255
2023-12-19,51.52,53.4,51.47,53.18,21980314
2023-12-18,50.69,51.64,50.56,51.07,12644979
2023-12-15,51.96,52.17,50.8,51.11,18894831
2023-12-14,51.28,52.5,51.14,52.02,41229704
2023-12-13,48.38,50.17,47.41,50.17,28900448
2023-12-12,48.55,48.64,47.82,48.38,11432466
2023-12-11,48.61,48.74,48.01,48.53,13698219
2023-12-08,48.06,49.7,47.78,49.18,19869098
2023-12-07,47.83,48.39,47.5,48.29,13434312
2023-12-06,48.76,49.35,47.99,48.04,20195975
2023-12-05,48.23,48.94,47.88,48.26,17314047
2023-12-04,48.35,48.99,47.71,48.69,24898358
2023-12-01,46.55,48.45,46.07,48.43,24737354
2023-11-30,47.1726,47.28,45.85,46.11,21365319
2023-11-29,47.21,48.015,46.7,46.9,23347257
2023-11-28,45.39,46.77,44.985,46.7,17917691
2023-11-27,44.65,45.67,44.28,45.45,13262139
2023-11-24,44.19,45.12,44.165,44.88,7296085
2023-11-22,44.3315,44.59,43.63,44.32,11585970
2023-11-21,44.25,44.41,43.61,43.87,13742765
2023-11-20,43.85,45.0264,43.72,44.88,15779391
2023-11-17,42.54,43.73,42.34,43.7,16868769
2023-11-16,42.665,42.73,41.6188,42.21,17763945
2023-11-15,42.12,43.75,42.12,43.01,25809087
2023-11-14,41.565,42.05,41.21,41.95,25966929
2023-11-13,39.37,39.93,38.71,39.91,13480163
2023-11-10,39.01,39.86,38.74,39.73,19188083
2023-11-09,40.68,40.89,38.94,39.09,25381486
2023-11-08,41.05,41.05,39.94,40.34,18400860
2023-11-07,39.99,41.01,39.6915,40.91,18153759
2023-11-06,40.68,40.82,39.14,39.77,21315693
2023-11-03,39.189,40.74,39.1,40.44,28297102
2023-11-02,37.09,38.3,37.05,38.28,28629714
2023-11-01,35.25,35.36,34.54,35.31,17265784
2023-10-31,34.34,35.22,34.08,35.08,10991937
2023-10-30,34.53,34.8001,33.76,34.29,13989805
2023-10-27,35.28,35.4297,34.07,34.1,14793016
2023-10-26,35.27,35.71,34.43,34.76,20928877
2023-10-25,36.68,36.79,35.175,35.22,17377386
2023-10-24,36.77,37.96,36.77,37.17,17580652
2023-10-23,35.67,36.815,35.1,36.11,19262823
2023-10-20,36.52,36.76,35.88,36.03,18021816
2023-10-19,37.43,37.63,36.52,36.61,21633818
2023-10-18,38.78,38.87,37.375,37.43,16694699
2023-10-17,38.0,39.4362,38.0,39.18,13700768
2023-10-16,38.03,38.68,37.59,38.53,13624387
2023-10-13,38.43,38.55,37.565,37.77,13091431
2023-10-12,39.9699,39.9699,38.28,38.48,14137716
2023-10-11,40.37,40.77,39.49,39.9,12459783
2023-10-10,39.44,40.81,39.44,40.19,14549761
2023-10-09,38.47,39.47,38.335,39.36,11205833
2023-10-06,37.84,39.34,37.78,39.21,16356720
2023-10-05,38.392,38.75,37.745,38.54,12411175
2023-10-04,38.12,38.67,37.55,38.53,15404478
2023-10-03,38.53,39.09,37.76,37.97,17963176
2023-10-02,39.69,39.91,38.78,39.04,17508354
2023-09-29,39.84,40.245,39.48,39.67,17449491
