date,open,high,low,close,volume
2024-03-28,54.4,54.85,54.4,54.71,63952
2024-03-27,54.54,54.71,53.77,54.71,163481
2024-03-26,54.44,54.75,54.07,54.08,92302
2024-03-25,53.93,54.52,53.93,54.21,84454
2024-03-22,54.42,54.65,54.03,54.2,97351
2024-03-21,54.85,55.16,54.7,54.8,84485
2024-03-20,53.31,54.51,53.24,54.29,104121
2024-03-19,52.83,53.38,52.53,53.23,87139
2024-03-18,53.52,53.52,52.94,53.2,103580
2024-03-15,52.91,53.5,52.91,52.93,270166
2024-03-14,54.5,54.76,52.65,53.06,154331
2024-03-13,54.77,55.3,54.33,54.38,123950
2024-03-12,54.99,55.38,54.21,55.07,140655
2024-03-11,54.9,55.63,54.9,55.0,134579
2024-03-08,55.96,56.47,54.93,55.16,79199
2024-03-07,55.06,55.76,55.05,55.58,89017
2024-03-06,54.45,55.3,54.18,54.76,108395
2024-03-05,54.02,54.59,53.69,53.87,155501
2024-03-04,55.0,55.03,54.28,54.39,196270
2024-03-01,54.51,55.12,54.0,54.79,176779
2024-02-29,54.45,54.71,54.08,54.35,105840
2024-02-28,54.11,54.35,53.75,53.95,110689
2024-02-27,54.6,54.86,54.25,54.6,151352
2024-02-26,53.68,54.57,53.59,54.42,171323
2024-02-23,54.0,54.1,53.51,53.55,451932
2024-02-22,54.78,54.78,53.86,54.12,126896
2024-02-21,54.0,54.2,53.54,53.88,66940
2024-02-20,54.81,55.14,53.96,54.35,117871
2024-02-16,55.58,56.03,55.25,55.42,116843
2024-02-15,56.31,56.53,55.58,56.03,175206
2024-02-14,54.53,55.96,54.53,55.89,153565
2024-02-13,53.94,54.54,53.3,53.76,109268
2024-02-12,54.97,56.04,54.97,55.52,117606
2024-02-09,54.19,55.02,54.16,54.9,89494
2024-02-08,53.24,54.04,53.0,53.88,104413
2024-02-07,53.43,53.43,52.87,53.21,160395
2024-02-06,52.28,53.11,52.28,53.1,100563
2024-02-05,52.78,52.78,51.64,52.23,116356
2024-02-02,52.49,53.02,52.06,52.92,103243
2024-02-01,52.7,52.86,51.96,52.72,155921
2024-01-31,52.92,53.91,52.45,52.45,101975
2024-01-30,54.11,54.25,53.54,53.7,74297
2024-01-29,53.0,54.31,52.97,54.23,88067
2024-01-26,53.45,53.85,52.88,52.94,87073
2024-01-25,53.97,54.0,53.09,53.43,103683
2024-01-24,55.4,55.4,53.95,53.95,100706
2024-01-23,55.29,55.46,54.68,54.87,92798
2024-01-22,54.47,55.48,54.41,54.75,122358
2024-01-19,53.7,54.0,53.08,53.95,118050
2024-01-18,53.64,53.76,52.88,53.52,73935
2024-01-17,53.12,53.12,52.6,53.07,82134
2024-01-16,53.94,54.12,53.42,53.7,122105
2024-01-12,54.65,55.13,54.19,54.3,75424
2024-01-11,55.02,55.13,53.98,54.57,124525
2024-01-10,54.95,55.29,54.64,55.03,49321
2024-01-09,55.11,55.14,54.47,54.79,82942
2024-01-08,54.39,55.53,54.38,55.46,96637
2024-01-05,54.58,55.1,54.31,54.41,58540
2024-01-04,54.37,55.06,54.37,54.63,86417
2024-01-03,55.63,55.64,54.4,54.42,118051
2024-01-02,57.24,57.25,56.13,56.43,144210
2023-12-29,58.41,58.65,57.55,57.7,97303
2023-12-28,58.88,59.04,58.39,58.57,108309
2023-12-27,58.9,59.14,58.66,58.84,107471
2023-12-26,58.01,58.95,58.01,58.82,102803
2023-12-22,57.8,58.12,57.56,57.84,102171
2023-12-21,57.0,57.47,56.81,57.47,80855
2023-12-20,57.78,58.1,56.21,56.29,121085
2023-12-19,57.37,58.07,57.37,58.07,135527
2023-12-18,57.06,57.51,56.94,57.09,105906
2023-12-15,57.52,57.77,56.95,57.26,89754
2023-12-14,56.96,57.75,56.9,57.58,184808
2023-12-13,54.85,56.19,54.17,56.06,114410
