date,open,high,low,close,volume
2024-03-28,83.36,84.09,83.1,83.3,234069
2024-03-27,84.81,85.0,82.3,82.95,538922
2024-03-26,84.36,84.73,83.38,83.44,138927
2024-03-25,81.65,83.83,81.64,83.69,192431
2024-03-22,81.7,82.31,80.85,81.41,163715
2024-03-21,83.2,84.24,82.65,82.66,254619
2024-03-20,79.46,82.26,79.07,82.15,204544
2024-03-19,78.61,79.53,77.47,79.19,364931
2024-03-18,80.32,80.7,79.18,80.2,264333
2024-03-15,79.48,80.8,79.32,80.13,263574
2024-03-14,83.03,83.11,79.73,80.61,216049
2024-03-13,82.25,84.06,82.25,82.83,138451
2024-03-12,82.96,83.2,81.21,82.53,187547
2024-03-11,82.96,83.95,82.45,82.59,264359
2024-03-08,82.31,84.94,81.72,82.34,234661
2024-03-07,81.21,81.85,80.6,81.66,273364
2024-03-06,80.56,81.21,79.22,80.51,267393
2024-03-05,80.46,81.25,77.6,78.23,470204
2024-03-04,81.25,82.12,80.42,81.48,291443
2024-03-01,80.01,80.72,79.02,80.61,209942
2024-02-29,79.95,80.47,78.77,79.99,211095
2024-02-28,78.68,80.07,78.26,78.77,207816
2024-02-27,78.02,78.76,77.38,78.36,240710
2024-02-26,75.08,77.54,75.06,77.19,176998
2024-02-23,75.36,76.05,74.55,74.97,159545
2024-02-22,74.03,74.56,73.34,74.38,231710
2024-02-21,72.98,73.44,71.95,72.53,302860
2024-02-20,76.07,76.3,73.66,75.0,264209
2024-02-16,78.1,79.0,77.02,77.09,169857
2024-02-15,78.43,79.14,77.69,78.66,164167
2024-02-14,76.4,77.95,76.17,77.9,221599
2024-02-13,74.21,75.57,73.52,74.46,288352
2024-02-12,76.43,78.22,76.43,77.43,239000
2024-02-09,76.22,76.8,75.81,76.51,340689
2024-02-08,73.5,75.02,73.22,74.61,291636
2024-02-07,71.86,73.15,71.34,72.85,245034
2024-02-06,70.29,71.44,70.29,71.29,282062
2024-02-05,71.36,71.5,69.16,69.78,282084
2024-02-02,70.29,71.92,69.91,71.74,347283
2024-02-01,70.03,70.71,69.08,70.29,218247
2024-01-31,70.51,72.05,69.46,69.57,300184
2024-01-30,72.74,72.84,71.36,71.51,207584
2024-01-29,70.24,72.68,70.24,72.65,249641
2024-01-26,69.86,70.7,69.67,70.02,182326
2024-01-25,70.14,70.42,68.85,69.36,212889
2024-01-24,72.1,72.14,69.82,69.86,306604
2024-01-23,71.11,71.64,70.44,70.92,235501
2024-01-22,70.7,72.41,70.44,71.07,348775
2024-01-19,69.15,69.98,68.12,69.96,428922
2024-01-18,69.64,69.93,68.05,68.77,261900
2024-01-17,68.41,68.89,67.37,68.83,268862
2024-01-16,69.39,70.35,68.57,69.73,373698
2024-01-12,71.18,72.0,70.11,70.17,212443
2024-01-11,73.3,73.52,70.37,71.4,457154
2024-01-10,72.67,73.33,71.47,72.66,229839
2024-01-09,73.18,73.52,72.45,72.74,268455
2024-01-08,71.52,73.83,71.52,73.71,396801
2024-01-05,70.45,71.79,70.26,71.02,273547
2024-01-04,70.31,71.69,69.82,71.03,239139
2024-01-03,70.71,71.37,70.24,70.5,747998
2024-01-02,75.38,75.4,72.5,72.92,660832
2023-12-29,77.98,78.12,75.65,75.9,379917
2023-12-28,77.99,78.41,77.65,78.0,357705
2023-12-27,77.67,78.44,77.56,78.29,241066
2023-12-26,76.6,77.43,76.43,77.2,209994
2023-12-22,76.03,76.89,75.75,76.47,273157
2023-12-21,75.57,75.92,74.57,75.83,334099
2023-12-20,76.34,77.0,74.13,74.13,425393
2023-12-19,74.81,76.57,74.81,76.51,272866
2023-12-18,73.31,74.8,73.07,74.33,262851
2023-12-15,74.88,74.91,73.45,74.14,299712
2023-12-14,74.58,75.73,74.0,75.03,473140
2023-12-13,71.2,73.43,70.3,73.35,347357
2023-12-12,70.8,71.36,70.19,71.13,335711
2023-12-11,71.13,71.37,70.41,70.79,352483
2023-12-08,69.88,71.96,69.7,71.9,302837
2023-12-07,69.53,70.3,69.13,69.85,271389
2023-12-06,70.79,71.5,69.67,69.67,278258
2023-12-05,69.53,70.68,69.43,70.15,204829
2023-12-04,69.55,70.46,68.93,70.03,461514
