date,open,high,low,close,volume
2024-03-28,192.0,193.38,191.2,192.99,4471666
2024-03-27,188.84,191.99,188.33,191.95,7372795
2024-03-26,192.02,192.03,186.81,187.5,8972192
2024-03-25,196.01,196.18,189.5,191.41,12952957
2024-03-22,188.75,192.94,188.19,188.85,7826970
2024-03-21,189.79,190.38,187.55,187.7,7436385
2024-03-20,178.99,188.3,178.6,187.78,12770004
2024-03-19,180.11,181.86,179.74,181.14,7648033
2024-03-18,180.26,181.19,177.52,179.84,9497831
2024-03-15,180.99,184.18,180.91,182.53,10800678
2024-03-14,182.0,184.94,180.52,181.15,10016189
2024-03-13,183.16,185.97,182.08,182.35,10196147
2024-03-12,188.24,188.58,183.16,184.24,18714751
2024-03-11,194.21,196.07,189.8,192.49,14160616
2024-03-08,201.84,203.8,198.46,198.49,9010175
2024-03-07,200.7,203.73,200.57,203.03,5965338
2024-03-06,201.77,202.35,199.86,201.0,4736636
2024-03-05,199.49,202.85,198.7,201.14,5034661
2024-03-04,199.5,201.54,196.92,200.54,7213885
2024-03-01,204.0,205.06,199.01,200.0,11609465
2024-02-29,206.44,206.62,202.7,203.72,6670260
2024-02-28,201.14,208.1,200.18,207.0,9654653
2024-02-27,200.93,202.0,200.04,201.4,3932875
2024-02-26,201.01,202.75,200.0,200.54,4807216
2024-02-23,200.99,202.07,197.15,200.83,7433353
2024-02-22,202.0,204.1,200.4,201.5,6513541
2024-02-21,202.9,203.63,201.21,201.57,4179808
2024-02-20,203.55,205.58,202.71,203.37,5248399
2024-02-16,204.88,205.05,202.81,203.89,5986529
2024-02-15,204.12,206.55,203.4,205.33,5309060
2024-02-14,205.95,206.58,202.21,203.38,6503032
2024-02-13,206.9,207.81,202.33,204.46,8263634
2024-02-12,208.7,209.8,207.6,209.33,4077413
2024-02-09,209.77,211.44,207.9,209.2,4349671
2024-02-08,212.4,213.1,208.72,209.22,5787652
2024-02-07,208.76,213.77,207.99,211.92,7747653
2024-02-06,206.02,210.64,203.89,208.58,7561923
