date,open,high,low,close,volume
2024-03-30,567.4,640.0,553.1,601.0,220887333
2024-03-29,567.63,640.0,551.51,601.65,1476049280
2024-03-28,538.78,586.72,522.98,567.68,1200994117
2024-03-27,479.24,553.5,478.18,538.77,1460761937
2024-03-26,487.18,495.26,467.97,479.01,600500877
2024-03-25,485.38,507.54,471.34,487.56,1012118329
2024-03-24,455.73,499.73,444.94,485.04,905012893
2024-03-23,431.54,475.89,419.55,455.6,969866091
2024-03-22,414.2,433.75,391.51,431.35,605142312
2024-03-21,410.08,435.89,403.47,414.43,648916371
2024-03-20,358.7,412.66,347.99,409.69,668448924
2024-03-19,401.07,411.82,350.72,358.84,731923248
2024-03-18,402.36,411.05,383.65,401.06,452506764
2024-03-17,388.34,407.62,368.78,402.38,481342541
2024-03-16,416.85,421.5,381.82,388.41,515159877
2024-03-15,440.4,444.72,382.95,416.45,763061215
2024-03-14,442.74,474.48,416.0,440.32,1011438433
2024-03-13,434.87,454.99,424.0,442.75,690137309
2024-03-12,448.63,448.73,409.76,434.8,705846784
2024-03-11,423.99,456.55,401.61,448.72,826784007
2024-03-10,433.16,447.31,412.54,423.95,557238332
2024-03-09,437.57,458.82,426.0,433.06,591969159
2024-03-08,432.68,447.43,417.66,437.46,725669296
2024-03-07,415.95,440.18,398.17,432.65,747708408
2024-03-06,401.86,421.43,383.92,415.98,799980731
2024-03-05,474.14,482.68,340.0,401.89,1415399701
2024-03-04,470.9,479.07,433.85,474.41,1502795369
2024-03-03,501.92,530.66,455.35,471.07,2172425729
2024-03-02,316.58,507.68,315.67,501.85,2934086433
2024-03-01,298.02,319.73,297.02,316.49,422717646
2024-02-29,296.78,323.58,291.24,297.98,694427673
2024-02-28,292.96,314.06,277.0,296.79,670196449
2024-02-27,274.8,315.69,274.51,292.98,824513989
2024-02-26,267.92,276.97,262.22,274.88,230049730
2024-02-25,267.62,270.95,265.52,267.89,161409575
2024-02-24,264.76,270.49,262.86,267.67,159597826
2024-02-23,260.19,267.04,259.25,264.75,189044000
2024-02-22,263.12,265.96,258.9,260.15,192047055
2024-02-21,265.24,267.1,255.2,263.12,231191873
2024-02-20,273.28,274.16,255.75,265.3,312167987
2024-02-19,270.54,273.76,266.78,273.22,210590890
2024-02-18,267.34,271.94,264.97,270.64,170527092
2024-02-17,274.51,274.6,258.74,267.4,233218469
2024-02-16,270.75,275.28,265.32,274.52,378009847
2024-02-15,281.04,282.78,266.34,270.79,421814453
2024-02-14,270.48,293.98,264.69,281.04,469160002
2024-02-13,280.72,287.8,266.5,270.53,328586647
2024-02-12,277.78,289.65,266.89,280.69,534826120
2024-02-11,247.78,283.92,246.77,277.63,730387312
2024-02-10,250.34,251.69,243.28,247.8,150933342
2024-02-09,244.6,253.97,244.6,250.42,216806589
2024-02-08,240.68,245.0,240.21,244.59,171364551
2024-02-07,235.17,240.95,234.38,240.53,148607995
2024-02-06,235.48,238.0,233.97,235.17,163839292
2024-02-05,235.09,237.74,233.77,235.49,148993672
2024-02-04,240.94,244.18,232.71,235.15,184417282
2024-02-03,236.26,244.0,236.02,240.81,153085026
2024-02-02,236.71,237.93,234.25,236.26,131568380
2024-02-01,234.01,237.31,230.16,236.63,158977457
2024-01-31,237.49,238.95,232.19,234.07,186941232
2024-01-30,241.38,243.94,236.3,237.44,170467048
2024-01-29,236.83,241.98,234.14,241.33,164159496
2024-01-28,243.6,245.97,234.79,236.86,166929403
2024-01-27,241.81,245.35,239.22,243.7,176692375
2024-01-26,236.45,242.94,234.29,241.81,164559325
2024-01-25,236.13,238.59,234.21,236.43,177660138
2024-01-24,229.42,238.19,228.24,236.18,195225843
2024-01-23,235.38,237.72,218.7,229.37,260253542
2024-01-22,236.76,242.5,230.04,235.3,270560061
2024-01-21,238.94,242.96,236.34,236.81,147163319
2024-01-20,236.5,240.02,234.82,239.01,143029544
2024-01-19,237.54,237.98,226.28,236.5,206989711
2024-01-18,244.01,244.87,233.01,237.52,203425435
2024-01-17,251.1,251.5,240.51,244.03,225618926
2024-01-16,250.17,256.28,248.84,251.2,216494444
2024-01-15,245.62,257.71,244.95,250.08,227614648
2024-01-14,254.13,259.01,244.95,245.57,238067684
2024-01-13,259.29,262.36,250.72,254.16,290470802
2024-01-12,276.23,298.64,250.0,259.33,715701199
2024-01-11,254.87,289.48,250.51,276.13,618582477
2024-01-10,244.85,260.33,233.33,254.65,326715011
2024-01-09,254.22,257.94,239.57,244.85,351740119
2024-01-08,232.15,256.24,221.21,254.19,375612797
2024-01-07,236.31,240.14,229.89,232.58,194108741
2024-01-06,239.2,243.63,231.0,236.33,212617756
2024-01-05,239.87,242.43,227.18,239.5,253547290
2024-01-04,234.29,240.52,232.41,239.8,221787623
2024-01-03,257.15,268.15,214.01,234.2,415537419
2024-01-02,267.74,271.27,254.17,257.13,300655768
2024-01-01,259.62,269.7,255.59,268.03,273011073
2023-12-31,270.43,272.22,252.0,259.5,315116101
2023-12-30,253.99,287.7,253.81,270.65,660308285
2023-12-29,261.68,269.48,249.15,254.11,459219918
2023-12-28,264.31,278.6,257.63,261.65,696442353
2023-12-27,229.26,265.68,226.35,264.27,596803711
2023-12-26,234.91,235.1,220.01,229.26,236094205
2023-12-25,229.14,237.48,228.19,234.86,191923180
2023-12-24,232.88,234.0,225.56,229.01,184178169
2023-12-23,238.48,238.84,230.21,232.9,187359813
2023-12-22,233.2,244.0,231.56,238.44,248327711
2023-12-21,229.53,234.5,228.6,233.08,162612095
2023-12-20,225.21,234.7,223.68,229.55,227716086
2023-12-19,228.14,230.82,222.5,225.19,165200963
2023-12-18,225.8,228.3,217.11,228.14,188493869
2023-12-17,229.63,230.35,224.85,225.75,154297340
2023-12-16,227.18,231.95,224.8,229.65,146876427
2023-12-15,237.38,237.43,225.16,227.18,178289292
2023-12-14,235.36,237.84,226.54,237.32,211489888
2023-12-13,231.95,237.17,222.81,235.3,197906215
2023-12-12,230.46,234.96,226.67,231.82,184029167
2023-12-11,251.19,251.71,212.31,230.46,279165986
2023-12-10,252.83,255.18,244.51,251.22,157830189
2023-12-09,253.61,262.96,250.24,252.71,235925661
2023-12-08,247.14,254.66,245.5,253.66,194865623
2023-12-07,244.46,249.27,239.21,247.0,216175162
2023-12-06,251.07,264.96,242.91,244.56,409184986
2023-12-05,252.23,253.08,238.5,251.13,312672388
2023-12-04,230.15,256.4,229.14,252.25,640822664
2023-12-03,228.36,233.16,223.82,230.13,199699086
2023-12-02,225.29,228.64,224.87,228.32,137656262
2023-12-01,221.51,226.84,220.66,225.28,117943685
2023-11-30,223.29,223.58,220.12,221.49,110706490
2023-11-29,223.44,227.16,221.16,223.25,141670438
2023-11-28,223.28,224.84,219.58,223.51,156921548
2023-11-27,226.95,229.51,219.36,223.2,183614197
2023-11-26,227.68,229.85,221.91,226.88,128228138
2023-11-25,226.55,228.36,225.73,227.67,111650919
2023-11-24,225.24,230.33,224.49,226.57,140230461
2023-11-23,223.83,227.68,222.0,225.25,134136473
2023-11-22,216.59,224.9,215.92,223.8,176249941
2023-11-21,226.24,236.32,213.0,216.79,283335681
2023-11-20,230.34,230.64,224.73,226.32,132208553
2023-11-19,227.54,231.04,224.2,230.36,120262627
2023-11-18,229.86,229.89,221.1,227.57,127556133
2023-11-17,233.97,234.99,221.56,229.74,181426910
2023-11-16,238.22,245.0,230.5,233.89,217433523
2023-11-15,231.94,238.44,230.16,238.05,146261819
2023-11-14,234.07,238.94,220.11,232.05,180833069
2023-11-13,236.71,240.35,232.0,233.99,205987752
2023-11-12,236.55,239.58,230.45,236.66,129707085
2023-11-11,239.78,241.85,232.0,236.55,163830006
2023-11-10,240.11,242.6,233.73,239.9,214502445
2023-11-09,245.59,257.84,226.0,240.09,386966813
2023-11-08,243.86,247.42,241.73,245.54,138118349
2023-11-07,242.75,251.88,237.24,244.01,247212999
2023-11-06,237.82,244.93,235.73,242.99,140253235
2023-11-05,240.55,243.29,233.3,237.79,152062842
2023-11-04,237.48,240.63,235.83,240.52,95444150
2023-11-03,235.3,241.01,231.08,237.56,174408959
2023-11-02,245.29,249.55,230.61,235.59,227857558
2023-11-01,245.0,247.43,236.64,245.23,186486135
2023-10-31,246.02,249.08,235.8,245.06,187983060
2023-10-30,245.99,251.06,241.3,245.94,155625496
2023-10-29,244.84,249.55,242.3,246.02,135591529
2023-10-28,239.22,247.85,238.92,244.91,169505406
2023-10-27,247.33,247.62,233.03,239.22,164496329
2023-10-26,254.29,256.8,240.57,247.34,203108208
2023-10-25,251.82,259.92,248.15,254.24,215801794
2023-10-24,261.83,269.96,245.58,251.88,371213677
2023-10-23,243.54,264.81,240.44,261.94,373641365
2023-10-22,244.12,254.76,237.31,243.53,231961899
2023-10-21,240.62,246.61,237.89,244.13,169457976
2023-10-20,227.37,249.89,226.31,240.55,293140536
2023-10-19,226.84,235.23,225.04,227.43,147505814
2023-10-18,226.41,233.09,224.76,226.89,174678715
2023-10-17,230.96,232.57,223.6,226.47,175844414
2023-10-16,215.26,249.83,214.87,230.96,397121135
2023-10-15,214.55,216.83,212.75,215.25,83522313
2023-10-14,217.57,218.33,214.22,214.49,74662095
2023-10-13,214.05,219.0,211.7,217.27,135722427
2023-10-12,213.95,217.39,207.4,214.05,119489032
2023-10-11,212.31,217.06,206.5,214.11,150057573
2023-10-10,218.52,220.45,210.21,212.36,148956797
2023-10-09,227.99,229.17,210.67,218.59,183099157
2023-10-08,230.53,233.15,226.7,228.11,106051163
2023-10-07,230.91,236.42,228.5,230.44,119032840
2023-10-06,231.05,234.06,226.08,230.92,130776610
2023-10-05,233.2,234.89,225.28,230.96,160136435
2023-10-04,230.29,234.2,223.8,233.17,180040550
2023-10-03,246.47,251.48,227.53,230.36,302066948
2023-10-02,242.22,255.85,240.48,246.43,446812722
2023-10-01,233.89,245.4,232.87,242.23,206197082
2023-09-30,234.95,239.39,231.92,234.0,153627677
2023-09-29,238.75,241.24,228.95,234.97,239398024
2023-09-28,229.18,245.32,227.75,238.7,423897095
2023-09-27,214.6,236.86,213.27,229.2,402387282
2023-09-26,210.31,215.65,209.52,214.56,169779812
2023-09-25,204.72,213.59,201.94,210.3,143589850
2023-09-24,208.18,210.0,203.0,204.75,104588724
2023-09-23,207.84,209.64,206.62,208.2,94613506
2023-09-22,208.55,210.12,204.26,207.78,132959007
2023-09-21,215.51,215.86,205.81,208.54,170527081
2023-09-20,218.85,221.11,211.48,215.45,219665668
2023-09-19,217.32,222.47,214.44,218.8,191290308
2023-09-18,210.07,225.55,207.44,217.42,269553563
2023-09-17,214.82,214.82,205.31,210.02,157999942
2023-09-16,217.11,223.63,212.88,214.81,192483371
2023-09-15,207.92,225.8,206.1,217.18,322686773
2023-09-14,199.58,210.6,198.63,207.93,243097950
2023-09-13,198.32,207.0,195.78,199.54,240819278
2023-09-12,184.28,210.61,184.0,198.36,342890549
2023-09-11,190.28,191.71,180.48,184.21,165103031
2023-09-10,193.02,193.11,183.61,190.24,132343527
2023-09-09,193.17,196.41,190.92,193.05,93793587
2023-09-08,193.63,197.06,190.57,193.17,155951873
2023-09-07,193.01,194.37,189.88,193.61,120002022
2023-09-06,191.99,195.78,189.45,193.01,119644090
2023-09-05,193.72,195.0,189.33,192.0,129307973
2023-09-04,196.19,199.2,189.71,193.73,157433175
2023-09-03,195.08,198.13,191.22,196.12,136468819
2023-09-02,199.6,201.73,190.89,195.08,162289264
2023-09-01,207.57,210.95,197.61,199.62,208560401
2023-08-31,216.03,222.8,202.93,207.56,358274720
2023-08-30,225.23,225.86,211.42,216.0,281864292
2023-08-29,190.46,228.46,188.76,225.17,473894980
2023-08-28,197.64,197.93,187.17,190.48,154008890
2023-08-27,190.0,201.6,189.92,197.68,133931468
2023-08-26,192.0,192.22,188.76,190.04,89396996
2023-08-25,194.04,194.5,188.22,191.99,139896933
2023-08-24,193.73,195.04,188.6,194.06,137341529
2023-08-23,184.97,196.56,184.66,193.76,173286459
2023-08-22,185.77,188.15,176.75,184.88,150252025
2023-08-21,188.87,199.4,180.6,185.75,181788058
2023-08-20,187.17,190.78,186.57,188.87,147977614
2023-08-19,187.34,192.0,184.1,187.19,186899193
2023-08-18,184.1,191.5,178.47,187.36,270514217
2023-08-17,207.96,211.14,160.9,183.95,397195864
2023-08-16,228.51,231.03,200.43,207.85,310736141
2023-08-15,229.82,237.04,225.25,228.52,311130308
2023-08-14,228.17,230.96,225.28,229.87,146707563
2023-08-13,228.52,230.9,224.85,228.26,130752324
2023-08-12,228.86,230.85,227.29,228.49,111690005
2023-08-11,231.73,232.77,227.05,228.79,182824624
2023-08-10,238.64,240.36,230.25,231.75,267558366
2023-08-09,238.63,239.8,233.57,238.61,578838605
2023-08-08,237.47,249.3,234.46,238.6,452286436
2023-08-07,222.7,245.5,217.45,237.48,716073059
2023-08-06,226.59,228.33,221.23,222.71,136600537
2023-08-05,227.39,228.68,222.99,226.57,155052135
2023-08-04,225.08,229.79,220.56,227.35,218453673
2023-08-03,229.03,231.59,222.63,225.07,225984833
2023-08-02,244.87,247.18,220.91,229.06,310823027
2023-08-01,247.92,248.84,238.56,244.92,255860410
2023-07-31,253.0,259.49,242.42,247.92,343798443
2023-07-30,242.0,266.29,241.1,253.02,399871336
2023-07-29,240.97,242.52,238.34,241.94,134092120
2023-07-28,245.22,245.48,240.75,240.96,133161572
2023-07-27,242.11,249.52,240.67,245.24,223970540
2023-07-26,237.06,244.77,233.6,242.06,241690654
2023-07-25,238.46,239.64,231.94,237.04,201128778
2023-07-24,249.51,253.89,235.78,238.49,270198822
2023-07-23,239.55,255.6,238.54,249.51,294423444
2023-07-22,246.1,247.85,237.36,239.6,162239993
2023-07-21,244.2,248.24,241.49,246.14,193465961
2023-07-20,244.04,255.25,240.26,244.23,310023091
2023-07-19,243.81,252.12,241.16,243.98,303356781
2023-07-18,242.05,248.08,231.61,243.7,409074431
2023-07-17,249.96,254.67,235.61,242.14,353367690
2023-07-16,253.41,261.31,247.52,250.03,379661094
2023-07-15,264.11,264.12,245.78,253.48,365742268
2023-07-14,274.18,278.96,251.11,264.5,579193830
2023-07-13,282.23,292.39,269.11,274.18,872446208
