date,open,high,low,close,volume
2024-03-28,9.46,9.55,9.41,9.45,22355389
2024-03-27,9.28,9.42,9.28,9.42,17262180
2024-03-26,9.3,9.33,9.23,9.25,10277059
2024-03-25,9.23,9.34,9.23,9.26,12399613
2024-03-22,9.34,9.38,9.23,9.25,13656612
2024-03-21,9.34,9.48,9.33,9.36,20584593
2024-03-20,9.02,9.27,9.01,9.27,15853023
2024-03-19,9.01,9.08,8.99,9.0,12131733
2024-03-18,9.12,9.14,9.07,9.08,11785100
2024-03-15,9.12,9.23,9.11,9.14,17230532
2024-03-14,9.17,9.2,8.94,8.98,19341509
2024-03-13,9.13,9.25,9.12,9.17,14901842
2024-03-12,9.18,9.25,9.12,9.22,14604922
2024-03-11,9.02,9.11,9.01,9.11,14785336
2024-03-08,9.03,9.09,8.93,8.97,15655995
2024-03-07,8.9,9.02,8.89,9.02,14487613
2024-03-06,8.87,8.88,8.78,8.86,18884630
2024-03-05,8.64,8.81,8.63,8.72,16261474
2024-03-04,8.67,8.78,8.67,8.71,13841225
2024-03-01,8.68,8.71,8.57,8.66,15269996
2024-02-29,8.52,8.55,8.37,8.5,15294796
2024-02-28,8.68,8.71,8.61,8.63,16063337
2024-02-27,8.59,8.62,8.54,8.56,11457232
2024-02-26,8.57,8.6,8.46,8.52,17649856
2024-02-23,8.46,8.51,8.41,8.5,15460849
2024-02-22,8.34,8.48,8.32,8.46,18882310
2024-02-21,8.33,8.45,8.29,8.45,20469163
2024-02-20,8.2,8.39,8.18,8.37,24253913
2024-02-16,7.5,7.54,7.44,7.47,14513082
2024-02-15,7.24,7.4,7.24,7.37,14937838
2024-02-14,7.24,7.28,7.2,7.24,10192289
2024-02-13,7.22,7.23,7.07,7.12,15359494
2024-02-12,7.26,7.39,7.26,7.32,10218403
2024-02-09,7.32,7.34,7.26,7.32,7542402
2024-02-08,7.39,7.41,7.29,7.35,6306953
2024-02-07,7.45,7.47,7.32,7.43,10773646
2024-02-06,7.46,7.51,7.44,7.5,9327033
2024-02-05,7.5,7.53,7.38,7.42,12147986
2024-02-02,7.76,7.79,7.66,7.7,21506360
2024-02-01,7.66,7.7,7.47,7.65,25513542
2024-01-31,7.73,7.78,7.54,7.54,23229442
2024-01-30,7.68,7.79,7.68,7.76,15670427
2024-01-29,7.61,7.67,7.54,7.66,15779096
2024-01-26,7.7,7.74,7.65,7.72,19452420
2024-01-25,7.58,7.61,7.46,7.54,21605916
2024-01-24,7.64,7.66,7.57,7.58,19274229
2024-01-23,7.56,7.61,7.5,7.58,16858201
2024-01-22,7.43,7.53,7.42,7.48,15352255
2024-01-19,7.26,7.37,7.23,7.36,17320166
2024-01-18,7.28,7.31,7.21,7.29,17159422
2024-01-17,7.18,7.25,7.16,7.22,17339938
2024-01-16,7.32,7.33,7.23,7.27,20099694
2024-01-12,7.65,7.7,7.47,7.52,27873255
2024-01-11,7.66,7.69,7.47,7.52,26340617
