date,open,high,low,close,volume
2024-03-28,57.51,57.8,57.27,57.69,2657999
2024-03-27,56.5,57.53,56.48,57.53,2384750
2024-03-26,56.87,56.89,56.23,56.55,2649187
2024-03-25,57.47,57.82,56.94,56.96,1592380
2024-03-22,57.25,57.52,57.03,57.04,2399660
2024-03-21,58.32,58.49,57.84,57.89,1786307
2024-03-20,56.79,57.84,56.6,57.78,2443103
2024-03-19,56.45,56.74,56.31,56.64,2521088
2024-03-18,56.46,56.47,55.87,55.88,1958124
2024-03-15,55.2,55.78,55.09,55.67,3439662
2024-03-14,56.48,56.65,55.76,56.04,2927594
2024-03-13,55.88,57.22,55.81,56.87,3653843
2024-03-12,56.75,56.85,55.94,56.0,2879910
2024-03-11,55.77,56.22,55.7,56.13,3077537
2024-03-08,57.98,58.01,57.11,57.3,3953987
2024-03-07,58.31,58.48,57.81,57.82,2788461
2024-03-06,58.68,59.09,58.45,58.56,2221225
2024-03-05,57.73,58.01,57.33,57.49,1478847
2024-03-04,58.01,58.21,57.87,58.06,2111324
2024-03-01,57.86,58.43,57.46,58.34,2713772
2024-02-29,57.53,57.8,57.2,57.34,1969804
2024-02-28,56.91,57.12,56.8,57.09,1760770
2024-02-27,57.95,58.07,57.58,57.74,2347504
2024-02-26,57.38,57.38,56.79,57.2,3202113
2024-02-23,58.54,58.85,58.19,58.31,1650317
2024-02-22,58.24,58.45,58.0,58.36,2355803
2024-02-21,57.92,58.2,57.55,57.76,2178708
2024-02-20,59.11,59.12,57.62,58.1,4523187
2024-02-16,60.19,60.74,60.1,60.34,2981090
2024-02-15,58.62,59.73,58.62,59.61,2389971
2024-02-14,59.44,59.91,59.32,59.85,2241530
2024-02-13,59.62,59.7,58.5,58.93,2801387
2024-02-12,60.14,60.72,60.08,60.45,1879610
2024-02-09,60.09,60.22,59.66,60.18,2242832
2024-02-08,60.15,60.24,59.87,60.04,1791354
2024-02-07,60.29,60.59,60.04,60.52,2136085
2024-02-06,59.99,60.38,59.9,60.33,2304075
2024-02-05,59.66,59.75,59.17,59.49,3395075
2024-02-02,61.33,61.38,60.68,61.09,2676655
2024-02-01,61.39,62.04,61.29,61.96,1783476
2024-01-31,61.99,62.33,61.14,61.22,1908160
2024-01-30,61.59,61.91,60.89,61.77,2926142
2024-01-29,61.86,62.01,61.37,61.96,1811526
2024-01-26,61.83,62.02,61.49,61.96,1451845
2024-01-25,62.14,62.16,61.3,61.7,2514885
2024-01-24,63.14,63.21,62.14,62.17,3195906
2024-01-23,61.15,62.18,61.04,61.3,3452834
2024-01-22,59.8,60.42,59.7,60.12,3230462
2024-01-19,60.24,60.54,59.72,60.53,2475483
2024-01-18,60.06,60.49,59.68,60.48,3051837
2024-01-17,60.29,60.51,60.02,60.42,3059942
2024-01-16,62.19,62.22,61.15,61.52,3371708
2024-01-12,63.71,64.04,63.16,63.26,2615638
2024-01-11,63.7,63.96,63.03,63.49,2355904
2024-01-10,63.92,64.28,63.58,63.67,2976418
2024-01-09,64.77,64.85,64.47,64.6,2415651
2024-01-08,65.04,66.13,64.96,66.02,2329018
2024-01-05,65.64,66.56,65.63,66.02,2159039
2024-01-04,66.3,66.79,66.13,66.59,1887983
2024-01-03,66.46,67.48,66.33,67.18,2372906
2024-01-02,67.99,68.41,67.74,67.91,2545063
2023-12-29,68.33,68.55,68.01,68.31,1555430
2023-12-28,68.84,69.11,68.58,68.62,1949494
2023-12-27,68.24,68.99,68.23,68.89,2339158
2023-12-26,68.0,68.45,67.96,68.22,1390217
2023-12-22,68.0,68.17,67.67,67.82,1896834
2023-12-21,67.25,67.88,67.07,67.79,2681183
2023-12-20,66.7,67.11,66.01,66.03,2048145
2023-12-19,66.8,67.41,66.73,67.21,2594962
2023-12-18,66.09,66.5,65.97,66.09,2211872
2023-12-15,65.15,66.01,64.61,65.79,3616703
2023-12-14,64.98,65.86,64.97,65.53,3058464
2023-12-13,62.46,64.08,62.11,64.05,2656358
2023-12-12,62.29,62.33,61.79,62.15,1639086
2023-12-11,61.76,62.19,61.28,62.07,2896192
2023-12-08,62.24,62.78,62.06,62.46,2537104
2023-12-07,62.47,62.9,62.13,62.69,2981817
2023-12-06,62.56,62.58,61.35,61.45,2335602
2023-12-05,61.04,61.18,60.54,61.02,2189122
2023-12-04,61.61,61.96,61.22,61.36,2962748
