date,open,high,low,close,volume
2024-03-28,91.8,91.81,91.8,91.8,10128998
2024-03-27,91.79,91.8,91.79,91.8,5350734
2024-03-26,91.74,91.75,91.74,91.74,4275961
2024-03-25,91.74,91.74,91.73,91.73,4049959
2024-03-22,91.71,91.72,91.71,91.71,4686398
2024-03-21,91.7,91.71,91.7,91.7,7534914
2024-03-20,91.66,91.67,91.66,91.67,4398241
2024-03-19,91.65,91.66,91.65,91.66,5681897
2024-03-18,91.64,91.64,91.63,91.64,5594431
2024-03-15,91.63,91.63,91.62,91.63,4445587
2024-03-14,91.61,91.62,91.61,91.61,4602968
2024-03-13,91.58,91.58,91.57,91.57,4478385
2024-03-12,91.56,91.57,91.56,91.57,4136599
2024-03-11,91.55,91.55,91.54,91.54,5117938
2024-03-08,91.53,91.54,91.53,91.53,4298947
2024-03-07,91.53,91.53,91.52,91.52,4388642
2024-03-06,91.49,91.49,91.48,91.48,6751956
2024-03-05,91.47,91.47,91.46,91.46,10329533
2024-03-04,91.46,91.46,91.45,91.46,8628321
2024-03-01,91.44,91.45,91.44,91.45,13095372
2024-02-29,91.78,91.79,91.78,91.78,13028942
2024-02-28,91.74,91.75,91.74,91.74,3917619
2024-02-27,91.73,91.74,91.73,91.73,6027487
2024-02-26,91.72,91.72,91.71,91.71,4644794
2024-02-23,91.7,91.71,91.7,91.71,5608617
2024-02-22,91.69,91.7,91.69,91.7,7474034
2024-02-21,91.65,91.66,91.65,91.65,5167987
2024-02-20,91.65,91.65,91.64,91.64,4841054
2024-02-16,91.62,91.63,91.62,91.63,6052632
2024-02-15,91.62,91.62,91.61,91.61,4800582
2024-02-14,91.56,91.57,91.56,91.56,6028047
2024-02-13,91.54,91.55,91.54,91.54,7655093
2024-02-12,91.54,91.54,91.53,91.54,7216834
2024-02-09,91.52,91.53,91.52,91.52,5087015
2024-02-08,91.52,91.52,91.51,91.51,5406347
2024-02-07,91.48,91.48,91.47,91.47,8475361
2024-02-06,91.46,91.46,91.45,91.46,5037906
2024-02-05,91.45,91.45,91.44,91.44,6923421
2024-02-02,91.44,91.44,91.43,91.44,8157678
2024-02-01,91.42,91.43,91.42,91.42,14759198
2024-01-31,91.79,91.79,91.78,91.78,10964444
2024-01-30,91.77,91.78,91.77,91.77,30704159
2024-01-29,91.76,91.77,91.76,91.76,5646110
2024-01-26,91.75,91.75,91.74,91.75,5612929
2024-01-25,91.74,91.74,91.73,91.74,6059517
2024-01-24,91.69,91.7,91.69,91.69,6486095
2024-01-23,91.68,91.69,91.68,91.68,4961785
2024-01-22,91.67,91.68,91.67,91.67,6114020
2024-01-19,91.66,91.66,91.65,91.66,5444552
