date,open,high,low,close,volume
2024-03-28,34.21,34.27,34.13,34.13,4678
2024-03-27,33.84,34.0,33.84,34.0,1831
2024-03-26,33.97,33.97,33.87,33.87,3055
2024-03-25,33.83,33.86,33.82,33.82,1233
2024-03-22,33.82,33.87,33.82,33.83,1912
2024-03-21,34.34,34.34,34.16,34.23,2222
2024-03-20,34.24,34.35,34.24,34.3,681
2024-03-19,34.07,34.07,33.79,33.97,5680
2024-03-18,34.32,34.32,34.17,34.23,2417
2024-03-15,34.09,34.25,34.05,34.25,192519
2024-03-14,34.26,34.26,34.04,34.09,9293
2024-03-13,34.44,34.44,34.31,34.31,874
2024-03-12,34.44,34.59,34.44,34.47,2824
2024-03-11,34.25,34.25,34.17,34.17,1202
2024-03-08,33.9,33.94,33.88,33.9,2252
2024-03-07,33.84,33.94,33.84,33.94,1432
2024-03-06,34.13,34.13,33.96,33.97,2629
2024-03-05,33.65,33.66,33.61,33.61,13513
2024-03-04,34.0,34.0,33.88,33.89,1854
2024-03-01,34.13,34.25,34.09,34.23,1936
2024-02-29,33.69,33.8,33.68,33.73,3320
2024-02-28,33.82,33.82,33.7,33.72,1188
2024-02-27,34.46,34.48,34.42,34.45,2407
2024-02-26,34.14,34.14,34.08,34.1,2107
2024-02-23,34.29,34.34,34.19,34.19,2957
2024-02-22,34.17,34.21,34.07,34.21,3932
2024-02-21,33.87,33.87,33.81,33.86,1950
2024-02-20,33.78,33.78,33.52,33.6,1574
2024-02-16,33.6,33.73,33.53,33.62,6918
2024-02-15,33.12,33.3,33.12,33.3,4119
2024-02-14,33.05,33.13,32.96,33.1,1034
2024-02-13,32.81,32.81,32.49,32.55,11166
2024-02-12,32.92,33.35,32.92,33.17,8721
2024-02-09,32.79,33.0,32.73,32.96,5712
2024-02-08,32.73,32.82,32.73,32.75,1579
2024-02-07,33.1,33.28,33.1,33.2,1581
2024-02-06,33.1,33.4,33.1,33.4,1444
2024-02-05,32.12,32.35,32.1,32.35,4948
2024-02-02,32.14,32.17,32.1,32.1,2308
