date,open,high,low,close,volume
2024-03-28,1.34,1.42,1.25,1.28,7216897
2024-03-27,1.19,1.39,1.15,1.37,6877196
2024-03-26,1.19,1.21,1.07,1.2,18169512
2024-03-25,1.38,1.42,1.34,1.36,4510559
2024-03-22,1.45,1.45,1.33,1.37,5589301
2024-03-21,1.41,1.49,1.38,1.46,5924712
2024-03-20,1.4,1.43,1.36,1.4,3900413
2024-03-19,1.44,1.45,1.36,1.4,5998108
2024-03-18,1.45,1.55,1.37,1.44,7972233
2024-03-15,1.33,1.46,1.32,1.42,29308707
2024-03-14,1.39,1.39,1.3,1.33,4737846
2024-03-13,1.33,1.46,1.33,1.39,6041231
2024-03-12,1.48,1.48,1.32,1.35,7431337
2024-03-11,1.61,1.66,1.37,1.39,12691831
2024-03-08,1.45,1.65,1.45,1.5,9431611
2024-03-07,1.47,1.51,1.4,1.45,6400264
2024-03-06,1.43,1.54,1.35,1.45,11711899
2024-03-05,1.43,1.51,1.38,1.39,8316794
2024-03-04,1.63,1.63,1.44,1.53,10887404
2024-03-01,1.4,1.67,1.4,1.57,11644321
2024-02-29,1.68,1.74,1.35,1.39,19378636
2024-02-28,1.8,1.87,1.63,1.68,14693538
2024-02-27,1.52,1.92,1.47,1.75,29936579
2024-02-26,1.29,1.52,1.28,1.46,18359421
2024-02-23,1.22,1.32,1.17,1.25,11450410
2024-02-22,1.06,1.2,1.06,1.18,6647233
2024-02-21,1.08,1.14,1.05,1.09,4435848
2024-02-20,1.04,1.13,1.02,1.1,7217907
2024-02-16,1.07,1.08,1.0,1.02,7104309
2024-02-15,1.04,1.13,1.02,1.08,7504528
2024-02-14,1.01,1.04,1.01,1.02,2999966
2024-02-13,1.05,1.06,0.98,0.9826,8497173
2024-02-12,1.04,1.1,1.03,1.09,6129317
2024-02-09,1.05,1.08,1.02,1.03,4935516
2024-02-08,0.9356,1.08,0.9346,1.05,7948222
2024-02-07,0.94,0.95539,0.9,0.9357,12215883
2024-02-06,0.9263,0.9797,0.879,0.94,10589210
2024-02-05,0.9481,0.9698,0.8819,0.9052,11603678
2024-02-02,1.0,1.0,0.9211,0.9561,10392426
2024-02-01,1.03,1.03,0.973,0.9987,10708722
2024-01-31,1.06,1.07,1.01,1.02,9104287
2024-01-30,1.14,1.14,1.06,1.06,5451192
2024-01-29,1.06,1.15,1.04,1.13,6761771
2024-01-26,1.11,1.15,1.06,1.06,8050629
2024-01-25,1.1,1.15,1.03,1.12,7873687
2024-01-24,1.16,1.17,1.06,1.07,13106950
2024-01-23,1.3,1.3,1.16,1.17,10998067
2024-01-22,1.27,1.33,1.25,1.27,6141641
2024-01-19,1.38,1.39,1.24,1.26,12531875
2024-01-18,1.41,1.47,1.38,1.39,7633681
2024-01-17,1.42,1.43,1.38,1.41,7537942
2024-01-16,1.49,1.51,1.41,1.43,7836919
2024-01-12,1.37,1.51,1.37,1.5,11788170
2024-01-11,1.39,1.4,1.34,1.38,8767476
2024-01-10,1.39,1.4,1.3,1.38,12627564
2024-01-09,1.43,1.44,1.35,1.37,8628053
2024-01-08,1.43,1.49,1.38,1.47,11720556
2024-01-05,1.45,1.49,1.39,1.42,9677955
2024-01-04,1.39,1.49,1.37,1.45,12087121
2024-01-03,1.45,1.49,1.37,1.37,11758071
2024-01-02,1.37,1.53,1.36,1.47,16282767
2023-12-29,1.4,1.43,1.38,1.38,7591945
2023-12-28,1.36,1.45,1.36,1.41,10459284
2023-12-27,1.36,1.41,1.33,1.4,12681958
2023-12-26,1.42,1.43,1.32,1.36,17156625
2023-12-22,1.39,1.45,1.32,1.4,20761112
2023-12-21,1.37,1.45,1.3,1.37,33131159
2023-12-20,1.31,1.4,1.26,1.32,125364749
2023-12-19,2.65,2.78,2.26,2.43,38057289
2023-12-18,3.19,3.2,2.89,3.05,11827918
2023-12-15,3.32,3.45,3.18,3.27,8390424
2023-12-14,3.22,3.58,3.2,3.3,20024380
2023-12-13,2.83,3.04,2.8,3.04,10103819
2023-12-12,3.0,3.0,2.73,2.79,15668635
2023-12-11,2.93,3.15,2.72,3.07,32581196
2023-12-08,5.1,5.53,2.69,2.86,54126886
2023-12-07,4.85,4.93,4.56,4.81,6283404
2023-12-06,4.37,4.97,4.3,4.83,6396312
2023-12-05,4.55,4.55,4.31,4.33,4733710
2023-12-04,4.35,4.61,4.32,4.47,5034555
2023-12-01,3.82,4.28,3.76,4.26,5100895
2023-11-30,3.98,4.01,3.8,3.82,5614024
2023-11-29,3.89,4.05,3.84,3.86,3387106
2023-11-28,3.78,3.85,3.66,3.84,2986965
2023-11-27,4.0,4.04,3.66,3.84,4472923
2023-11-24,3.75,4.13,3.75,3.89,2965883
2023-11-22,3.73,3.85,3.63,3.79,2698978
2023-11-21,3.79,3.81,3.64,3.66,3592057
2023-11-20,3.43,3.93,3.4,3.83,5291747
2023-11-17,3.1,3.43,3.07,3.42,5204444
2023-11-16,3.3,3.3,3.0,3.04,5501737
2023-11-15,3.26,3.49,3.22,3.29,3677944
2023-11-14,3.12,3.29,3.12,3.27,4995348
2023-11-13,2.94,3.03,2.83,3.02,3219454
2023-11-10,3.04,3.13,2.835,2.98,3725105
2023-11-09,3.31,3.315,2.9,3.035,5801303
2023-11-08,3.7,3.71,3.25,3.26,4459314
2023-11-07,3.44,3.55,3.13,3.54,5631486
2023-11-06,3.54,3.59,3.27,3.3,3514322
2023-11-03,3.1,3.58,3.09,3.48,5535063
2023-11-02,3.0,3.13,2.92,3.05,3804463
2023-11-01,2.97,3.0675,2.895,2.94,3936496
2023-10-31,2.77,2.995,2.6984,2.95,3263692
2023-10-30,2.78,2.905,2.735,2.82,2750772
2023-10-27,3.11,3.11,2.69,2.725,6117736
2023-10-26,2.96,3.07,2.88,3.06,3439689
2023-10-25,2.94,3.05,2.9,2.91,2695805
2023-10-24,2.92,3.13,2.915,3.0,2874370
2023-10-23,2.85,2.92,2.78,2.88,2786040
2023-10-20,2.8,2.93,2.78,2.86,2410089
2023-10-19,2.87,2.87,2.72,2.78,3805757
2023-10-18,2.88,2.88,2.775,2.87,3615840
2023-10-17,2.78,2.96,2.76,2.91,3370109
2023-10-16,2.68,2.84,2.62,2.8,2721336
2023-10-13,2.6,2.74,2.52,2.66,3848136
2023-10-12,2.85,2.85,2.58,2.61,5648068
2023-10-11,3.05,3.09,2.85,2.86,2516182
2023-10-10,2.9,3.06,2.895,3.01,2431915
2023-10-09,3.05,3.08,2.8601,2.89,3372202
2023-10-06,3.07,3.16,3.035,3.08,2095952
2023-10-05,2.98,3.16,2.92,3.13,3802906
2023-10-04,2.99,3.0,2.9,2.98,3615320
2023-10-03,2.91,3.08,2.885,3.01,2774558
2023-10-02,3.05,3.05,2.89,2.94,3033255
2023-09-29,3.07,3.16,2.97,3.04,2598705
2023-09-28,3.03,3.045,2.96,3.02,2130209
2023-09-27,3.08,3.19,2.99,3.06,1975318
2023-09-26,3.03,3.26,3.01,3.08,2276133
2023-09-25,3.02,3.1,2.92,3.03,3121525
2023-09-22,3.2,3.23,3.04,3.04,2903413
2023-09-21,3.12,3.26,3.0607,3.2,3379317
2023-09-20,3.25,3.275,3.15,3.15,3123467
2023-09-19,3.19,3.26,3.135,3.21,2288982
2023-09-18,3.37,3.38,3.165,3.19,4971689
2023-09-15,3.35,3.39,3.28,3.35,10306599
2023-09-14,3.34,3.455,3.325,3.33,2732865
2023-09-13,3.52,3.635,3.33,3.33,4481924
2023-09-12,3.58,3.6,3.445,3.48,3202822
2023-09-11,3.54,3.61,3.47,3.56,3029093
2023-09-08,3.53,3.63,3.4425,3.57,2407692
2023-09-07,3.72,3.73,3.5,3.53,3457264
2023-09-06,3.75,3.81,3.69,3.8,2150100
2023-09-05,3.88,3.9,3.69,3.71,2669500
2023-09-01,3.82,3.94,3.74,3.9,2806900
2023-08-31,3.74,3.83,3.72,3.77,2021400
2023-08-30,3.78,3.83,3.71,3.74,2168800
2023-08-29,3.91,3.95,3.73,3.77,2363200
2023-08-28,3.81,3.92,3.59,3.91,3104900
2023-08-25,3.61,3.99,3.56,3.79,4988300
2023-08-24,3.48,3.6,3.42,3.56,2657200
2023-08-23,3.45,3.59,3.45,3.47,2452900
2023-08-22,3.41,3.47,3.3,3.42,2357600
2023-08-21,3.51,3.53,3.37,3.42,4405600
2023-08-18,3.4,3.74,3.39,3.51,3492800
2023-08-17,3.63,3.71,3.45,3.46,3761400
2023-08-16,3.56,3.66,3.47,3.57,4868900
2023-08-15,3.45,3.64,3.36,3.62,5194300
2023-08-14,3.25,3.52,3.11,3.46,5249400
2023-08-11,3.32,3.39,3.23,3.26,3598200
2023-08-10,3.6,3.75,3.34,3.38,3666500
2023-08-09,4.0,4.26,3.43,3.54,7256400
2023-08-08,3.53,4.38,3.46,3.89,11239400
2023-08-07,3.91,3.91,3.59,3.6,4057200
2023-08-04,3.91,3.98,3.8,3.88,2999500
2023-08-03,3.78,3.96,3.71,3.83,3151800
2023-08-02,3.69,3.85,3.59,3.83,2996000
2023-08-01,3.84,3.87,3.67,3.73,3204900
2023-07-31,3.94,4.13,3.88,3.93,2746800
2023-07-28,3.82,3.95,3.8,3.95,3824900
2023-07-27,4.06,4.06,3.68,3.73,4439900
2023-07-26,3.75,3.98,3.75,3.96,3463500
2023-07-25,3.84,4.1,3.75,3.77,3731700
2023-07-24,4.13,4.2,3.73,3.84,6669300
2023-07-21,3.59,4.23,3.56,4.05,12917400
2023-07-20,3.73,3.89,3.48,3.51,7896900
2023-07-19,3.46,4.01,3.38,3.67,21575500
2023-07-18,3.13,3.28,3.09,3.15,2260800
2023-07-17,3.04,3.25,3.02,3.11,2951600
2023-07-14,3.33,3.33,2.98,3.03,6887000
2023-07-13,3.67,3.7,3.29,3.31,5617500
2023-07-12,3.71,3.72,3.59,3.65,2272800
2023-07-11,3.62,3.67,3.51,3.63,2887800
2023-07-10,3.41,3.64,3.41,3.63,3550300
2023-07-07,3.24,3.44,3.24,3.42,3121200
2023-07-06,3.3,3.32,3.17,3.26,3098400
2023-07-05,3.34,3.39,3.29,3.33,1727500
2023-07-03,3.29,3.39,3.26,3.34,1468100
2023-06-30,3.27,3.34,3.21,3.29,2748600
2023-06-29,3.39,3.41,3.21,3.22,3347600
2023-06-28,3.34,3.4,3.26,3.39,2940900
2023-06-27,3.24,3.41,3.14,3.34,3234900
2023-06-26,3.34,3.38,3.23,3.24,2454200
2023-06-23,3.33,3.41,3.27,3.38,3401800
2023-06-22,3.42,3.49,3.34,3.36,2748500
2023-06-21,3.54,3.58,3.27,3.42,5871100
2023-06-20,3.83,3.83,3.45,3.51,4639800
2023-06-16,4.04,4.05,3.77,3.81,4446300
2023-06-15,3.84,4.04,3.75,3.99,3801800
2023-06-14,3.77,4.04,3.71,3.86,5106700
2023-06-13,3.54,3.75,3.49,3.71,4444500
2023-06-12,3.7,3.71,3.44,3.5,4029300
2023-06-09,3.78,3.78,3.62,3.65,2875600
2023-06-08,3.74,3.79,3.65,3.76,3670800
2023-06-07,3.75,3.79,3.6,3.72,3580300
2023-06-06,3.71,3.79,3.59,3.73,3278300
2023-06-05,3.61,3.76,3.52,3.71,4124300
2023-06-02,3.57,3.64,3.4,3.63,3539000
2023-06-01,3.63,3.65,3.36,3.54,3736600
2023-05-31,3.2,3.49,3.2,3.35,3768800
2023-05-30,3.59,3.68,3.23,3.31,3052500
2023-05-26,3.46,3.61,3.44,3.56,2570200
2023-05-25,3.62,3.62,3.36,3.48,3480300
2023-05-24,3.72,3.76,3.51,3.61,3115900
2023-05-23,3.74,3.92,3.68,3.7,3588600
2023-05-22,3.73,3.87,3.69,3.74,3227700
2023-05-19,3.82,3.91,3.73,3.74,2276200
2023-05-18,3.87,3.87,3.66,3.78,3737600
2023-05-17,3.73,3.94,3.55,3.9,4743400
2023-05-16,4.02,4.03,3.63,3.68,7014600
2023-05-15,4.42,4.53,4.08,4.12,4406200
2023-05-12,4.75,4.75,4.27,4.34,3511300
2023-05-11,5.06,5.2,4.68,4.75,4782100
2023-05-10,4.77,5.07,4.66,5.03,5216500
2023-05-09,4.21,5.14,4.07,4.9,5591500
2023-05-08,4.4,4.45,4.21,4.35,2436900
2023-05-05,4.35,4.49,4.26,4.37,3648600
2023-05-04,4.04,4.36,3.99,4.29,3734400
2023-05-03,4.16,4.2,4.03,4.07,3854700
2023-05-02,4.4,4.43,4.0,4.12,4348300
2023-05-01,4.36,4.51,4.16,4.37,4570000
2023-04-28,3.84,4.62,3.76,4.35,9264900
2023-04-27,3.74,3.75,3.49,3.68,4067700
2023-04-26,3.7,3.8,3.59,3.68,3217400
2023-04-25,3.43,3.78,3.39,3.67,6076900
2023-04-24,3.74,3.75,3.26,3.44,7303200
2023-04-21,3.34,3.48,3.32,3.43,2648600
2023-04-20,3.42,3.49,3.31,3.33,2928400
2023-04-19,3.33,3.51,3.27,3.44,2413400
2023-04-18,3.45,3.52,3.21,3.36,3630700
2023-04-17,3.19,3.52,3.16,3.39,4985800
2023-04-14,3.24,3.27,3.1,3.12,4072400
2023-04-13,2.94,3.46,2.9,3.27,13751500
2023-04-12,3.02,3.05,2.78,2.79,4115200
2023-04-11,2.96,3.07,2.96,2.99,3671600
2023-04-10,3.08,3.08,2.91,2.94,4612600
2023-04-06,3.08,3.18,3.03,3.1,3339300
2023-04-05,3.12,3.15,3.03,3.07,3584400
2023-04-04,3.31,3.34,3.08,3.12,4529500
2023-04-03,3.15,3.32,3.14,3.3,4791200
2023-03-31,3.15,3.24,3.1,3.18,5744900
2023-03-30,3.31,3.43,3.02,3.14,8538600
2023-03-29,3.68,3.74,2.95,3.26,20171800
