date,open,high,low,close,volume
2024-03-28,88.34,88.655,86.65,87.34,928414
2024-03-27,88.18,88.74,87.92,88.61,1031697
2024-03-26,86.94,87.86,86.5,87.74,1346939
2024-03-25,84.7,86.99,84.7,86.52,1409254
2024-03-22,84.35,85.29,83.9,85.13,876820
2024-03-21,84.99,85.25,83.84,84.11,919108
2024-03-20,85.01,85.19,83.82,84.76,879941
2024-03-19,84.43,85.6,83.77,85.27,1300210
2024-03-18,84.13,84.67,83.66,83.81,1404481
2024-03-15,84.56,84.75,83.44,83.87,1185803
2024-03-14,84.61,84.94,83.53,84.39,1244299
2024-03-13,85.19,85.71,84.57,84.77,1312690
2024-03-12,86.27,86.69,84.87,85.18,1027892
2024-03-11,85.69,86.82,85.53,86.0,1368855
2024-03-08,85.9,86.55,85.7,85.95,1252138
2024-03-07,87.21,87.87,85.63,85.89,1224164
2024-03-06,87.25,87.6,86.11,86.77,1133389
2024-03-05,87.09,87.42,85.01,86.02,1710509
2024-03-04,87.57,87.92,86.51,87.72,800734
2024-03-01,86.39,88.28,85.88,87.14,1927867
2024-02-29,88.8,89.0,86.02,86.28,2604480
2024-02-28,89.82,90.28,88.32,88.4,1172830
2024-02-27,90.64,92.16,90.06,90.68,1249150
2024-02-26,90.93,91.23,88.11,90.1,1470158
2024-02-23,90.94,94.15,89.48,91.24,3652648
2024-02-22,89.3,90.5,88.63,89.97,1652780
2024-02-21,88.67,89.2,87.4,88.54,1268429
2024-02-20,88.14,90.26,87.53,88.67,1859731
2024-02-16,88.3,89.49,87.85,88.77,1058238
2024-02-15,86.11,88.73,85.97,88.3,1990552
2024-02-14,86.24,86.81,85.71,86.01,1233373
2024-02-13,87.15,87.39,85.6,86.13,925494
2024-02-12,88.47,89.16,88.1,88.18,1279650
2024-02-09,88.28,88.64,87.83,88.46,1355301
2024-02-08,89.77,90.18,87.43,88.15,1140939
2024-02-07,89.46,91.06,88.41,89.66,2851102
2024-02-06,88.12,90.05,87.49,89.8,1608957
2024-02-05,87.76,88.33,87.08,87.72,1133273
2024-02-02,87.91,88.43,87.29,88.11,1396297
2024-02-01,87.72,88.87,87.26,88.74,1429546
2024-01-31,89.67,90.01,87.63,88.08,1121492
2024-01-30,91.59,91.59,89.43,89.62,1675898
2024-01-29,91.0,91.78,89.46,91.78,691154
2024-01-26,91.62,91.65,90.32,90.87,1104895
2024-01-25,92.51,92.94,90.7,91.25,1199448
2024-01-24,93.3,93.86,92.11,92.31,1139669
2024-01-23,94.51,94.51,92.43,93.04,1760098
2024-01-22,92.0,94.22,91.5,94.04,1261836
2024-01-19,92.69,92.93,91.85,92.25,1116404
2024-01-18,93.53,93.81,92.08,92.53,838062
2024-01-17,92.99,93.88,92.1,93.43,729662
2024-01-16,92.97,94.08,92.08,93.46,1074012
2024-01-12,95.51,96.6,92.96,93.33,1746542
2024-01-11,95.13,96.65,94.52,96.0,1921812
2024-01-10,96.38,96.95,95.04,95.89,978017
2024-01-09,98.19,98.23,95.17,96.13,1192584
2024-01-08,96.21,99.25,94.92,99.0,962743
2024-01-05,96.64,97.08,95.81,96.47,690726
2024-01-04,96.67,98.44,96.5,97.73,1081419
2024-01-03,98.99,98.99,96.08,96.68,913229
2024-01-02,96.45,98.28,96.03,98.05,1109934
2023-12-29,96.85,97.43,96.1,96.42,630336
2023-12-28,98.01,98.54,96.82,97.13,675853
2023-12-27,97.18,98.02,96.35,97.88,1128295
2023-12-26,96.38,96.9,95.85,96.46,846164
2023-12-22,95.22,97.71,95.19,96.21,3668977
2023-12-21,93.99,96.27,93.99,95.16,1211301
