date,open,high,low,close,volume
2024-03-28,53.39,54.48,53.39,54.23,13446705
2024-03-27,53.0,53.69,52.85,53.25,13077608
2024-03-26,52.39,52.65,52.04,52.55,9951952
2024-03-25,52.08,52.74,51.91,52.25,12348068
2024-03-22,51.65,52.45,51.52,51.93,11727720
2024-03-21,51.91,52.65,51.56,51.59,12625067
2024-03-20,51.63,52.16,51.27,51.88,10436323
2024-03-19,51.76,51.93,51.39,51.8,14593246
2024-03-18,52.58,52.7,51.53,51.59,19738671
2024-03-15,52.32,53.2,51.95,52.34,123585283
2024-03-14,52.57,52.68,51.81,52.49,14430168
2024-03-13,54.33,55.04,52.6,52.65,26855196
2024-03-12,54.33,54.6,53.82,54.4,14269120
2024-03-11,53.9,54.56,53.74,54.36,15646376
2024-03-08,53.48,54.26,53.33,53.79,17479616
2024-03-07,53.57,53.75,52.98,53.28,17233062
2024-03-06,52.34,53.81,52.25,53.38,21692324
2024-03-05,51.01,52.11,50.99,51.82,15110725
2024-03-04,51.28,52.2,50.72,50.92,19033412
2024-03-01,50.94,51.08,50.44,50.89,10892290
2024-02-29,50.96,51.17,50.28,50.75,14655689
2024-02-28,50.51,50.97,50.37,50.92,7968568
2024-02-27,50.57,50.72,50.15,50.51,8145286
2024-02-26,51.56,51.68,50.47,50.52,9690431
2024-02-23,51.4,51.92,50.73,51.66,11052457
2024-02-22,50.58,51.41,50.33,51.33,12862869
2024-02-21,49.93,50.93,49.54,50.91,12286920
2024-02-20,49.89,50.45,49.67,49.86,13778750
2024-02-16,49.31,49.87,48.93,49.86,13176540
2024-02-15,49.01,50.28,48.83,49.44,13425812
2024-02-14,48.82,49.04,48.45,48.89,10866859
2024-02-13,49.66,49.9,48.31,48.71,15828107
2024-02-12,49.82,50.05,49.21,49.75,14973578
2024-02-09,48.7,49.83,48.49,49.81,15413408
2024-02-08,48.44,48.77,48.11,48.71,13577868
2024-02-07,49.19,49.36,48.02,48.64,17973120
2024-02-06,47.95,49.98,47.58,49.26,22697982
2024-02-05,48.52,48.56,47.68,47.98,15535583
2024-02-02,49.27,50.01,48.08,48.71,27991627
2024-02-01,48.85,48.85,48.13,48.67,20416268
2024-01-31,49.71,50.02,48.84,48.87,18997583
2024-01-30,50.05,50.18,49.25,49.39,11605552
2024-01-29,49.62,49.88,49.45,49.87,11746625
2024-01-26,49.96,50.2,49.65,49.7,10855482
2024-01-25,50.26,50.34,49.44,49.61,17639641
2024-01-24,50.2,50.62,50.07,50.24,11838307
2024-01-23,49.68,50.42,49.49,50.12,12555683
2024-01-22,50.26,50.32,49.5,49.57,13818614
2024-01-19,50.11,50.21,49.43,50.11,23285777
2024-01-18,49.62,50.17,48.63,50.09,18463797
2024-01-17,49.55,50.07,48.95,49.98,16425429
2024-01-16,50.3,50.59,49.82,50.0,13824733
2024-01-12,50.39,50.71,50.07,50.31,11461710
2024-01-11,50.65,50.74,50.01,50.22,16567906
2024-01-10,51.2,51.25,50.42,50.66,18095314
2024-01-09,52.05,52.1,51.23,51.28,13385140
2024-01-08,51.89,51.9,51.29,51.79,18745875
2024-01-05,51.91,52.57,51.65,52.23,12272235
2024-01-04,51.91,52.19,51.46,52.04,16930548
2024-01-03,52.7,52.9,51.47,52.3,15662627
2024-01-02,51.45,53.45,51.4,52.76,17757453
2023-12-29,51.13,51.49,50.99,51.31,11305815
2023-12-28,51.05,51.45,51.0,51.22,10652857
2023-12-27,51.41,51.5,50.74,51.21,13218982
2023-12-26,52.41,52.77,51.05,51.45,12237690
2023-12-22,50.86,53.48,50.86,52.29,19998059
2023-12-21,51.34,51.74,50.85,51.26,14232888
2023-12-20,52.03,52.24,50.93,50.96,14179848
2023-12-19,51.61,52.18,51.46,52.11,14293010
2023-12-18,51.15,51.49,50.93,51.34,14361072
2023-12-15,51.16,51.45,50.69,50.89,44147592
2023-12-14,52.46,52.54,51.0,51.47,20212598
2023-12-13,50.07,51.86,49.94,51.86,15557010
2023-12-12,50.8,50.94,49.8,50.51,14215535
2023-12-11,50.52,51.14,50.27,51.09,18432898
2023-12-08,50.26,50.54,50.09,50.31,10123073
2023-12-07,50.3,51.0,49.99,50.16,14710574
2023-12-06,50.32,50.43,49.78,49.88,13839803
2023-12-05,49.8,50.4,49.56,50.23,12659509
2023-12-04,49.96,50.76,49.77,49.98,14238572
2023-12-01,49.4,50.18,48.93,50.1,12803600
2023-11-30,48.78,49.4,48.25,49.38,17044300
2023-11-29,49.06,49.35,48.67,48.72,12653100
2023-11-28,49.05,49.32,48.82,48.92,11372800
2023-11-27,49.61,49.72,48.82,49.02,17681600
2023-11-24,49.75,49.91,49.47,49.76,5085700
2023-11-22,48.75,49.5,48.56,49.42,14734800
2023-11-21,48.83,49.04,48.45,48.48,14669600
2023-11-20,48.78,50.17,48.42,48.9,27943500
2023-11-17,51.19,51.22,50.6,50.84,10229500
2023-11-16,51.46,51.74,50.25,50.84,14458500
2023-11-15,50.27,51.63,50.15,51.57,13407600
2023-11-14,50.45,51.18,50.26,50.52,12025300
2023-11-13,50.45,50.67,50.06,50.15,12047100
2023-11-10,50.61,50.7,49.58,50.61,12697600
2023-11-09,52.55,52.57,50.37,50.41,12175400
2023-11-08,52.52,52.58,51.84,52.42,11252800
2023-11-07,52.81,53.05,52.13,52.29,20836100
2023-11-06,53.14,53.55,52.64,52.79,17627100
2023-11-03,51.39,53.14,51.39,52.82,14478800
2023-11-02,50.82,51.37,50.69,51.13,13436100
2023-11-01,51.86,51.91,51.17,51.28,11280800
2023-10-31,51.38,51.66,50.67,51.53,14670400
2023-10-30,51.73,51.9,50.26,51.25,29683000
2023-10-27,52.05,52.22,49.49,51.02,17895400
2023-10-26,53.96,55.29,52.92,52.97,25054000
2023-10-25,56.02,56.77,55.96,56.61,11766100
2023-10-24,56.14,56.68,55.88,56.12,9442800
2023-10-23,56.35,56.72,55.98,56.0,10028300
2023-10-20,56.24,57.09,56.24,56.46,11638300
2023-10-19,56.64,56.96,55.72,56.48,13169000
2023-10-18,57.4,57.59,56.77,56.85,11816100
2023-10-17,57.15,57.65,56.98,57.37,13223400
2023-10-16,56.79,57.49,56.69,57.17,12328400
2023-10-13,56.37,56.67,55.9,56.47,12824800
2023-10-12,56.63,56.67,55.8,56.26,10728800
2023-10-11,56.48,56.89,56.34,56.65,8470700
