date,open,high,low,close,volume
2024-03-30,583.4,620.0,582.1,612.6,580043625
2024-03-29,574.2,591.7,574.1,583.4,2701469184
2024-03-28,580.4,585.6,560.3,574.3,1986567688
2024-03-27,587.1,597.0,571.9,580.4,1983797879
2024-03-26,567.8,598.0,564.4,587.0,2086911757
2024-03-25,551.9,573.0,548.7,567.7,2490221265
2024-03-24,553.8,567.7,543.4,551.9,1745465728
2024-03-23,553.8,588.1,535.5,553.8,1962524597
2024-03-22,553.24823,587.73145,535.97266,551.77856,2949959002
2024-03-21,507.7,559.0,500.0,556.8,2595135487
2024-03-20,507.08646,558.94647,501.11685,556.7005,3177352364
2024-03-19,571.7,587.7,540.1,555.4,4346763421
2024-03-18,571.08557,586.51495,540.84631,554.55713,3982384372
2024-03-17,632.7,645.2,567.2,576.4,3512190982
2024-03-16,632.80279,641.48114,571.28687,576.77521,3952760767
2024-03-15,630.5,631.5,565.5,603.2,5849156503
2024-03-14,630.56134,630.95624,569.20691,602.98871,4918366892
2024-03-13,523.0,548.5,519.0,537.5,5717769152
2024-03-12,522.71899,547.01831,521.91394,537.86572,4381078189
2024-03-11,488.3,537.5,484.8,528.9,3950105375
2024-03-10,489.54092,537.41528,486.83554,529.37476,4507153439
2024-03-09,474.6,489.6,462.5,485.8,2314944823
2024-03-08,475.27771,489.57855,464.83386,488.09418,3644157779
2024-03-07,394.1,434.7,385.6,429.4,3328990543
2024-03-06,394.66495,433.42551,386.22952,429.01196,3281109608
2024-03-05,414.5,423.8,410.6,418.4,3319029162
2024-03-04,414.41403,423.80057,411.47653,419.03543,2111212949
2024-03-03,407.4,414.8,405.8,410.9,1810575392
2024-03-02,407.80484,414.84515,406.54166,410.98587,1520439801
2024-03-01,414.7,419.7,391.1,399.4,1527194519
2024-02-29,415.58362,419.77902,392.37988,399.77872,2058367303
2024-02-28,401.5,403.7,389.6,394.6,2323818531
2024-02-27,401.64389,403.74005,390.91788,394.99564,1750697179
2024-02-26,388.535,404.44009,382.25687,401.64389,2011146388
2024-02-25,381.74262,390.4501,378.12857,388.55173,1324081579
2024-02-24,375.32382,383.0737,371.99915,381.7428,1088410661
2024-02-23,381.98312,385.45795,369.40009,375.31909,1755398357
2024-02-22,378.71396,386.59409,374.3027,382.00977,2002118598
2024-02-21,354.86386,379.06552,351.40125,378.53732,2264483250
2024-02-20,351.80795,360.37363,346.07401,354.86392,1489888631
2024-02-19,349.67828,355.69812,349.62378,351.8071,1290009052
2024-02-18,352.91299,358.00885,349.67996,349.67996,959954204
2024-02-17,360.87296,363.2818,349.04321,352.90811,1101515839
2024-02-16,354.68756,365.56207,351.7016,360.89038,1461675119
2024-02-15,334.21088,365.13312,333.853,354.71082,1744161787
2024-02-14,324.86557,334.36914,323.87659,334.24597,887463520
2024-02-13,327.9324,329.20578,319.48441,324.86823,886487720
2024-02-12,320.80402,331.43985,315.93243,327.94461,982444950
2024-02-11,323.10352,324.76831,320.30939,320.78754,706320478
2024-02-10,323.87161,325.4267,319.57996,323.13388,737748174
2024-02-09,318.92337,325.64459,318.20239,323.84229,1094700959
2024-02-08,307.57355,320.40735,307.50623,318.87189,1206142745
2024-02-07,302.71161,308.47809,300.84955,307.63458,776516914
2024-02-06,300.85837,303.57236,300.63946,302.71014,680038428
2024-02-05,304.71844,306.52313,299.54913,300.85403,826414727
2024-02-04,299.71567,307.40933,298.21262,304.73416,818836774
2024-02-03,301.1814,303.50916,299.62506,299.73672,606345017
2024-02-02,300.16391,304.28506,299.94278,301.15497,699579739
2024-02-01,300.35107,301.88318,296.56213,300.1759,754502530
2024-01-31,307.47238,307.86499,298.96063,300.35107,814318731
2024-01-30,310.70801,312.96222,306.91794,307.46274,777667889
2024-01-29,305.02145,310.71301,304.60358,310.70801,824640185
2024-01-28,305.77438,308.76865,303.29236,304.97562,782354766
2024-01-27,302.31717,307.41144,302.06143,305.82483,691653061
2024-01-26,291.93906,303.79184,290.87738,302.31799,964268733
2024-01-25,293.09299,296.05249,287.72815,291.91928,1086918042
2024-01-24,298.40723,300.34097,290.85434,293.09143,960725208
2024-01-23,305.4375,311.17386,291.05728,298.4039,1065495592
2024-01-22,318.37909,319.74008,304.57822,305.43701,948987847
2024-01-21,316.96176,321.28381,316.2226,318.3187,723174009
2024-01-20,314.30023,316.96039,312.30362,316.96039,694855739
2024-01-19,313.29288,315.64008,306.37784,314.30045,1036123822
2024-01-18,309.09311,315.14319,305.71716,313.29288,1105813150
2024-01-17,315.16122,315.92755,307.35877,309.08539,1206464161
2024-01-16,317.54678,318.74594,313.54285,315.22626,1143877764
2024-01-15,299.02582,319.59006,299.02582,317.56726,1667214322
2024-01-14,302.22711,306.50232,299.01425,299.05133,787643004
2024-01-13,296.62543,302.92404,291.51975,302.2273,816347256
2024-01-12,308.62833,312.68658,290.73727,296.63046,1198386629
2024-01-11,305.22379,316.72006,302.64752,308.70151,1326827289
2024-01-10,300.9826,309.60288,290.12204,305.09683,1199728038
2024-01-09,304.47525,306.67081,296.51999,300.97611,1374376391
2024-01-08,302.9035,308.28348,290.8804,304.5004,1141697708
2024-01-07,307.79407,309.88239,301.08621,302.89053,817795075
2024-01-06,317.49518,317.82727,301.39597,307.7945,1051283820
2024-01-05,323.62024,327.04233,310.65067,317.45029,1257230413
2024-01-04,316.62445,323.82248,312.14545,323.60001,1285291962
2024-01-03,312.15161,332.74921,301.41919,316.66129,1927148986
2024-01-02,314.26755,320.93323,308.35065,312.10382,1133024158
2024-01-01,312.38593,315.74567,308.09674,314.4083,910568057
2023-12-31,317.06815,325.00653,310.69784,312.4357,953254184
2023-12-30,313.84195,320.11157,313.56006,317.1662,901159404
2023-12-29,323.51303,325.50143,309.19144,313.87875,1415732360
2023-12-28,323.80371,337.42581,321.3273,323.599,1987714005
2023-12-27,297.74832,323.76941,286.40338,323.67734,1893987416
2023-12-26,267.07217,302.70758,265.09006,297.69324,1941843757
2023-12-25,264.73529,267.9342,262.48712,267.07336,738674209
2023-12-24,271.37753,272.59015,262.77564,264.7171,803502105
2023-12-23,271.38129,272.16708,266.16846,271.39096,695725248
2023-12-22,271.27652,276.15979,265.4195,271.37649,1014769310
2023-12-21,260.14862,274.44061,256.59848,271.24658,1183480386
2023-12-20,252.62976,261.5574,250.76505,260.10736,1053279744
2023-12-19,241.34769,254.57459,241.34769,252.63719,1254351945
2023-12-18,239.24715,241.34843,232.75281,241.34843,871708609
2023-12-17,244.35071,244.43218,239.23064,239.30829,650163942
2023-12-16,244.89642,248.08638,243.45065,244.35097,651447427
2023-12-15,253.51744,253.54971,243.86737,244.89844,769388533
2023-12-14,252.40561,254.08792,248.72571,253.54121,876150236
2023-12-13,254.40396,255.56297,244.81398,252.42333,1052163656
2023-12-12,246.36578,256.7092,245.99194,254.49498,1394681963
2023-12-11,239.76891,246.75586,230.53104,246.42087,1442275453
2023-12-10,237.79372,241.25058,237.55776,239.73315,640133489
2023-12-09,238.91325,245.00528,237.0799,237.7686,856746249
2023-12-08,232.9605,239.8387,232.64861,238.91599,828993280
2023-12-07,229.53221,234.53844,229.20097,232.97743,813730268
2023-12-06,231.26344,234.58611,229.42441,229.42441,850327297
2023-12-05,233.30866,234.48468,228.40753,231.26135,851959167
2023-12-04,228.07547,236.83495,227.15532,233.2953,2139028703
2023-12-03,229.28954,231.63904,226.49602,228.09821,719496781
2023-12-02,228.53856,230.0343,226.68961,229.30084,628871423
2023-12-01,227.68881,229.89107,227.23267,228.54564,611750028
2023-11-30,227.34303,229.14397,226.22655,227.68381,572448874
2023-11-29,229.69324,231.19745,226.51944,227.34276,602240832
2023-11-28,227.42799,231.75552,224.67864,229.69296,674267936
2023-11-27,231.98389,232.80939,223.48683,227.42148,795547656
2023-11-26,234.42821,234.49466,229.38506,232.0472,606332049
2023-11-25,232.91744,235.7813,232.68335,234.43994,553022191
2023-11-24,233.7527,236.3793,232.19286,232.90096,709881299
2023-11-23,236.09602,238.79134,230.75224,233.76581,766695224
2023-11-22,226.46132,238.1767,225.65825,236.1366,1338117919
2023-11-21,253.64386,269.91757,224.98171,226.4864,2480554399
2023-11-20,246.58455,263.87003,243.14175,253.63509,1289010990
2023-11-19,244.96768,246.93626,242.42351,246.58778,618053586
2023-11-18,244.74626,245.35306,239.28082,244.95076,679630905
2023-11-17,242.83995,245.9876,238.99965,244.74536,788884171
2023-11-16,253.74478,255.58504,240.67567,242.75888,950453378
2023-11-15,242.28101,254.18178,242.26117,253.75534,921052035
2023-11-14,241.36984,248.66522,236.28574,242.26367,917236070
2023-11-13,247.64047,250.12431,241.12714,241.33507,888039233
2023-11-12,251.43442,251.64693,245.83246,247.64002,758715918
2023-11-11,251.09848,255.0784,246.72113,251.42162,872206327
2023-11-10,251.52683,257.78803,248.94331,251.08237,873515280
2023-11-09,247.05217,255.45465,243.32954,251.51085,1116630429
2023-11-08,246.39012,247.80907,244.58038,247.12329,369346518
2023-11-07,254.65329,255.5461,242.69498,246.39529,549207441
2023-11-06,244.32045,255.3423,242.1801,254.6348,524115628
2023-11-05,237.44223,245.59403,236.78618,244.32248,419858434
2023-11-04,230.59749,238.50996,229.65533,237.45461,267965564
2023-11-03,231.70326,232.21132,226.34674,230.60597,332547803
2023-11-02,228.01665,233.33608,227.90749,231.72302,487639810
2023-11-01,226.41817,229.14108,222.8604,228.00011,384772000
2023-10-31,228.28236,229.2413,224.33131,226.43994,319329197
2023-10-30,227.13492,229.1915,225.02121,228.28743,282899321
2023-10-29,225.78799,228.14613,224.25832,227.14845,207847188
2023-10-28,224.47151,227.97061,224.35762,225.77408,244363054
2023-10-27,223.21909,229.85179,220.20351,224.47591,554008090
2023-10-26,222.18552,227.85788,219.92673,223.23604,438534864
2023-10-25,225.16864,228.81482,222.03418,222.17993,414309192
2023-10-24,228.3383,236.75008,223.11714,225.14296,658304834
2023-10-23,218.45592,229.98146,218.30498,228.35277,611625206
2023-10-22,214.32173,218.00485,213.83429,217.74738,286771903
2023-10-21,212.29852,215.61278,211.62251,214.30566,267943731
2023-10-20,211.14505,216.10242,210.74655,212.30084,335590168
2023-10-19,210.49162,211.41202,208.53713,211.14417,281310969
2023-10-18,211.6362,213.57628,210.0967,210.50104,275336939
2023-10-17,214.81212,215.01222,210.38236,211.64323,352621995
2023-10-16,209.74881,217.12123,209.74881,214.82396,521099239
2023-10-15,206.60028,210.23161,206.47858,209.74251,352524312
2023-10-14,206.04028,207.02554,205.82729,206.6019,203846460
2023-10-13,205.2258,207.94254,204.61762,206.03612,296977151
2023-10-12,206.53587,206.6591,203.65845,205.22942,302337006
