date,open,high,low,close,volume
2024-03-28,72.64,72.75,72.57,72.63,5326275
2024-03-27,72.57,72.75,72.52,72.72,7825225
2024-03-26,72.44,72.49,72.32,72.47,7603214
2024-03-25,72.5,72.5,72.36,72.41,7950495
2024-03-22,72.61,72.62,72.49,72.55,4169478
2024-03-21,72.4,72.44,72.24,72.31,5492889
2024-03-20,72.17,72.39,72.03,72.25,5287243
2024-03-19,72.05,72.19,72.02,72.12,4560060
2024-03-18,72.01,72.04,71.9,71.93,5284212
2024-03-15,72.03,72.11,71.97,72.02,4784121
2024-03-14,72.3,72.3,72.05,72.06,5214062
2024-03-13,72.54,72.62,72.47,72.49,6123220
2024-03-12,72.71,72.72,72.55,72.61,4699395
2024-03-11,72.9,72.91,72.76,72.83,5626155
2024-03-08,72.91,72.97,72.81,72.86,7187711
2024-03-07,72.84,72.85,72.66,72.79,7495571
2024-03-06,72.62,72.81,72.61,72.67,28955518
2024-03-05,72.45,72.62,72.39,72.54,6208592
2024-03-04,72.13,72.23,72.1,72.15,26404705
2024-03-01,71.94,72.37,71.81,72.32,6366776
2024-02-29,72.2,72.36,72.17,72.22,6002886
2024-02-28,72.0,72.13,71.96,72.1,5255305
2024-02-27,72.02,72.11,71.91,71.94,5534263
2024-02-26,72.2,72.2,71.93,72.05,5255762
2024-02-23,71.93,72.25,71.93,72.18,6147185
2024-02-22,71.93,72.02,71.84,71.92,11884272
2024-02-21,72.17,72.17,71.86,71.89,6625641
2024-02-20,72.12,72.21,72.05,72.09,7605013
2024-02-16,71.91,72.01,71.86,72.0,5029334
2024-02-15,72.31,72.34,72.11,72.23,6733928
2024-02-14,71.83,72.09,71.81,72.03,6915877
2024-02-13,71.98,72.0,71.74,71.76,12938802
2024-02-12,72.45,72.49,72.31,72.39,6062952
2024-02-09,72.33,72.4,72.29,72.37,5940776
2024-02-08,72.5,72.56,72.39,72.43,7987610
2024-02-07,72.65,72.86,72.61,72.62,9257521
2024-02-06,72.53,72.83,72.5,72.76,8310532
2024-02-05,72.58,72.61,72.35,72.42,7577325
2024-02-02,73.03,73.14,72.87,73.0,7820245
2024-02-01,73.51,73.83,73.4,73.66,12060804
2024-01-31,73.4,73.59,73.28,73.43,9916559
2024-01-30,73.16,73.18,72.87,73.12,6688144
2024-01-29,72.9,73.06,72.81,72.99,7677565
2024-01-26,72.82,72.82,72.65,72.7,9120566
2024-01-25,72.75,72.82,72.66,72.81,8361104
2024-01-24,72.93,72.93,72.45,72.47,7483860
