date,open,high,low,close,volume
2024-03-28,31.81,31.95,31.77,31.81,572699
2024-03-27,32.02,32.03,31.55,31.82,920281
2024-03-26,32.19,32.2,31.9,31.92,578939
2024-03-25,31.87,32.08,31.78,31.94,571374
2024-03-22,32.19,32.2,31.95,32.14,1377414
2024-03-21,32.48,32.51,32.22,32.24,1318807
2024-03-20,31.98,32.32,31.8,32.27,1098404
2024-03-19,31.61,31.95,31.37,31.89,1275223
2024-03-18,32.09,32.19,31.82,31.87,942985
2024-03-15,31.52,31.79,31.46,31.65,837870
2024-03-14,32.11,32.11,31.33,31.56,954911
2024-03-13,32.17,32.21,31.94,32.08,1360323
2024-03-12,31.98,32.35,31.6,32.35,1079636
2024-03-11,32.16,32.16,31.78,31.84,1290174
2024-03-08,33.26,33.6,32.27,32.38,2274313
2024-03-07,32.69,32.92,32.51,32.89,1872021
2024-03-06,32.26,32.58,32.04,32.35,1615758
2024-03-05,31.97,32.05,31.51,31.7,1034975
2024-03-04,32.03,32.27,31.88,31.97,1610233
2024-03-01,31.38,31.76,31.13,31.74,1313872
2024-02-29,31.1,31.34,30.98,31.18,1183157
2024-02-28,31.0,31.02,30.69,30.81,978540
2024-02-27,31.33,31.34,30.97,31.14,1229693
2024-02-26,31.18,31.18,30.88,31.01,1403079
2024-02-23,30.97,31.14,30.61,30.73,1434419
2024-02-22,30.58,30.8,30.38,30.76,1719945
2024-02-21,29.67,29.67,29.24,29.46,1638724
2024-02-20,30.07,30.08,29.56,29.82,1614146
2024-02-16,30.3,30.3,29.84,29.97,1193942
2024-02-15,30.13,30.24,30.02,30.14,1385234
2024-02-14,29.7,29.9,29.51,29.89,1066900
2024-02-13,29.23,29.63,28.85,29.28,1571502
2024-02-12,30.0,30.32,29.86,29.99,1432907
2024-02-09,29.59,29.95,29.53,29.91,1376185
2024-02-08,29.32,29.47,29.13,29.37,889893
2024-02-07,29.11,29.35,29.0,29.32,1016459
2024-02-06,29.2,29.2,28.77,29.07,939213
2024-02-05,29.31,29.38,29.0,29.3,919943
2024-02-02,29.03,29.42,28.9,29.39,1053098
2024-02-01,28.83,29.14,28.71,29.13,961406
2024-01-31,29.01,29.14,28.57,28.58,1465421
2024-01-30,29.46,29.47,29.2,29.23,798784
2024-01-29,29.07,29.56,28.99,29.56,831935
2024-01-26,29.05,29.33,29.04,29.2,1184076
2024-01-25,29.09,29.24,28.88,29.0,908257
2024-01-24,29.27,29.3,28.85,28.86,1187842
2024-01-23,29.15,29.18,28.89,29.05,954000
2024-01-22,28.96,29.24,28.96,29.07,1392234
2024-01-19,28.49,28.72,28.22,28.71,1162996
2024-01-18,28.45,28.46,28.15,28.45,1134873
2024-01-17,28.21,28.21,27.8,28.14,1264371
2024-01-16,28.66,28.78,28.46,28.59,2329699
2024-01-12,28.93,29.1,28.75,28.79,775109
2024-01-11,28.69,28.78,28.29,28.68,1097292
2024-01-10,28.12,28.47,28.12,28.41,1283545
2024-01-09,27.65,27.91,27.48,27.73,618284
2024-01-08,26.99,27.72,26.97,27.7,1135146
2024-01-05,26.76,27.08,26.69,26.84,847825
2024-01-04,26.88,27.06,26.74,26.87,5300481
2024-01-03,27.32,27.37,26.9,26.93,3850836
2024-01-02,28.22,28.22,27.63,27.71,2393156
2023-12-29,28.74,28.77,28.39,28.5,706870
2023-12-28,28.76,28.85,28.68,28.72,607112
2023-12-27,28.72,28.72,28.54,28.69,912219
2023-12-26,28.47,28.66,28.4,28.61,653326
2023-12-22,28.61,28.61,28.26,28.39,567182
2023-12-21,28.34,28.5,28.19,28.5,1357094
2023-12-20,28.63,28.64,27.9,27.91,855645
2023-12-19,28.43,28.6,28.4,28.59,1098457
2023-12-18,28.21,28.33,28.07,28.25,806936
2023-12-15,28.24,28.44,28.13,28.19,1021236
2023-12-14,27.71,28.03,27.62,27.92,2201335
2023-12-13,27.01,27.49,26.74,27.44,1364153
2023-12-12,26.8,26.98,26.68,26.98,623983
2023-12-11,26.73,26.88,26.67,26.84,1008293
2023-12-08,26.51,26.77,26.38,26.72,1092472
2023-12-07,26.4,26.56,26.24,26.55,832300
2023-12-06,26.8,26.85,26.35,26.36,990124
2023-12-05,26.56,26.65,26.39,26.57,848133
2023-12-04,26.69,26.87,26.48,26.72,1501431
2023-12-01,26.38,27.04,26.32,27.03,1087681
2023-11-30,26.71,26.71,26.36,26.43,910361
2023-11-29,26.44,26.69,26.44,26.53,2271175
2023-11-28,26.14,26.29,26.06,26.16,694733
2023-11-27,26.19,26.29,26.09,26.25,423549
2023-11-24,26.2,26.29,26.14,26.24,266050
2023-11-22,26.4,26.48,26.07,26.25,1508040
2023-11-21,26.23,26.35,26.15,26.26,1914746
2023-11-20,25.98,26.32,25.93,26.23,1837243
2023-11-17,25.79,25.91,25.75,25.85,1531354
2023-11-16,25.54,25.69,25.46,25.68,1066791
2023-11-15,25.73,25.92,25.55,25.64,2442827
2023-11-14,25.3,25.55,25.21,25.53,1080803
2023-11-13,24.49,24.67,24.37,24.61,721400
2023-11-10,24.32,24.57,24.16,24.57,504068
2023-11-09,24.62,24.74,24.16,24.19,560195
2023-11-08,24.3,24.43,24.19,24.31,571967
2023-11-07,24.27,24.5,24.23,24.39,468810
2023-11-06,24.73,24.73,24.29,24.43,425039
2023-11-03,24.21,24.51,24.11,24.45,638645
2023-11-02,23.56,23.88,23.55,23.85,804883
2023-11-01,22.82,23.11,22.77,23.1,784926
2023-10-31,22.56,22.82,22.47,22.77,1068125
2023-10-30,22.61,22.7,22.4,22.53,913924
2023-10-27,22.63,22.63,22.26,22.34,863040
2023-10-26,22.62,22.8,22.28,22.41,1376869
2023-10-25,23.25,23.33,22.74,22.74,1076782
2023-10-24,23.2,23.39,23.14,23.33,677389
2023-10-23,22.87,23.36,22.78,23.15,885816
2023-10-20,23.3,23.35,22.98,23.05,896398
2023-10-19,23.74,23.9,23.47,23.52,1156959
2023-10-18,24.13,24.16,23.69,23.71,1383362
2023-10-17,24.22,24.67,24.12,24.48,799506
2023-10-16,24.21,24.54,24.18,24.5,543831
2023-10-13,24.53,24.65,24.21,24.29,699982
2023-10-12,24.93,25.0,24.49,24.53,1042960
2023-10-11,24.93,25.0,24.59,24.76,1960743
2023-10-10,24.66,25.05,24.66,24.9,1043308
2023-10-09,24.53,24.68,24.33,24.6,1868928
2023-10-06,24.18,24.77,24.13,24.73,894278
2023-10-05,24.38,24.49,24.21,24.43,651570
2023-10-04,24.24,24.37,24.02,24.35,958146
2023-10-03,24.41,24.54,24.03,24.14,1638556
2023-10-02,24.8,24.9,24.61,24.7,690617
2023-09-29,25.03,25.06,24.66,24.72,568477
2023-09-28,24.55,24.82,24.39,24.71,499466
2023-09-27,24.36,24.51,24.15,24.41,762434
2023-09-26,24.3,24.42,24.09,24.12,913183
2023-09-25,24.41,24.62,24.33,24.62,949805
2023-09-22,24.65,24.75,24.5,24.57,693986
2023-09-21,24.75,24.75,24.45,24.46,1542604
2023-09-20,25.57,25.67,25.07,25.09,605159
2023-09-19,25.46,25.46,25.2,25.37,932599
2023-09-18,25.3,25.58,25.3,25.51,572900
2023-09-15,25.75,25.79,25.34,25.42,1022522
2023-09-14,25.88,25.94,25.64,25.79,972021
2023-09-13,25.66,25.76,25.55,25.63,1063206
2023-09-12,25.74,26.0,25.65,25.79,489494
2023-09-11,26.06,26.06,25.75,25.96,474088
2023-09-08,26.09,26.14,25.84,25.87,831363
2023-09-07,26.21,26.21,25.89,26.15,922310
2023-09-06,26.53,26.7,26.31,26.46,770054
2023-09-05,26.7,26.7,26.46,26.58,643938
2023-09-01,27.0,27.05,26.65,26.73,747873
2023-08-31,26.89,26.96,26.67,26.73,1316200
2023-08-30,26.71,26.92,26.61,26.83,1084905
