date,open,high,low,close,volume
2024-03-28,37.64,37.81,37.49,37.68,4794234
2024-03-27,37.23,37.49,37.19,37.46,5929314
2024-03-26,38.19,38.22,37.56,37.57,7600988
2024-03-25,38.12,38.48,38.11,38.26,8388702
2024-03-22,37.87,37.87,37.66,37.8,3696303
2024-03-21,37.93,38.04,37.66,37.73,8087477
2024-03-20,37.45,38.02,37.42,37.89,5237869
2024-03-19,37.77,38.04,37.74,37.84,6784463
2024-03-18,37.74,37.94,37.47,37.79,5722377
2024-03-15,37.58,37.8,37.4,37.49,6678006
2024-03-14,37.44,37.51,37.14,37.49,6309975
2024-03-13,37.0,37.39,37.0,37.32,8308026
2024-03-12,36.7,36.74,36.49,36.65,5561429
2024-03-11,36.16,36.49,35.96,36.49,7315497
2024-03-08,36.6,36.69,36.24,36.41,8781782
2024-03-07,36.32,36.65,36.28,36.43,6868957
2024-03-06,36.44,36.64,36.33,36.42,12111539
2024-03-05,35.64,35.95,35.58,35.8,5517738
2024-03-04,36.0,36.03,35.61,35.67,7039652
2024-03-01,35.43,35.82,35.32,35.64,7269386
2024-02-29,35.07,35.19,34.87,34.99,9328623
2024-02-28,35.21,35.38,34.94,34.96,9406622
2024-02-27,35.55,35.64,35.32,35.42,10365553
2024-02-26,35.38,35.54,35.22,35.32,5200935
2024-02-23,35.23,35.46,35.05,35.38,6716280
2024-02-22,35.52,35.67,35.22,35.49,5497484
2024-02-21,35.41,35.77,35.28,35.7,9099505
2024-02-20,35.56,35.59,35.27,35.38,7849192
2024-02-16,35.73,35.77,35.45,35.45,7086824
2024-02-15,34.86,35.72,34.84,35.61,10280846
2024-02-14,36.2,36.29,35.6,35.76,11756214
2024-02-13,36.62,36.65,35.83,36.04,8375047
2024-02-12,36.35,36.55,36.22,36.43,7292560
2024-02-09,36.47,36.67,36.23,36.36,9577392
2024-02-08,36.13,36.31,35.97,36.21,8758403
2024-02-07,36.18,36.35,35.9,36.17,13891055
2024-02-06,35.76,36.53,35.74,36.39,19741048
2024-02-05,34.05,34.5,33.93,34.24,14072763
2024-02-02,34.84,34.9,34.46,34.64,14654760
2024-02-01,35.42,35.68,34.93,35.13,11885622
2024-01-31,35.61,35.71,35.08,35.1,9114032
2024-01-30,35.5,35.92,35.28,35.89,8170064
2024-01-29,35.68,35.7,35.29,35.63,7709012
2024-01-26,35.43,35.64,35.1,35.63,8554161
2024-01-25,34.85,35.16,34.64,35.15,8407905
2024-01-24,34.47,34.62,34.4,34.56,9333886
2024-01-23,34.09,34.42,34.08,34.25,8103441
2024-01-22,34.0,34.36,33.62,34.25,11724892
2024-01-19,34.02,34.02,33.75,33.85,9540489
2024-01-18,33.96,34.05,33.6,34.03,11094951
2024-01-17,33.77,34.15,33.52,33.9,9598332
2024-01-16,34.6,34.61,34.08,34.28,10905738
2024-01-12,35.11,35.2,34.71,34.86,9355217
2024-01-11,35.0,35.04,34.52,34.61,10093316
2024-01-10,35.07,35.1,34.62,34.7,9578506
2024-01-09,35.5,35.51,34.89,34.89,9485829
2024-01-08,35.37,35.46,35.01,35.43,11581358
2024-01-05,36.16,36.25,35.83,36.03,8369132
2024-01-04,36.44,36.48,35.73,35.76,6914958
2024-01-03,35.57,36.18,35.44,36.0,8032386
2024-01-02,35.64,35.82,35.43,35.5,6915178
2023-12-29,35.38,35.51,35.28,35.4,3688230
2023-12-28,35.52,35.71,35.32,35.33,5069607
2023-12-27,35.73,35.9,35.65,35.73,6352535
2023-12-26,35.51,35.89,35.45,35.67,4949648
2023-12-22,35.7,35.73,35.33,35.33,4128067
2023-12-21,35.27,35.48,35.2,35.46,5446889
2023-12-20,35.37,35.52,34.97,35.02,9181807
2023-12-19,35.25,35.49,35.1,35.4,7517290
2023-12-18,35.5,35.59,35.06,35.12,6903234
2023-12-15,35.24,35.31,34.76,34.81,10290728
2023-12-14,35.69,35.93,35.56,35.8,9350313
2023-12-13,34.55,35.13,34.25,35.03,9787473
2023-12-12,34.81,34.85,34.55,34.76,6366357
2023-12-11,35.15,35.38,35.0,35.13,6558713
2023-12-08,35.08,35.4,35.02,35.3,8230908
2023-12-07,34.91,35.0,34.48,34.69,7832952
2023-12-06,35.43,35.57,34.84,34.85,8903758
2023-12-05,35.78,35.86,35.27,35.29,6153558
2023-12-04,35.64,35.89,35.42,35.59,8805563
2023-12-01,36.08,36.48,35.95,35.98,10122300
2023-11-30,36.6,36.81,36.05,36.29,12310800
2023-11-29,36.04,36.23,35.82,36.07,9570700
2023-11-28,35.98,36.24,35.86,35.94,6016400
2023-11-27,36.04,36.1,35.81,35.94,8413100
2023-11-24,35.9,36.12,35.79,35.82,4233100
2023-11-22,34.65,35.31,34.46,35.27,10502100
2023-11-21,35.8,35.88,35.63,35.74,5190200
2023-11-20,35.88,36.12,35.82,35.88,6382200
2023-11-17,35.34,35.81,35.31,35.61,7348200
2023-11-16,35.05,35.12,34.7,35.02,7896000
2023-11-15,35.84,36.07,35.57,35.59,7116100
2023-11-14,35.76,36.09,35.72,35.85,7451300
2023-11-13,35.4,35.76,35.35,35.7,6733500
2023-11-10,35.11,35.17,34.69,35.08,7234000
2023-11-09,34.85,35.11,34.64,34.68,8490100
2023-11-08,35.34,35.46,34.83,34.9,15163200
2023-11-07,35.75,35.81,35.35,35.47,9173900
2023-11-06,36.66,36.66,36.28,36.3,8019900
2023-11-03,35.96,36.44,35.76,36.2,11278700
2023-11-02,36.17,36.94,36.1,36.86,11805300
2023-11-01,36.29,36.61,35.94,36.09,13198800
2023-10-31,36.46,36.94,35.99,36.58,20235900
2023-10-30,38.31,38.64,38.09,38.35,10120600
2023-10-27,39.14,39.22,38.37,38.64,9061400
2023-10-26,38.61,38.96,38.39,38.82,6167600
2023-10-25,39.04,39.21,38.83,39.06,6059100
2023-10-24,39.32,39.32,38.78,38.79,8776300
2023-10-23,39.13,39.2,38.57,38.9,10895100
2023-10-20,40.15,40.37,39.61,39.61,6281000
2023-10-19,40.17,40.56,39.93,40.33,7909500
2023-10-18,40.69,40.84,40.45,40.72,7136900
2023-10-17,40.32,40.82,40.31,40.81,8865100
2023-10-16,40.17,40.33,39.69,40.22,8508800
2023-10-13,40.0,40.17,39.7,40.01,13412100
2023-10-12,39.43,39.49,38.92,39.29,15540100
2023-10-11,38.8,38.91,38.3,38.65,7900500
2023-10-10,38.42,38.8,38.31,38.62,8930600
2023-10-09,38.19,38.43,37.97,38.38,9959100
2023-10-06,36.98,37.47,36.59,37.27,10420100
2023-10-05,35.88,36.58,35.84,36.41,7834900
2023-10-04,36.8,36.87,36.03,36.31,11062800
2023-10-03,37.49,37.7,37.23,37.6,7532200
2023-10-02,38.71,38.74,37.62,37.82,8101600
2023-09-29,39.38,39.47,38.69,38.72,8012900
2023-09-28,39.37,39.66,39.26,39.43,6237900
2023-09-27,39.0,39.49,38.91,39.48,11048900
2023-09-26,38.67,38.98,38.53,38.64,6931200
2023-09-25,38.44,38.87,38.19,38.75,7964700
2023-09-22,38.85,38.96,38.35,38.44,9066600
2023-09-21,38.81,38.97,38.1,38.11,6510700
2023-09-20,38.58,39.08,38.57,38.62,7432000
2023-09-19,39.0,39.17,38.75,38.82,8477100
2023-09-18,38.77,38.81,38.44,38.56,7068400
2023-09-15,38.93,39.11,38.74,38.75,6986300
2023-09-14,38.81,39.21,38.73,39.1,7691800
2023-09-13,38.72,38.77,37.94,38.26,17667500
2023-09-12,38.84,39.73,37.95,38.1,35223200
2023-09-11,39.01,39.21,38.57,38.61,7062800
2023-09-08,38.66,38.89,38.5,38.67,4845700
2023-09-07,38.62,38.83,38.43,38.51,4917900
2023-09-06,38.66,38.98,38.53,38.83,6261800
2023-09-05,38.65,38.74,38.33,38.4,6156600
2023-09-01,38.08,38.24,37.83,38.13,6244900
2023-08-31,37.36,37.36,36.96,37.18,5120400
2023-08-30,37.46,37.59,37.28,37.29,5825100
2023-08-29,36.88,37.12,36.56,37.1,6164700
2023-08-28,36.32,36.76,36.21,36.64,5890000
2023-08-25,36.19,36.28,35.83,36.15,5173400
2023-08-24,35.71,36.12,35.7,35.77,4432700
2023-08-23,35.81,36.09,35.53,36.0,5535000
2023-08-22,36.65,36.69,36.36,36.37,5290300
2023-08-21,36.71,36.89,36.45,36.58,5647500
2023-08-18,35.7,36.32,35.67,36.24,4613000
2023-08-17,36.28,36.45,36.05,36.09,5115100
2023-08-16,35.99,36.32,35.84,35.89,4891100
2023-08-15,36.41,36.49,36.02,36.07,7412100
2023-08-14,36.58,36.85,36.29,36.68,8277400
2023-08-11,36.7,37.18,36.7,37.1,5934600
2023-08-10,37.49,37.64,37.01,37.08,7751000
2023-08-09,37.49,37.78,37.28,37.42,7656200
2023-08-08,36.28,36.99,36.01,36.97,6322000
2023-08-07,37.02,37.08,36.79,37.04,5681100
2023-08-04,36.79,37.33,36.76,36.8,6918200
2023-08-03,36.0,36.58,35.78,36.46,7857900
2023-08-02,36.61,36.71,35.9,36.03,7722400
2023-08-01,37.56,37.75,36.67,36.96,9389800
2023-07-31,36.76,37.35,36.76,37.3,8361300
2023-07-28,36.68,36.85,36.37,36.71,4743300
2023-07-27,37.02,37.18,36.57,36.66,7273300
2023-07-26,36.85,37.22,36.81,37.1,4615500
2023-07-25,36.97,37.28,36.84,37.23,4626000
2023-07-24,36.94,37.37,36.9,37.18,7404900
2023-07-21,36.66,36.77,36.44,36.7,5169800
2023-07-20,36.48,36.82,36.31,36.54,7044500
2023-07-19,36.06,36.49,36.01,36.15,8662500
2023-07-18,35.48,36.02,35.42,35.79,8266300
2023-07-17,35.69,35.71,35.3,35.32,10187000
2023-07-14,36.37,36.37,35.49,35.52,10106400
2023-07-13,36.8,36.94,36.33,36.53,10494500
2023-07-12,36.92,36.94,36.19,36.31,13552000
2023-07-11,35.48,35.92,35.44,35.91,5646200
2023-07-10,35.29,35.46,35.1,35.21,4787500
2023-07-07,34.56,35.4,34.53,35.25,7188600
2023-07-06,34.91,35.06,34.4,34.79,6807300
2023-07-05,35.75,35.81,35.15,35.3,5926700
2023-07-03,36.04,36.12,35.75,35.93,4804600
2023-06-30,35.49,35.5,35.2,35.29,6768500
2023-06-29,34.83,35.06,34.65,34.97,5458600
2023-06-28,34.6,34.95,34.34,34.89,6952200
2023-06-27,34.95,34.98,34.57,34.85,7850100
2023-06-26,34.81,35.32,34.78,35.24,6721700
2023-06-23,34.86,34.92,34.66,34.81,5489100
2023-06-22,35.08,35.33,34.99,35.24,8551900
2023-06-21,35.11,35.63,35.06,35.43,4606800
2023-06-20,35.27,35.32,34.75,35.07,5370800
2023-06-16,35.46,35.53,35.25,35.35,6858300
2023-06-15,34.93,35.6,34.93,35.38,13610500
2023-06-14,35.5,35.72,34.82,35.05,9444700
2023-06-13,35.26,35.67,35.03,35.08,7196800
2023-06-12,34.92,35.17,34.65,34.77,7998300
2023-06-09,35.47,35.74,35.32,35.47,5431500
2023-06-08,35.84,35.88,35.25,35.81,7189500
2023-06-07,35.26,35.74,35.23,35.71,7988900
2023-06-06,34.7,35.32,34.66,35.3,6038800
2023-06-05,35.85,35.92,35.22,35.34,6971800
2023-06-02,35.48,35.81,35.48,35.65,9014000
2023-06-01,34.16,34.92,34.06,34.72,8329800
2023-05-31,33.65,33.97,33.62,33.71,13729200
2023-05-30,34.82,35.06,34.62,34.99,8122100
2023-05-26,35.44,35.63,35.21,35.55,6290000
2023-05-25,35.27,35.41,34.99,35.36,10845700
2023-05-24,36.02,36.22,35.69,36.04,8476200
2023-05-23,36.19,36.49,36.05,36.18,7124000
2023-05-22,35.71,36.09,35.68,35.89,6357700
2023-05-19,36.25,36.4,35.87,36.03,8653800
2023-05-18,36.22,36.22,35.57,35.96,10478500
2023-05-17,35.99,36.21,35.66,36.0,8234200
2023-05-16,35.87,36.07,35.45,35.54,7748500
2023-05-15,36.19,36.37,35.92,36.19,8605700
2023-05-12,36.34,36.46,35.69,35.81,8230400
2023-05-11,35.7,35.99,35.5,35.97,7755700
2023-05-10,37.13,37.17,36.48,36.75,7624700
2023-05-09,36.66,37.25,36.58,36.99,8576500
2023-05-08,37.43,37.48,36.96,37.03,7541200
2023-05-05,37.07,37.41,37.06,37.13,9646400
2023-05-04,36.14,36.41,35.7,36.11,14519500
2023-05-03,36.42,36.86,36.34,36.46,13226900
2023-05-02,37.36,37.38,36.27,36.78,21471300
2023-05-01,39.98,40.42,39.84,40.01,6697300
2023-04-28,39.39,40.46,39.23,40.28,8185200
2023-04-27,39.09,39.48,39.01,39.34,5701200
2023-04-26,39.94,40.0,39.27,39.42,7172100
2023-04-25,39.84,39.86,39.14,39.57,9306800
2023-04-24,39.43,40.23,39.41,40.1,6726300
2023-04-21,39.38,39.65,39.32,39.64,7416300
2023-04-20,39.44,39.87,39.43,39.86,5517100
2023-04-19,39.8,40.07,39.64,40.06,7029200
2023-04-18,40.35,40.7,40.26,40.65,5220400
2023-04-17,40.66,40.67,40.28,40.43,6162200
2023-04-14,40.45,40.62,40.22,40.58,5918600
2023-04-13,40.37,40.52,40.25,40.46,4368500
2023-04-12,40.33,40.5,40.13,40.2,6818800
2023-04-11,40.01,40.11,39.81,39.86,5451300
2023-04-10,39.48,39.85,39.39,39.7,4363300
2023-04-06,39.81,39.87,39.45,39.51,8896800
2023-04-05,39.96,40.04,39.44,39.89,12102200
2023-04-04,39.92,39.93,39.14,39.33,8587200
2023-04-03,39.87,40.11,39.52,39.74,11855400
2023-03-31,37.98,38.1,37.74,37.94,6858100
2023-03-30,38.18,38.22,37.88,37.98,6624500
2023-03-29,37.8,37.81,37.53,37.69,7810900
2023-03-28,37.24,37.72,37.13,37.43,8476900
2023-03-27,36.52,37.11,36.24,36.88,9415300
2023-03-24,35.63,36.02,35.17,35.88,11142200
2023-03-23,36.99,37.26,36.2,36.48,9883700
2023-03-22,36.87,37.45,36.8,36.82,8746700
2023-03-21,37.1,37.27,36.59,37.02,9470100
2023-03-20,35.72,36.16,35.52,35.8,10671900
