date,open,high,low,close,volume
2024-03-28,24.39,24.49,23.97,24.26,1696698
2024-03-27,23.65,24.26,23.61,24.25,2074404
2024-03-26,24.2,24.3,23.24,23.59,3367967
2024-03-25,24.21,24.56,23.85,23.92,2904588
2024-03-22,24.4,24.7,24.13,24.16,1260134
2024-03-21,24.5,24.8,24.38,24.49,2041273
2024-03-20,24.13,24.69,24.12,24.41,2228770
2024-03-19,24.15,24.5,24.04,24.41,2826990
2024-03-18,24.0,24.63,23.85,24.29,5152390
2024-03-15,24.55,24.84,23.63,23.77,11379440
2024-03-14,25.15,25.15,24.42,24.71,3517621
2024-03-13,25.19,25.43,24.71,25.15,3408977
2024-03-12,25.89,25.96,25.11,25.26,3470978
2024-03-11,27.03,27.14,25.95,26.09,2924279
2024-03-08,26.9,27.24,26.7,27.16,2863483
2024-03-07,26.24,27.16,26.21,26.81,3597630
2024-03-06,25.86,26.4,25.73,26.15,4673199
2024-03-05,25.19,25.92,25.18,25.55,3290376
2024-03-04,25.18,25.73,25.15,25.3,5696783
2024-03-01,24.9,25.3,24.85,25.03,5384855
2024-02-29,24.78,25.1,24.74,24.77,4499009
2024-02-28,24.84,25.17,24.66,24.72,2931996
2024-02-27,25.22,25.34,24.84,25.09,3431377
2024-02-26,24.62,24.96,24.55,24.95,2930496
2024-02-23,24.75,24.95,24.43,24.75,2352189
2024-02-22,24.63,24.9,24.31,24.87,2627244
2024-02-21,24.01,24.77,24.01,24.7,3084405
2024-02-20,24.26,24.34,23.6,23.84,4229415
2024-02-16,24.6,24.67,24.16,24.38,3046373
2024-02-15,24.33,24.9,24.33,24.63,3801474
2024-02-14,24.96,25.07,24.65,24.89,2954665
2024-02-13,24.98,25.42,24.68,24.8,4884904
2024-02-12,25.37,25.8,25.12,25.13,3825597
2024-02-09,26.0,26.03,24.63,25.28,5503304
2024-02-08,24.66,26.32,24.31,25.98,4814181
2024-02-07,25.78,26.11,25.48,25.93,3722779
2024-02-06,26.11,26.25,25.46,25.72,3651054
2024-02-05,26.5,26.5,25.67,26.07,3770969
2024-02-02,26.87,27.03,26.41,26.64,3418993
2024-02-01,26.99,27.24,26.42,27.07,2898096
2024-01-31,26.84,27.2,26.65,26.7,4145195
2024-01-30,26.34,26.94,26.13,26.91,2323556
2024-01-29,27.04,27.09,26.3,26.63,3068611
2024-01-26,26.73,27.14,26.43,27.05,2308379
2024-01-25,27.06,27.15,26.37,26.74,3969476
2024-01-24,26.24,27.15,26.05,26.75,4306697
2024-01-23,25.48,25.91,25.4,25.8,3842576
2024-01-22,26.1,26.37,25.27,25.6,29167823
2024-01-19,25.55,26.13,25.37,26.08,6544777
2024-01-18,24.65,25.64,24.35,25.43,11647027
2024-01-17,22.88,23.36,22.72,23.27,2031487
2024-01-16,23.83,23.92,23.14,23.18,2451882
2024-01-12,24.2,24.3,23.67,23.8,1986288
2024-01-11,23.99,24.14,23.69,23.91,1966652
2024-01-10,25.0,25.0,23.69,23.87,3112118
2024-01-09,25.14,25.14,24.65,24.98,2092737
2024-01-08,25.7,25.74,24.76,25.24,2211147
2024-01-05,25.62,25.88,25.45,25.87,3025348
2024-01-04,25.0,25.67,24.76,25.39,2987276
2024-01-03,24.25,25.02,24.08,24.79,2517103
2024-01-02,24.41,24.91,24.32,24.39,2029003
2023-12-29,24.43,24.66,24.07,24.32,2409312
2023-12-28,24.93,25.0,24.54,24.61,1539177
2023-12-27,24.99,25.3,24.92,24.97,1478751
2023-12-26,25.26,25.5,24.98,25.0,1334747
2023-12-22,24.47,25.4,24.35,25.06,2950247
2023-12-21,24.11,24.36,23.94,24.35,2463520
2023-12-20,24.33,24.69,23.88,23.95,4864071
2023-12-19,23.58,24.42,23.44,24.19,4747230
2023-12-18,24.05,24.31,23.38,23.42,2655604
2023-12-15,23.77,23.99,23.24,23.7,4473015
2023-12-14,24.03,24.38,23.55,23.63,3611382
2023-12-13,23.15,23.74,23.02,23.52,5783435
2023-12-12,23.3,23.43,23.05,23.14,3109267
2023-12-11,23.38,23.58,23.06,23.46,3113816
2023-12-08,23.59,23.91,23.55,23.65,1775304
2023-12-07,23.37,23.94,23.28,23.59,2374958
2023-12-06,23.97,24.49,23.23,23.37,2425267
2023-12-05,23.96,24.06,23.56,23.92,1964285
2023-12-04,24.3,24.62,23.96,24.08,2250841
2023-12-01,23.79,24.8,23.77,24.59,3235400
2023-11-30,23.91,24.13,23.71,23.84,2635300
2023-11-29,24.03,24.15,23.59,23.79,1733200
2023-11-28,24.09,24.14,23.71,23.96,2251400
2023-11-27,23.85,24.16,23.74,23.99,2714000
2023-11-24,23.5,24.29,23.5,23.97,1300200
2023-11-22,22.99,23.75,22.85,23.59,3325600
2023-11-21,23.36,23.76,23.21,23.28,2110400
2023-11-20,23.79,23.88,23.11,23.48,2658100
2023-11-17,23.25,23.89,23.25,23.79,3630900
2023-11-16,23.01,23.62,22.63,22.96,2035400
2023-11-15,22.8,23.56,22.79,23.24,2587600
2023-11-14,22.72,23.14,22.46,22.91,3466900
2023-11-13,22.66,22.78,22.2,22.23,2972800
2023-11-10,23.02,23.47,22.59,22.69,3395300
2023-11-09,22.59,23.09,22.56,22.61,2305800
2023-11-08,22.5,22.88,22.3,22.38,2166900
2023-11-07,22.9,22.9,22.1,22.6,3330100
2023-11-06,23.9,23.9,23.2,23.46,2503400
2023-11-03,23.96,24.24,23.62,23.7,1546800
2023-11-02,23.47,24.06,23.38,23.63,2094500
2023-11-01,23.57,23.67,23.32,23.33,1943900
2023-10-31,23.92,23.96,23.36,23.59,2828300
2023-10-30,24.85,24.95,23.86,24.12,3998300
2023-10-27,24.15,25.33,23.98,24.82,3269400
2023-10-26,22.82,24.14,22.7,23.75,5703500
2023-10-25,24.58,24.89,24.42,24.67,2711400
2023-10-24,25.12,25.27,24.61,24.66,1795600
2023-10-23,24.69,25.31,24.59,25.03,1713200
2023-10-20,25.32,25.55,24.87,24.99,2471600
2023-10-19,25.43,25.58,25.15,25.42,2751900
2023-10-18,25.81,26.16,25.48,25.54,2170500
2023-10-17,25.45,26.3,25.45,25.77,2647600
2023-10-16,25.88,25.88,25.24,25.72,2105000
2023-10-13,26.2,26.25,25.54,25.76,2426900
2023-10-12,25.83,25.9,25.18,25.7,2250700
2023-10-11,25.78,26.28,25.36,25.89,2762200
2023-10-10,25.44,26.22,25.33,26.09,2907200
2023-10-09,24.73,25.95,24.67,25.55,2820100
2023-10-06,23.8,24.67,23.73,24.43,2771500
