date,open,high,low,close,volume
2024-03-28,21.81,21.93,21.75,21.78,134856
2024-03-27,21.96,21.99,21.68,21.8,286912
2024-03-26,21.82,21.86,21.71,21.74,135715
2024-03-25,21.77,21.85,21.71,21.72,319908
2024-03-22,21.96,22.01,21.79,21.86,101114
2024-03-21,22.2,22.31,22.01,22.03,238839
2024-03-20,21.71,22.09,21.68,22.01,160744
2024-03-19,21.64,21.77,21.49,21.74,112656
2024-03-18,21.64,21.81,21.53,21.72,128712
2024-03-15,21.62,21.69,21.42,21.5,181243
2024-03-14,22.02,22.07,21.62,21.75,191150
2024-03-13,22.03,22.16,21.92,21.98,151757
2024-03-12,22.02,22.07,21.8,22.03,165828
2024-03-11,21.7,21.99,21.68,21.91,211368
2024-03-08,21.9,22.16,21.71,21.79,213298
2024-03-07,21.69,21.9,21.57,21.8,346916
2024-03-06,21.69,21.72,21.32,21.52,213928
2024-03-05,21.79,21.79,21.16,21.31,302414
2024-03-04,22.14,22.16,21.93,22.01,349082
2024-03-01,22.02,22.22,21.89,22.16,254617
2024-02-29,21.94,22.04,21.71,21.96,310949
2024-02-28,21.65,21.8,21.55,21.72,88545
2024-02-27,21.65,21.9,21.6,21.84,129260
2024-02-26,21.53,21.71,21.48,21.56,187835
2024-02-23,21.52,21.65,21.4,21.54,149821
2024-02-22,21.57,21.61,21.32,21.45,259249
2024-02-21,21.32,21.39,21.02,21.2,399930
2024-02-20,21.9,21.98,21.56,21.67,300995
2024-02-16,22.45,22.53,22.07,22.13,373822
2024-02-15,22.72,22.81,22.54,22.76,350516
2024-02-14,22.7,22.98,22.63,22.97,254766
2024-02-13,22.51,22.83,22.3,22.48,405907
2024-02-12,23.47,23.67,23.31,23.32,332906
2024-02-09,23.19,23.64,23.16,23.47,421349
2024-02-08,22.58,23.0,22.55,22.93,266871
2024-02-07,22.65,22.8,22.4,22.73,174523
2024-02-06,22.39,22.52,22.2,22.46,282288
2024-02-05,22.59,22.63,22.15,22.37,269217
2024-02-02,22.55,22.81,22.42,22.74,281846
2024-02-01,22.54,22.6,22.24,22.57,401639
2024-01-31,22.88,22.92,22.39,22.42,225722
2024-01-30,23.1,23.14,22.93,23.05,236169
2024-01-29,22.63,23.18,22.62,23.17,196009
2024-01-26,22.65,22.87,22.63,22.65,321897
2024-01-25,22.82,22.86,22.49,22.63,204336
2024-01-24,23.01,23.07,22.63,22.64,213953
2024-01-23,22.75,22.86,22.6,22.72,201314
2024-01-22,22.52,22.9,22.52,22.66,269525
2024-01-19,22.08,22.27,21.92,22.27,384518
2024-01-18,22.0,22.1,21.75,22.0,1220267
2024-01-17,21.77,21.87,21.45,21.84,428287
2024-01-16,22.06,22.2,21.9,22.07,250969
2024-01-12,22.34,22.57,22.28,22.34,187359
2024-01-11,22.07,22.26,21.82,22.24,1126887
2024-01-10,21.98,22.14,21.87,22.05,186458
2024-01-09,21.78,22.12,21.73,22.03,252416
2024-01-08,21.33,22.02,21.33,22.01,191886
2024-01-05,21.23,21.55,21.19,21.32,1323484
2024-01-04,21.31,21.47,21.2,21.31,265694
2024-01-03,21.56,21.72,21.35,21.39,585764
2024-01-02,22.4,22.4,21.78,21.87,278308
2023-12-29,22.89,23.01,22.61,22.66,109921
2023-12-28,23.03,23.03,22.91,22.94,97805
2023-12-27,23.01,23.09,22.92,22.98,171970
2023-12-26,22.75,23.01,22.75,22.98,171210
2023-12-22,22.8,22.86,22.62,22.79,192909
2023-12-21,22.62,22.74,22.47,22.71,169546
2023-12-20,22.67,22.95,22.38,22.4,654054
2023-12-19,22.66,22.87,22.64,22.83,180039
2023-12-18,22.34,22.63,22.31,22.57,330854
2023-12-15,22.28,22.45,22.18,22.39,175868
2023-12-14,22.05,22.42,21.94,22.26,294223
2023-12-13,21.46,21.8,21.21,21.79,163870
2023-12-12,21.22,21.36,21.09,21.36,132090
2023-12-11,21.02,21.29,21.0,21.2,103634
2023-12-08,20.82,21.17,20.81,21.14,193515
2023-12-07,21.05,21.05,20.79,20.93,290129
2023-12-06,21.19,21.27,20.92,20.95,302114
2023-12-05,21.12,21.29,20.98,21.21,212023
2023-12-04,21.1,21.36,21.0,21.31,175124
2023-12-01,20.73,21.3,20.62,21.27,345899
2023-11-30,21.02,21.09,20.575,20.77,613924
2023-11-29,20.75,21.04,20.75,20.87,285578
2023-11-28,20.26,20.539,20.18,20.49,187004
2023-11-27,20.16,20.38,20.15,20.28,109465
2023-11-24,20.12,20.27,20.11,20.27,79295
2023-11-22,20.26,20.38,20.12,20.22,111419
2023-11-21,20.14,20.26,20.055,20.13,99704
2023-11-20,20.0,20.41,20.0,20.32,195938
2023-11-17,19.77,20.0,19.71,19.99,104842
2023-11-16,19.72,19.8,19.52,19.66,249093
2023-11-15,19.88,20.156,19.8,19.87,199006
2023-11-14,19.42,19.78,19.41,19.74,175345
2023-11-13,18.84,18.95,18.75,18.89,127950
2023-11-10,18.7,19.0,18.55,19.0,142192
2023-11-09,19.01,19.03,18.57,18.58,153230
2023-11-08,18.93,18.98,18.7391,18.9,84925
2023-11-07,18.77,19.125,18.674,18.92,290354
2023-11-06,18.66,18.69,18.25,18.45,162729
2023-11-03,18.22,18.7284,18.19,18.65,150161
2023-11-02,17.72,18.0128,17.49,17.99,163382
2023-11-01,17.6,17.63,17.26,17.5,144424
2023-10-31,17.67,17.86,17.54,17.82,144354
2023-10-30,17.65,17.745,17.465,17.65,150612
2023-10-27,17.68,17.74,17.3946,17.46,98142
2023-10-26,17.71,17.89,17.4,17.56,183716
2023-10-25,18.12,18.14,17.69,17.71,122508
2023-10-24,18.13,18.51,18.12,18.35,94168
2023-10-23,17.95,18.205,17.74,17.99,203125
2023-10-20,18.42,18.46,17.97,18.1,154881
2023-10-19,18.76,18.89,18.4701,18.48,100858
2023-10-18,18.78,18.89,18.53,18.58,86029
2023-10-17,18.6,19.04,18.6,18.94,110452
2023-10-16,18.53,18.925,18.48,18.83,64742
2023-10-13,18.71,18.71,18.32,18.42,115596
2023-10-12,19.06,19.09,18.57,18.68,129151
2023-10-11,19.18,19.27,18.94,19.06,106120
2023-10-10,18.95,19.305,18.92,19.09,109781
2023-10-09,18.66,18.99,18.62,18.92,82289
2023-10-06,18.13,18.9099,18.13,18.86,184903
2023-10-05,18.45,18.47,18.13,18.34,275170
2023-10-04,18.38,18.53,18.24,18.49,188250
2023-10-03,18.61,18.7501,18.24,18.31,289007
2023-10-02,18.81,18.97,18.71,18.78,157687
2023-09-29,18.9,19.11,18.81,18.83,182670
2023-09-28,18.43,18.79,18.3399,18.66,240117
2023-09-27,18.54,18.65,18.4,18.55,122922
2023-09-26,18.65,18.8,18.39,18.42,204125
2023-09-25,18.72,18.85,18.67,18.81,132167
2023-09-22,18.86,18.9701,18.76,18.81,105875
2023-09-21,19.04,19.1,18.74,18.76,160331
2023-09-20,19.38,19.53,19.23,19.24,114982
2023-09-19,19.29,19.335,19.1,19.32,397102
2023-09-18,19.42,19.46,19.3,19.34,108974
2023-09-15,19.73,19.76,19.44,19.53,93874
2023-09-14,19.91,19.96,19.772,19.85,75004
2023-09-13,20.02,20.06,19.76,19.82,112740
