date,open,high,low,close,volume
2024-03-28,79.87,81.31,79.73,81.18,462500
2024-03-27,79.4,80.42,79.25,79.62,635806
2024-03-26,78.68,79.23,78.44,78.92,595138
2024-03-25,77.47,78.9,77.47,78.06,411177
2024-03-22,77.99,78.07,76.91,77.53,387135
2024-03-21,78.17,79.05,77.69,78.75,313078
2024-03-20,77.51,78.18,77.19,77.97,307361
2024-03-19,76.83,77.87,76.83,77.33,326771
2024-03-18,79.23,79.36,76.48,76.83,561622
2024-03-15,79.29,80.44,79.29,79.73,2392161
2024-03-14,80.53,80.53,79.16,79.52,485780
2024-03-13,80.26,80.85,79.96,80.32,427924
2024-03-12,79.94,80.29,79.17,80.1,445069
2024-03-11,80.54,80.91,79.73,79.8,429067
2024-03-08,81.18,81.42,80.66,80.69,361149
2024-03-07,80.39,80.94,80.12,80.68,251409
2024-03-06,80.42,80.63,79.82,80.41,457305
2024-03-05,79.78,80.72,79.24,79.85,291693
2024-03-04,81.13,81.13,79.87,79.97,380819
2024-03-01,82.49,82.49,81.1,81.2,342795
2024-02-29,82.08,82.89,81.75,82.69,411441
2024-02-28,80.72,82.1,80.33,81.69,403609
2024-02-27,81.83,82.02,81.15,81.65,464767
2024-02-26,82.34,82.4,80.75,81.07,431780
2024-02-23,82.22,83.15,81.78,82.73,500322
2024-02-22,81.67,82.35,81.31,81.95,312195
2024-02-21,80.02,81.51,79.9,81.5,394799
2024-02-20,80.58,81.24,80.01,80.03,505185
2024-02-16,80.78,81.67,80.5,81.09,572426
2024-02-15,81.76,82.37,81.57,81.73,310962
2024-02-14,80.88,81.6,79.81,81.49,373818
2024-02-13,79.57,80.83,78.83,80.15,506158
2024-02-12,80.38,81.67,80.38,81.25,534911
2024-02-09,78.54,80.33,78.5,80.05,668219
2024-02-08,77.65,78.58,76.53,78.07,779244
2024-02-07,77.55,78.15,76.54,77.15,447859
2024-02-06,77.49,78.29,76.94,77.58,733226
2024-02-05,80.68,80.68,76.76,77.58,852074
2024-02-02,73.96,81.57,73.51,81.36,2018904
2024-02-01,79.58,82.25,79.2,82.07,854113
2024-01-31,81.13,81.56,79.25,79.26,597703
2024-01-30,81.23,81.77,80.9,81.39,457211
2024-01-29,80.32,81.33,79.77,81.24,434776
2024-01-26,78.49,80.83,78.15,80.47,751777
2024-01-25,79.27,80.03,78.17,78.39,458502
2024-01-24,79.87,80.27,78.78,78.83,297187
2024-01-23,79.95,80.66,78.84,79.55,301132
2024-01-22,78.6,79.36,78.28,79.35,276935
2024-01-19,77.79,78.41,76.84,78.4,263110
2024-01-18,77.49,77.74,76.18,77.5,366845
2024-01-17,76.83,77.28,76.03,76.99,363569
2024-01-16,76.69,77.7,75.72,77.67,438197
2024-01-12,78.07,78.77,77.04,77.39,296237
2024-01-11,77.45,77.91,76.88,77.57,259590
2024-01-10,77.59,77.94,76.66,77.79,327345
2024-01-09,76.35,77.81,75.91,77.51,324387
2024-01-08,75.39,76.99,75.14,76.75,364781
2024-01-05,75.0,76.59,73.62,75.37,744590
2024-01-04,76.37,76.97,75.71,76.89,344744
2024-01-03,78.47,78.47,76.66,76.7,304271
2024-01-02,79.39,79.75,78.45,79.32,463182
2023-12-29,80.32,80.79,79.45,79.54,252552
2023-12-28,80.0,80.54,79.9,80.44,269200
2023-12-27,80.91,81.04,80.24,80.36,250344
2023-12-26,80.49,81.34,79.75,80.8,329969
2023-12-22,80.0,80.97,79.38,80.19,412821
2023-12-21,81.69,82.3,81.32,81.99,238502
2023-12-20,83.03,83.11,81.3,81.3,271072
2023-12-19,81.92,82.97,81.92,82.96,373388
2023-12-18,81.59,81.77,80.93,81.68,219640
2023-12-15,82.5,83.34,81.21,81.51,633815
2023-12-14,82.0,83.24,81.79,82.39,375956
2023-12-13,79.25,81.58,79.16,81.5,321229
2023-12-12,80.95,80.95,79.22,79.6,309764
2023-12-11,80.12,81.19,80.12,80.9,250538
2023-12-08,79.98,80.82,79.66,80.13,253869
2023-12-07,80.36,81.03,79.82,80.02,432468
2023-12-06,79.92,81.07,79.8,80.44,264416
2023-12-05,80.72,80.87,79.43,79.53,380319
2023-12-04,79.45,81.8,79.45,81.21,358200
2023-12-01,78.12,79.8,77.62,79.77,334232
2023-11-30,78.0,78.86,77.11,78.33,449175
2023-11-29,77.17,77.86,77.02,77.69,504548
2023-11-28,75.42,77.0,74.98,76.43,461833
2023-11-27,74.85,75.42,73.7,75.37,481969
2023-11-24,74.89,75.47,74.55,75.43,168995
2023-11-22,74.78,75.34,74.5,74.89,351657
2023-11-21,75.1,75.23,74.16,74.71,486892
2023-11-20,76.9,76.9,74.85,75.4,419160
2023-11-17,77.97,77.97,76.7,76.9,299851
2023-11-16,77.8,77.8,76.05,76.54,314157
2023-11-15,77.34,79.68,77.34,78.06,395725
2023-11-14,77.22,78.43,77.06,77.35,374161
2023-11-13,75.81,75.83,74.88,75.05,446891
2023-11-10,76.88,76.97,75.3,76.35,418924
2023-11-09,77.81,78.02,76.68,76.82,318546
2023-11-08,77.75,78.42,77.04,77.38,390587
2023-11-07,77.19,77.75,76.9,77.27,260422
2023-11-06,77.88,78.12,76.71,77.65,443879
2023-11-03,76.72,77.98,76.41,77.59,429012
2023-11-02,75.14,76.73,74.97,75.89,605302
2023-11-01,73.98,74.02,72.13,73.98,744983
2023-10-31,71.89,74.13,71.21,73.8,651600
2023-10-30,71.81,72.39,70.79,71.8,608373
2023-10-27,69.45,73.21,66.01,71.34,1516675
2023-10-26,69.99,70.99,69.38,70.37,822949
2023-10-25,70.52,70.84,69.96,70.25,574240
2023-10-24,71.49,72.7,70.41,70.42,572793
2023-10-23,71.11,72.13,70.55,71.3,389096
2023-10-20,72.16,72.92,71.21,71.33,638717
2023-10-19,74.63,75.08,72.94,73.01,723937
2023-10-18,75.4,75.78,74.79,74.94,304122
2023-10-17,74.37,76.52,74.24,75.98,513057
