date,open,high,low,close,volume
2024-03-28,128.0,128.64,126.71,127.28,4629623
2024-03-27,125.65,127.02,125.32,126.84,3847838
2024-03-26,126.5,126.9,125.2,125.99,5203426
2024-03-25,123.72,126.65,123.15,126.23,7054378
2024-03-22,123.55,124.05,122.71,123.03,4976248
2024-03-21,122.07,123.59,121.68,123.51,4925649
2024-03-20,121.22,122.36,121.03,121.91,3596962
2024-03-19,120.36,122.16,120.3,122.02,4457939
2024-03-18,120.9,121.07,119.16,120.26,4828002
2024-03-15,119.13,120.8,119.13,120.04,17549004
2024-03-14,119.17,119.99,118.74,119.78,7800847
2024-03-13,116.8,118.61,116.17,117.55,7685432
2024-03-12,115.08,115.73,114.36,115.02,5652993
2024-03-11,113.37,115.36,112.65,115.25,5899335
2024-03-08,112.21,113.21,111.86,113.0,5227705
2024-03-07,111.73,113.43,111.69,112.74,5097325
2024-03-06,112.3,112.9,111.48,111.99,4888748
2024-03-05,111.21,112.8,110.85,111.22,6246956
2024-03-04,114.04,114.39,111.58,111.64,5877361
2024-03-01,113.8,115.53,113.63,114.24,5094400
2024-02-29,112.51,113.16,111.85,112.54,6623961
2024-02-28,111.9,113.32,111.15,112.04,4578996
2024-02-27,113.03,113.33,111.06,111.61,5060027
2024-02-26,111.2,112.52,110.61,112.42,5751167
2024-02-23,111.09,112.26,110.1,111.51,5206217
2024-02-22,112.06,112.91,111.31,112.22,5104996
2024-02-21,110.0,113.67,109.7,112.87,6927935
2024-02-20,110.55,111.63,109.36,109.54,6458274
2024-02-16,111.48,111.8,110.4,110.57,6967785
2024-02-15,109.04,111.7,108.84,111.0,9421885
2024-02-14,110.2,111.04,109.52,110.12,7248447
2024-02-13,111.1,111.93,108.84,109.77,6321089
2024-02-12,111.27,112.14,110.53,111.1,5802121
2024-02-09,113.99,114.3,111.02,111.16,5974069
2024-02-08,113.11,115.29,112.59,113.9,7715527
2024-02-07,111.72,112.97,111.45,112.32,6100714
2024-02-06,110.88,112.45,110.2,111.52,4777831
2024-02-05,110.25,110.86,109.29,109.97,4520460
2024-02-02,111.66,111.95,109.69,110.63,4610163
2024-02-01,112.34,113.22,110.8,111.38,5255188
2024-01-31,113.97,114.1,111.79,111.87,5501432
2024-01-30,111.21,114.33,110.76,114.05,6206541
2024-01-29,112.04,112.1,110.49,111.6,4705884
2024-01-26,112.04,112.45,110.44,112.23,4155987
2024-01-25,109.8,112.08,109.26,112.05,5958806
2024-01-24,108.92,110.02,108.42,109.67,5331984
2024-01-23,107.82,109.42,107.65,107.99,3969624
2024-01-22,107.5,108.39,107.0,108.06,5740242
2024-01-19,106.05,107.92,105.92,107.87,5702183
2024-01-18,107.34,107.34,105.77,106.93,6150889
2024-01-17,106.92,108.54,106.58,107.57,4864060
2024-01-16,111.5,111.74,108.34,108.64,6677744
2024-01-12,113.0,113.37,111.05,111.7,5549817
2024-01-11,111.61,112.24,110.94,111.0,4212627
2024-01-10,112.73,112.73,110.83,111.18,4445207
2024-01-09,114.5,114.5,112.25,112.76,5935592
2024-01-08,114.96,115.05,112.48,114.5,6769837
2024-01-05,117.5,117.77,116.0,116.53,3984668
2024-01-04,120.61,121.24,116.27,116.48,5891538
2024-01-03,117.95,120.18,117.41,119.93,4882068
2024-01-02,117.17,118.8,116.85,117.59,4688408
2023-12-29,117.21,117.55,115.81,116.07,3643582
2023-12-28,117.66,118.2,116.44,116.5,3711359
2023-12-27,118.51,119.64,118.08,118.49,3441412
2023-12-26,118.7,119.43,118.38,119.02,2893651
2023-12-22,118.0,118.63,117.29,117.66,4299453
2023-12-21,116.5,116.88,115.28,116.83,4149328
2023-12-20,116.87,118.94,116.38,116.69,7767197
2023-12-19,114.95,116.64,114.25,116.49,6379264
2023-12-18,115.83,117.27,114.65,114.9,7000685
2023-12-15,114.35,115.74,113.62,114.54,30860370
2023-12-14,112.95,116.35,112.75,114.95,11490415
2023-12-13,111.5,112.26,110.87,111.85,8570114
2023-12-12,110.77,111.48,109.7,111.06,6888838
2023-12-11,112.12,112.63,111.54,112.16,7250110
2023-12-08,111.74,112.19,111.06,112.07,5713905
2023-12-07,111.32,111.91,110.65,110.85,5816770
2023-12-06,112.33,112.33,109.74,110.52,7489627
2023-12-05,114.73,114.9,113.04,113.14,5821399
2023-12-04,114.08,115.92,113.88,114.53,4824795
2023-12-01,115.03,117.04,114.85,115.23,4675100
2023-11-30,115.17,116.7,113.64,115.57,10242700
2023-11-29,115.36,115.56,113.32,113.97,6065300
2023-11-28,115.26,115.98,114.48,114.98,3469100
2023-11-27,114.98,115.13,113.36,114.8,5289500
2023-11-24,114.89,116.57,114.86,115.49,2159200
2023-11-22,112.02,115.13,111.16,114.85,4559000
2023-11-21,115.18,115.63,114.56,115.17,3720200
2023-11-20,114.99,116.58,114.59,115.39,4046400
2023-11-17,112.8,115.53,112.23,114.59,5799100
2023-11-16,113.51,113.76,109.98,111.99,6733200
2023-11-15,115.0,116.67,114.88,115.03,4733300
2023-11-14,116.0,116.81,115.34,115.54,5421700
2023-11-13,114.99,115.91,114.99,115.36,3225700
2023-11-10,115.24,116.21,114.6,115.61,4602300
2023-11-09,115.65,116.07,114.05,114.15,4306200
2023-11-08,115.2,115.62,113.97,114.45,5884300
2023-11-07,116.42,116.5,114.33,115.25,5491000
2023-11-06,120.24,120.56,118.19,118.47,4610800
2023-11-03,121.5,121.89,119.35,119.75,5934800
2023-11-02,117.87,123.25,117.37,122.02,9068700
2023-11-01,119.48,119.77,116.49,116.67,8350900
2023-10-31,117.9,118.99,116.49,118.8,4505000
2023-10-30,117.78,118.5,116.51,118.14,5830500
2023-10-27,117.7,118.34,116.44,117.8,5312500
2023-10-26,118.73,119.16,117.25,118.31,6066500
2023-10-25,119.53,120.93,118.77,120.41,5010600
2023-10-24,121.57,121.99,119.9,119.95,4664400
2023-10-23,123.06,123.16,120.64,121.34,5969400
2023-10-20,126.19,126.67,123.86,124.06,5289400
2023-10-19,125.69,127.35,124.87,126.38,4491300
2023-10-18,126.21,127.24,125.45,126.59,4781900
2023-10-17,125.2,126.43,124.94,125.46,4213800
2023-10-16,125.58,126.12,124.18,125.31,3769500
2023-10-13,124.06,125.97,123.43,124.86,5589100
2023-10-12,121.08,121.73,120.46,121.11,3859500
2023-10-11,119.5,120.19,118.03,120.04,7300700
2023-10-10,121.25,122.24,120.19,120.39,5705500
2023-10-09,118.96,121.87,118.75,121.82,6532800
2023-10-06,114.38,116.59,113.16,115.33,4209100
2023-10-05,112.51,114.58,112.19,113.42,4070100
2023-10-04,115.32,115.63,111.67,113.33,7287600
2023-10-03,116.76,117.67,116.07,117.6,4162600
2023-10-02,120.24,120.31,115.96,117.1,4769500
2023-09-29,122.48,122.61,119.64,119.8,5308600
2023-09-28,122.86,124.31,122.18,122.72,3964600
2023-09-27,121.72,123.92,120.8,123.09,5364100
2023-09-26,119.8,121.44,119.34,120.14,5204500
2023-09-25,119.29,121.27,118.89,121.07,3291300
2023-09-22,119.92,121.18,119.04,119.16,3641100
2023-09-21,122.03,122.16,118.75,119.07,4470700
2023-09-20,122.63,123.81,121.06,121.17,3444600
2023-09-19,125.84,126.03,122.18,123.16,4190700
2023-09-18,125.18,125.73,124.07,124.48,4945300
2023-09-15,124.05,125.99,123.19,123.57,12420400
2023-09-14,123.5,124.89,123.44,124.5,4686200
2023-09-13,123.48,123.7,121.47,122.31,3879700
2023-09-12,121.25,123.44,121.2,123.08,4486600
2023-09-11,123.44,123.9,119.82,120.44,4294500
