date,open,high,low,close,volume
2024-03-28,44.27,44.8,44.27,44.45,2889065
2024-03-27,43.57,44.31,43.57,44.07,1919600
2024-03-26,43.51,43.7,43.22,43.37,2974679
2024-03-25,43.66,43.86,43.14,43.37,1456670
2024-03-22,43.5,43.66,43.16,43.55,2086371
2024-03-21,43.2,43.5,42.91,43.25,2015554
2024-03-20,44.0,44.14,43.33,43.35,2907898
2024-03-19,43.52,43.62,43.06,43.57,2694644
2024-03-18,42.58,43.7,42.55,43.32,3572704
2024-03-15,41.73,42.78,41.72,42.71,5195574
2024-03-14,42.59,42.73,41.74,41.96,2268021
2024-03-13,43.2,43.3,42.66,42.81,2682322
2024-03-12,42.75,43.08,42.36,43.01,2144053
2024-03-11,42.35,43.14,42.35,43.01,2573643
2024-03-08,41.95,42.51,41.81,42.25,2359484
2024-03-07,43.41,43.5,41.87,42.07,3992549
2024-03-06,44.39,45.1,42.59,43.3,6271434
2024-03-05,43.51,43.59,42.8,42.95,3523684
2024-03-04,42.68,43.32,42.56,43.28,3828049
2024-03-01,42.86,42.91,42.46,42.87,2644322
2024-02-29,42.37,42.95,42.24,42.64,3930714
2024-02-28,42.51,42.52,41.82,42.15,1718700
2024-02-27,42.18,42.43,42.0,42.26,2748804
2024-02-26,42.37,42.59,42.06,42.18,3037997
2024-02-23,42.11,42.64,41.91,42.45,1611562
2024-02-22,42.3,42.32,41.56,42.2,2143952
2024-02-21,42.34,42.74,42.09,42.6,2253144
2024-02-20,41.76,42.67,41.66,42.16,3536137
2024-02-16,41.11,41.55,40.92,41.45,3338383
2024-02-15,41.2,41.43,40.88,41.28,2565484
2024-02-14,41.43,41.52,40.26,40.92,5126620
2024-02-13,42.51,42.91,41.53,41.73,4046300
2024-02-12,41.78,42.52,41.58,42.47,2395751
2024-02-09,42.94,42.96,41.72,41.99,3026894
2024-02-08,43.44,43.84,43.0,43.1,2418860
2024-02-07,44.6,44.6,43.34,43.63,2241776
2024-02-06,43.7,44.71,43.6,44.36,3188684
2024-02-05,44.78,44.85,43.65,43.72,2485980
2024-02-02,45.22,45.46,44.47,44.82,2261609
2024-02-01,43.98,45.2,43.64,45.2,2380619
2024-01-31,44.7,45.07,44.35,44.63,2658601
2024-01-30,43.84,44.7,43.57,44.68,2328231
2024-01-29,44.55,44.57,43.77,43.78,2918565
2024-01-26,44.4,44.55,44.23,44.5,1782108
2024-01-25,44.14,44.5,43.76,44.24,2036701
2024-01-24,44.21,44.58,44.01,44.12,3036482
2024-01-23,43.12,44.43,43.12,44.25,3093431
2024-01-22,43.1,43.23,42.71,43.17,1839879
2024-01-19,43.79,43.81,43.08,43.15,2228080
2024-01-18,43.82,43.98,43.44,43.71,2362273
2024-01-17,43.39,44.43,43.3,44.12,2857325
2024-01-16,43.53,43.56,43.14,43.54,2735854
2024-01-12,43.74,43.92,43.21,43.42,1939426
2024-01-11,43.7,43.78,43.3,43.46,2938987
2024-01-10,44.54,44.67,43.63,43.72,3077181
2024-01-09,43.9,44.86,43.52,44.8,3505447
2024-01-08,43.54,44.01,43.47,43.93,2034845
2024-01-05,43.35,43.8,42.99,43.61,2063781
2024-01-04,44.6,44.72,43.42,43.47,2734895
2024-01-03,44.71,44.9,44.52,44.53,3397201
2024-01-02,43.17,44.84,43.13,44.74,3198075
2023-12-29,42.93,43.28,42.84,43.23,2173960
2023-12-28,42.72,43.03,42.7,42.99,1690733
2023-12-27,42.87,42.95,42.72,42.85,1736279
2023-12-26,42.74,43.06,42.7,42.98,1659873
2023-12-22,42.91,43.35,42.84,43.0,2051797
2023-12-21,42.68,42.88,42.23,42.77,2356046
2023-12-20,43.41,43.41,42.58,42.6,4020985
2023-12-19,43.85,44.01,43.35,43.68,2561377
2023-12-18,43.96,44.06,43.57,43.76,2841969
2023-12-15,44.41,44.49,43.59,43.88,8743464
