date,open,high,low,close,volume
2024-03-28,69.98,70.12,67.52,68.16,1372798
2024-03-27,71.49,71.54,68.88,70.16,1340687
2024-03-26,71.29,73.09,70.89,70.97,835997
2024-03-25,71.55,72.04,70.69,71.08,909468
2024-03-22,74.5,74.59,71.55,71.61,1024384
2024-03-21,73.78,75.91,73.18,74.5,1485924
2024-03-20,71.51,74.2,70.7,72.94,1283236
2024-03-19,71.09,72.66,70.36,71.96,1294613
2024-03-18,73.57,73.73,71.24,71.47,1221705
2024-03-15,71.78,73.5,71.4,72.95,1940129
2024-03-14,73.53,74.17,71.13,72.01,1731235
2024-03-13,74.61,76.86,74.0,74.78,1228348
2024-03-12,76.2,76.2,73.66,75.3,1410206
2024-03-11,78.48,79.33,76.12,76.82,1417670
2024-03-08,79.54,81.73,77.1,78.92,1614644
2024-03-07,81.0,83.5,79.32,79.37,1202542
2024-03-06,81.58,81.98,79.5,80.83,1090432
2024-03-05,80.17,82.87,78.9,80.99,1386688
2024-03-04,83.98,84.17,80.5,81.74,1604815
2024-03-01,84.36,87.08,83.33,83.75,1424371
2024-02-29,89.39,89.88,83.04,84.22,2522523
2024-02-28,88.24,90.62,87.32,87.68,2131598
2024-02-27,87.11,89.61,84.66,89.12,2594327
2024-02-26,83.49,86.85,83.25,86.06,2216974
2024-02-23,85.93,87.69,82.35,83.99,2048482
2024-02-22,82.0,91.1,81.83,86.19,4286661
2024-02-21,82.49,83.5,77.11,82.41,3131414
2024-02-20,80.24,82.0,77.8,78.73,2174437
2024-02-16,83.73,84.89,81.92,82.22,2203410
2024-02-15,79.75,90.18,79.28,84.48,6010006
2024-02-14,74.55,79.95,73.34,79.04,4135990
2024-02-13,72.39,75.18,71.89,72.78,3198509
2024-02-12,70.03,76.48,69.8,76.44,2961795
2024-02-09,69.73,72.49,69.36,70.01,2534608
2024-02-08,65.6,69.33,64.16,68.83,1976222
2024-02-07,67.0,67.21,65.6,65.72,1304847
2024-02-06,64.41,66.91,63.58,66.88,1690826
2024-02-05,64.0,64.82,62.46,64.51,941129
2024-02-02,62.9,65.13,62.08,64.75,1487608
2024-02-01,63.49,65.8,62.2,64.67,1449348
2024-01-31,63.99,66.24,62.75,62.95,1359123
2024-01-30,65.08,65.67,63.9,64.48,1200044
2024-01-29,61.08,65.96,60.02,65.78,2239647
2024-01-26,63.41,64.38,60.81,61.01,1616599
2024-01-25,62.87,64.18,62.45,62.87,1465477
2024-01-24,66.98,67.33,62.87,63.01,1960089
2024-01-23,66.23,66.67,64.3,66.19,1631598
2024-01-22,62.52,65.8,62.21,65.26,2383922
2024-01-19,61.0,61.99,60.14,61.99,2106678
2024-01-18,61.1,61.23,59.7,60.98,1402800
2024-01-17,62.25,63.1,60.25,60.86,2276256
2024-01-16,63.21,63.58,62.02,63.43,1751228
2024-01-12,65.15,67.08,63.6,64.25,2097772
2024-01-11,62.07,65.86,61.96,64.84,3638556
2024-01-10,62.57,63.34,60.61,63.34,1967135
2024-01-09,61.55,63.71,60.75,62.63,1587254
2024-01-08,60.55,62.8,58.29,62.69,2072335
2024-01-05,60.91,61.41,59.35,60.67,2045595
2024-01-04,62.42,63.42,61.83,61.94,1489843
2024-01-03,64.58,65.27,62.15,62.56,1992625
2024-01-02,61.84,68.48,61.5,66.06,3632716
2023-12-29,64.16,64.6,62.58,62.6,1875464
2023-12-28,65.45,65.76,63.41,64.3,1801154
2023-12-27,66.4,67.16,63.8,64.96,1609414
2023-12-26,64.83,65.89,64.03,65.33,1724153
2023-12-22,61.01,64.78,60.75,63.67,2843788
2023-12-21,61.65,62.68,59.29,60.6,2542278
2023-12-20,66.43,66.43,60.74,60.81,3763361
2023-12-19,61.59,67.47,61.59,66.83,3917706
2023-12-18,62.54,63.58,61.27,61.4,1646164
2023-12-15,63.47,64.28,61.55,62.08,2637519
2023-12-14,62.84,63.9,59.86,62.94,3475508
2023-12-13,57.7,61.49,55.21,61.43,4654707
2023-12-12,60.51,60.7,57.58,58.12,3655897
2023-12-11,62.95,63.0,56.08,60.28,8818303
2023-12-08,71.07,76.97,61.55,64.54,17230195
2023-12-07,70.74,71.0,69.09,70.21,2144951
2023-12-06,71.45,74.42,70.06,71.14,2461506
2023-12-05,70.65,72.69,68.3,70.6,1863913
2023-12-04,69.1,72.97,68.55,71.51,2815394
2023-12-01,66.22,68.7,63.39,68.65,3675377
2023-11-30,70.49,71.1799,66.51,66.73,2515802
2023-11-29,71.38,73.55,68.93,69.09,2215093
2023-11-28,71.17,71.7399,69.44,70.66,1861191
2023-11-27,69.75,71.85,67.82,71.61,2162749
2023-11-24,70.49,73.4,69.65,69.97,1886974
2023-11-22,68.69,71.18,68.0,70.49,2574202
2023-11-21,71.44,71.7,67.18,67.57,3992919
2023-11-20,69.57,76.19,68.1,72.18,8013750
2023-11-17,61.18,68.935,60.8,67.89,6546249
2023-11-16,58.06,60.41,55.76,59.22,3361265
2023-11-15,55.68,57.1,54.27,56.23,1808422
2023-11-14,55.38,56.785,53.6,55.3,1992973
2023-11-13,52.03,52.4199,48.5501,52.01,2855182
2023-11-10,51.42,53.61,49.5401,53.16,2266697
2023-11-09,55.09,55.93,50.77,51.26,2470580
2023-11-08,58.32,58.32,54.24,54.72,3057516
2023-11-07,52.44,58.81,51.8,58.58,3867123
2023-11-06,53.2,53.9431,51.25,51.58,2818998
2023-11-03,47.76,52.355,47.5,50.99,3071221
2023-11-02,45.3,48.82,44.045,46.18,3067398
2023-11-01,43.45,44.16,39.76,43.75,4750120
2023-10-31,38.93,38.93,38.93,38.93,71600
2023-10-30,38.96,40.0,38.1578,38.93,1883471
2023-10-27,42.5,43.115,38.2871,38.74,3692082
2023-10-26,39.18,40.42,38.4,39.11,1919444
2023-10-25,41.0,41.295,38.905,39.18,1229540
2023-10-24,40.75,42.71,40.75,41.51,1651938
2023-10-23,38.31,40.555,37.55,40.1,1765445
2023-10-20,39.5,39.65,38.24,38.62,1501915
2023-10-19,40.46,41.02,39.69,39.78,1285321
2023-10-18,43.43,43.43,40.2,40.43,1434703
2023-10-17,43.39,44.44,42.51,43.66,1235468
2023-10-16,44.31,45.0499,43.61,44.81,710975
2023-10-13,43.01,44.5,42.63,44.31,1001088
2023-10-12,44.82,44.82,42.655,43.03,900968
2023-10-11,44.26,45.55,43.67,44.73,962685
2023-10-10,42.63,44.3399,42.25,43.84,806220
2023-10-09,42.43,42.53,41.32,42.51,930776
2023-10-06,43.0,43.62,42.36,43.06,1010332
2023-10-05,41.39,43.26,41.1959,43.0,1028760
2023-10-04,42.95,43.0,40.715,41.62,1534132
2023-10-03,42.19,43.32,41.46,42.94,1497181
2023-10-02,45.25,45.35,42.35,42.41,1888726
2023-09-29,46.54,46.97,45.22,45.39,845714
2023-09-28,47.1,47.1,44.9,45.74,819752
2023-09-27,46.86,47.79,46.68,47.13,839362
2023-09-26,45.78,47.0869,45.62,46.11,706429
2023-09-25,45.18,46.12,44.5278,45.86,801114
2023-09-22,46.6055,46.95,45.47,45.49,660112
2023-09-21,45.932,46.61,45.18,46.06,1057338
2023-09-20,47.43,48.18,46.51,46.56,717581
2023-09-19,47.75,48.345,47.2501,47.42,740715
2023-09-18,50.33,50.58,47.46,47.64,1303953
2023-09-15,51.39,51.92,50.52,50.58,1428619
2023-09-14,49.7,51.53,49.11,51.28,1004417
2023-09-13,50.2,51.1268,49.29,49.36,565611
2023-09-12,51.27,51.6036,50.25,50.37,510842
2023-09-11,50.06,51.51,49.93,51.07,717523
2023-09-08,49.39,50.045,48.68,49.94,559534
2023-09-07,48.99,50.29,47.58,49.34,1309949
2023-09-06,50.3,51.36,50.03,51.09,550535
2023-09-05,50.3,51.26,49.93,50.26,623499
2023-09-01,50.66,51.68,50.44,50.53,729331
2023-08-31,50.68,50.9899,49.73,50.01,616641
2023-08-30,50.56,50.65,49.74,50.52,562828
2023-08-29,49.93,51.3855,49.51,50.57,637632
2023-08-28,50.08,50.5,49.031,49.96,528164
2023-08-25,49.82,50.9,49.11,49.69,957584
2023-08-24,50.59,50.68,49.1778,49.65,729103
2023-08-23,49.065,50.71,49.065,50.5,1029383
2023-08-22,48.36,49.25,47.84,48.97,959449
2023-08-21,48.05,48.22,47.21,47.93,768184
2023-08-18,46.66,49.18,46.55,48.14,1207759
2023-08-17,47.21,48.72,46.05,47.09,1618231
2023-08-16,48.5,48.68,47.0,47.2,1084274
2023-08-15,48.03,49.19,47.83,48.68,955295
2023-08-14,49.15,49.37,47.2,48.42,1224122
2023-08-11,49.95,50.62,49.34,49.65,704242
2023-08-10,51.42,51.63,49.53,50.07,1099408
2023-08-09,53.28,53.48,50.5375,50.95,1131266
2023-08-08,49.27,54.6099,48.95,53.05,2390309
2023-08-07,50.75,50.99,48.25,48.34,1748819
2023-08-04,51.61,52.24,50.7,50.96,934897
2023-08-03,52.47,52.8075,51.24,51.35,1147230
2023-08-02,55.2,55.42,52.88,53.01,1474026
2023-08-01,56.95,56.95,55.58,56.41,757614
2023-07-31,57.02,58.02,56.74,57.33,596166
2023-07-28,55.99,57.5,55.99,56.89,705405
2023-07-27,58.12,58.2,55.16,55.44,1100211
2023-07-26,55.33,57.99,55.2,57.28,1174139
2023-07-25,55.73,56.38,55.25,55.44,1025251
2023-07-24,56.73,57.27,55.4464,55.52,777063
2023-07-21,57.05,57.705,56.11,56.73,1027473
2023-07-20,57.2,57.75,56.11,56.54,915414
2023-07-19,58.39,59.4,57.7,58.12,1539587
2023-07-18,58.75,58.91,57.01,57.75,614822
2023-07-17,56.79,59.165,56.56,58.22,779609
2023-07-14,59.29,59.57,56.5,56.91,1006934
2023-07-13,57.75,59.6699,57.15,59.0,1030854
2023-07-12,58.53,59.11,56.99,57.48,812722
2023-07-11,58.135,58.135,56.82,57.62,784571
2023-07-10,54.41,58.38,53.93,57.66,1288451
2023-07-07,54.02,55.08,53.8483,54.37,687360
2023-07-06,56.07,56.49,53.2,54.02,1243268
2023-07-05,56.21,57.14,55.91,56.78,645199
2023-07-03,56.17,57.08,56.17,56.25,550374
2023-06-30,57.72,58.0,55.83,56.14,1099296
2023-06-29,57.1,57.47,56.04,57.02,830724
2023-06-28,55.83,57.782,55.29,57.16,854000
2023-06-27,56.71,56.71,55.23,55.82,1011879
2023-06-26,56.01,56.94,55.31,56.23,949368
2023-06-23,56.0,56.6899,55.24,56.03,1153650
2023-06-22,56.88,57.32,56.005,56.94,724743
2023-06-21,56.41,57.47,55.01,56.97,1159836
2023-06-20,57.61,57.8,56.07,56.89,1094236
2023-06-16,59.4,59.81,57.61,57.75,2055437
2023-06-15,58.6,59.47,58.1,58.94,963056
2023-06-14,61.31,61.4279,58.45,58.96,1543682
2023-06-13,60.0,61.6,59.2,60.79,1485328
2023-06-12,61.8,63.209,59.43,59.9,1904765
2023-06-09,67.91,68.26,60.68,61.24,2741423
2023-06-08,62.5,63.7,61.01,62.59,1047209
2023-06-07,64.53,65.28,60.33,62.78,1460567
2023-06-06,63.04,65.688,61.66,64.58,1514358
2023-06-05,65.22,65.5,62.95,63.04,1070021
2023-06-02,65.37,65.92,63.38,65.0,987582
2023-06-01,64.06,65.6,62.835,64.52,1260533
2023-05-31,65.15,67.26,63.02,64.04,1324634
2023-05-30,65.57,66.97,62.84,64.63,712804
2023-05-26,63.78,65.5,62.9,64.66,1016310
2023-05-25,66.26,66.4985,62.16,63.85,997424
2023-05-24,66.35,66.75,64.3,65.88,1186986
2023-05-23,65.72,72.0,65.57,67.2,2014238
2023-05-22,62.86,66.4,62.22,65.8,1208353
