date,open,high,low,close,volume
2024-03-28,49.89,50.2,49.81,49.91,17088425
2024-03-27,49.77,49.9,49.41,49.77,17230958
2024-03-26,49.55,49.81,49.48,49.55,13842923
2024-03-25,49.56,49.76,49.29,49.68,16191164
2024-03-22,50.05,50.1,49.72,49.78,15022861
2024-03-21,49.71,50.19,49.56,49.88,26102850
2024-03-20,49.04,49.58,48.94,49.55,18554114
2024-03-19,49.12,49.6,48.97,49.14,19601131
2024-03-18,49.22,49.66,48.98,49.27,17406663
2024-03-15,49.79,49.96,48.9,48.93,57049238
2024-03-14,50.27,50.35,49.6,49.79,17239397
2024-03-13,50.03,50.15,49.83,50.11,16669863
2024-03-12,50.54,50.55,49.89,50.07,17590415
2024-03-11,49.72,50.3,49.58,50.22,17715074
2024-03-08,48.87,49.78,48.85,49.5,19316209
2024-03-07,49.44,49.48,48.83,48.9,21224701
2024-03-06,48.98,49.41,48.97,49.17,20903553
2024-03-05,49.04,49.07,48.57,48.95,18101297
2024-03-04,48.37,49.47,48.23,49.13,25214521
2024-03-01,48.11,48.42,47.66,48.4,18508070
2024-02-29,48.19,48.48,48.13,48.37,22962460
2024-02-28,48.2,48.48,48.01,48.06,14635130
2024-02-27,48.15,48.45,48.02,48.31,12515381
2024-02-26,48.85,48.9,48.36,48.4,13018741
2024-02-23,48.62,49.14,48.5,48.86,13141857
2024-02-22,48.27,48.7,48.15,48.57,22020346
2024-02-21,48.45,48.52,47.9,48.48,15999174
2024-02-20,47.97,48.47,47.85,48.28,26402463
2024-02-16,48.75,49.08,48.39,48.44,24912312
2024-02-15,48.26,49.69,48.19,49.06,42766544
2024-02-14,49.57,50.34,49.55,50.28,31176442
2024-02-13,49.62,49.94,49.14,49.64,23633712
2024-02-12,50.03,50.2,49.53,49.99,19046333
2024-02-09,49.93,50.26,49.63,50.13,24076857
2024-02-08,49.9,49.99,49.55,49.95,19598985
2024-02-07,50.3,50.35,49.46,49.77,16794364
2024-02-06,50.31,50.61,49.79,49.98,19265797
2024-02-05,49.94,50.15,49.26,49.51,19601985
2024-02-02,50.14,50.38,49.62,50.18,20533102
2024-02-01,50.23,50.46,49.82,50.18,20635673
2024-01-31,51.85,51.94,50.07,50.18,29311787
2024-01-30,52.3,52.42,52.0,52.24,14322137
2024-01-29,51.84,52.39,51.83,52.29,13492409
2024-01-26,52.42,52.62,51.99,52.14,13160315
2024-01-25,51.75,52.56,51.75,52.33,18936642
2024-01-24,52.0,52.0,51.21,51.31,19458515
2024-01-23,51.39,51.82,51.3,51.76,15044327
2024-01-22,51.55,51.78,51.41,51.57,20298721
2024-01-19,50.75,51.39,50.73,51.27,23015258
