date,open,high,low,close,volume
2023-06-09,0.8739,0.888,0.8732,0.8858,54244445
2023-06-08,0.8792,0.883199,0.871,0.8771,59087603
2023-06-07,0.8757,0.88755,0.8629,0.8728,71173827
2023-06-06,0.87,0.89189,0.852,0.8846,43515849
2023-06-05,0.89,0.9008,0.8801,0.8857,64582296
2023-06-02,0.874,0.902,0.8721,0.895,38202156
2023-06-01,0.843,0.8706,0.835,0.8561,66985438
2023-05-31,0.8327,0.84,0.8153,0.8211,24923738
2023-05-30,0.8692,0.8718,0.844,0.8471,23371506
2023-05-26,0.86,0.8825,0.8583,0.8731,16111809
2023-05-25,0.861,0.868,0.855,0.8582,16579951
2023-05-24,0.8755,0.8769,0.863,0.8687,14051937
2023-05-23,0.882,0.8934,0.8764,0.8797,12140832
2023-05-22,0.8856,0.892,0.8817,0.8884,12674989
2023-05-19,0.886,0.8862,0.875,0.8862,13260121
2023-05-18,0.8618,0.87,0.8595,0.8665,9874338
2023-05-17,0.84,0.8619,0.84,0.8613,15391214
2023-05-16,0.852,0.8526,0.837,0.8406,13961415
2023-05-15,0.84,0.8616,0.84,0.8571,15343859
2023-05-12,0.8485,0.8525,0.8408,0.8446,11537848
2023-05-11,0.8509,0.8509,0.8403,0.8473,9930830
2023-05-10,0.8625,0.8683,0.8467,0.8517,13891470
2023-05-09,0.855,0.868,0.855,0.8679,13743067
2023-05-08,0.8669,0.87,0.8572,0.868,13896843
2023-05-05,0.8397,0.8726,0.8397,0.8699,18937406
2023-05-04,0.8435,0.8535,0.827,0.8301,28314786
2023-05-03,0.8504,0.8706,0.85,0.8559,37235289
2023-05-02,0.8704,0.8825,0.8531,0.8644,37264399
2023-05-01,0.8699,0.899,0.865849,0.8728,25513978
2023-04-28,0.88,0.904,0.88,0.8949,33774434
2023-04-27,0.88,0.8986,0.8767,0.8885,20158033
2023-04-26,0.8785,0.8914,0.869,0.8739,24790722
2023-04-25,0.8997,0.9037,0.86,0.8614,38149604
2023-04-24,0.9,0.913,0.9,0.91,26123305
2023-04-21,0.872,0.894,0.872,0.8912,23500304
2023-04-20,0.8948,0.9036,0.8888,0.8924,16397725
2023-04-19,0.9,0.9192,0.9,0.916,12785383
2023-04-18,0.9208,0.9293,0.9193,0.9201,19427121
2023-04-17,0.9159,0.94,0.9,0.9208,43471253
2023-04-14,0.96,0.976,0.956,0.96,24391529
2023-04-13,0.93,0.95,0.9298,0.95,31930478
2023-04-12,0.923,0.932,0.92,0.92,22679767
