date,open,high,low,close,volume
2024-03-28,22.4,23.08,22.4,23.05,1247202
2024-03-27,21.73,22.51,21.71,22.39,904367
2024-03-26,21.58,21.64,21.34,21.53,845991
2024-03-25,21.45,21.7,21.4,21.44,756542
2024-03-22,21.42,21.48,21.06,21.34,892954
2024-03-21,21.28,21.85,21.23,21.25,889055
2024-03-20,21.14,21.39,20.87,21.2,1007513
2024-03-19,20.93,21.32,20.93,21.13,831544
2024-03-18,21.0,21.23,20.79,21.01,889746
2024-03-15,20.86,21.15,20.81,21.05,1696159
2024-03-14,21.38,21.44,20.63,20.89,1110541
2024-03-13,21.8,22.01,21.39,21.43,1092205
2024-03-12,22.1,22.24,21.58,21.77,729218
2024-03-11,22.51,22.93,22.11,22.29,697773
2024-03-08,22.35,22.62,22.16,22.56,640162
2024-03-07,22.2,22.3,21.94,22.12,628458
2024-03-06,22.07,22.12,21.86,22.02,753893
2024-03-05,21.82,22.05,21.67,21.79,831504
2024-03-04,21.9,22.09,21.48,21.9,1040859
2024-03-01,21.97,22.13,21.58,22.01,1044716
2024-02-29,21.91,22.28,21.62,21.8,1084916
2024-02-28,22.17,22.27,21.96,22.1,868597
2024-02-27,21.89,22.36,21.77,22.35,967148
2024-02-26,22.18,22.23,21.63,21.67,880971
2024-02-23,22.54,22.63,22.11,22.18,1051089
2024-02-22,23.25,23.5,21.79,22.59,1476659
2024-02-21,23.68,23.9,23.51,23.67,738280
2024-02-20,23.79,24.12,23.74,23.93,619879
2024-02-16,24.02,24.35,23.86,24.01,772707
2024-02-15,23.34,24.28,23.27,24.28,806997
2024-02-14,23.02,23.2,22.9,23.02,483180
2024-02-13,22.97,23.21,22.72,22.9,645564
2024-02-12,23.08,23.63,23.0,23.62,705773
2024-02-09,22.94,23.21,22.82,22.97,987775
2024-02-08,23.33,23.39,22.93,22.94,957079
2024-02-07,23.5,23.66,23.21,23.43,923980
2024-02-06,23.06,23.52,22.97,23.48,789113
2024-02-05,23.61,23.62,23.04,23.15,996171
2024-02-02,24.29,24.3,23.81,23.98,791268
2024-02-01,24.47,24.83,24.21,24.81,825586
2024-01-31,24.71,24.9,24.21,24.24,1018291
2024-01-30,24.82,24.85,24.45,24.62,929743
2024-01-29,24.63,24.99,24.47,24.93,611960
2024-01-26,25.08,25.17,24.56,24.63,773978
2024-01-25,24.57,25.12,24.57,24.96,1004728
2024-01-24,24.93,24.96,24.08,24.21,769436
2024-01-23,25.29,25.5,24.48,24.62,1187930
2024-01-22,24.72,25.63,24.71,24.98,1202552
2024-01-19,24.71,24.71,24.22,24.61,1030366
2024-01-18,24.76,24.8,24.49,24.61,849522
2024-01-17,25.0,25.12,24.52,24.7,820230
2024-01-16,25.68,25.81,25.29,25.37,807790
2024-01-12,26.3,26.43,25.75,25.84,816050
2024-01-11,26.51,26.53,25.6,26.01,1532123
2024-01-10,26.94,26.95,26.6,26.69,474050
2024-01-09,26.96,27.14,26.76,27.0,558074
2024-01-08,26.84,27.6,26.76,27.25,1147037
2024-01-05,26.65,27.42,26.53,26.85,1216954
2024-01-04,26.77,27.05,26.65,26.83,1014730
2024-01-03,27.0,27.0,26.52,26.84,829789
2024-01-02,27.35,27.68,27.1,27.19,1240264
2023-12-29,27.47,27.6,27.33,27.43,644472
2023-12-28,27.43,27.82,27.43,27.71,465269
2023-12-27,27.73,27.82,27.48,27.64,377232
2023-12-26,27.42,27.77,27.35,27.7,376748
2023-12-22,27.3,27.64,27.26,27.37,428267
2023-12-21,26.78,27.22,26.71,27.16,628879
2023-12-20,26.89,27.19,26.45,26.5,905638
2023-12-19,26.3,26.93,26.04,26.88,1142363
2023-12-18,26.68,26.68,25.99,26.08,814787
2023-12-15,26.82,26.85,26.24,26.63,2904175
2023-12-14,26.73,27.31,26.37,26.66,1599895
2023-12-13,24.6,26.29,24.4,26.1,1418231
2023-12-12,24.79,24.79,24.28,24.56,925035
2023-12-11,24.73,25.17,24.62,24.9,685633
2023-12-08,24.87,25.08,24.67,24.88,1059423
2023-12-07,25.12,25.36,24.89,24.96,815149
2023-12-06,25.26,25.46,24.79,25.0,1062515
2023-12-05,25.25,25.5,25.06,25.09,843381
2023-12-04,24.93,25.68,24.81,25.22,1257256
2023-12-01,24.94,25.43,24.62,25.23,1748326
2023-11-30,24.77,25.16,24.65,24.97,2161973
2023-11-29,25.23,25.59,24.97,25.25,19954471
2023-11-28,24.68,25.76,24.45,25.22,6951078
2023-11-27,22.71,22.99,22.69,22.87,891979
2023-11-24,23.0,23.09,22.69,22.73,279110
2023-11-22,22.98,23.06,22.64,23.0,631609
2023-11-21,22.6,22.79,22.28,22.72,604114
2023-11-20,22.58,22.77,22.34,22.69,686000
2023-11-17,22.77,22.77,22.25,22.67,720179
2023-11-16,22.96,23.21,22.4,22.63,767515
2023-11-15,23.07,23.5,22.87,22.92,762642
2023-11-14,22.12,23.21,22.12,23.07,794849
2023-11-13,21.43,21.63,21.25,21.35,632454
2023-11-10,21.73,21.73,21.27,21.47,645468
2023-11-09,22.03,22.14,21.61,21.67,649535
2023-11-08,22.48,22.49,22.04,22.09,599973
2023-11-07,22.38,23.06,22.38,22.68,817676
2023-11-06,22.91,22.91,22.33,22.45,704757
2023-11-03,23.28,23.68,22.87,22.87,1196562
2023-11-02,22.44,23.06,22.0,22.77,1374328
2023-11-01,21.68,22.24,21.43,22.12,1000245
2023-10-31,21.76,21.94,21.52,21.71,1075844
2023-10-30,21.78,22.02,21.52,21.73,913724
2023-10-27,22.34,22.48,21.46,21.55,988871
2023-10-26,22.15,22.87,22.15,22.48,1573713
2023-10-25,21.75,22.08,21.56,22.02,1124507
2023-10-24,21.33,22.22,21.12,21.94,1580711
2023-10-23,20.95,21.33,20.76,20.88,829376
2023-10-20,21.24,21.7,21.14,21.22,2832608
2023-10-19,21.5,21.76,21.27,21.34,1220320
2023-10-18,21.82,21.92,21.38,21.59,905342
2023-10-17,21.74,22.23,21.7,22.01,1521550
2023-10-16,21.82,22.41,21.47,22.15,1996540
2023-10-13,21.98,22.11,21.5,21.58,1194426
2023-10-12,21.84,22.05,21.4,21.62,1233733
2023-10-11,22.12,22.2,21.78,22.05,1323478
2023-10-10,21.02,22.17,21.02,21.96,2247424
2023-10-09,20.85,21.09,20.61,20.92,1903677
2023-10-06,19.0,21.0,18.81,20.79,2874440
2023-10-05,19.19,19.25,18.59,18.76,1285822
2023-10-04,19.33,19.61,18.83,19.27,1384769
2023-10-03,19.52,19.53,18.92,19.26,1724818
2023-10-02,21.12,21.16,19.61,19.75,2376655
2023-09-29,21.08,21.55,20.91,21.16,2477364
2023-09-28,21.56,21.56,19.79,20.79,3832343
2023-09-27,22.89,22.97,21.37,21.49,2807191
2023-09-26,23.73,23.74,23.24,23.26,843385
2023-09-25,23.55,23.95,23.49,23.89,753395
2023-09-22,23.9,24.01,23.56,23.73,808484
2023-09-21,24.71,24.71,23.91,23.95,853613
2023-09-20,24.84,25.01,24.45,24.86,1030453
2023-09-19,24.98,25.4,24.98,24.99,868076
2023-09-18,25.23,25.25,24.79,24.97,891993
2023-09-15,25.18,25.54,25.1,25.36,1762244
2023-09-14,25.02,25.27,24.88,25.17,1120695
2023-09-13,24.48,25.02,24.43,24.85,891771
2023-09-12,24.27,24.53,24.2,24.47,746135
2023-09-11,24.12,24.56,24.12,24.26,587519
2023-09-08,23.82,24.17,23.79,24.15,701799
2023-09-07,23.9,24.05,23.7,23.85,1371260
2023-09-06,24.2,24.24,23.69,23.9,640324
2023-09-05,24.47,24.76,24.07,24.24,802264
2023-09-01,25.01,25.09,24.4,24.56,610938
2023-08-31,24.88,25.02,24.7,24.77,1047738
2023-08-30,25.34,25.47,25.07,25.13,837246
2023-08-29,25.26,25.66,25.25,25.44,875831
2023-08-28,25.03,25.35,25.02,25.17,763285
2023-08-25,24.78,25.1,24.73,24.96,483849
2023-08-24,24.75,24.99,24.66,24.71,1007652
2023-08-23,24.15,24.78,24.0,24.77,1378090
2023-08-22,23.97,24.27,23.71,24.0,1184647
2023-08-21,24.15,24.26,23.81,23.95,848465
2023-08-18,24.26,24.54,24.19,24.26,1151762
2023-08-17,24.98,25.08,24.31,24.39,766732
2023-08-16,24.92,25.04,24.6,24.78,893018
2023-08-15,25.09,25.16,24.79,24.95,918439
2023-08-14,25.49,25.5,24.96,25.33,1008274
2023-08-11,25.4,25.76,25.19,25.57,781465
2023-08-10,25.29,25.7,25.23,25.38,908061
2023-08-09,24.52,25.47,24.35,25.25,1333165
2023-08-08,24.55,24.56,23.6,24.45,1541179
2023-08-07,24.87,25.06,24.61,24.88,732185
2023-08-04,24.67,25.07,24.58,24.93,898494
2023-08-03,25.27,25.27,24.63,24.67,727391
2023-08-02,25.67,25.83,25.14,25.27,885461
2023-08-01,26.39,26.54,25.76,25.81,732713
2023-07-31,26.54,26.77,26.19,26.41,970675
2023-07-28,26.59,26.8,26.03,26.28,898120
2023-07-27,27.29,27.39,26.39,26.43,948608
2023-07-26,27.45,27.67,27.3,27.32,606770
2023-07-25,27.73,27.78,27.45,27.53,645452
2023-07-24,28.01,28.09,27.65,27.75,634811
2023-07-21,27.78,28.03,27.62,27.94,843717
2023-07-20,27.57,27.83,27.34,27.69,1051302
2023-07-19,27.33,27.71,27.17,27.62,1213201
2023-07-18,27.18,27.22,26.74,27.14,1220020
2023-07-17,27.11,27.42,26.82,27.19,727281
2023-07-14,27.76,27.76,26.95,27.24,1190462
2023-07-13,27.95,28.16,27.62,27.72,960323
2023-07-12,28.11,28.22,27.81,28.01,571731
2023-07-11,27.59,27.94,27.42,27.9,899805
2023-07-10,27.56,27.82,27.38,27.59,645360
2023-07-07,27.6,27.96,27.56,27.63,899461
2023-07-06,28.25,28.55,27.52,27.6,1488097
2023-07-05,28.49,28.74,28.14,28.6,810310
2023-07-03,28.43,28.76,28.31,28.55,301787
2023-06-30,28.16,28.6,28.01,28.56,851683
2023-06-29,28.16,28.2,27.9,28.06,689645
2023-06-28,28.57,28.7,28.2,28.23,728848
2023-06-27,28.71,28.89,28.61,28.67,797911
2023-06-26,28.74,29.25,28.62,28.65,1579434
2023-06-23,29.0,29.2,28.48,28.56,10555006
2023-06-22,29.6,29.75,28.99,29.02,1456147
2023-06-21,29.37,29.88,29.09,29.76,615224
