date,open,high,low,close,volume
2024-03-28,62.73,63.37,62.58,63.24,18911124
2024-03-27,62.03,62.76,61.72,62.75,16684396
2024-03-26,61.15,61.95,61.0,61.66,17947413
2024-03-25,60.89,61.52,60.58,60.95,12040348
2024-03-22,61.04,61.67,60.58,60.82,16206751
2024-03-21,60.31,61.55,60.31,61.33,17892063
2024-03-20,58.49,60.34,58.46,60.13,20269922
2024-03-19,58.59,59.32,58.54,58.86,13455324
2024-03-18,57.85,58.66,57.56,58.63,13994637
2024-03-15,56.45,57.75,56.45,57.61,26164256
2024-03-14,58.33,58.67,56.64,57.09,18833597
2024-03-13,57.5,58.37,57.46,57.76,12982774
2024-03-12,57.51,57.93,57.08,57.45,10953989
2024-03-11,57.15,57.54,56.63,57.41,9176946
2024-03-08,58.04,58.39,57.26,57.51,13028024
2024-03-07,57.54,58.12,57.03,57.72,14720287
2024-03-06,57.07,57.55,56.01,57.29,17845039
2024-03-05,55.75,57.56,55.75,56.26,19653931
2024-03-04,55.41,56.57,55.29,56.14,14314661
2024-03-01,55.48,55.95,55.07,55.6,12922423
2024-02-29,55.5,55.65,54.64,55.49,23744567
2024-02-28,55.52,56.18,54.99,55.05,13448113
2024-02-27,55.68,55.92,55.22,55.71,11039310
2024-02-26,55.96,56.51,55.34,55.36,12307134
2024-02-23,55.99,56.34,55.75,55.93,11668949
2024-02-22,55.44,56.47,55.41,55.9,12904811
2024-02-21,55.26,55.46,54.98,55.33,9321816
2024-02-20,54.58,55.66,54.36,55.42,16537859
2024-02-16,54.96,55.2,54.55,54.85,11527524
2024-02-15,54.22,55.48,54.14,55.21,16865018
2024-02-14,53.64,54.1,53.59,53.98,14891947
2024-02-13,53.29,53.46,52.24,52.76,17672137
2024-02-12,53.57,54.54,53.0,53.92,17162325
2024-02-09,54.29,54.44,53.53,53.99,13843255
2024-02-08,54.18,54.49,53.59,54.29,15822231
2024-02-07,54.5,54.7,53.77,54.54,13383314
2024-02-06,54.38,54.97,54.11,54.35,14851511
2024-02-05,54.94,55.14,54.11,54.5,14040642
2024-02-02,55.6,55.98,54.99,55.54,19283056
2024-02-01,56.02,56.59,54.85,56.06,21178705
2024-01-31,56.74,57.95,56.14,56.17,28967819
2024-01-30,55.04,57.2,55.01,57.09,40086063
2024-01-29,53.47,54.23,53.44,54.11,12158309
2024-01-26,53.86,53.99,53.61,53.67,14041159
2024-01-25,53.4,53.77,53.04,53.73,15634027
2024-01-24,53.54,53.65,52.99,53.26,14402176
2024-01-23,52.91,53.41,52.59,53.3,12962518
2024-01-22,51.99,53.1,51.95,52.84,21573191
2024-01-19,51.12,51.68,50.62,51.52,18210995
2024-01-18,51.45,51.58,50.51,51.11,15788149
2024-01-17,51.11,51.69,51.0,51.36,17393463
2024-01-16,51.78,52.22,50.87,51.87,21209447
2024-01-12,52.3,53.85,51.27,52.62,37907972
2024-01-11,51.84,52.14,51.26,52.08,25444369
2024-01-10,53.05,53.22,52.61,53.02,16532723
2024-01-09,53.85,53.91,53.27,53.48,17237424
2024-01-08,53.99,54.09,53.02,54.01,17359547
2024-01-05,54.03,54.67,53.89,54.33,17782199
2024-01-04,53.92,54.75,53.66,53.77,23714314
2024-01-03,53.25,54.37,52.23,53.64,30897602
2024-01-02,51.3,53.15,51.19,53.04,24784893
2023-12-29,51.56,51.61,51.22,51.44,13149408
2023-12-28,51.4,51.8,51.4,51.52,10218453
2023-12-27,51.14,51.58,50.93,51.46,9901341
2023-12-26,50.88,51.53,50.79,51.34,11501461
2023-12-22,50.73,51.26,50.69,50.86,14440560
2023-12-21,50.41,50.67,49.97,50.6,13089002
2023-12-20,50.7,51.09,49.87,50.07,17452141
2023-12-19,49.42,51.31,49.17,50.93,23161469
2023-12-18,50.16,50.56,49.55,49.66,17871427
2023-12-15,49.69,50.1,49.2,49.83,35156095
2023-12-14,50.01,51.55,50.01,50.24,51664932
2023-12-13,48.0,49.53,47.86,49.34,22212516
2023-12-12,48.01,48.11,47.71,48.06,14735641
2023-12-11,48.75,48.95,48.12,48.15,17665961
2023-12-08,48.51,49.17,48.42,48.89,17591580
2023-12-07,47.94,48.76,47.78,48.5,14896780
2023-12-06,47.8,49.12,47.78,47.86,33903389
2023-12-05,47.01,47.38,46.41,46.7,14813061
2023-12-04,46.79,47.48,46.7,47.37,19351023
2023-12-01,46.0,47.26,45.89,47.23,20050200
2023-11-30,45.79,46.17,45.58,46.1,16249000
2023-11-29,45.23,46.03,45.16,45.75,14027600
2023-11-28,45.03,45.04,44.56,44.86,14064700
2023-11-27,44.96,45.19,44.86,45.08,14679700
2023-11-24,44.89,45.52,44.84,45.23,5941000
2023-11-22,45.31,45.32,44.84,45.02,9441200
2023-11-21,45.12,45.33,44.7,45.09,14466700
2023-11-20,45.28,45.74,45.21,45.26,19670300
2023-11-17,44.94,45.39,44.65,45.36,15573100
2023-11-16,44.76,45.1,44.32,44.67,14744800
2023-11-15,44.48,45.22,44.48,44.88,18894900
2023-11-14,43.11,44.77,43.1,44.36,26218500
2023-11-13,41.96,42.91,41.93,42.7,16332100
2023-11-10,41.7,42.15,41.47,42.08,11912500
2023-11-09,42.08,42.28,41.29,41.5,19128400
2023-11-08,41.85,42.16,41.53,41.82,14761600
2023-11-07,41.7,42.16,41.65,41.96,11463200
2023-11-06,42.37,42.37,41.76,42.04,20843900
2023-11-03,41.56,42.47,41.54,42.26,20282100
2023-11-02,39.99,41.37,39.93,41.35,23283600
2023-11-01,39.54,39.84,39.28,39.6,16011000
2023-10-31,39.04,39.53,38.92,39.49,16373100
2023-10-30,38.55,38.97,38.41,38.93,21777500
2023-10-27,39.33,39.37,38.17,38.24,20654700
2023-10-26,38.5,39.75,38.47,39.34,25109600
2023-10-25,38.7,38.85,38.26,38.61,15570100
2023-10-24,38.92,39.3,38.74,38.93,17181000
2023-10-23,39.58,39.62,38.79,38.89,21333500
2023-10-20,39.97,40.24,39.56,39.68,21387700
2023-10-19,40.26,40.75,40.03,40.06,17483300
2023-10-18,40.94,40.94,40.17,40.47,23232600
2023-10-17,40.65,41.67,40.6,41.2,20258100
2023-10-16,41.95,42.0,40.53,40.95,25044200
2023-10-13,42.96,43.32,41.35,41.43,32082900
2023-10-12,41.4,41.79,41.12,41.53,18112500
2023-10-11,41.64,42.0,41.36,41.53,12763900
2023-10-10,41.14,41.76,41.14,41.44,18902100
2023-10-09,40.18,41.01,39.95,40.74,14859700
2023-10-06,39.68,40.85,39.51,40.57,17072400
2023-10-05,39.62,39.88,39.19,39.88,18734100
2023-10-04,39.69,39.93,39.14,39.81,23342000
2023-10-03,40.2,40.54,39.59,39.86,19283400
2023-10-02,40.99,41.05,40.29,40.5,16178900
2023-09-29,41.45,41.89,40.92,41.13,16905600
2023-09-28,40.48,41.35,40.41,41.2,14409800
2023-09-27,40.29,40.63,39.94,40.46,15083400
2023-09-26,40.67,41.04,40.06,40.22,21786500
2023-09-25,40.75,41.09,40.58,41.02,10866800
2023-09-22,41.75,41.86,40.86,40.92,15438200
2023-09-21,42.06,42.36,41.69,41.71,12260100
2023-09-20,42.95,43.13,42.27,42.3,11240700
2023-09-19,42.79,42.86,42.47,42.68,11031700
2023-09-18,42.6,42.78,42.4,42.64,10467400
2023-09-15,42.75,43.24,42.66,42.71,22975500
2023-09-14,42.79,43.44,42.73,43.14,19422800
2023-09-13,41.94,42.9,41.68,42.37,31031900
2023-09-12,40.57,42.06,40.56,41.68,24774700
2023-09-11,40.81,41.37,40.53,40.59,11404200
2023-09-08,40.61,40.69,40.28,40.59,15055400
2023-09-07,41.07,41.37,40.7,40.73,12406100
2023-09-06,41.02,41.49,40.91,41.37,13675200
2023-09-05,41.53,41.93,41.19,41.36,15843400
2023-09-01,41.59,41.82,41.38,41.59,12408300
2023-08-31,41.51,41.68,41.01,41.29,17795700
2023-08-30,41.69,41.84,41.34,41.37,18211400
2023-08-29,41.3,41.77,41.26,41.72,13199700
2023-08-28,41.48,41.86,41.15,41.32,14125900
2023-08-25,41.26,41.66,40.78,41.24,16881900
2023-08-24,41.02,41.67,40.72,41.08,15579600
2023-08-23,41.06,41.23,40.77,41.08,16214500
2023-08-22,42.31,42.38,40.97,41.02,20525300
2023-08-21,42.62,42.76,41.67,42.07,14486300
2023-08-18,42.15,42.8,42.09,42.25,12902900
2023-08-17,42.84,43.08,42.09,42.46,16123600
2023-08-16,43.02,43.16,42.57,42.64,13963600
2023-08-15,43.65,43.65,43.18,43.21,17125100
2023-08-14,44.08,44.41,43.98,44.1,14280300
2023-08-11,44.04,44.62,43.98,44.57,11971200
2023-08-10,44.71,44.99,44.25,44.34,12112300
2023-08-09,45.02,45.19,44.41,44.44,13957100
2023-08-08,45.02,45.23,44.14,45.16,18524500
2023-08-07,45.95,46.24,45.63,45.83,16972000
2023-08-04,45.73,46.69,45.56,45.71,18320300
2023-08-03,45.97,46.47,45.71,46.21,13467100
2023-08-02,46.42,46.68,45.95,46.31,13101100
2023-08-01,47.33,47.47,46.81,47.07,15219100
2023-07-31,47.59,48.05,47.36,47.66,14377200
2023-07-28,48.32,48.36,47.09,47.41,20871700
2023-07-27,47.6,49.12,47.44,47.88,25162700
2023-07-26,47.39,47.75,47.02,47.49,12267900
2023-07-25,47.49,47.78,47.06,47.09,14729900
2023-07-24,46.98,47.84,46.98,47.66,19006200
2023-07-21,47.54,47.6,46.82,47.05,18247400
2023-07-20,47.39,47.88,47.23,47.41,17647200
2023-07-19,47.08,47.84,46.62,47.52,15789100
2023-07-18,46.75,47.66,46.68,47.02,24685000
2023-07-17,45.81,46.62,45.72,46.26,18521400
2023-07-14,48.48,48.55,45.69,45.75,38601700
2023-07-13,47.56,47.85,47.14,47.68,26210700
2023-07-12,47.26,48.27,47.22,47.38,17960500
2023-07-11,45.8,46.61,45.63,46.53,14132400
2023-07-10,45.6,46.39,45.54,45.67,14307600
2023-07-07,45.23,46.35,45.21,45.74,13158000
2023-07-06,46.5,46.5,45.11,45.38,17431400
2023-07-05,46.71,47.05,46.41,46.8,11852900
2023-07-03,46.08,47.29,46.02,46.74,10159900
2023-06-30,46.78,46.8,46.03,46.04,15211800
2023-06-29,46.17,46.79,46.01,46.29,18840800
2023-06-28,46.37,46.39,45.82,46.23,13394900
2023-06-27,46.2,46.61,45.9,46.4,11863300
2023-06-26,46.12,46.69,46.01,46.24,13253900
2023-06-23,46.1,46.25,45.84,46.02,13249100
2023-06-22,47.22,47.26,46.43,46.63,11841900
2023-06-21,47.5,47.85,47.23,47.41,10550700
2023-06-20,47.91,47.91,47.08,47.61,12777700
2023-06-16,48.84,48.84,48.16,48.19,18221600
2023-06-15,48.13,48.59,47.58,48.56,14926100
2023-06-14,48.83,49.27,47.56,48.24,22053000
2023-06-13,48.45,49.42,48.45,48.69,14062700
2023-06-12,48.27,48.5,47.97,48.45,13801000
2023-06-09,48.1,48.57,47.91,48.3,11744000
2023-06-08,47.73,48.25,47.53,48.1,12058600
2023-06-07,47.47,48.18,47.16,48.01,15457400
2023-06-06,46.19,47.51,46.15,47.22,14189200
2023-06-05,46.36,46.48,45.81,46.24,11004700
2023-06-02,45.47,46.68,45.36,46.32,19443600
2023-06-01,44.68,45.35,44.31,44.84,15757100
2023-05-31,44.2,44.41,43.71,44.32,18154100
2023-05-30,44.73,44.89,44.25,44.7,12431100
2023-05-26,44.46,44.65,43.99,44.6,11962600
2023-05-25,44.3,44.8,43.88,44.23,18109400
2023-05-24,45.16,45.24,44.21,44.49,23744900
2023-05-23,45.84,46.82,45.8,45.91,13797100
2023-05-22,45.97,46.1,45.45,45.79,14471000
2023-05-19,46.46,46.73,45.62,45.71,15406400
2023-05-18,46.98,46.98,45.86,46.39,17618000
2023-05-17,45.78,47.11,45.78,47.08,16359100
2023-05-16,45.93,46.16,45.26,45.28,9201200
2023-05-15,45.69,46.31,45.63,46.05,11911300
2023-05-12,46.33,46.38,45.07,45.45,12810300
2023-05-11,45.74,46.13,45.43,46.03,11222800
2023-05-10,47.15,47.19,45.59,46.37,11840000
2023-05-09,45.91,46.76,45.79,46.52,10188800
2023-05-08,46.88,47.15,46.27,46.36,8760900
2023-05-05,45.8,46.5,45.67,46.32,13380500
2023-05-04,45.04,45.4,44.08,44.9,20601800
2023-05-03,46.13,46.6,45.63,45.67,14533500
2023-05-02,46.82,47.06,45.56,46.0,19450100
2023-05-01,47.88,48.38,47.17,47.25,18314800
2023-04-28,46.19,47.33,46.04,47.07,15216400
2023-04-27,47.04,47.35,46.44,47.03,16541400
2023-04-26,47.8,47.86,46.39,46.86,16984600
2023-04-25,48.5,48.65,47.72,47.9,15374000
2023-04-24,49.03,49.31,48.75,49.03,11208800
2023-04-21,48.96,49.22,48.32,49.03,14377300
2023-04-20,49.81,50.05,49.1,49.4,20410200
2023-04-19,49.73,50.45,49.38,50.4,14894000
2023-04-18,49.93,50.3,49.45,50.08,16616200
2023-04-17,49.76,49.81,49.09,49.69,19590400
2023-04-14,48.17,49.89,48.02,49.56,33064500
2023-04-13,46.9,47.59,46.58,47.3,15578900
2023-04-12,47.48,47.64,46.52,46.92,14330900
2023-04-11,46.67,47.37,46.59,47.2,14177300
2023-04-10,45.79,46.76,45.77,46.52,11777100
2023-04-06,45.8,46.21,45.52,45.86,11918100
2023-04-05,45.47,46.19,45.31,45.77,11739100
2023-04-04,46.9,47.02,45.65,46.09,15542400
2023-04-03,47.14,47.49,46.43,46.71,16633100
2023-03-31,46.6,46.97,46.33,46.89,16009200
2023-03-30,46.48,46.64,45.74,46.07,14226400
2023-03-29,45.59,46.01,45.46,45.95,15047000
2023-03-28,44.72,45.23,44.49,45.22,16206000
2023-03-27,44.06,45.0,43.88,44.78,29335200
2023-03-24,42.84,43.12,42.01,43.11,25453900
2023-03-23,44.31,44.85,43.11,43.45,24112600
2023-03-22,45.18,45.31,43.68,43.71,21672000
2023-03-21,45.57,46.02,44.95,45.07,29835600
2023-03-20,44.71,45.74,43.91,44.09,31899900
2023-03-17,44.98,44.98,43.82,44.25,37130200
2023-03-16,44.66,46.09,43.7,45.62,28877300
2023-03-15,45.44,45.5,44.1,44.82,41832800
2023-03-14,47.21,47.99,46.56,47.4,42165900
2023-03-13,47.0,47.24,44.6,44.74,50709200
2023-03-10,48.08,49.38,47.13,48.34,29770800
2023-03-09,50.58,50.83,48.41,48.6,29460100
2023-03-08,51.06,51.27,50.3,50.68,12847700
2023-03-07,51.8,52.13,50.73,51.08,30953800
2023-03-06,52.36,52.45,52.01,52.18,12693300
