date,open,high,low,close,volume
2024-03-30,38.31,40.57,37.83,39.07,7148716
2024-03-29,38.32,40.59,37.86,39.08,74689832
2024-03-28,37.852,39.05,37.337,38.31,56522352
2024-03-27,38.75,39.181,36.44,37.872,68689506
2024-03-26,38.0,42.5,37.441,38.73,76079132
2024-03-25,37.012,38.373,36.6,38.01,64193258
2024-03-24,35.66,37.4,35.45,37.01,49935706
2024-03-23,35.04,36.36,34.56,35.71,48426997
2024-03-22,35.63,36.759,34.04,35.07,57244077
2024-03-21,35.78,36.31,34.79,35.71,56376998
2024-03-20,32.768,36.23,31.61,35.766,68773497
2024-03-19,35.42,35.8,31.51,32.73,77421739
2024-03-18,37.05,37.456,34.0,35.42,58601829
2024-03-17,36.19,38.7,34.14,37.13,69919066
2024-03-16,38.92,39.45,35.29,36.07,71380455
2024-03-15,40.65,41.23,35.61,38.91,103793277
2024-03-14,42.909,42.95,38.3,40.63,90654917
2024-03-13,42.54,44.1,41.938,42.91,83797517
2024-03-12,43.13,43.94,39.73,42.57,98683507
2024-03-11,40.27,45.95,37.921,43.12,118832507
2024-03-10,40.48,43.64,39.25,40.35,87199581
2024-03-09,40.62,41.49,39.734,40.394,68876734
2024-03-08,39.21,42.2,37.38,40.62,88122432
2024-03-07,38.7,39.85,37.63,39.2,85416754
2024-03-06,35.46,39.04,34.76,38.651,97811755
2024-03-05,39.32,41.6,30.56,35.539,134082156
2024-03-04,38.07,41.89,36.0,39.221,100337478
2024-03-03,39.85,40.08,34.25,38.08,93316403
2024-03-02,33.94,41.05,33.77,39.92,116889752
2024-03-01,32.09,35.25,32.02,33.97,65313729
2024-02-29,31.25,33.85,30.91,31.955,84689754
2024-02-28,32.09,33.03,28.421,31.25,78707817
2024-02-27,31.81,32.93,31.3,32.07,63007845
2024-02-26,30.94,33.09,29.95,31.82,54667628
2024-02-25,30.47,31.025,29.72,30.96,44892570
2024-02-24,29.56,31.0,29.11,30.48,46554957
2024-02-23,29.66,30.28,28.772,29.49,39907494
2024-02-22,29.427,30.97,28.83,29.65,54276890
2024-02-21,29.81,30.09,28.25,29.46,44294306
2024-02-20,30.17,30.86,28.62,29.88,57211405
2024-02-19,29.78,30.35,29.5,30.09,46355815
2024-02-18,30.26,30.59,29.41,29.732,46015310
2024-02-17,29.06,30.29,28.38,30.27,51754742
2024-02-16,29.07,29.44,28.16,29.03,47347667
2024-02-15,28.17,29.77,27.97,29.046,48586994
2024-02-14,27.95,28.58,27.493,28.1,45671643
2024-02-13,28.28,28.46,27.13,27.89,42417339
2024-02-12,27.55,28.71,27.04,28.23,42090783
2024-02-11,27.52,28.39,27.02,27.54,40126468
2024-02-10,27.62,27.67,26.78,27.53,35400298
2024-02-09,26.89,27.73,26.85,27.507,41913413
2024-02-08,26.99,27.109,26.45,26.89,41257796
2024-02-07,26.31,27.09,26.0,26.94,41557598
2024-02-06,27.21,27.46,26.27,26.32,37790644
2024-02-05,26.77,27.49,26.424,27.25,34645661
2024-02-04,27.65,27.71,26.68,26.81,31283332
2024-02-03,27.612,27.9,27.26,27.74,32513534
2024-02-02,27.276,27.65,26.96,27.61,30624854
2024-02-01,26.63,27.38,26.03,27.27,37420169
2024-01-31,27.55,27.68,26.3,26.63,38984330
2024-01-30,28.03,28.67,27.345,27.48,37835439
2024-01-29,27.53,28.18,27.13,28.1,36185222
2024-01-28,28.1,28.57,27.35,27.6,34516653
2024-01-27,27.689,28.106,27.54,28.08,35292970
2024-01-26,26.96,28.13,26.85,27.71,37293450
2024-01-25,27.06,27.24,26.38,26.99,38829465
2024-01-24,26.88,27.67,25.8,27.09,38375543
2024-01-23,27.551,28.29,25.78,26.93,46522727
2024-01-22,28.61,28.775,27.28,27.551,47641580
2024-01-21,28.75,29.81,28.47,28.47,39533836
2024-01-20,27.56,28.91,27.33,28.75,40822489
2024-01-19,27.85,28.0,25.71,27.57,51670679
2024-01-18,28.83,29.14,27.33,27.854,48141665
2024-01-17,29.48,29.599,28.51,28.79,47127961
2024-01-16,29.2,29.9,28.87,29.49,44250315
2024-01-15,28.29,29.8,28.206,29.2,32760901
2024-01-14,29.55,29.676,28.21,28.25,49047336
2024-01-13,29.0,30.04,28.08,29.49,50375348
2024-01-12,30.09,31.23,27.564,29.0,62824694
2024-01-11,29.46,30.81,29.21,30.05,69492818
2024-01-10,27.39,30.0,26.777,29.43,66831859
2024-01-09,28.481,28.6,26.37,27.34,35386970
2024-01-08,27.16,28.51,25.311,28.47,45238419
