date,open,high,low,close,volume
2024-03-30,9.524,9.81,9.344,9.509,55401574
2024-03-29,9.524,9.812,9.349,9.518,294665728
2024-03-28,9.441,9.6566,9.293,9.522,259183583
2024-03-27,9.686,9.81,9.302,9.438,325392728
2024-03-26,9.738,10.059,9.5239,9.689,360756482
2024-03-25,9.374,9.831,9.287,9.7367,300666153
2024-03-24,8.9712,9.4348,8.9551,9.373,193041938
2024-03-23,8.941,9.2277,8.853,8.9728,189986287
2024-03-22,9.177,9.3703,8.6963,8.94,296569819
2024-03-21,9.4829,9.5891,9.064,9.179,341959124
2024-03-20,8.763,9.57,8.489,9.484,530907741
2024-03-19,9.8946,9.991,8.6,8.766,607301835
2024-03-18,10.0741,10.456,9.601,9.901,461962142
2024-03-17,9.674,10.258,9.194,10.0776,466294928
2024-03-16,10.812,10.905,9.5,9.6769,587580190
2024-03-15,11.554,11.702,9.976,10.812,916276315
2024-03-14,11.384,11.893,10.664,11.557,954859836
2024-03-13,10.739,11.4,9.78,11.38,569338750
2024-03-12,11.0254,11.153,10.046,10.737,566762255
2024-03-11,10.277,11.258,9.8,11.0254,733295312
2024-03-10,10.516,10.595,9.9401,10.273,388874905
2024-03-09,10.658,10.977,10.409,10.514,449980303
2024-03-08,10.423,10.894,9.9245,10.6599,609067054
2024-03-07,10.55,11.021,10.234,10.42,585840471
2024-03-06,9.334,10.569,8.931,10.546,783733356
2024-03-05,9.877,10.8,8.0527,9.336,1345409497
2024-03-04,9.7865,10.315,9.5847,9.878,857188708
2024-03-03,9.469,9.917,8.562,9.783,663668776
2024-03-02,8.67,9.473,8.584,9.47,553392267
2024-03-01,8.268,8.68,8.2613,8.667,336431152
2024-02-29,8.353,8.9,8.0414,8.266,508493882
2024-02-28,8.373,8.727,7.7105,8.354,609235960
2024-02-27,8.113,8.45,7.9866,8.372,405624500
2024-02-26,7.922,8.124,7.58,8.111,296502812
2024-02-25,7.819,7.947,7.677,7.92,183729022
2024-02-24,7.564,7.8965,7.431,7.82,237375316
2024-02-23,7.4801,7.645,7.243,7.564,249643272
2024-02-22,7.469,7.685,7.276,7.475,239367257
2024-02-21,7.731,7.731,7.222,7.468,276903184
2024-02-20,8.0284,8.119,7.4041,7.73,378987928
2024-02-19,7.8602,8.15,7.6472,8.029,331476480
2024-02-18,7.707,7.923,7.26,7.8578,205287649
2024-02-17,7.655,7.712,7.3288,7.7045,189701668
2024-02-16,7.788,7.872,7.5415,7.656,216737045
2024-02-15,7.655,7.958,7.5301,7.788,336231658
2024-02-14,7.359,7.8893,7.278,7.657,294559497
2024-02-13,7.344,7.511,7.115,7.358,241793764
2024-02-12,7.102,7.382,6.981,7.345,245642262
2024-02-11,7.2033,7.345,7.08,7.101,169782015
2024-02-10,7.199,7.295,7.0623,7.202,149811265
