date,open,high,low,close,volume
2024-03-28,96.14,96.85,95.77,96.71,2637612
2024-03-27,94.1,96.13,94.03,96.09,3166169
2024-03-26,94.8,95.07,93.57,93.67,2823082
2024-03-25,94.88,95.16,94.39,94.84,2015963
2024-03-22,95.55,95.73,94.56,94.61,2308623
2024-03-21,95.49,96.05,94.93,94.96,2744971
2024-03-20,95.0,95.72,94.58,95.41,2682272
2024-03-19,95.26,95.59,94.55,95.14,2492617
2024-03-18,94.85,95.24,94.11,94.94,2736736
2024-03-15,94.36,95.66,94.36,94.71,6196962
2024-03-14,95.4,95.82,94.34,95.05,3541005
2024-03-13,95.5,96.3,95.41,95.5,3519187
2024-03-12,95.39,96.25,94.69,95.01,2878149
2024-03-11,94.82,95.89,94.5,95.84,1967110
2024-03-08,94.48,95.12,93.8,94.94,2266655
2024-03-07,94.91,95.13,94.23,94.48,2610595
2024-03-06,93.47,94.32,92.97,94.07,4229904
2024-03-05,92.78,94.27,92.33,92.69,3679258
2024-03-04,90.22,92.56,90.22,92.42,3724616
2024-03-01,91.75,91.88,90.09,90.86,3367634
2024-02-29,91.06,92.08,90.76,91.83,5245731
2024-02-28,90.75,91.25,90.43,90.74,3255588
2024-02-27,90.64,91.33,90.46,90.85,2962382
2024-02-26,92.47,92.57,90.52,90.65,3797730
2024-02-23,92.4,93.33,91.92,92.73,2494544
2024-02-22,92.29,92.59,91.3,92.13,4131503
2024-02-21,92.2,93.28,92.02,92.99,2781750
2024-02-20,92.0,92.78,91.51,91.94,2590763
2024-02-16,92.07,92.34,91.1,91.88,4120822
2024-02-15,90.73,92.41,90.53,92.36,2952010
2024-02-14,91.3,91.99,90.93,91.34,3062435
2024-02-13,92.61,92.93,90.3,91.61,3428199
2024-02-12,91.56,92.85,91.17,92.65,3926121
2024-02-09,92.26,92.73,91.63,91.69,4642789
2024-02-08,94.74,95.2,91.47,92.65,5581108
2024-02-07,95.47,95.61,94.78,95.5,2471009
2024-02-06,95.09,95.41,94.75,95.06,2172268
2024-02-05,95.5,96.08,94.76,95.25,3142735
2024-02-02,96.85,97.1,95.51,96.22,2519449
2024-02-01,95.35,97.85,94.75,97.79,2745923
2024-01-31,96.1,96.99,95.3,95.83,3678690
2024-01-30,95.69,96.12,94.77,95.53,3201247
2024-01-29,96.03,96.18,95.31,95.77,3149014
2024-01-26,95.63,96.3,95.24,95.87,3554173
2024-01-25,95.55,95.78,94.44,95.73,2461026
2024-01-24,96.04,96.14,94.15,94.54,3869953
2024-01-23,95.01,95.94,95.01,95.61,2903045
2024-01-22,95.6,96.29,94.7,95.06,2465568
2024-01-19,96.3,96.3,95.2,95.56,2965063
2024-01-18,96.57,96.58,95.36,95.86,2453682
2024-01-17,97.64,98.69,95.97,96.83,3272855
2024-01-16,97.86,98.95,97.56,98.03,3527087
2024-01-12,97.72,98.78,97.3,98.46,2791893
2024-01-11,99.01,99.01,96.84,97.15,3063460
2024-01-10,99.5,99.92,99.1,99.28,3076655
2024-01-09,98.75,99.39,98.52,99.09,2024944
2024-01-08,98.38,99.44,98.06,99.39,2453464
2024-01-05,98.49,98.75,97.57,98.54,2192115
2024-01-04,99.0,99.35,98.36,98.49,2423704
2024-01-03,97.93,98.89,97.5,98.78,3687569
2024-01-02,96.52,98.28,96.13,97.81,3352256
2023-12-29,96.64,97.27,96.35,97.04,2295313
2023-12-28,96.06,97.06,96.0,96.92,1912800
2023-12-27,96.4,96.78,96.02,96.3,1987644
2023-12-26,96.62,97.51,96.43,96.73,2228525
2023-12-22,96.84,97.64,96.32,96.86,1927521
2023-12-21,95.94,96.5,95.22,96.36,3072565
2023-12-20,96.64,97.27,95.55,95.68,3428493
2023-12-19,97.51,97.54,96.46,96.81,2711939
2023-12-18,97.2,98.33,96.75,97.17,4277125
2023-12-15,97.99,98.15,95.62,96.63,8742774
2023-12-14,98.76,99.48,97.99,98.31,6870784
2023-12-13,95.5,98.14,94.85,98.08,3970186
2023-12-12,95.49,95.5,94.12,95.33,3942732
2023-12-11,94.04,95.4,93.59,95.36,4989081
2023-12-08,94.45,94.74,93.8,94.39,3271726
2023-12-07,93.9,94.89,93.33,94.46,3813022
2023-12-06,92.85,93.96,92.65,93.94,3260503
2023-12-05,92.86,92.97,91.9,92.47,2601202
2023-12-04,92.02,93.23,92.02,92.73,2796500
2023-12-01,92.2,92.65,91.55,92.64,4016400
2023-11-30,91.66,92.4,91.12,92.28,4959400
