date,open,high,low,close,volume
2024-03-28,7.46,7.52,7.37,7.42,1561233
2024-03-27,7.31,7.53,7.19,7.44,1281507
2024-03-26,7.46,7.59,7.2,7.22,1850850
2024-03-25,7.46,7.6,7.32,7.36,1171132
2024-03-22,7.76,7.78,7.44,7.47,1267855
2024-03-21,8.0,8.44,7.81,7.83,1985821
2024-03-20,7.67,8.12,7.59,7.92,2354479
2024-03-19,7.68,7.98,7.6,7.75,1993573
2024-03-18,8.1,8.15,7.7,7.72,2658315
2024-03-15,8.15,8.31,8.05,8.13,6638645
2024-03-14,8.5,8.59,8.07,8.15,1471370
2024-03-13,8.56,8.86,8.49,8.59,1329836
2024-03-12,9.02,9.08,8.58,8.61,1459445
2024-03-11,9.16,9.6,8.91,9.0,1598758
2024-03-08,8.99,9.33,8.79,9.16,1690956
2024-03-07,9.16,9.34,8.69,8.85,2198492
2024-03-06,9.21,9.41,8.95,9.08,1868210
2024-03-05,9.77,9.95,9.05,9.14,2416997
2024-03-04,10.57,10.73,9.77,9.92,1964849
2024-03-01,10.08,11.06,9.97,10.53,2700209
2024-02-29,11.29,11.38,10.02,10.06,3876535
2024-02-28,10.24,11.58,9.58,11.07,7179821
2024-02-27,8.3,9.02,8.15,8.86,3199636
2024-02-26,7.67,8.17,7.67,8.06,1499062
2024-02-23,7.89,7.92,7.68,7.81,1047016
2024-02-22,8.0,8.13,7.78,7.93,1568663
2024-02-21,7.95,8.1,7.62,8.01,1204838
2024-02-20,8.0,8.23,7.82,7.95,1288390
2024-02-16,8.18,8.24,8.04,8.15,1270985
2024-02-15,8.02,8.48,7.99,8.31,2005203
2024-02-14,7.6,7.94,7.54,7.92,2001798
2024-02-13,7.75,7.76,7.33,7.4,2427390
2024-02-12,7.45,8.15,7.38,8.13,2007953
2024-02-09,7.25,7.48,7.12,7.45,1410141
2024-02-08,7.15,7.29,7.01,7.17,1683668
2024-02-07,7.16,7.19,6.96,7.11,1611043
2024-02-06,7.04,7.28,6.92,7.21,1813351
2024-02-05,6.98,7.13,6.91,7.08,1191803
2024-02-02,7.09,7.17,6.88,7.11,1200531
2024-02-01,7.07,7.28,6.97,7.22,1352517
2024-01-31,7.23,7.45,7.02,7.03,1298178
2024-01-30,7.52,7.52,7.17,7.21,1399114
2024-01-29,7.29,7.65,6.95,7.63,1680395
2024-01-26,7.86,7.93,7.26,7.29,2169458
2024-01-25,8.07,8.18,7.74,7.78,1572533
