date,open,high,low,close,volume
2024-03-28,76.32,76.91,76.15,76.6,777173
2024-03-27,75.69,76.45,75.6,76.42,645963
2024-03-26,75.2,75.6,74.94,75.54,252459
2024-03-25,75.38,75.38,74.92,75.12,312437
2024-03-22,75.96,75.96,75.44,75.66,227443
2024-03-21,74.82,75.0,74.26,74.63,492856
2024-03-20,74.78,75.5,73.8,74.43,334296
2024-03-19,74.46,74.88,74.3,74.62,825122
2024-03-18,74.41,74.64,74.13,74.35,264365
2024-03-15,74.81,74.9,74.5,74.7,680694
2024-03-14,75.5,75.52,74.47,74.58,594666
2024-03-13,76.35,76.54,75.98,76.28,282664
2024-03-12,77.0,77.1,76.57,76.78,376790
2024-03-11,77.99,78.03,77.29,77.62,471386
2024-03-08,77.67,78.03,77.32,77.75,641547
2024-03-07,78.51,78.55,77.47,77.89,467949
2024-03-06,77.51,78.28,77.4,78.06,398607
2024-03-05,77.3,77.78,76.95,77.51,387200
2024-03-04,75.53,76.11,75.45,76.03,1149318
2024-03-01,75.21,76.41,74.71,76.35,472685
2024-02-29,75.3,75.9,75.3,75.76,398425
2024-02-28,74.46,75.09,74.3,75.0,301646
2024-02-27,74.73,74.99,74.25,74.38,324555
2024-02-26,75.64,75.64,74.66,75.08,260620
2024-02-23,74.21,75.57,74.19,75.49,342922
2024-02-22,73.62,74.15,73.56,73.96,265209
2024-02-21,74.16,74.25,73.26,73.47,295778
2024-02-20,74.15,74.58,74.05,74.15,238719
2024-02-16,73.88,74.24,73.74,74.21,291472
2024-02-15,74.97,75.11,74.34,74.65,317935
2024-02-14,73.63,74.39,73.52,74.14,400749
2024-02-13,74.31,74.5,73.7,73.78,575649
2024-02-12,75.3,75.56,74.87,75.38,937487
2024-02-09,75.23,75.53,75.1,75.32,222318
2024-02-08,75.43,75.69,74.98,75.47,276557
2024-02-07,76.06,76.7,75.95,76.11,282680
2024-02-06,75.75,76.7,75.7,76.53,374166
2024-02-05,76.2,76.39,75.5,75.64,585705
2024-02-02,78.0,78.41,77.36,77.88,829481
2024-02-01,79.15,80.65,78.97,80.07,674406
2024-01-31,77.57,78.3,77.21,77.8,644635
2024-01-30,76.74,77.0,75.9,76.97,453330
2024-01-29,75.33,76.3,75.12,75.95,945517
2024-01-26,74.91,75.1,74.42,74.75,230535
2024-01-25,75.0,75.26,74.5,74.91,312639
2024-01-24,75.58,75.58,74.01,74.29,434988
2024-01-23,74.94,74.94,74.3,74.88,384697
2024-01-22,75.89,76.23,75.4,75.68,618747
2024-01-19,74.65,75.15,74.18,75.09,347624
2024-01-18,75.59,75.66,74.37,74.71,427148
2024-01-17,75.65,76.2,75.15,75.76,405315
2024-01-16,76.58,76.82,75.47,75.84,654791
2024-01-12,78.02,78.56,77.49,77.66,242865
2024-01-11,77.58,78.17,76.96,78.04,433891
2024-01-10,78.47,78.58,77.55,77.61,469894
2024-01-09,78.31,78.8,78.12,78.26,586727
2024-01-08,77.83,79.1,77.7,78.89,1493860
2024-01-05,78.19,79.46,77.78,77.91,973422
2024-01-04,79.23,79.47,78.83,79.11,664870
2024-01-03,79.28,80.84,78.92,80.71,892705
2024-01-02,80.25,80.68,79.92,80.25,781326
2023-12-29,81.28,82.02,80.81,81.03,448589
2023-12-28,82.34,82.88,81.73,82.02,538486
2023-12-27,82.09,82.79,81.71,82.79,580969
2023-12-26,80.67,80.95,80.47,80.77,365288
2023-12-22,81.62,81.65,80.26,80.55,662075
2023-12-21,82.8,82.89,81.63,81.89,512643
2023-12-20,82.25,82.76,81.53,82.6,502763
2023-12-19,81.83,82.33,81.65,81.85,329916
2023-12-18,81.37,81.48,80.9,81.42,1571983
2023-12-15,81.74,82.48,81.6,82.28,1461310
2023-12-14,80.39,82.1,80.15,82.0,1639213
2023-12-13,77.24,79.22,77.2,79.02,1596095
2023-12-12,76.25,76.84,75.87,76.62,662478
2023-12-11,76.16,76.51,75.61,76.35,570894
2023-12-08,76.59,76.85,75.96,76.65,1033839
2023-12-07,77.4,78.39,77.21,77.59,726339
2023-12-06,77.2,78.42,76.97,78.14,1727734
2023-12-05,75.54,76.65,75.46,76.54,1402464
2023-12-04,74.2,74.54,73.77,74.32,797487
2023-12-01,72.85,74.74,72.66,74.58,1150500
2023-11-30,73.28,73.54,72.35,72.68,670500
2023-11-29,73.47,74.1,73.03,74.05,1871200
2023-11-28,72.26,72.79,72.02,72.73,429400
2023-11-27,71.52,72.62,71.4,72.62,369500
2023-11-24,71.32,71.4,70.93,70.93,328700
2023-11-22,72.35,72.55,71.56,72.11,327100
2023-11-21,71.52,71.95,70.92,71.66,408800
2023-11-20,70.66,71.79,70.65,71.69,639700
2023-11-17,71.26,71.54,70.65,71.05,518900
2023-11-16,70.21,70.95,70.15,70.54,711900
2023-11-15,69.96,70.0,69.15,69.4,481700
2023-11-14,71.03,71.21,70.18,70.77,470700
2023-11-13,68.02,68.83,67.65,68.64,488400
2023-11-10,69.17,69.37,68.73,68.94,575100
2023-11-09,69.96,69.96,67.3,68.35,1369900
2023-11-08,69.39,70.72,69.34,70.65,473700
2023-11-07,68.38,69.4,68.38,68.84,454800
2023-11-06,67.8,67.94,67.28,67.52,501100
2023-11-03,69.82,69.96,68.3,68.37,821900
2023-11-02,67.33,68.12,66.87,67.8,737200
2023-11-01,64.4,65.62,64.4,65.42,611400
2023-10-31,64.52,64.97,63.55,63.74,501700
2023-10-30,63.88,64.52,63.18,64.12,673500
