date,open,high,low,close,volume
2024-03-28,41.02,41.2,41.02,41.08,28032390
2024-03-27,40.84,40.93,40.74,40.93,21819488
2024-03-26,40.99,41.01,40.84,40.86,15363263
2024-03-25,40.8,40.95,40.8,40.89,12894783
2024-03-22,40.9,40.96,40.79,40.86,30355589
2024-03-21,41.38,41.39,41.13,41.15,27655693
2024-03-20,40.72,41.12,40.66,41.1,32307978
2024-03-19,40.58,40.72,40.42,40.64,23851778
2024-03-18,41.01,41.05,40.79,40.84,23107946
2024-03-15,40.84,40.92,40.71,40.77,32816634
2024-03-14,41.26,41.31,40.91,41.02,31566236
2024-03-13,41.19,41.31,41.16,41.23,25743137
2024-03-12,41.25,41.38,41.07,41.36,37392446
2024-03-11,40.9,41.05,40.87,40.91,22761639
2024-03-08,40.99,41.12,40.77,40.82,30341386
2024-03-07,40.67,40.89,40.59,40.86,26916060
2024-03-06,40.64,40.77,40.55,40.61,45875017
2024-03-05,40.19,40.29,39.96,40.03,32915178
2024-03-04,40.54,40.54,40.34,40.39,38144455
2024-03-01,40.28,40.56,40.2,40.48,35477283
2024-02-29,40.18,40.19,39.93,39.99,43973800
2024-02-28,40.12,40.14,39.9,39.97,31288915
2024-02-27,40.53,40.56,40.45,40.5,21206377
2024-02-26,40.38,40.49,40.35,40.42,23804696
2024-02-23,40.59,40.66,40.46,40.6,37973622
2024-02-22,40.57,40.66,40.43,40.62,32548054
2024-02-21,40.22,40.33,40.08,40.21,29076101
2024-02-20,40.24,40.32,40.04,40.14,32493764
2024-02-16,40.05,40.21,39.99,40.08,36729053
2024-02-15,39.73,39.91,39.71,39.89,27273258
2024-02-14,39.61,39.74,39.53,39.7,28923100
2024-02-13,39.38,39.53,38.95,39.14,42252408
2024-02-12,39.64,40.1,39.63,39.89,33026511
2024-02-09,39.46,39.64,39.25,39.58,22416486
2024-02-08,39.46,39.5,39.3,39.41,23485837
2024-02-07,39.5,39.68,39.47,39.63,22270167
2024-02-06,39.31,39.6,39.23,39.58,41288419
2024-02-05,38.55,38.8,38.49,38.7,26934954
2024-02-02,38.59,38.69,38.45,38.65,29803674
2024-02-01,38.62,38.78,38.53,38.76,22048379
2024-01-31,38.46,38.73,38.27,38.39,37689739
2024-01-30,38.49,38.61,38.41,38.6,22928188
2024-01-29,39.0,39.01,38.7,38.91,24133552
2024-01-26,38.82,39.0,38.79,38.89,21031551
2024-01-25,38.97,39.02,38.74,38.86,23156960
2024-01-24,39.07,39.09,38.77,38.81,38215751
2024-01-23,38.21,38.43,38.19,38.38,34710411
2024-01-22,37.95,38.15,37.91,38.05,25753711
2024-01-19,38.08,38.42,37.94,38.39,31372016
2024-01-18,37.97,38.03,37.83,37.99,31884760
2024-01-17,37.5,37.7,37.48,37.68,50591570
2024-01-16,38.51,38.53,38.19,38.25,44486806
2024-01-12,39.34,39.5,39.17,39.2,21605763
2024-01-11,39.11,39.17,38.78,39.06,24682081
2024-01-10,38.94,38.97,38.81,38.9,20149369
2024-01-09,38.98,39.08,38.91,38.99,31344425
2024-01-08,39.17,39.57,39.13,39.55,16208686
2024-01-05,39.45,39.71,39.38,39.44,21875623
2024-01-04,39.39,39.6,39.38,39.39,20388615
2024-01-03,39.33,39.65,39.32,39.52,32220848
2024-01-02,39.83,39.95,39.65,39.74,20839203
2023-12-29,40.2,40.42,40.17,40.21,48758237
2023-12-28,40.28,40.44,40.22,40.23,36660649
2023-12-27,39.89,39.98,39.82,39.92,30120642
2023-12-26,39.7,39.77,39.58,39.69,16173194
2023-12-22,39.26,39.46,39.22,39.38,17082948
2023-12-21,39.38,39.6,39.31,39.57,33402795
2023-12-20,39.29,39.35,38.79,38.84,44766591
2023-12-19,40.13,40.36,40.1,40.3,33688596
2023-12-18,39.95,39.99,39.78,39.96,37419352
2023-12-15,40.18,40.28,39.98,39.98,37110359
2023-12-14,39.9,40.28,39.9,40.22,51998907
2023-12-13,39.02,39.66,38.83,39.64,42607770
2023-12-12,39.12,39.27,38.94,39.25,20278349
2023-12-11,39.01,39.25,38.96,39.24,20426387
2023-12-08,38.93,39.14,38.85,39.01,25195432
2023-12-07,39.12,39.2,39.0,39.18,19735030
2023-12-06,39.28,39.3,38.98,38.99,23069039
2023-12-05,38.93,39.09,38.84,39.04,25462341
2023-12-04,39.42,39.5,39.19,39.28,28074884
2023-12-01,39.29,39.73,39.21,39.73,27127800
2023-11-30,39.57,39.61,39.29,39.56,30482700
2023-11-29,39.51,39.72,39.44,39.48,26049200
2023-11-28,39.56,39.78,39.49,39.71,35006700
2023-11-27,39.37,39.42,39.27,39.38,22925200
2023-11-24,39.36,39.57,39.33,39.54,11365000
2023-11-22,39.55,39.64,39.38,39.52,20006500
2023-11-21,39.75,39.83,39.52,39.6,20929700
2023-11-20,39.54,39.92,39.52,39.85,35801100
2023-11-17,39.32,39.43,39.24,39.36,28460900
2023-11-16,39.24,39.49,39.14,39.31,22868300
2023-11-15,39.69,39.91,39.6,39.69,43281700
2023-11-14,38.92,39.42,38.91,39.36,66042500
2023-11-13,38.22,38.49,38.14,38.34,23437400
2023-11-10,38.08,38.35,38.02,38.35,18540300
2023-11-09,38.42,38.53,38.03,38.08,25631100
2023-11-08,38.47,38.62,38.36,38.44,18963500
2023-11-07,38.53,38.73,38.35,38.7,18218400
2023-11-06,38.96,38.99,38.72,38.77,32347100
2023-11-03,38.19,38.54,38.17,38.46,41736500
2023-11-02,37.59,37.72,37.47,37.69,33661400
2023-11-01,36.69,37.06,36.65,37.04,27879300
2023-10-31,36.61,36.72,36.41,36.7,37734300
2023-10-30,37.1,37.15,36.78,36.91,30506700
2023-10-27,36.89,36.95,36.47,36.53,34216900
2023-10-26,36.47,36.65,36.4,36.56,28415700
2023-10-25,36.85,37.0,36.7,36.74,25267400
2023-10-24,36.89,37.3,36.89,37.23,33962200
2023-10-23,36.52,36.91,36.38,36.76,34568600
2023-10-20,36.92,37.05,36.76,36.79,39066900
2023-10-19,37.35,37.55,37.22,37.24,28401800
2023-10-18,37.68,37.73,37.4,37.46,29849100
2023-10-17,37.83,38.23,37.82,38.04,24251700
2023-10-16,37.86,38.23,37.81,38.14,21117700
2023-10-13,38.03,38.16,37.77,37.86,26187900
2023-10-12,38.51,38.53,37.9,38.0,36022000
2023-10-11,38.47,38.57,38.27,38.43,24577700
2023-10-10,37.9,38.25,37.87,38.19,35189100
2023-10-09,37.32,37.66,37.26,37.65,21799900
2023-10-06,37.28,37.92,37.22,37.83,33736400
2023-10-05,37.16,37.32,37.03,37.29,27725900
2023-10-04,37.19,37.26,37.02,37.15,36174300
2023-10-03,37.4,37.55,37.2,37.26,52953900
2023-10-02,37.88,37.93,37.66,37.76,30529200
2023-09-29,38.33,38.33,37.88,37.95,41783600
2023-09-28,37.65,37.96,37.58,37.92,31425500
2023-09-27,37.95,37.98,37.63,37.82,27723500
2023-09-26,37.92,38.03,37.73,37.76,39426100
2023-09-25,38.15,38.34,38.15,38.3,29050100
2023-09-22,38.64,38.71,38.44,38.47,40006500
2023-09-21,38.1,38.2,38.01,38.02,33915600
2023-09-20,38.96,39.11,38.69,38.69,24521800
2023-09-19,38.91,38.98,38.77,38.85,17394800
2023-09-18,39.01,39.1,38.9,39.08,22967000
2023-09-15,39.29,39.35,39.09,39.13,32980000
2023-09-14,39.25,39.38,39.13,39.28,22611200
2023-09-13,39.03,39.16,38.95,39.02,20707900
2023-09-12,38.9,39.19,38.89,39.07,26259600
2023-09-11,39.14,39.21,38.99,39.19,20748000
2023-09-08,38.74,38.83,38.65,38.71,15126500
2023-09-07,38.7,38.73,38.55,38.63,23907500
2023-09-06,39.22,39.42,39.03,39.09,29118500
2023-09-05,39.42,39.46,39.27,39.31,23571600
2023-09-01,39.71,39.83,39.54,39.63,26152300
2023-08-31,39.37,39.39,39.11,39.17,35424700
2023-08-30,39.57,39.77,39.55,39.66,16164200
2023-08-29,39.4,39.82,39.29,39.79,30243400
2023-08-28,39.19,39.33,39.12,39.29,21426800
2023-08-25,38.88,38.99,38.58,38.91,20154800
2023-08-24,39.16,39.24,38.86,38.87,25776700
2023-08-23,38.7,39.07,38.68,39.02,27643300
2023-08-22,38.64,38.68,38.35,38.41,26689800
2023-08-21,38.34,38.52,38.27,38.49,24331900
2023-08-18,38.26,38.48,38.21,38.4,33904700
2023-08-17,39.05,39.07,38.63,38.66,35544200
2023-08-16,38.7,38.89,38.56,38.57,37596400
2023-08-15,39.18,39.18,38.87,38.92,31837500
2023-08-14,39.18,39.45,39.04,39.37,25510000
2023-08-11,39.7,39.73,39.46,39.56,32302900
2023-08-10,40.38,40.7,40.08,40.15,26321200
2023-08-09,40.25,40.28,39.93,40.09,27936800
2023-08-08,39.87,40.0,39.67,39.99,22600700
2023-08-07,40.65,40.65,40.31,40.48,19419100
2023-08-04,40.7,40.92,40.49,40.54,29249200
2023-08-03,40.48,40.74,40.44,40.59,20893600
2023-08-02,40.75,40.75,40.34,40.43,35588700
2023-08-01,41.61,41.65,41.37,41.42,34635600
2023-07-31,41.79,42.0,41.72,41.95,28029100
2023-07-28,41.74,41.96,41.67,41.93,34529000
2023-07-27,41.48,41.51,40.9,40.94,37548500
2023-07-26,41.03,41.57,41.01,41.45,34963100
2023-07-25,41.37,41.4,41.19,41.21,32437300
2023-07-24,40.46,41.02,40.42,40.87,47123600
2023-07-21,40.49,40.53,40.29,40.32,21620200
2023-07-20,40.5,40.6,40.32,40.38,31226700
2023-07-19,40.82,40.99,40.63,40.68,26941200
2023-07-18,40.83,40.92,40.64,40.76,29378000
2023-07-17,40.84,41.07,40.67,41.06,25782900
2023-07-14,41.14,41.16,40.98,41.01,26724500
2023-07-13,40.93,41.32,40.91,41.24,44062400
2023-07-12,40.43,40.74,40.41,40.71,61015900
2023-07-11,39.66,39.84,39.49,39.82,19619000
2023-07-10,39.15,39.44,39.14,39.42,22273400
2023-07-07,39.08,39.6,39.07,39.39,21467700
2023-07-06,39.17,39.23,38.81,38.95,36352500
2023-07-05,39.83,39.85,39.69,39.76,15853800
2023-07-03,40.01,40.21,39.95,40.0,15417000
2023-06-30,39.56,39.72,39.47,39.56,23366700
2023-06-29,39.16,39.28,39.15,39.25,23278300
2023-06-28,39.39,39.51,39.3,39.46,21628400
2023-06-27,39.62,39.72,39.52,39.7,21799500
2023-06-26,39.33,39.48,39.26,39.3,18302400
2023-06-23,39.23,39.23,39.06,39.17,26321400
2023-06-22,39.64,39.8,39.58,39.75,22804200
2023-06-21,39.86,39.96,39.74,39.89,20771300
2023-06-20,40.29,40.35,39.96,40.08,50477100
2023-06-16,41.09,41.09,40.77,40.88,40001500
2023-06-15,40.84,41.04,40.76,41.02,36328400
2023-06-14,40.35,40.73,40.33,40.64,37898300
2023-06-13,40.37,40.47,40.23,40.34,35053100
2023-06-12,39.88,39.99,39.82,39.94,25267100
2023-06-09,39.83,40.05,39.82,39.86,22199200
2023-06-08,39.43,39.72,39.42,39.68,26886800
2023-06-07,39.56,39.77,39.34,39.4,44313300
2023-06-06,39.45,39.93,39.41,39.88,35447700
2023-06-05,39.43,39.55,39.35,39.53,16947400
2023-06-02,39.5,39.64,39.49,39.54,53716400
2023-06-01,38.25,38.89,38.23,38.87,32875300
2023-05-31,38.24,38.25,37.91,38.19,35917900
2023-05-30,38.9,38.91,38.44,38.55,25536900
2023-05-26,38.66,39.07,38.66,39.0,24941700
2023-05-25,38.51,38.51,38.25,38.32,28492700
2023-05-24,38.65,38.67,38.38,38.4,31559600
2023-05-23,38.95,39.05,38.67,38.69,43844500
2023-05-22,39.26,39.47,39.26,39.3,30254000
2023-05-19,39.05,39.09,38.9,38.98,26847500
2023-05-18,39.01,39.03,38.78,38.95,30378900
2023-05-17,38.98,39.21,38.91,39.16,24358200
2023-05-16,38.99,39.15,38.96,38.98,24887200
2023-05-15,38.96,39.31,38.84,39.26,28911000
2023-05-12,38.74,38.75,38.47,38.55,32788900
2023-05-11,38.81,39.02,38.7,39.01,34620300
2023-05-10,39.13,39.26,38.94,39.15,22410300
2023-05-09,39.01,39.2,38.97,39.17,17294900
2023-05-08,39.53,39.55,39.34,39.41,19721300
2023-05-05,39.05,39.42,38.99,39.39,18248200
2023-05-04,38.88,39.0,38.78,38.87,29417100
2023-05-03,38.66,38.82,38.53,38.56,18827800
2023-05-02,38.85,38.85,38.48,38.62,24041500
2023-05-01,38.97,39.27,38.95,39.0,16797000
2023-04-28,38.94,39.16,38.92,39.13,22481000
2023-04-27,38.63,38.98,38.59,38.93,23496200
2023-04-26,38.66,38.69,38.38,38.41,45521300
2023-04-25,38.4,38.43,38.13,38.19,31095100
2023-04-24,38.92,38.98,38.79,38.92,19963200
2023-04-21,39.04,39.06,38.79,39.01,26632600
2023-04-20,39.39,39.62,39.26,39.38,29763400
2023-04-19,39.38,39.49,39.3,39.44,25851700
2023-04-18,39.96,40.01,39.74,39.84,23990600
2023-04-17,39.88,39.95,39.73,39.89,26173500
2023-04-14,39.75,39.92,39.53,39.72,26673200
2023-04-13,39.85,40.0,39.81,39.93,28752600
2023-04-12,39.8,39.83,39.31,39.39,30341900
2023-04-11,39.77,39.84,39.65,39.67,23177000
2023-04-10,39.27,39.44,39.2,39.43,20271700
2023-04-06,39.14,39.47,39.03,39.39,22277700
2023-04-05,39.46,39.49,39.09,39.23,35785500
2023-04-04,39.47,39.57,39.35,39.54,31518500
2023-04-03,39.44,39.57,39.32,39.54,19637700
2023-03-31,39.51,39.62,39.32,39.46,36174700
2023-03-30,39.46,39.61,39.35,39.51,32982200
2023-03-29,39.0,39.18,38.9,39.12,32173100
2023-03-28,38.8,39.01,38.76,39.01,43707600
2023-03-27,38.4,38.49,38.26,38.46,36646700
2023-03-24,38.46,38.68,38.39,38.67,28044500
2023-03-23,38.97,39.21,38.58,38.77,39622100
2023-03-22,38.37,38.82,38.22,38.24,40375300
2023-03-21,38.04,38.19,37.89,38.09,27670600
2023-03-20,37.53,37.83,37.44,37.75,28310700
2023-03-17,37.81,37.87,37.48,37.61,40165600
2023-03-16,37.21,37.86,37.15,37.84,39880200
2023-03-15,37.09,37.28,36.9,37.27,53217000
2023-03-14,37.84,38.02,37.72,37.92,36333400
2023-03-13,37.73,38.17,37.65,37.9,43071400
2023-03-10,38.02,38.25,37.8,37.84,49329400
2023-03-09,38.51,38.58,37.96,38.04,40118900
2023-03-08,38.75,38.98,38.74,38.9,18795900
2023-03-07,39.24,39.25,38.71,38.74,36382400
2023-03-06,39.51,39.68,39.39,39.4,26014300
2023-03-03,39.32,39.58,39.27,39.54,20682400
2023-03-02,38.87,39.29,38.8,39.19,28952900
2023-03-01,39.17,39.21,38.97,39.05,39597500
2023-02-28,38.36,38.52,38.19,38.23,39670600
2023-02-27,38.53,38.6,38.42,38.5,24344400
2023-02-24,38.31,38.49,38.15,38.3,48596300
2023-02-23,39.49,39.56,38.93,39.18,28551700
2023-02-22,39.07,39.2,38.87,38.99,37035500
2023-02-21,39.4,39.62,39.17,39.18,33984300
2023-02-17,39.67,39.78,39.52,39.68,35131700
2023-02-16,39.92,40.31,39.81,40.12,30045300
2023-02-15,39.84,40.11,39.77,40.11,31114000
2023-02-14,40.23,40.64,40.1,40.45,21664300
2023-02-13,40.33,40.6,40.24,40.52,20906700
2023-02-10,40.35,40.37,40.06,40.19,34463800
2023-02-09,40.96,41.0,40.44,40.58,27083800
2023-02-08,40.54,40.6,40.22,40.39,38255400
2023-02-07,40.34,40.6,40.05,40.44,31941600
2023-02-06,40.15,40.36,40.0,40.28,41471500
2023-02-03,41.11,41.4,40.78,40.88,42341000
2023-02-02,41.87,41.9,41.42,41.62,45943800
2023-02-01,41.55,42.03,41.27,41.87,51809100
2023-01-31,41.09,41.36,41.01,41.36,43197800
2023-01-30,41.63,41.82,41.43,41.45,38598300
2023-01-27,42.36,42.38,42.1,42.3,36989100
2023-01-26,42.44,42.53,42.21,42.5,28722100
2023-01-25,41.84,42.1,41.61,42.1,30325100
2023-01-24,41.87,42.09,41.81,42.06,34713300
2023-01-23,41.79,42.23,41.76,42.03,38252700
2023-01-20,41.39,41.73,41.26,41.73,42854900
2023-01-19,40.96,41.25,40.94,41.1,33834900
2023-01-18,41.43,41.48,40.77,40.79,54860300
2023-01-17,41.02,41.12,40.9,41.07,41016000
2023-01-13,40.98,41.33,40.97,41.3,32838900
2023-01-12,40.89,41.12,40.5,41.03,42088800
2023-01-11,40.59,40.84,40.52,40.83,41854800
2023-01-10,40.48,40.67,40.28,40.66,34936500
2023-01-09,40.55,40.68,40.35,40.37,59967500
2023-01-06,39.5,40.09,39.26,40.07,49058000
2023-01-05,38.99,39.33,38.98,39.25,25175600
2023-01-04,38.9,39.41,38.68,39.37,57044200
2023-01-03,38.34,38.64,38.11,38.22,35557900
2022-12-30,38.14,38.31,37.76,37.9,38297800
2022-12-29,38.23,38.49,38.18,38.43,27088700
2022-12-28,38.26,38.3,37.78,37.8,31813900
2022-12-27,38.13,38.56,38.08,38.36,42338900
2022-12-23,37.79,37.91,37.61,37.8,19543300
2022-12-22,38.08,38.11,37.57,37.85,27011800
2022-12-21,37.79,38.19,37.71,38.19,23607700
2022-12-20,37.73,38.0,37.69,37.85,25688000
2022-12-19,38.11,38.11,37.79,37.86,22995200
2022-12-16,37.9,38.07,37.77,37.83,48065200
2022-12-15,38.32,38.45,37.69,37.72,48081300
2022-12-14,38.6,38.8,38.31,38.61,62300900
2022-12-13,39.11,39.21,38.51,38.59,60886900
2022-12-12,38.88,38.9,38.57,38.9,41524600
2022-12-09,39.35,39.41,39.02,39.02,48742700
2022-12-08,39.19,39.4,39.06,39.28,41138200
2022-12-07,38.75,38.96,38.68,38.81,46263200
2022-12-06,39.24,39.29,38.94,39.04,31558200
