date,open,high,low,close,volume
2024-03-28,21.91,21.96,21.87,21.94,2213
2024-03-27,21.89,21.98,21.89,21.98,746
2024-03-26,21.74,21.74,21.74,21.74,142
2024-03-25,21.98,21.99,21.94,21.94,286
2024-03-22,21.81,21.88,21.79,21.88,2092
2024-03-21,21.92,21.94,21.91,21.91,423
2024-03-20,21.74,21.99,21.74,21.99,566
2024-03-19,21.76,21.79,21.75,21.75,1878
2024-03-18,22.08,22.08,21.93,21.93,1266
2024-03-15,21.99,21.99,21.99,21.99,144
2024-03-14,22.01,22.08,22.01,22.08,389
2024-03-13,21.94,21.99,21.92,21.99,602
2024-03-12,21.78,21.78,21.77,21.77,349
2024-03-11,21.77,21.77,21.72,21.72,449
2024-03-08,21.89,21.89,21.82,21.82,457
2024-03-07,21.73,21.77,21.73,21.77,517
2024-03-06,21.76,21.79,21.76,21.79,148
2024-03-05,21.45,21.55,21.44,21.55,944
2024-03-04,21.65,21.65,21.6,21.62,1040
2024-03-01,21.78,21.78,21.78,21.78,32
2024-02-29,21.51,21.57,21.51,21.52,425
2024-02-28,21.64,21.7,21.57,21.57,675
2024-02-27,21.85,21.91,21.81,21.91,1696
2024-02-26,21.91,21.91,21.81,21.83,822
2024-02-23,21.87,21.87,21.82,21.85,505
2024-02-22,21.95,21.95,21.9,21.92,1019
2024-02-21,21.91,21.91,21.7,21.81,2109
2024-02-20,21.57,21.81,21.57,21.81,5494
2024-02-16,21.17,21.27,21.17,21.27,619
2024-02-15,21.02,21.02,21.0,21.0,257
2024-02-14,20.94,20.96,20.91,20.94,1625
2024-02-13,20.86,20.86,20.86,20.86,23
2024-02-12,21.32,21.36,21.32,21.36,695
2024-02-09,21.04,21.1,21.04,21.1,632
2024-02-08,21.09,21.09,21.07,21.07,283
2024-02-07,21.3,21.3,21.3,21.3,10
2024-02-06,21.29,21.29,21.29,21.29,6
2024-02-05,20.79,20.84,20.79,20.84,105
2024-02-02,20.72,20.75,20.72,20.75,292
2024-02-01,20.85,20.97,20.85,20.97,356
2024-01-31,20.86,20.94,20.78,20.88,653
2024-01-30,20.87,20.87,20.83,20.83,868
2024-01-29,21.08,21.13,21.08,21.13,361
2024-01-26,21.13,21.18,21.13,21.18,655
2024-01-25,21.1,21.16,20.99,21.16,1004
2024-01-24,20.93,20.99,20.88,20.93,1965
2024-01-23,20.49,20.64,20.49,20.64,2298
2024-01-22,20.52,20.6,20.37,20.37,3441
2024-01-19,20.73,20.97,20.73,20.87,875
2024-01-18,20.95,20.95,20.84,20.84,232
2024-01-17,20.92,20.95,20.77,20.95,1412
2024-01-16,21.43,21.43,21.12,21.12,2073
2024-01-12,21.59,21.73,21.59,21.73,942
2024-01-11,21.34,21.37,21.34,21.37,570
2024-01-10,21.45,21.45,21.45,21.45,19
2024-01-09,21.39,21.39,21.39,21.39,283
2024-01-08,21.55,21.66,21.55,21.57,1959
2024-01-05,21.72,21.75,21.69,21.75,2670
2024-01-04,21.46,21.51,21.43,21.51,507
2024-01-03,21.62,21.63,21.54,21.63,39971
2024-01-02,21.62,21.62,21.62,21.62,357
2023-12-29,21.51,21.55,21.38,21.4,11202
