date,open,high,low,close,volume
2024-03-28,57.51,57.67,57.42,57.57,2093178
2024-03-27,57.45,57.51,57.22,57.45,2400986
2024-03-26,57.47,57.5,57.23,57.23,1856666
2024-03-25,57.29,57.45,57.24,57.37,1355682
2024-03-22,57.4,57.4,57.17,57.23,1543771
2024-03-21,57.83,57.83,57.46,57.47,2986511
2024-03-20,56.66,57.28,56.56,57.24,3686879
2024-03-19,56.56,56.69,56.31,56.6,2377276
2024-03-18,57.12,57.15,56.77,56.81,2834673
2024-03-15,57.0,57.0,56.71,56.76,4161336
2024-03-14,57.57,57.6,57.07,57.23,20512469
2024-03-13,57.35,57.36,57.17,57.29,2176721
2024-03-12,57.53,57.67,57.21,57.65,2535658
2024-03-11,57.34,57.34,57.08,57.2,1307709
2024-03-08,57.75,57.93,57.32,57.39,1398692
2024-03-07,57.3,57.59,57.16,57.57,2663861
2024-03-06,56.89,57.13,56.83,56.98,2890799
2024-03-05,56.46,56.53,56.07,56.17,1569194
2024-03-04,56.7,56.74,56.6,56.64,1890564
2024-03-01,56.07,56.56,55.96,56.48,2116949
2024-02-29,56.05,56.11,55.74,55.84,1475725
2024-02-28,56.0,56.0,55.68,55.76,1240898
2024-02-27,56.23,56.26,56.1,56.17,2371446
2024-02-26,56.29,56.29,56.11,56.23,7159738
2024-02-23,56.51,56.51,56.24,56.43,1995082
2024-02-22,56.46,56.61,56.37,56.56,1034333
2024-02-21,56.14,56.14,55.85,56.09,1483267
2024-02-20,56.28,56.45,56.08,56.31,2078241
2024-02-16,56.02,56.18,55.84,56.01,1532684
2024-02-15,55.85,56.02,55.78,56.01,2755582
2024-02-14,55.59,55.84,55.56,55.79,2256364
2024-02-13,55.41,55.41,54.72,54.93,1314058
2024-02-12,55.79,56.26,55.78,55.98,1681983
2024-02-09,55.73,55.85,55.48,55.79,2092012
2024-02-08,55.52,55.6,55.36,55.52,2174708
2024-02-07,55.39,55.71,55.39,55.68,1613170
2024-02-06,55.05,55.37,55.05,55.36,1323287
2024-02-05,54.69,54.84,54.46,54.69,2353039
2024-02-02,54.74,54.85,54.55,54.8,2087903
2024-02-01,54.59,54.72,54.26,54.68,2279934
2024-01-31,54.31,54.57,53.98,54.06,2073732
2024-01-30,54.3,54.38,54.13,54.38,1002151
2024-01-29,54.63,54.73,54.38,54.68,2259356
2024-01-26,54.13,54.39,54.13,54.27,1498040
2024-01-25,54.19,54.27,53.94,54.06,2526025
2024-01-24,54.3,54.34,53.98,54.04,1758066
2024-01-23,53.59,53.74,53.46,53.74,1178398
2024-01-22,53.84,53.94,53.68,53.74,1876184
2024-01-19,53.69,53.98,53.48,53.95,1611261
2024-01-18,53.14,53.3,53.02,53.29,2165038
2024-01-17,52.62,52.74,52.43,52.7,1656278
2024-01-16,53.7,53.77,53.28,53.34,2326063
2024-01-12,54.69,54.82,54.44,54.55,1208681
2024-01-11,54.32,54.38,53.86,54.24,2506917
2024-01-10,54.23,54.27,53.97,54.12,1726516
2024-01-09,54.41,54.42,54.13,54.23,1444071
2024-01-08,54.54,55.01,54.48,54.99,1579810
2024-01-05,54.5,54.87,54.42,54.54,827870
2024-01-04,54.36,54.58,54.29,54.34,1979275
2024-01-03,54.34,54.45,54.13,54.3,1895262
2024-01-02,55.07,55.12,54.76,54.92,1400936
2023-12-29,55.5,55.73,55.22,55.41,1584104
2023-12-28,55.7,55.73,55.47,55.5,3281905
2023-12-27,55.23,55.38,55.19,55.35,2944860
2023-12-26,54.91,54.98,54.78,54.93,1798630
2023-12-22,54.46,54.53,54.3,54.45,1960224
2023-12-21,54.11,54.33,54.01,54.31,1382033
2023-12-20,54.15,54.22,53.4,53.42,2749708
2023-12-19,54.75,55.0,54.61,54.89,2725957
2023-12-18,54.45,54.59,54.26,54.52,2003608
2023-12-15,54.62,54.67,54.34,54.37,1491796
2023-12-14,54.37,54.83,54.37,54.69,2219337
2023-12-13,53.05,53.93,52.8,53.93,1549777
2023-12-12,53.05,53.15,52.79,53.14,863145
2023-12-11,52.99,53.22,52.91,53.21,968513
2023-12-08,52.84,53.07,52.74,52.99,868076
2023-12-07,52.93,53.03,52.74,53.01,750022
2023-12-06,53.09,53.09,52.69,52.72,1364751
2023-12-05,52.78,52.84,52.54,52.78,834854
2023-12-04,53.05,53.14,52.74,52.88,719672
2023-12-01,52.71,53.36,52.68,53.35,1103000
2023-11-30,52.9,52.93,52.61,52.88,1330700
2023-11-29,52.98,53.11,52.8,52.84,1102700
2023-11-28,52.67,53.0,52.62,52.91,680500
2023-11-27,52.41,52.41,52.16,52.33,1107000
2023-11-24,52.32,52.42,52.27,52.38,789400
2023-11-22,52.5,52.59,52.32,52.45,969800
2023-11-21,52.82,52.83,52.5,52.57,651000
2023-11-20,52.42,52.83,52.42,52.76,1006200
2023-11-17,52.32,52.38,52.21,52.31,975500
2023-11-16,52.23,52.35,52.06,52.24,980500
2023-11-15,52.23,52.38,52.09,52.18,916900
2023-11-14,51.51,52.04,51.35,51.98,1393300
2023-11-13,50.59,50.74,50.38,50.64,754100
2023-11-10,50.5,50.88,50.41,50.84,455100
2023-11-09,50.76,50.82,50.27,50.32,1207200
2023-11-08,50.84,50.88,50.56,50.69,2503000
2023-11-07,50.89,51.05,50.68,51.02,1611300
2023-11-06,51.17,51.33,51.04,51.16,1035200
2023-11-03,50.26,50.78,50.15,50.68,1413400
2023-11-02,49.59,49.89,49.56,49.89,1096600
2023-11-01,48.1,48.88,48.1,48.87,2579300
2023-10-31,47.99,48.22,47.91,48.21,1640000
2023-10-30,48.5,48.62,48.18,48.37,1701100
2023-10-27,48.46,48.46,47.76,47.86,1390700
2023-10-26,48.07,48.15,47.78,48.02,2225800
2023-10-25,48.75,48.75,48.35,48.41,1536100
2023-10-24,48.95,49.06,48.82,49.0,2314600
2023-10-23,48.43,48.88,48.25,48.66,1880500
2023-10-20,49.03,49.13,48.79,48.81,3716700
2023-10-19,49.49,49.68,49.27,49.32,21987000
2023-10-18,49.81,49.81,49.31,49.42,1092500
2023-10-17,49.97,50.35,49.85,50.13,1391200
2023-10-16,49.96,50.22,49.86,50.17,840200
2023-10-13,50.03,50.11,49.61,49.67,1553600
2023-10-12,50.37,50.37,49.67,49.86,2657200
2023-10-11,50.31,50.42,50.05,50.27,997100
2023-10-10,49.58,50.04,49.58,49.98,1133500
2023-10-09,49.12,49.37,48.85,49.37,959700
2023-10-06,49.07,49.78,48.86,49.68,1739400
2023-10-05,49.12,49.18,48.8,49.15,928300
2023-10-04,49.06,49.12,48.77,48.99,799200
2023-10-03,49.27,49.49,48.94,49.06,698900
2023-10-02,49.77,49.83,49.43,49.59,987800
2023-09-29,50.41,50.41,49.73,49.83,1214400
2023-09-28,49.55,50.0,49.47,49.93,3849700
2023-09-27,49.94,49.96,49.46,49.7,1455900
2023-09-26,50.0,50.03,49.61,49.68,1845700
2023-09-25,50.32,50.45,50.25,50.41,638800
2023-09-22,50.63,50.78,50.4,50.41,847100
2023-09-21,50.5,50.5,50.21,50.25,900700
2023-09-20,51.43,51.57,51.03,51.07,538100
2023-09-19,51.32,51.32,51.06,51.19,965800
2023-09-18,51.48,51.51,51.28,51.47,494700
2023-09-15,51.79,51.82,51.45,51.5,701900
2023-09-14,51.67,51.79,51.52,51.72,878100
2023-09-13,51.39,51.44,50.89,51.32,487700
2023-09-12,51.17,51.35,51.08,51.24,814900
2023-09-11,51.37,51.49,51.21,51.49,529800
2023-09-08,51.0,51.09,50.88,50.95,452300
2023-09-07,50.88,50.88,50.66,50.74,716000
2023-09-06,51.24,51.34,50.88,50.98,577800
2023-09-05,51.46,51.52,51.33,51.36,671000
2023-09-01,51.73,51.93,51.5,51.64,656900
2023-08-31,51.69,51.69,51.25,51.27,1368400
2023-08-30,52.1,52.1,51.86,51.93,1258300
2023-08-29,51.63,52.13,51.44,52.11,682700
2023-08-28,51.59,51.68,51.47,51.67,1149000
2023-08-25,51.48,51.48,50.99,51.37,1747700
2023-08-24,51.77,51.77,51.27,51.3,1074500
2023-08-23,51.27,51.64,51.15,51.6,832700
2023-08-22,51.06,51.1,50.7,50.77,687000
2023-08-21,50.79,50.88,50.57,50.86,480500
2023-08-18,50.43,50.71,50.37,50.66,706300
2023-08-17,51.1,51.11,50.59,50.64,913500
2023-08-16,50.92,51.04,50.62,50.65,1184900
2023-08-15,51.21,51.21,50.88,50.93,1035500
2023-08-14,51.28,51.41,51.02,51.4,626800
2023-08-11,51.77,51.84,51.52,51.58,453500
2023-08-10,52.39,52.63,51.99,52.05,500600
2023-08-09,52.28,52.28,51.93,52.12,553400
2023-08-08,51.98,51.98,51.58,51.94,946800
2023-08-07,52.59,52.64,52.34,52.53,842400
2023-08-04,52.53,52.86,52.33,52.41,1526600
2023-08-03,52.34,52.39,52.09,52.25,2354300
2023-08-02,52.94,52.94,52.39,52.5,2064000
2023-08-01,53.9,53.91,53.55,53.65,818500
2023-07-31,54.02,54.11,53.97,54.06,2064000
2023-07-28,54.14,54.25,54.0,54.19,551900
2023-07-27,54.25,54.27,53.51,53.58,833700
2023-07-26,53.68,54.34,53.66,54.23,751600
2023-07-25,53.99,54.13,53.99,54.07,805100
2023-07-24,53.64,53.8,53.49,53.75,792200
2023-07-21,53.41,53.41,53.15,53.21,604200
2023-07-20,53.57,53.57,53.21,53.28,1670000
2023-07-19,53.88,53.89,53.58,53.67,401300
2023-07-18,53.88,53.95,53.69,53.88,1188200
2023-07-17,53.76,53.97,53.51,53.95,502100
2023-07-14,53.89,53.9,53.64,53.69,577700
2023-07-13,53.56,53.82,53.48,53.77,500600
2023-07-12,53.0,53.31,52.91,53.26,660700
2023-07-11,52.14,52.33,51.97,52.31,502300
2023-07-10,51.57,51.72,51.47,51.69,421300
2023-07-07,51.49,51.93,51.34,51.72,496100
2023-07-06,51.73,51.73,51.14,51.33,731000
2023-07-05,52.37,52.44,52.24,52.27,920100
2023-07-03,52.48,52.66,52.34,52.53,581000
2023-06-30,52.06,52.17,51.92,51.98,611400
2023-06-29,51.58,51.71,51.49,51.68,327000
2023-06-28,51.66,51.83,51.6,51.77,533300
2023-06-27,51.98,52.08,51.82,52.05,365600
2023-06-26,51.88,51.94,51.72,51.77,349800
2023-06-23,51.65,51.66,51.45,51.57,494800
2023-06-22,52.16,52.22,52.0,52.19,389100
2023-06-21,52.39,52.44,52.19,52.37,548500
2023-06-20,52.68,52.68,52.31,52.44,473900
2023-06-16,53.24,53.24,52.92,53.01,291700
2023-06-15,53.0,53.25,52.92,53.24,546400
2023-06-14,52.78,53.08,52.59,53.0,603100
2023-06-13,52.86,52.89,52.61,52.78,839900
2023-06-12,52.19,52.36,52.11,52.35,426800
2023-06-09,52.1,52.35,52.09,52.19,598700
2023-06-08,51.59,51.86,51.53,51.85,574100
2023-06-07,51.8,51.91,51.47,51.53,959500
2023-06-06,51.67,52.0,51.59,51.98,986100
2023-06-05,51.62,51.69,51.47,51.64,1028000
2023-06-02,51.46,51.69,51.46,51.63,935300
2023-06-01,50.43,50.99,50.43,50.96,933900
2023-05-31,50.58,50.58,50.07,50.33,1010000
2023-05-30,51.28,51.35,50.77,50.89,380500
2023-05-26,50.8,51.2,50.73,51.19,1082800
2023-05-25,50.44,50.44,50.17,50.32,698900
2023-05-24,50.25,50.3,49.97,50.05,692400
2023-05-23,50.49,50.51,50.12,50.14,825300
2023-05-22,50.63,50.72,50.6,50.61,451800
2023-05-19,50.49,50.49,50.29,50.38,446300
2023-05-18,50.15,50.28,49.96,50.26,329500
2023-05-17,50.09,50.28,49.94,50.22,465700
2023-05-16,49.84,50.01,49.69,49.7,449100
2023-05-15,49.74,50.03,49.64,50.02,220600
2023-05-12,49.82,49.86,49.42,49.57,812100
2023-05-11,49.88,49.9,49.53,49.9,1813400
2023-05-10,50.42,50.42,50.05,50.33,499200
2023-05-09,50.13,50.25,50.02,50.2,3223400
2023-05-08,50.44,50.44,50.2,50.32,305700
2023-05-05,49.84,50.37,49.83,50.32,1159400
2023-05-04,49.76,49.93,49.52,49.67,599800
2023-05-03,49.5,49.77,49.39,49.43,574500
2023-05-02,49.73,49.73,49.31,49.45,620400
2023-05-01,49.9,50.06,49.69,49.75,791600
2023-04-28,49.68,49.93,49.63,49.9,1412400
2023-04-27,49.32,49.71,49.25,49.67,247700
2023-04-26,49.16,49.22,48.95,48.97,532400
2023-04-25,49.14,49.16,48.8,48.83,665700
2023-04-24,49.45,49.65,49.45,49.6,300800
2023-04-21,49.53,49.68,49.3,49.53,549200
2023-04-20,49.7,50.01,49.7,49.77,227700
2023-04-19,49.73,49.79,49.61,49.72,470500
2023-04-18,50.32,50.37,50.11,50.23,407300
2023-04-17,50.32,50.33,50.09,50.28,185900
2023-04-14,50.47,50.6,50.2,50.4,285200
2023-04-13,50.51,50.68,50.47,50.64,1602500
2023-04-12,50.43,50.43,50.03,50.07,632100
2023-04-11,49.94,50.07,49.9,49.99,300100
