date,open,high,low,close,volume
2024-03-28,127.85,128.47,126.9,127.84,3310047
2024-03-27,125.37,126.8,124.77,126.39,2197305
2024-03-26,127.5,127.73,125.22,125.78,2957064
2024-03-25,125.39,127.44,125.17,127.25,3245977
2024-03-22,126.15,126.42,124.66,124.84,3152678
2024-03-21,125.9,126.28,125.08,126.08,2675058
2024-03-20,124.33,125.93,124.0,125.7,3139454
2024-03-19,123.52,125.16,123.22,124.64,3304075
2024-03-18,123.32,123.71,121.84,123.57,2269861
2024-03-15,123.29,124.91,122.74,122.79,16696741
2024-03-14,123.26,123.94,122.54,123.79,2970177
2024-03-13,122.44,123.56,121.93,122.57,2941821
2024-03-12,120.82,121.89,120.48,120.84,4069326
2024-03-11,119.22,121.14,118.46,120.82,3784254
2024-03-08,117.49,118.89,117.12,118.72,3141485
2024-03-07,116.79,118.78,116.74,117.85,3482085
2024-03-06,117.15,117.38,115.57,116.49,3762944
2024-03-05,115.71,117.88,115.4,116.2,4265052
2024-03-04,117.63,118.15,115.74,115.83,5192406
2024-03-01,115.7,116.73,115.29,116.1,2998396
2024-02-29,114.76,115.39,113.83,114.46,4341394
2024-02-28,113.99,115.29,112.86,114.17,3162450
2024-02-27,113.0,114.17,112.11,113.94,4337085
2024-02-26,111.53,113.19,111.13,112.05,4035303
2024-02-23,109.86,112.88,109.06,111.86,6200636
2024-02-22,115.68,117.07,115.26,116.4,4753383
2024-02-21,114.3,117.09,113.89,116.36,3111877
2024-02-20,113.86,114.29,112.78,113.13,3674656
2024-02-16,114.79,115.25,113.44,113.56,4151067
2024-02-15,110.95,114.87,110.72,114.25,3082441
2024-02-14,111.83,112.58,110.2,111.01,2567982
2024-02-13,113.0,113.39,109.88,111.03,3933578
2024-02-12,111.68,113.13,111.19,112.85,3786870
2024-02-09,113.06,113.75,110.67,111.05,2607522
2024-02-08,112.9,113.96,111.8,113.06,3159700
2024-02-07,111.92,113.23,111.12,112.52,2986437
2024-02-06,110.0,112.98,109.68,111.88,3506508
2024-02-05,110.17,110.61,108.94,109.65,2957160
2024-02-02,112.66,113.0,110.38,110.85,2927413
2024-02-01,114.2,115.02,111.75,112.6,2569554
2024-01-31,116.64,116.68,113.73,113.79,3281858
2024-01-30,114.32,116.88,113.78,116.78,2947447
2024-01-29,115.37,115.42,113.76,114.96,2648511
2024-01-26,114.96,115.58,113.17,115.54,2683840
2024-01-25,112.49,114.86,112.0,114.85,2962508
2024-01-24,111.1,112.67,110.5,112.09,3527905
2024-01-23,110.52,111.91,110.07,110.37,2367815
2024-01-22,109.6,110.94,109.04,110.64,2482856
2024-01-19,110.0,110.18,108.94,110.17,2838373
2024-01-18,110.48,110.8,109.13,110.09,3378653
2024-01-17,110.5,111.76,109.89,110.63,3282375
2024-01-16,115.17,115.17,111.83,112.14,3420439
2024-01-12,117.14,117.78,115.32,116.05,3010827
2024-01-11,115.3,115.94,114.47,114.98,2133968
2024-01-10,116.05,116.08,114.17,114.99,3128922
2024-01-09,118.1,118.37,114.79,116.07,3043402
2024-01-08,118.17,118.17,116.06,117.77,4244560
2024-01-05,121.85,122.06,119.53,120.38,2157200
2024-01-04,125.56,126.07,120.84,121.02,2847481
2024-01-03,121.63,125.44,121.23,124.98,2794135
2024-01-02,121.81,123.3,121.26,121.6,3023003
2023-12-29,121.94,122.09,120.59,120.95,1756736
2023-12-28,123.12,124.06,121.29,121.33,2137211
2023-12-27,124.0,125.27,123.47,124.27,2568378
2023-12-26,123.34,124.81,122.92,124.3,1852159
2023-12-22,122.21,123.01,121.4,122.27,1742029
2023-12-21,121.66,121.7,119.77,121.08,3841692
2023-12-20,122.86,123.98,121.27,121.43,3671278
2023-12-19,121.85,122.97,120.86,122.53,3498875
2023-12-18,122.75,123.1,121.25,121.62,2875617
2023-12-15,119.43,120.65,118.79,120.11,7429081
2023-12-14,117.87,121.26,117.79,120.6,4842581
2023-12-13,117.92,118.87,116.8,118.48,5765760
2023-12-12,117.73,118.59,116.78,117.67,3447879
2023-12-11,117.56,119.69,117.5,119.2,5004141
2023-12-08,119.32,120.53,118.56,118.96,3858359
2023-12-07,120.32,121.08,117.96,118.35,3524534
2023-12-06,120.75,122.09,118.68,119.75,4613870
2023-12-05,123.18,123.56,121.46,121.95,3478419
2023-12-04,122.55,123.9,122.0,123.0,3000917
2023-12-01,122.7,125.63,122.45,123.6,2989500
2023-11-30,124.54,125.97,121.86,123.07,5597800
2023-11-29,124.23,124.39,122.7,123.24,3000100
2023-11-28,123.39,124.52,122.69,123.64,3380900
2023-11-27,122.66,123.27,121.75,123.0,2384200
2023-11-24,122.96,124.17,122.57,123.5,1318100
2023-11-22,120.6,123.46,119.1,123.17,3369300
2023-11-21,124.29,124.64,123.14,124.25,2281200
2023-11-20,124.75,125.72,124.14,125.23,3133700
2023-11-17,121.99,124.57,121.49,124.0,3667500
2023-11-16,120.91,121.77,117.36,120.7,4075100
2023-11-15,124.91,125.66,123.02,123.07,3861900
2023-11-14,123.9,125.33,123.14,125.12,2556100
2023-11-13,123.0,123.73,122.4,123.06,2413500
2023-11-10,122.48,123.29,121.65,122.7,1934300
2023-11-09,122.21,122.63,120.89,121.3,1827000
2023-11-08,121.71,122.7,120.85,121.21,3840500
2023-11-07,124.0,124.5,121.6,122.64,3582100
2023-11-06,129.28,129.53,125.1,126.42,4344500
2023-11-03,129.79,131.61,127.61,128.16,5531200
2023-11-02,123.8,128.67,123.22,128.65,4313600
2023-11-01,126.78,127.53,124.12,124.22,3394600
2023-10-31,125.32,126.64,124.25,126.25,2368400
2023-10-30,126.34,127.09,123.96,125.45,2614600
2023-10-27,127.93,128.07,124.96,125.99,2779000
2023-10-26,128.15,128.6,126.42,127.94,2367500
2023-10-25,129.7,130.52,128.67,129.73,2421900
2023-10-24,131.62,131.81,129.62,129.94,1813900
2023-10-23,131.94,133.12,130.68,131.64,2281300
2023-10-20,136.02,136.79,132.94,133.23,3424300
2023-10-19,135.0,136.68,133.93,136.23,2421300
2023-10-18,135.34,136.28,134.74,135.76,2307600
2023-10-17,133.47,135.22,133.18,134.3,2670000
2023-10-16,134.71,134.76,132.51,134.03,1993600
2023-10-13,131.6,134.63,131.26,133.84,3573300
2023-10-12,128.93,129.63,127.73,128.96,3039000
2023-10-11,125.51,127.5,124.8,127.37,2447400
2023-10-10,127.02,128.12,126.09,126.71,2833700
2023-10-09,124.22,127.87,123.8,127.24,3720000
2023-10-06,119.22,122.07,118.03,120.68,3477800
2023-10-05,118.25,120.1,117.86,118.46,2526400
2023-10-04,122.25,122.52,118.25,119.36,2814200
2023-10-03,123.55,124.29,122.79,124.24,1917900
2023-10-02,127.09,127.3,122.76,123.66,2625100
2023-09-29,129.56,129.7,126.54,126.76,3374700
2023-09-28,129.32,131.32,128.87,129.47,2274200
2023-09-27,129.47,131.02,128.41,129.81,2735000
2023-09-26,124.42,127.61,124.17,126.88,3382000
2023-09-25,122.93,125.83,122.93,125.65,2710600
2023-09-22,123.47,123.87,121.52,122.62,3222700
2023-09-21,126.2,126.77,122.24,122.59,3614100
2023-09-20,128.0,129.51,125.27,125.5,3818600
2023-09-19,133.31,133.55,127.72,129.0,3671700
2023-09-18,133.72,133.84,131.15,131.88,1998900
2023-09-15,133.51,134.61,131.6,132.18,4879800
2023-09-14,134.46,136.05,133.77,134.66,2370000
2023-09-13,134.11,134.55,131.92,132.91,1963400
2023-09-12,131.47,134.22,131.42,134.09,2442200
2023-09-11,133.76,134.36,129.48,130.17,2831300
2023-09-08,132.68,133.74,132.12,132.73,2398300
2023-09-07,133.18,133.82,131.39,131.55,1588700
2023-09-06,133.24,134.44,132.03,133.12,2015400
2023-09-05,131.96,135.41,131.67,133.39,3737700
2023-09-01,130.69,131.76,130.0,130.98,2462000
2023-08-31,128.22,128.97,126.79,128.62,2757400
2023-08-30,128.57,128.67,127.46,127.77,1642100
2023-08-29,127.53,127.95,125.94,127.85,2175000
2023-08-28,127.71,128.89,126.64,127.42,1836100
2023-08-25,126.41,127.62,124.95,127.08,2417400
2023-08-24,127.45,128.86,125.37,125.68,2811100
2023-08-23,127.96,128.93,126.72,128.89,1708200
2023-08-22,130.5,131.54,129.17,129.24,1893000
2023-08-21,131.54,132.39,129.63,130.37,1627400
2023-08-18,128.84,130.76,128.1,130.63,2045400
2023-08-17,130.76,131.4,129.47,129.73,1837500
2023-08-16,129.63,131.01,128.08,128.6,1820000
2023-08-15,130.76,130.91,128.52,129.14,1598200
2023-08-14,132.07,132.15,130.46,131.48,1438900
2023-08-11,130.83,132.83,130.73,132.33,1845100
2023-08-10,131.0,132.36,129.76,131.05,2342900
2023-08-09,129.62,132.08,129.39,130.81,3389200
2023-08-08,125.53,128.64,124.76,128.4,2958900
2023-08-07,130.44,130.44,127.24,127.63,3865100
2023-08-04,135.0,135.92,129.16,129.8,5719600
2023-08-03,130.36,133.3,129.9,131.69,4302100
2023-08-02,130.75,131.82,128.68,130.04,3250400
2023-08-01,131.54,132.05,130.16,131.75,2587300
2023-07-31,131.57,132.97,131.2,132.53,2803900
2023-07-28,129.31,130.9,127.75,130.7,3131900
2023-07-27,130.0,130.45,128.03,128.76,3090800
2023-07-26,126.63,129.42,126.57,129.32,2879000
2023-07-25,126.18,128.69,125.63,128.5,2283900
2023-07-24,125.0,127.43,124.81,126.15,2598500
2023-07-21,124.02,124.68,123.24,124.61,2246100
2023-07-20,124.3,124.72,122.83,123.49,2629500
2023-07-19,122.8,124.68,121.89,122.44,2185000
2023-07-18,118.32,123.63,118.2,122.77,3133600
2023-07-17,118.21,119.67,118.19,118.68,2254900
2023-07-14,121.16,121.16,117.75,118.93,2735800
2023-07-13,122.01,124.33,121.24,122.57,2846700
2023-07-12,120.5,121.83,119.75,121.71,3658600
2023-07-11,116.49,119.89,116.37,119.6,2965100
2023-07-10,115.46,117.29,115.39,115.77,3095400
