date,open,high,low,close,volume
2024-03-30,1.0981,1.1369,1.0791,1.0911,24259200
2024-03-29,1.0979,1.1364,1.08,1.0923,213976288
2024-03-28,1.06,1.1229,1.0341,1.0987,146064924
2024-03-27,1.0894,1.1049,1.0327,1.0601,161962474
2024-03-26,1.0684,1.101,1.0586,1.088,162385841
2024-03-25,1.0511,1.1061,1.0398,1.069,153424440
2024-03-24,1.0372,1.0547,1.0145,1.0512,136170490
2024-03-23,0.9782,1.0618,0.9693,1.0379,155538121
2024-03-22,1.0097,1.016,0.94855,0.9786,152595703
2024-03-21,1.0005,1.0297,0.9804,1.0122,160351669
2024-03-20,0.90865,1.0107,0.88223,1.001,249452687
2024-03-19,0.9844,0.9917,0.88,0.9099,311029376
2024-03-18,1.0139,1.0434,0.9506,0.9836,208133998
2024-03-17,0.9869,1.0242,0.935,1.0152,227590290
2024-03-16,1.0653,1.0862,0.9603,0.9856,261296730
2024-03-15,1.1389,1.1553,0.99687,1.0654,349267738
2024-03-14,1.1833,1.211,1.0755,1.139,285335504
2024-03-13,1.1824,1.2184,1.1524,1.1832,188215602
2024-03-12,1.2335,1.24,1.101,1.1864,245861042
2024-03-11,1.1439,1.2726,1.0952,1.2327,331830721
2024-03-10,1.1988,1.221,1.1164,1.1439,221678439
2024-03-09,1.1932,1.2311,1.1783,1.2028,218161900
2024-03-08,1.2547,1.3366,1.1256,1.1993,459660131
2024-03-07,1.0694,1.3631,1.0631,1.2535,655433731
2024-03-06,1.0258,1.0771,0.9725,1.0704,293275365
2024-03-05,1.1072,1.1697,0.8401,1.0256,484907571
2024-03-04,1.0688,1.1494,1.0518,1.1068,341558663
2024-03-03,1.1144,1.1171,0.966,1.0683,281003419
2024-03-02,0.91317,1.1397,0.9081,1.115,397458609
2024-03-01,0.8626,0.9149,0.85841,0.914,159199465
2024-02-29,0.8308,0.9365,0.82866,0.862,261185613
2024-02-28,0.8346,0.8742,0.7701,0.8309,236005298
2024-02-27,0.8148,0.8384,0.80705,0.8344,162508474
2024-02-26,0.7995,0.8157,0.774,0.8142,125787035
2024-02-25,0.8035,0.80369,0.7857,0.7992,87205733
2024-02-24,0.7992,0.8249,0.78057,0.8027,116811673
2024-02-23,0.7752,0.8822,0.7603,0.8,206599423
2024-02-22,0.76321,0.784,0.7505,0.7747,124181030
2024-02-21,0.7979,0.7985,0.737,0.7649,136565232
2024-02-20,0.792,0.8072,0.75201,0.7989,174435041
2024-02-19,0.7783,0.7936,0.7728,0.7916,112744478
2024-02-18,0.7682,0.7855,0.76262,0.7775,100979640
2024-02-17,0.7657,0.77279,0.7429,0.76805,100608367
2024-02-16,0.77219,0.7834,0.7478,0.7667,113142490
2024-02-15,0.7577,0.7825,0.75556,0.77221,144218714
2024-02-14,0.73754,0.7612,0.7312,0.757,105931062
2024-02-13,0.7545,0.7585,0.7241,0.7372,111785633
2024-02-12,0.7346,0.7596,0.7183,0.75366,109045255
2024-02-11,0.7365,0.7492,0.7304,0.73482,87451131
2024-02-10,0.7431,0.745,0.7256,0.7363,86002797
2024-02-09,0.7204,0.7535,0.71951,0.7422,120260780
2024-02-08,0.7196,0.7269,0.7132,0.72,89655893
2024-02-07,0.7128,0.7241,0.7027,0.7194,80920886
2024-02-06,0.7087,0.7235,0.708,0.713,87944199
2024-02-05,0.6961,0.7111,0.6864,0.7093,79253536
2024-02-04,0.724,0.724,0.692,0.696,71842860
2024-02-03,0.715,0.73224,0.7089,0.7232,82778924
2024-02-02,0.703,0.71518,0.6953,0.714,89951606
2024-02-01,0.6895,0.7043,0.6756,0.7027,100541731
2024-01-31,0.7019,0.70534,0.6792,0.6892,100186308
2024-01-30,0.7175,0.7261,0.7005,0.701,98482949
2024-01-29,0.7096,0.7201,0.695,0.7171,91997578
2024-01-28,0.7091,0.7344,0.70073,0.70988,113398557
2024-01-27,0.7049,0.7123,0.695,0.7094,80012983
2024-01-26,0.6884,0.70729,0.6835,0.70449,98106331
2024-01-25,0.6879,0.69358,0.6738,0.6885,96344934
2024-01-24,0.6776,0.69,0.6691,0.6883,105389136
2024-01-23,0.69118,0.70509,0.6427,0.67781,121903729
