date,open,high,low,close,volume
2024-03-28,27.73,27.93,27.65,27.86,25323
2024-03-27,27.92,27.97,27.41,27.64,48182
2024-03-26,27.45,27.75,27.45,27.47,24916
2024-03-25,27.2,27.56,27.03,27.47,30529
2024-03-22,27.44,27.63,27.16,27.16,37673
2024-03-21,27.45,27.85,27.43,27.6,88410
2024-03-20,26.55,27.34,26.55,27.29,41610
2024-03-19,26.3,26.58,26.19,26.52,58220
2024-03-18,26.56,26.83,26.52,26.72,442122
2024-03-15,26.4,26.7,26.38,26.55,55252
2024-03-14,27.3,27.3,26.36,26.56,53729
2024-03-13,27.0,27.6,26.99,27.3,266990
2024-03-12,27.05,27.26,26.8,27.09,56692
2024-03-11,27.1,27.3,26.96,27.0,342337
2024-03-08,26.84,27.56,26.84,27.18,72828
2024-03-07,26.71,26.86,26.57,26.76,247735
2024-03-06,26.41,26.73,26.31,26.65,57260
2024-03-05,26.6,26.78,25.98,26.05,56293
2024-03-04,26.94,27.05,26.69,26.81,164967
2024-03-01,26.53,26.83,26.46,26.72,125429
2024-02-29,26.6,26.8,26.27,26.5,78651
2024-02-28,26.45,26.7,26.3,26.35,69656
2024-02-27,26.36,26.55,26.21,26.49,79048
2024-02-26,25.52,26.3,25.52,26.16,234550
2024-02-23,25.51,25.85,25.45,25.6,62836
2024-02-22,25.1,25.41,25.07,25.38,62507
2024-02-21,25.09,25.13,24.67,24.83,61096
2024-02-20,25.34,25.35,25.06,25.28,68499
2024-02-16,25.9,26.0,25.55,25.71,504123
2024-02-15,25.58,25.82,25.4,25.63,207491
2024-02-14,24.98,25.51,24.98,25.46,76017
2024-02-13,24.7,24.83,24.4,24.6,79557
2024-02-12,25.08,25.7,25.08,25.45,75510
2024-02-09,25.05,25.34,24.89,25.15,95176
2024-02-08,24.55,24.96,24.53,24.89,73406
2024-02-07,24.28,24.48,23.98,24.34,248670
2024-02-06,23.95,24.25,23.94,24.2,60016
2024-02-05,24.25,24.26,23.88,24.03,68378
2024-02-02,24.3,24.62,24.19,24.48,82271
2024-02-01,24.2,24.43,23.89,24.37,64642
2024-01-31,24.46,24.76,24.08,24.11,382761
2024-01-30,24.88,24.97,24.64,24.69,79369
2024-01-29,24.35,24.99,24.35,24.97,58266
2024-01-26,24.13,24.47,24.13,24.35,35423
2024-01-25,24.33,24.33,23.93,24.07,44812
2024-01-24,24.58,24.59,24.05,24.06,47371
2024-01-23,24.35,24.47,24.15,24.3,72737
2024-01-22,24.26,24.75,24.23,24.38,70846
2024-01-19,23.79,24.06,23.57,24.04,105322
2024-01-18,23.86,23.98,23.54,23.73,92256
2024-01-17,23.56,23.79,23.46,23.78,143546
2024-01-16,23.98,24.2,23.82,23.99,517592
2024-01-12,24.6,24.72,24.24,24.28,45113
2024-01-11,24.92,25.1,24.3,24.58,90309
2024-01-10,24.61,24.87,24.44,24.75,122309
2024-01-09,24.78,24.99,24.65,24.68,50236
2024-01-08,24.34,25.0,24.34,25.0,115694
2024-01-05,24.11,24.45,24.09,24.2,25955
2024-01-04,24.1,24.42,23.97,24.21,51854
2024-01-03,24.17,24.38,24.06,24.11,107851
2024-01-02,25.51,25.51,24.76,24.81,334977
2023-12-29,26.0,26.12,25.44,25.57,91498
2023-12-28,25.94,26.19,25.93,26.08,86208
2023-12-27,25.73,26.15,25.73,26.08,276191
2023-12-26,25.54,25.83,25.53,25.71,94193
2023-12-22,25.39,25.74,25.39,25.64,97004
2023-12-21,25.2,25.45,25.11,25.38,69465
2023-12-20,25.35,25.73,24.88,24.88,120817
2023-12-19,24.87,25.41,24.87,25.38,181582
2023-12-18,24.37,24.9,24.37,24.75,476005
2023-12-15,24.71,24.79,24.39,24.47,79830
2023-12-14,24.62,25.11,24.43,24.71,146884
2023-12-13,23.52,24.49,23.39,24.38,89884
2023-12-12,23.47,23.65,23.37,23.6,102157
2023-12-11,23.43,23.59,23.41,23.49,52657
2023-12-08,23.1,23.62,23.1,23.57,139416
2023-12-07,23.1,23.22,22.94,23.22,139955
2023-12-06,23.35,23.5,23.02,23.05,97358
2023-12-05,23.0,23.18,22.91,23.02,71543
2023-12-04,23.0,23.29,22.94,23.16,69349
2023-12-01,22.19,23.08,22.1,23.0,109513
2023-11-30,22.46,22.46,22.1,22.32,67194
2023-11-29,22.34,22.68,22.34,22.4,48069
2023-11-28,21.69,22.23,21.69,22.19,71247
2023-11-27,21.43,21.83,21.43,21.78,57624
2023-11-24,21.29,21.59,21.29,21.59,20699
2023-11-22,21.22,21.38,21.2,21.35,66065
2023-11-21,21.32,21.32,21.07,21.13,33807
2023-11-20,21.01,21.38,21.01,21.32,37456
2023-11-17,20.87,21.07,20.87,21.04,57081
2023-11-16,21.01,21.02,20.68,20.79,49080
2023-11-15,20.78,21.25,20.78,21.07,49263
2023-11-14,20.51,20.87,20.51,20.78,46201
2023-11-13,19.8,20.1,19.79,20.02,61113
2023-11-10,19.77,19.93,19.64,19.87,127430
2023-11-09,20.01,20.21,19.75,19.76,41414
2023-11-08,19.68,20.01,19.55,19.96,71003
2023-11-07,19.71,19.93,19.61,19.83,41172
2023-11-06,19.92,19.96,19.56,19.68,40384
2023-11-03,19.65,20.02,19.65,19.88,60851
