date,open,high,low,close,volume
2024-03-28,30.83,30.86,30.82,30.83,1757442
2024-03-27,30.82,30.83,30.82,30.82,508919
2024-03-26,30.8,30.82,30.8,30.8,436394
2024-03-25,30.8,30.81,30.8,30.81,461354
2024-03-22,30.81,30.81,30.79,30.79,488398
2024-03-21,30.77,30.8,30.77,30.79,546756
2024-03-20,30.79,30.79,30.77,30.77,346982
2024-03-19,30.79,30.79,30.77,30.77,407867
2024-03-18,30.78,30.78,30.77,30.78,421146
2024-03-15,30.75,30.77,30.75,30.76,231283
2024-03-14,30.75,30.76,30.75,30.75,379661
2024-03-13,30.75,30.75,30.74,30.74,388653
2024-03-12,30.73,30.74,30.73,30.74,342952
2024-03-11,30.73,30.74,30.73,30.74,298181
2024-03-08,30.72,30.73,30.72,30.72,404501
2024-03-07,30.73,30.73,30.71,30.71,293415
2024-03-06,30.72,30.72,30.7,30.7,630208
2024-03-05,30.71,30.71,30.69,30.7,604459
2024-03-04,30.68,30.69,30.68,30.69,498799
2024-03-01,30.69,30.7,30.67,30.67,1488927
2024-02-29,30.82,30.83,30.81,30.81,547865
2024-02-28,30.82,30.82,30.8,30.81,342849
2024-02-27,30.81,30.81,30.8,30.8,447404
2024-02-26,30.78,30.8,30.78,30.8,349779
2024-02-23,30.78,30.79,30.78,30.79,400290
2024-02-22,30.78,30.78,30.77,30.78,337598
2024-02-21,30.75,30.77,30.75,30.77,564236
2024-02-20,30.76,30.76,30.74,30.75,479791
2024-02-16,30.74,30.74,30.73,30.74,437255
2024-02-15,30.71,30.74,30.71,30.72,487979
2024-02-14,30.71,30.72,30.7,30.71,328632
2024-02-13,30.7,30.71,30.69,30.7,741008
2024-02-12,30.71,30.71,30.69,30.69,816366
2024-02-09,30.68,30.69,30.68,30.69,658990
2024-02-08,30.68,30.68,30.66,30.67,879819
2024-02-07,30.69,30.69,30.66,30.66,383713
2024-02-06,30.67,30.68,30.64,30.68,796627
2024-02-05,30.64,30.66,30.64,30.65,770208
2024-02-02,30.64,30.65,30.63,30.63,807858
2024-02-01,30.62,30.64,30.61,30.64,1585174
2024-01-31,30.78,30.78,30.75,30.75,684151
2024-01-30,30.78,30.78,30.76,30.77,392741
2024-01-29,30.76,30.77,30.75,30.77,591964
2024-01-26,30.75,30.77,30.73,30.76,1090622
2024-01-25,30.75,30.75,30.74,30.74,699716
2024-01-24,30.73,30.74,30.73,30.74,281623
2024-01-23,30.74,30.74,30.71,30.73,441649
2024-01-22,30.73,30.73,30.72,30.73,893844
2024-01-19,30.73,30.73,30.71,30.72,382841
2024-01-18,30.7,30.72,30.7,30.72,591014
2024-01-17,30.69,30.7,30.67,30.68,1320625
2024-01-16,30.7,30.7,30.65,30.68,620195
2024-01-12,30.68,30.68,30.67,30.68,797675
2024-01-11,30.68,30.68,30.66,30.67,788329
2024-01-10,30.64,30.65,30.64,30.65,263088
2024-01-09,30.63,30.64,30.62,30.63,347054
2024-01-08,30.65,30.65,30.62,30.62,538695
2024-01-05,30.62,30.63,30.61,30.62,532755
2024-01-04,30.62,30.62,30.59,30.6,1420918
2024-01-03,30.6,30.61,30.59,30.59,442367
2024-01-02,30.58,30.6,30.58,30.6,819174
2023-12-29,30.55,30.6,30.55,30.59,1262488
2023-12-28,30.57,30.57,30.54,30.55,739177
2023-12-27,30.57,30.57,30.53,30.54,697833
2023-12-26,30.58,30.58,30.54,30.55,799855
2023-12-22,30.55,30.55,30.54,30.55,906309
2023-12-21,30.49,30.53,30.49,30.52,1032084
2023-12-20,30.53,30.53,30.48,30.49,1587260
2023-12-19,30.53,30.53,30.47,30.51,1726806
2023-12-18,30.52,30.66,30.48,30.5,783509
