date,open,high,low,close,volume
2024-03-28,168.64,173.02,167.14,168.8,2115266
2024-03-27,154.86,167.7,154.5,167.45,3378080
2024-03-26,155.5,157.55,152.63,153.16,1229584
2024-03-25,153.13,156.07,152.29,154.77,1152948
2024-03-22,152.26,153.82,151.33,153.31,1016131
2024-03-21,152.0,156.36,151.29,152.68,1693204
2024-03-20,147.55,151.96,146.48,151.02,1405880
2024-03-19,147.41,149.53,145.77,147.48,1879479
2024-03-18,148.34,151.4,146.1,149.48,1422322
2024-03-15,147.51,149.55,146.85,147.42,2438701
2024-03-14,157.75,157.75,148.63,149.39,2717925
2024-03-13,157.67,160.22,156.01,158.04,1351516
2024-03-12,161.53,162.36,157.61,159.38,1681537
2024-03-11,161.75,168.71,161.58,162.16,1744187
2024-03-08,162.24,165.35,160.19,161.35,1625073
2024-03-07,160.0,161.89,158.18,160.35,1106713
2024-03-06,161.08,163.57,156.88,158.42,1795216
2024-03-05,154.83,164.2,152.4,159.06,2766303
2024-03-04,160.0,161.2,154.16,156.7,2382695
2024-03-01,152.74,161.49,152.69,158.05,2888456
2024-02-29,151.85,157.23,149.85,153.89,4084693
2024-02-28,153.95,158.12,146.45,149.25,8492822
2024-02-27,147.0,147.56,144.28,144.99,3707105
2024-02-26,143.16,146.0,141.76,144.58,2616515
2024-02-23,144.12,144.93,141.7,142.89,1879394
2024-02-22,150.1,150.36,144.66,144.73,2136395
2024-02-21,149.41,150.65,147.42,150.03,1202941
2024-02-20,154.89,155.95,152.35,153.25,1605553
2024-02-16,157.64,159.44,155.03,156.98,1155514
2024-02-15,160.0,163.43,157.75,159.78,1952989
2024-02-14,156.46,158.59,153.7,158.24,1742477
2024-02-13,150.0,155.41,149.79,152.34,2509795
2024-02-12,152.4,159.28,151.13,157.22,2844699
2024-02-09,144.5,153.01,144.0,151.5,2749313
2024-02-08,146.12,146.13,142.0,143.17,1487659
2024-02-07,148.4,150.27,142.56,145.46,2270025
2024-02-06,139.95,142.44,138.41,141.11,2027159
2024-02-05,138.85,140.77,135.88,139.8,2217580
2024-02-02,143.98,144.02,138.83,141.82,2620115
2024-02-01,149.78,154.31,146.81,147.89,2311876
2024-01-31,149.0,154.92,146.05,146.3,2418956
2024-01-30,148.4,150.75,146.49,149.03,1354076
2024-01-29,146.99,149.33,144.33,149.3,1652745
2024-01-26,149.06,150.65,147.42,147.83,1148632
2024-01-25,150.19,151.28,145.91,149.23,1521170
2024-01-24,153.54,154.13,148.25,148.87,1600520
2024-01-23,153.88,157.67,149.8,151.46,1773202
2024-01-22,148.49,159.23,147.94,149.91,2747436
2024-01-19,147.69,147.77,140.07,145.92,3164490
2024-01-18,148.73,148.94,145.71,147.45,1700253
2024-01-17,145.95,147.46,143.76,147.26,1988595
2024-01-16,159.56,159.56,148.9,149.1,3035624
2024-01-12,160.52,162.92,157.55,160.44,1290200
2024-01-11,162.49,163.64,158.38,160.29,1535571
2024-01-10,166.69,166.76,159.71,162.33,1903097
2024-01-09,164.79,167.71,163.4,166.91,1224048
2024-01-08,164.72,167.05,161.55,166.13,1544126
2024-01-05,165.08,170.5,164.5,166.87,1106060
2024-01-04,166.43,168.27,164.32,166.31,1265855
2024-01-03,169.0,170.42,164.12,167.42,1954549
2024-01-02,170.98,177.89,169.36,172.16,1766736
2023-12-29,173.45,173.95,171.1,172.28,1079219
2023-12-28,172.53,176.08,171.23,173.22,1108174
2023-12-27,173.2,174.89,170.94,172.44,1071837
2023-12-26,170.81,173.75,170.55,171.94,985276
2023-12-22,171.23,172.06,169.16,170.39,1314664
2023-12-21,167.54,171.95,165.29,170.04,2102905
2023-12-20,172.0,172.14,162.69,164.6,2948858
2023-12-19,167.91,177.51,167.0,172.66,3839145
2023-12-18,166.5,169.36,162.95,165.94,2583398
2023-12-15,164.45,169.21,160.1,168.67,6053912
2023-12-14,151.69,164.16,151.32,158.25,5557826
2023-12-13,138.27,146.77,137.17,146.56,3215794
2023-12-12,145.74,146.38,137.54,139.9,3489342
2023-12-11,145.31,149.2,144.27,146.11,1896996
2023-12-08,150.99,153.24,142.59,145.38,4314178
2023-12-07,145.37,146.37,142.48,144.18,2367516
2023-12-06,156.75,156.82,144.98,145.29,3281533
2023-12-05,158.41,160.45,155.08,155.39,1608805
2023-12-04,161.15,165.71,159.455,159.54,1933424
2023-12-01,157.54,161.075,154.5,160.29,2133683
2023-11-30,155.96,158.27,152.5241,157.78,2705503
2023-11-29,158.0,160.82,154.6,155.43,1722772
2023-11-28,153.27,156.9799,151.52,155.02,1287648
2023-11-27,153.3,157.64,151.87,154.65,1612647
2023-11-24,159.01,159.08,154.17,154.38,1111296
2023-11-22,160.0,161.56,158.885,159.72,1312524
2023-11-21,159.84,162.4799,158.06,158.6,1380651
2023-11-20,155.0,162.3562,153.849,159.29,2094845
2023-11-17,156.22,156.22,151.86,155.02,1879605
2023-11-16,151.53,157.02,151.26,154.51,2325182
2023-11-15,150.0,158.08,147.3802,152.42,2988779
2023-11-14,137.67,150.655,137.21,149.14,3964567
2023-11-13,132.2,134.22,129.5,133.84,2612809
2023-11-10,132.36,134.22,129.215,133.92,2560951
2023-11-09,138.88,140.0,131.16,132.53,3050467
2023-11-08,143.47,143.47,135.65,137.83,2964081
2023-11-07,146.98,147.99,144.05,144.33,2522070
2023-11-06,151.94,151.94,145.6,146.97,1815415
2023-11-03,151.74,154.98,148.45,151.94,2572958
2023-11-02,145.6,151.85,145.52,147.59,2288901
2023-11-01,148.49,152.2697,138.35,142.84,4725511
2023-10-31,137.74,142.61,136.2701,142.45,3926262
2023-10-30,143.93,144.22,132.19,136.32,5294637
2023-10-27,148.88,149.7,142.38,143.26,3162611
2023-10-26,153.59,154.43,149.25,151.15,1162126
2023-10-25,154.08,154.25,149.59,151.36,1380726
2023-10-24,153.76,158.61,152.16,155.9,2342551
2023-10-23,149.18,154.19,146.75,151.32,1552383
2023-10-20,148.18,154.22,147.05,150.77,3188794
2023-10-19,156.5,156.5,150.97,151.97,1740483
2023-10-18,156.24,156.395,151.54,153.13,1421435
2023-10-17,149.1,158.39,148.46,158.06,2417354
2023-10-16,148.675,151.9989,145.775,151.29,1424783
2023-10-13,148.67,152.265,147.34,147.92,1720276
2023-10-12,156.34,156.78,147.76,149.39,2128693
2023-10-11,152.92,155.85,149.65,151.5,1869579
2023-10-10,143.41,153.17,143.09,151.56,3128687
2023-10-09,145.3,147.16,143.03,143.8,2427513
2023-10-06,143.01,150.13,142.51,148.56,2476974
2023-10-05,152.22,152.5,143.56,145.35,2998630
2023-10-04,151.4,152.88,146.61,151.82,3376168
2023-10-03,154.65,155.33,149.63,151.25,2858248
2023-10-02,160.5,161.99,156.09,156.34,1620707
2023-09-29,163.49,165.67,160.52,161.59,1384706
2023-09-28,159.1,162.9095,157.495,161.5,1517897
2023-09-27,161.25,164.5,158.16,158.61,2007581
2023-09-26,162.89,164.74,160.726,161.39,1221945
2023-09-25,161.75,166.325,161.71,164.34,1450244
2023-09-22,168.0,168.38,161.9,162.45,1536020
2023-09-21,166.64,168.025,164.48,166.24,1160085
2023-09-20,169.45,173.47,168.16,169.24,1014579
2023-09-19,167.6,173.65,166.66,169.18,1449156
2023-09-18,174.05,174.97,167.41,167.74,1786266
2023-09-15,176.69,177.64,171.68,174.05,3252696
2023-09-14,175.0,177.59,170.57,177.0,2679682
2023-09-13,181.3,182.29,170.17,170.5,2051191
2023-09-12,178.0,183.06,177.66,180.94,1283471
2023-09-11,185.23,186.68,178.31,179.37,1942923
2023-09-08,185.18,187.6902,181.17,183.21,2547473
2023-09-07,179.49,180.6856,173.81,180.5,2233486
2023-09-06,189.1,189.7,177.73,182.09,2256034
2023-09-05,183.9,190.055,182.61,186.48,1772655
2023-09-01,191.27,193.48,183.645,186.37,1953646
2023-08-31,186.0,190.933,185.91,189.12,2154517
2023-08-30,181.06,186.9,181.06,184.96,1489506
2023-08-29,176.65,182.83,175.57,181.61,1481210
2023-08-28,177.99,179.415,174.91,176.76,1327890
2023-08-25,175.1,178.43,174.62,177.45,1560474
2023-08-24,180.89,181.08,173.74,174.42,1774760
2023-08-23,176.94,182.38,176.85,180.58,1876637
2023-08-22,182.52,183.68,174.23,176.5,2527655
2023-08-21,182.0,182.805,176.6,181.7,2532837
2023-08-18,180.76,184.87,179.32,181.91,2303530
2023-08-17,191.46,191.46,182.46,183.44,2699881
2023-08-16,199.3,199.45,191.6417,191.89,1705131
2023-08-15,209.0,210.2,197.74,199.83,2083473
2023-08-14,204.76,213.43,198.0017,211.43,1768384
