date,open,high,low,close,volume
2024-03-28,47.58,47.71,47.54,47.58,54740
2024-03-27,47.21,47.48,47.21,47.48,36750
2024-03-26,47.04,47.19,47.02,47.02,54737
2024-03-25,47.12,47.27,46.95,47.01,132334
2024-03-22,47.45,47.45,47.16,47.17,47291
2024-03-21,47.35,47.53,47.2,47.38,62480
2024-03-20,47.19,47.33,47.07,47.33,71860
2024-03-19,47.01,47.15,47.01,47.15,104823
2024-03-18,46.66,47.1,46.66,46.97,54534
2024-03-15,46.53,46.71,46.47,46.66,52765
2024-03-14,47.33,47.34,46.78,46.94,64415
2024-03-13,47.2,47.37,47.17,47.29,164540
2024-03-12,46.98,47.3,46.98,47.24,56920
2024-03-11,46.78,46.97,46.66,46.93,52373
2024-03-08,46.75,46.85,46.6,46.7,84572
2024-03-07,46.94,47.09,46.9,47.01,64050
2024-03-06,46.58,46.86,46.58,46.79,85652
2024-03-05,46.58,46.73,46.34,46.42,127395
2024-03-04,46.17,46.39,46.17,46.32,74514
2024-03-01,46.25,46.34,46.02,46.31,79351
2024-02-29,46.42,46.51,46.2,46.27,61975
2024-02-28,46.24,46.37,46.14,46.31,243950
2024-02-27,46.26,46.27,46.14,46.27,53660
2024-02-26,46.34,46.35,46.17,46.24,73720
2024-02-23,46.13,46.5,46.12,46.28,71292
2024-02-22,45.8,46.16,45.65,46.09,94844
2024-02-21,45.94,46.07,45.75,45.97,76761
2024-02-20,45.68,46.15,45.68,45.87,120015
2024-02-16,45.34,45.61,45.16,45.41,72809
2024-02-15,45.17,45.42,45.17,45.37,81563
2024-02-14,45.09,45.09,44.82,45.07,126540
2024-02-13,45.48,45.58,44.82,45.09,121087
2024-02-12,45.29,45.63,45.12,45.63,150969
2024-02-09,45.53,45.53,45.19,45.25,119045
2024-02-08,45.56,45.76,45.45,45.61,97177
2024-02-07,45.75,45.77,45.53,45.55,44274
2024-02-06,45.51,45.67,45.41,45.65,70818
2024-02-05,45.82,45.82,45.48,45.52,89143
2024-02-02,45.81,46.0,45.6,45.82,117146
2024-02-01,45.08,45.93,44.95,45.93,87764
2024-01-31,45.39,45.5,45.0,45.02,148328
2024-01-30,45.05,45.43,44.94,45.4,89760
2024-01-29,44.98,45.17,44.85,45.17,138035
2024-01-26,44.78,44.97,44.78,44.92,68795
2024-01-25,44.44,44.69,44.3,44.69,77144
2024-01-24,44.83,44.83,44.26,44.28,107178
2024-01-23,44.56,44.88,44.56,44.82,369431
2024-01-22,44.43,44.55,44.31,44.38,126418
