date,open,high,low,close,volume
2024-03-28,68.64,68.83,68.48,68.49,24043
2024-03-27,68.09,68.51,68.09,68.49,34937
2024-03-26,67.91,68.05,67.82,67.82,29607
2024-03-25,67.87,68.09,67.73,67.82,41175
2024-03-22,67.91,67.92,67.65,67.8,21190
2024-03-21,67.74,68.0,67.44,67.88,27436
2024-03-20,67.47,67.66,67.31,67.66,43490
2024-03-19,67.19,67.38,67.09,67.34,33039
2024-03-18,66.54,67.15,66.54,66.93,51044
2024-03-15,66.05,66.69,66.05,66.66,23310
2024-03-14,66.61,66.61,65.92,66.23,34419
2024-03-13,66.44,66.77,66.44,66.64,20146
2024-03-12,66.23,66.38,66.1,66.32,10058
2024-03-11,65.83,66.41,65.83,66.07,14549
2024-03-08,65.63,65.96,65.6,65.85,27431
2024-03-07,65.63,65.81,65.54,65.7,24364
2024-03-06,65.32,65.61,65.31,65.4,28430
2024-03-05,65.43,65.6,64.98,65.09,19477
2024-03-04,65.06,65.27,65.02,65.26,16481
2024-03-01,65.35,65.35,65.05,65.13,137336
2024-02-29,64.93,65.43,64.93,65.35,20201
2024-02-28,64.76,64.82,64.53,64.7,24434
2024-02-27,64.86,64.89,64.61,64.76,19254
2024-02-26,64.91,64.91,64.65,64.7,22815
2024-02-23,64.13,64.56,64.12,64.42,17047
2024-02-22,63.79,64.22,63.47,64.15,37295
2024-02-21,63.87,64.06,63.68,63.88,17286
2024-02-20,63.42,64.07,63.42,63.77,32781
2024-02-16,63.06,63.46,62.89,63.3,14249
2024-02-15,62.56,63.3,62.56,63.2,30269
2024-02-14,62.44,62.44,61.86,62.4,18218
2024-02-13,62.61,62.68,62.05,62.3,70425
2024-02-12,62.27,63.05,62.27,63.0,30634
2024-02-09,62.63,62.63,62.16,62.26,21236
2024-02-08,62.65,62.97,62.44,62.64,46476
2024-02-07,62.89,62.98,62.68,62.74,20354
2024-02-06,62.59,63.05,62.56,62.81,19538
2024-02-05,63.17,63.17,62.56,62.58,28980
2024-02-02,63.37,63.69,63.1,63.4,21251
2024-02-01,62.54,63.44,62.21,63.44,35057
2024-01-31,62.82,62.92,62.15,62.15,21175
2024-01-30,62.27,62.75,62.06,62.73,18033
2024-01-29,62.09,62.26,61.87,62.17,29915
2024-01-26,62.07,62.17,61.87,61.96,26741
2024-01-25,61.8,61.95,61.41,61.92,56779
2024-01-24,62.38,62.38,61.53,61.56,20315
2024-01-23,61.78,62.32,61.78,62.21,108414
2024-01-22,61.98,62.11,61.66,61.69,45623
2024-01-19,62.8,62.8,62.14,62.41,25225
2024-01-18,62.87,62.87,62.35,62.75,37172
2024-01-17,62.78,63.34,62.78,63.08,25762
2024-01-16,63.13,63.21,62.85,63.05,27865
2024-01-12,63.35,63.56,63.13,63.22,22557
2024-01-11,63.12,63.24,62.86,63.21,57135
2024-01-10,63.55,63.63,63.09,63.2,19735
2024-01-09,63.13,63.54,63.11,63.54,72435
2024-01-08,63.14,63.34,62.89,63.34,29947
2024-01-05,63.16,63.47,62.8,63.06,17698
2024-01-04,63.48,63.71,63.23,63.23,28635
2024-01-03,64.12,64.16,63.42,63.48,78938
2024-01-02,62.85,64.24,62.85,64.13,64152
2023-12-29,63.07,63.14,62.84,63.09,37366
2023-12-28,62.84,63.2,62.82,63.06,27249
2023-12-27,62.72,62.97,62.68,62.91,39019
2023-12-26,62.24,62.86,62.19,62.7,31701
2023-12-22,62.2,62.54,62.14,62.26,44532
2023-12-21,62.06,62.32,61.82,62.29,33595
2023-12-20,62.48,62.73,61.75,61.75,35159
2023-12-19,62.43,62.9,62.43,62.87,16365
2023-12-18,62.22,62.66,62.04,62.41,92569
2023-12-15,62.71,62.76,61.91,62.03,21212
2023-12-14,63.58,63.64,62.72,62.73,17250
2023-12-13,62.12,63.4,61.93,63.37,22706
2023-12-12,62.11,62.21,61.92,62.08,23806
2023-12-11,61.73,62.11,61.73,62.1,1028834
2023-12-08,61.83,62.0,61.56,61.65,25504
2023-12-07,61.53,61.93,61.31,61.83,49652
2023-12-06,61.57,61.6,61.34,61.43,46954
2023-12-05,61.48,61.69,61.32,61.32,14622
2023-12-04,61.08,61.87,61.08,61.56,19420
2023-12-01,60.7,61.3,60.7,61.28,45347
2023-11-30,59.92,60.73,59.92,60.7,28858
2023-11-29,60.54,60.54,59.82,59.86,23531
2023-11-28,60.59,60.78,60.45,60.51,16505
2023-11-27,60.84,60.84,60.6,60.63,48932
2023-11-24,60.72,61.09,60.72,60.94,6425
2023-11-22,60.34,60.85,60.34,60.81,20781
2023-11-21,60.25,60.37,60.12,60.2,31954
2023-11-20,59.9,60.42,59.9,60.27,45248
2023-11-17,60.08,60.08,59.7,59.96,114927
2023-11-16,60.09,60.25,59.76,59.84,18900
2023-11-15,60.31,60.48,60.11,60.16,37890
2023-11-14,60.22,60.32,59.97,60.21,19112
2023-11-13,59.57,59.81,59.57,59.62,44304
2023-11-10,59.36,59.7,59.35,59.61,39006
2023-11-09,59.91,59.94,59.46,59.59,41119
2023-11-08,60.13,60.26,59.65,59.71,35420
2023-11-07,59.97,60.28,59.87,59.98,83068
2023-11-06,60.04,60.17,59.94,59.94,45332
2023-11-03,59.65,60.02,59.65,59.71,91578
2023-11-02,58.76,59.19,58.54,59.14,23111
2023-11-01,58.1,58.46,58.1,58.25,31160
2023-10-31,58.05,58.26,57.84,58.12,77681
2023-10-30,57.69,58.15,57.57,58.0,52157
2023-10-27,57.91,58.04,57.23,57.36,126736
2023-10-26,58.18,58.45,57.97,57.97,34678
2023-10-25,57.54,58.11,57.42,58.08,50373
2023-10-24,57.45,57.83,57.45,57.6,56458
2023-10-23,57.44,57.74,57.27,57.32,106234
2023-10-20,58.07,58.2,57.59,57.61,136129
2023-10-19,58.48,58.76,58.02,58.11,109123
2023-10-18,58.66,59.21,58.46,58.46,96859
2023-10-17,57.91,58.94,57.91,58.78,118683
2023-10-16,57.9,58.3,57.68,58.09,31539
2023-10-13,57.18,57.55,57.1,57.54,97173
2023-10-12,58.69,58.69,56.82,57.04,157620
2023-10-11,59.37,59.37,58.32,58.65,393137
2023-10-10,58.95,59.46,58.95,59.18,53684
2023-10-09,57.93,58.75,57.93,58.73,142951
2023-10-06,58.35,58.41,57.39,58.13,41764
2023-10-05,59.47,59.55,58.59,58.59,203191
2023-10-04,59.23,59.38,58.65,59.36,76184
2023-10-03,59.43,59.65,58.97,59.08,88960
2023-10-02,60.24,60.24,59.48,59.71,132984
2023-09-29,60.78,60.87,60.25,60.34,675018
2023-09-28,60.55,60.74,60.43,60.56,23340
2023-09-27,60.97,61.05,60.19,60.44,77698
2023-09-26,61.11,61.24,60.89,60.89,70124
2023-09-25,61.18,61.48,61.08,61.38,64178
2023-09-22,62.15,62.15,61.37,61.4,156670
2023-09-21,62.58,62.75,62.34,62.34,82568
2023-09-20,63.23,63.35,62.82,62.86,29923
2023-09-19,63.23,63.41,63.05,63.1,58333
2023-09-18,63.23,63.5,63.12,63.28,87614
2023-09-15,63.51,63.7,63.18,63.18,93312
2023-09-14,63.08,63.63,63.08,63.55,26794
2023-09-13,62.96,63.21,62.79,62.92,58933
2023-09-12,63.09,63.21,62.88,63.02,28615
2023-09-11,62.56,62.93,62.56,62.75,60167
2023-09-08,62.15,62.43,62.14,62.36,124665
2023-09-07,61.72,62.22,61.72,62.1,112538
2023-09-06,62.0,62.24,61.69,61.78,334705
2023-09-05,62.55,62.55,62.09,62.11,49906
2023-09-01,63.2,63.39,62.66,62.73,45965
2023-08-31,63.55,63.55,63.06,63.07,54497
2023-08-30,63.62,63.69,63.48,63.48,24153
2023-08-29,63.09,63.41,62.85,63.41,1015717
2023-08-28,62.99,63.22,62.88,63.02,57492
2023-08-25,62.68,62.99,62.48,62.8,23549
2023-08-24,62.57,62.98,62.44,62.45,39441
2023-08-23,62.49,62.64,62.39,62.64,38918
2023-08-22,62.95,62.95,62.47,62.47,43419
2023-08-21,63.21,63.21,62.71,62.95,65679
2023-08-18,62.52,63.25,62.52,63.21,45527
2023-08-17,63.35,63.41,62.72,62.72,22051
2023-08-16,63.66,63.92,63.42,63.42,38496
2023-08-15,64.12,64.12,63.65,63.66,97666
2023-08-14,64.3,64.37,64.18,64.33,101574
2023-08-11,64.1,64.36,64.1,64.34,43326
2023-08-10,64.47,64.7,63.92,64.06,46751
2023-08-09,64.25,64.57,64.19,64.26,42511
2023-08-08,64.17,64.17,63.51,63.8,41925
2023-08-07,63.96,64.72,63.89,64.56,32448
2023-08-04,64.54,64.98,64.16,64.17,43254
2023-08-03,64.49,64.8,64.33,64.53,25587
2023-08-02,63.92,64.85,63.92,64.52,89273
2023-08-01,64.3,64.47,63.99,64.17,54101
2023-07-31,64.59,64.59,64.19,64.33,29490
2023-07-28,64.47,64.49,64.25,64.46,34337
2023-07-27,64.67,64.82,64.0,64.0,55105
2023-07-26,64.45,64.78,64.43,64.46,180764
2023-07-25,64.44,64.55,64.32,64.51,35636
2023-07-24,64.37,64.54,64.35,64.45,93670
2023-07-21,64.46,64.47,64.2,64.22,34799
2023-07-20,63.91,64.31,63.89,64.27,27250
2023-07-19,63.4,63.82,63.4,63.8,79396
2023-07-18,63.3,63.84,63.17,63.26,36574
2023-07-17,63.09,63.5,62.98,63.27,111325
2023-07-14,63.33,63.33,62.92,63.16,48057
2023-07-13,63.14,63.4,63.14,63.27,46139
2023-07-12,63.14,63.19,62.91,62.99,75559
2023-07-11,62.6,62.92,62.6,62.91,95669
2023-07-10,62.6,63.07,62.47,62.51,38379
2023-07-07,62.73,63.17,62.59,62.61,40582
2023-07-06,62.62,62.76,62.37,62.72,64294
2023-07-05,62.84,63.05,62.77,62.91,133233
2023-07-03,62.61,63.15,62.61,63.07,184515
2023-06-30,62.15,62.76,62.14,62.65,59335
2023-06-29,61.52,62.08,61.47,61.96,54895
2023-06-28,61.62,61.62,61.07,61.55,54041
2023-06-27,61.56,61.97,61.56,61.91,44563
2023-06-26,61.72,61.94,61.42,61.85,73028
2023-06-23,62.11,62.23,61.75,61.75,46270
2023-06-22,61.69,62.13,61.69,62.06,35618
2023-06-21,61.63,62.0,61.27,61.73,73484
2023-06-20,62.3,62.3,61.65,61.65,43306
2023-06-16,62.38,62.65,62.34,62.43,30898
2023-06-15,62.18,62.47,62.12,62.41,41646
2023-06-14,62.5,62.59,62.05,62.15,59278
2023-06-13,61.91,62.47,61.91,62.41,106073
2023-06-12,61.87,61.97,61.7,61.93,188362
2023-06-09,61.73,62.1,61.56,61.86,76955
2023-06-08,61.85,61.93,61.55,61.91,71526
2023-06-07,61.55,62.1,61.46,61.85,143289
2023-06-06,62.14,62.14,61.59,61.96,97437
2023-06-05,62.2,62.44,61.95,62.09,125424
2023-06-02,61.52,62.22,61.52,62.22,29055
2023-06-01,61.23,61.39,61.08,61.21,56237
2023-05-31,61.02,61.14,60.83,61.08,50623
2023-05-30,61.44,61.44,61.04,61.1,50378
2023-05-26,61.86,61.93,61.53,61.64,51688
2023-05-25,61.89,62.11,61.57,61.84,44416
2023-05-24,62.37,62.46,62.07,62.2,86771
2023-05-23,62.41,62.62,62.23,62.49,46471
2023-05-22,63.08,63.25,62.58,62.59,54729
2023-05-19,63.1,63.23,62.8,63.05,32621
2023-05-18,62.92,63.18,62.66,63.12,48822
2023-05-17,63.01,63.15,62.51,63.1,65304
2023-05-16,63.34,63.34,62.83,62.83,31213
2023-05-15,63.67,63.67,63.39,63.55,35569
2023-05-12,63.65,63.75,63.37,63.64,93550
2023-05-11,63.24,63.59,63.18,63.57,106717
