date,open,high,low,close,volume
2024-03-28,100.13,100.89,100.12,100.89,614748
2024-03-27,100.11,100.13,100.11,100.13,558045
2024-03-26,100.07,100.07,100.06,100.07,438554
2024-03-25,100.05,100.06,100.04,100.04,519069
2024-03-22,100.04,100.05,100.03,100.04,378906
2024-03-21,100.03,100.03,100.02,100.03,273133
2024-03-20,99.97,99.99,99.96,99.97,544223
2024-03-19,99.94,99.96,99.94,99.95,1369313
2024-03-18,99.93,99.94,99.93,99.93,489199
2024-03-15,99.92,99.93,99.92,99.92,520647
2024-03-14,99.92,99.93,99.91,99.91,382193
2024-03-13,99.88,99.88,99.87,99.87,1132014
2024-03-12,99.87,99.88,99.86,99.87,316364
2024-03-11,99.86,99.87,99.85,99.86,310743
2024-03-08,99.86,99.86,99.85,99.85,488397
2024-03-07,99.83,99.84,99.83,99.83,289686
2024-03-06,99.79,99.8,99.78,99.78,219806
2024-03-05,99.77,99.79,99.77,99.77,533167
2024-03-04,99.77,99.77,99.75,99.76,869077
2024-03-01,99.75,99.76,99.75,99.75,899259
2024-02-29,100.13,100.14,100.12,100.12,339981
2024-02-28,100.08,100.09,100.08,100.08,353716
2024-02-27,100.08,100.08,100.06,100.07,572984
2024-02-26,100.06,100.07,100.05,100.06,412063
2024-02-23,100.05,100.06,100.04,100.04,496122
2024-02-22,100.04,100.04,100.03,100.04,528802
2024-02-21,100.01,100.01,99.99,100.0,607965
2024-02-20,99.98,99.99,99.98,99.99,448313
2024-02-16,99.97,99.97,99.96,99.96,740422
2024-02-15,99.97,99.97,99.96,99.96,368322
2024-02-14,99.9,99.91,99.89,99.91,920656
2024-02-13,99.89,99.9,99.87,99.89,2084690
2024-02-12,99.9,99.91,99.89,99.9,535655
2024-02-09,99.88,99.9,99.87,99.9,3974395
2024-02-08,99.88,99.88,99.87,99.87,856288
2024-02-07,99.84,99.84,99.83,99.83,407643
2024-02-06,99.8,99.82,99.8,99.81,523043
2024-02-05,99.8,99.81,99.79,99.79,952612
2024-02-02,99.8,99.8,99.78,99.79,571159
2024-02-01,99.82,99.82,99.8,99.8,1631551
2024-01-31,100.16,100.18,100.16,100.16,426488
2024-01-30,100.15,100.15,100.14,100.14,809062
2024-01-29,100.13,100.14,100.13,100.13,520259
2024-01-26,100.11,100.13,100.11,100.11,601764
2024-01-25,100.11,100.11,100.1,100.1,419566
2024-01-24,100.06,100.07,100.06,100.06,603996
2024-01-23,100.04,100.05,100.04,100.04,2090668
2024-01-22,100.04,100.04,100.02,100.02,644686
2024-01-19,100.03,100.03,100.02,100.03,439963
2024-01-18,100.01,100.02,100.0,100.02,1010507
2024-01-17,99.98,99.98,99.96,99.96,536211
2024-01-16,100.05,100.05,99.96,99.96,650223
2024-01-12,99.96,99.97,99.95,99.95,2364458
2024-01-11,99.92,99.94,99.92,99.92,573829
2024-01-10,99.87,99.88,99.86,99.86,601251
2024-01-09,99.86,99.86,99.85,99.85,495647
2024-01-08,99.85,99.85,99.83,99.84,807538
2024-01-05,99.81,99.84,99.81,99.83,646421
2024-01-04,99.81,99.82,99.8,99.8,652511
2024-01-03,99.78,99.78,99.76,99.77,615723
2024-01-02,99.76,99.77,99.75,99.76,890913
2023-12-29,99.74,99.76,99.74,99.74,718668
2023-12-28,99.74,99.74,99.73,99.73,2127545
2023-12-27,99.69,99.69,99.67,99.69,1228511
2023-12-26,100.13,100.13,100.12,100.12,499993
2023-12-22,100.12,100.13,100.11,100.12,485487
2023-12-21,100.12,100.12,100.1,100.11,532340
2023-12-20,100.04,100.05,100.03,100.05,615666
2023-12-19,100.01,100.03,100.01,100.01,926589
2023-12-18,100.01,100.01,100.0,100.0,1055137
2023-12-15,99.99,100.0,99.99,99.99,1309563
2023-12-14,99.99,99.99,99.98,99.98,1707469
2023-12-13,99.91,99.94,99.9,99.94,1197754
2023-12-12,99.89,99.9,99.88,99.88,526150
2023-12-11,99.88,99.88,99.87,99.87,506091
2023-12-08,99.86,99.87,99.86,99.86,694159
2023-12-07,99.86,99.87,99.85,99.87,940027
2023-12-06,99.81,99.82,99.81,99.81,801250
2023-12-05,99.81,99.81,99.79,99.8,371806
2023-12-04,99.79,99.79,99.78,99.79,709571
2023-12-01,99.77,99.78,99.76,99.78,876800
2023-11-30,100.2,100.21,100.2,100.2,549300
2023-11-29,100.16,100.17,100.15,100.15,1047100
2023-11-28,100.13,100.14,100.13,100.13,494300
2023-11-27,100.12,100.12,100.11,100.12,515000
2023-11-24,100.11,100.11,100.1,100.11,156100
2023-11-22,100.09,100.1,100.08,100.08,1005500
2023-11-21,100.04,100.05,100.04,100.04,1046300
2023-11-20,100.02,100.03,100.01,100.02,729000
2023-11-17,100.0,100.01,100.0,100.0,693200
2023-11-16,99.98,100.0,99.98,99.99,540100
2023-11-15,99.95,99.95,99.94,99.95,1677400
2023-11-14,99.93,99.94,99.92,99.94,1140600
2023-11-13,99.9,99.9,99.89,99.89,3514100
2023-11-10,99.89,99.9,99.88,99.89,840900
2023-11-09,99.88,99.88,99.86,99.88,399900
2023-11-08,99.83,99.84,99.82,99.84,695500
2023-11-07,99.82,99.82,99.81,99.81,506300
2023-11-06,99.8,99.81,99.79,99.79,425600
2023-11-03,99.79,99.8,99.78,99.79,733900
2023-11-02,99.76,99.77,99.76,99.77,948200
2023-11-01,99.71,99.72,99.7,99.71,1747700
2023-10-31,100.15,100.16,100.15,100.16,1299700
