date,open,high,low,close,volume
2024-03-28,38.26,38.9,38.01,38.74,8424501
2024-03-27,36.74,37.89,36.69,37.89,6527802
2024-03-26,37.27,37.36,36.51,36.52,5299625
2024-03-25,36.5,37.19,36.5,36.55,5032698
2024-03-22,36.49,36.79,36.13,36.15,5906910
2024-03-21,37.75,37.88,36.68,36.68,8404999
2024-03-20,35.42,37.56,35.34,37.25,9721207
2024-03-19,36.2,36.2,35.49,35.53,5496274
2024-03-18,36.86,36.91,36.35,36.35,4562439
2024-03-15,36.29,36.8,36.08,36.74,4613660
2024-03-14,36.52,36.72,36.17,36.49,10061120
2024-03-13,36.26,37.16,36.15,36.87,6903617
2024-03-12,35.78,36.16,35.44,36.12,7326246
2024-03-11,35.9,36.88,35.56,36.6,7161287
2024-03-08,36.36,36.45,35.78,35.93,6961888
2024-03-07,35.88,36.12,35.6,36.08,6816385
2024-03-06,35.25,35.85,35.13,35.51,7163184
2024-03-05,35.22,35.35,34.69,34.78,8588650
2024-03-04,33.75,34.75,33.66,34.75,13601060
2024-03-01,32.03,33.35,31.73,33.24,9887401
2024-02-29,31.77,32.22,31.7,31.88,6762944
2024-02-28,31.44,31.48,31.0,31.2,5898592
2024-02-27,31.92,32.0,31.64,31.66,4163752
2024-02-26,31.98,32.03,31.59,31.93,5068271
2024-02-23,31.84,32.42,31.39,32.32,7050797
2024-02-22,32.24,32.27,31.64,31.75,7673446
2024-02-21,32.38,32.4,31.8,32.25,5774607
2024-02-20,32.66,32.68,32.14,32.42,3690498
2024-02-16,32.07,32.74,32.03,32.43,4500053
2024-02-15,31.9,32.77,31.87,32.41,7446257
2024-02-14,31.3,31.61,31.08,31.52,7845115
2024-02-13,32.34,32.37,30.89,31.12,12931316
2024-02-12,32.7,33.4,32.64,33.25,4496829
2024-02-09,33.17,33.17,32.55,32.8,3993862
2024-02-08,33.21,33.39,33.07,33.13,3472711
2024-02-07,33.59,33.8,33.27,33.3,3918562
2024-02-06,33.35,33.81,33.2,33.76,3684707
2024-02-05,33.46,33.57,32.95,33.14,5443222
2024-02-02,34.21,34.21,33.61,34.0,8268356
2024-02-01,34.18,35.24,34.12,35.21,10426488
2024-01-31,34.44,35.05,33.79,33.8,7362219
2024-01-30,34.78,34.87,34.02,34.27,4734532
2024-01-29,34.46,34.64,33.85,34.59,4498441
2024-01-26,34.33,34.58,34.02,34.13,6247140
2024-01-25,34.32,34.44,34.0,34.39,4993872
2024-01-24,34.88,35.16,33.52,33.63,7719929
2024-01-23,33.79,34.42,33.69,34.39,5806217
2024-01-22,33.46,34.0,33.32,33.61,4060479
2024-01-19,34.02,34.04,33.34,33.89,5445845
2024-01-18,33.99,34.0,33.48,33.76,5589501
2024-01-17,34.05,34.11,33.41,33.66,10736849
2024-01-16,35.69,35.71,34.59,34.66,10083226
2024-01-12,36.21,36.97,36.2,36.36,10665792
2024-01-11,35.52,35.7,34.59,35.14,7823544
2024-01-10,35.39,35.65,35.06,35.48,5445742
2024-01-09,36.05,36.09,35.25,35.36,8697702
2024-01-08,35.5,36.14,35.35,35.89,6080707
2024-01-05,36.17,36.92,35.75,35.98,5369989
2024-01-04,36.12,36.38,35.74,36.07,5445042
2024-01-03,36.34,36.59,35.8,35.99,11034067
2024-01-02,38.02,38.23,37.13,37.22,7245986
2023-12-29,37.99,38.2,37.62,37.91,5936047
2023-12-28,39.07,39.36,38.19,38.2,8372348
2023-12-27,39.14,39.66,39.02,39.35,6542816
2023-12-26,39.14,39.27,38.65,38.97,3022025
2023-12-22,39.25,39.82,38.77,38.83,6955480
2023-12-21,38.25,38.7,38.23,38.6,5699734
2023-12-20,38.72,38.82,37.58,37.6,6034773
2023-12-19,37.68,38.91,37.53,38.77,8819357
2023-12-18,37.53,37.69,37.08,37.4,5806441
2023-12-15,37.69,38.15,37.46,37.55,6932126
2023-12-14,38.3,38.81,37.63,38.03,9438078
2023-12-13,35.11,37.67,34.93,37.63,14580093
2023-12-12,36.12,36.17,34.96,35.1,8375165
2023-12-11,36.0,36.13,35.66,36.05,5876699
2023-12-08,36.42,37.06,36.08,36.44,8173029
2023-12-07,37.62,37.66,36.83,37.15,5425583
2023-12-06,37.94,38.16,37.35,37.35,5962801
2023-12-05,37.92,38.08,37.08,37.41,7519381
2023-12-04,38.51,38.79,37.98,38.23,12075988
2023-12-01,38.43,39.47,38.25,39.44,11719900
2023-11-30,38.08,38.56,37.79,38.53,6711800
2023-11-29,38.12,38.48,37.94,38.25,5777700
2023-11-28,37.11,38.24,36.87,38.21,11803100
2023-11-27,36.37,36.78,36.05,36.63,9454700
2023-11-24,35.52,36.07,35.41,35.86,4665000
2023-11-22,35.59,35.73,35.15,35.38,5862800
2023-11-21,35.19,35.96,35.15,35.51,12432200
2023-11-20,34.16,34.71,33.95,34.65,5165100
2023-11-17,34.87,35.1,34.47,34.6,5094700
2023-11-16,34.35,35.28,34.23,34.71,8691400
2023-11-15,34.43,34.55,33.87,34.15,4456300
2023-11-14,33.73,34.65,33.53,34.41,12615200
2023-11-13,32.81,33.16,32.56,32.56,3693500
2023-11-10,33.18,33.29,32.62,32.86,7232100
2023-11-09,33.7,34.46,33.26,33.44,6766700
2023-11-08,34.27,34.36,33.26,33.44,9952400
2023-11-07,34.55,34.76,33.78,34.45,8766800
2023-11-06,35.35,35.63,35.05,35.05,5652900
2023-11-03,34.02,35.85,34.02,35.48,16250300
2023-11-02,33.87,33.94,33.2,33.68,9402600
2023-11-01,33.58,33.85,32.79,33.48,9133900
2023-10-31,34.02,34.46,33.13,33.34,10396500
2023-10-30,34.53,34.64,34.0,34.17,6375000
2023-10-27,33.76,34.43,33.18,34.43,9412900
2023-10-26,33.58,33.93,32.81,33.48,11535200
2023-10-25,34.37,34.81,33.79,33.8,6511100
2023-10-24,34.22,34.7,34.05,34.6,4210800
2023-10-23,34.48,34.82,33.61,34.36,6729900
2023-10-20,34.79,35.63,34.68,34.71,8538300
2023-10-19,34.6,34.85,34.08,34.8,8286600
2023-10-18,35.06,35.46,34.34,34.58,6797100
2023-10-17,33.99,34.74,33.75,34.62,7331400
2023-10-16,33.7,34.24,33.56,34.0,5056300
2023-10-13,33.29,34.21,33.23,33.89,12285100
2023-10-12,33.24,33.39,32.05,32.24,9231900
2023-10-11,33.29,33.52,32.94,33.37,5868500
2023-10-10,32.71,32.99,32.46,32.87,4668400
2023-10-09,32.37,32.7,32.3,32.63,6548200
2023-10-06,31.31,32.1,30.96,31.83,7830800
2023-10-05,30.81,31.17,30.63,31.17,5577000
2023-10-04,31.2,31.29,30.46,30.83,7802300
2023-10-03,30.94,31.41,30.56,31.16,7080100
2023-10-02,31.92,31.92,30.92,31.04,9814800
2023-09-29,32.93,33.2,31.89,32.23,8213500
2023-09-28,32.09,32.39,31.75,32.37,8226200
2023-09-27,32.5,32.56,31.66,32.06,10250600
2023-09-26,33.46,33.52,32.6,32.62,6904400
2023-09-25,34.08,34.1,33.39,33.72,5685200
2023-09-22,34.65,34.9,34.13,34.15,3155900
2023-09-21,34.49,34.77,34.12,34.23,7581000
2023-09-20,35.18,35.93,35.15,35.22,6188100
2023-09-19,35.8,35.8,34.93,35.05,5840500
2023-09-18,35.7,35.87,35.22,35.71,4750800
2023-09-15,35.4,36.14,35.38,35.79,8045300
2023-09-14,34.33,35.28,34.33,34.91,5995000
2023-09-13,34.41,34.69,34.17,34.28,3240000
2023-09-12,33.97,34.84,33.94,34.44,3864600
2023-09-11,34.39,34.83,34.17,34.37,4109700
2023-09-08,34.19,34.72,33.96,34.04,3465800
2023-09-07,34.21,34.21,33.87,34.01,4165700
2023-09-06,34.32,34.8,34.16,34.27,5198900
2023-09-05,35.09,35.36,34.37,34.48,7331200
2023-09-01,36.59,36.8,35.55,35.56,6760900
2023-08-31,36.37,36.49,35.71,35.99,7814300
2023-08-30,36.74,37.08,36.19,36.35,4073400
2023-08-29,35.56,36.48,35.36,36.46,6544200
2023-08-28,34.74,35.84,34.67,35.67,6418400
2023-08-25,35.0,35.32,34.17,34.69,6731800
2023-08-24,35.12,35.65,34.59,35.1,7884700
2023-08-23,34.36,35.6,34.36,35.29,12821000
2023-08-22,33.95,34.08,33.46,34.08,4374100
2023-08-21,33.54,33.77,33.1,33.72,5744600
2023-08-18,33.33,33.38,32.98,33.3,5800700
2023-08-17,33.78,33.93,33.2,33.37,5676200
2023-08-16,34.07,34.19,33.57,33.58,4487600
2023-08-15,34.87,34.87,33.95,34.04,6653100
2023-08-14,35.03,35.17,34.48,34.9,4765500
2023-08-11,34.96,35.45,34.82,35.41,3843400
2023-08-10,35.28,35.49,34.64,34.97,5345700
2023-08-09,35.19,35.3,34.69,34.96,3108600
2023-08-08,34.86,35.27,34.59,35.12,3740000
2023-08-07,35.65,35.65,34.95,35.38,3233100
2023-08-04,35.7,36.19,35.56,35.56,5665600
2023-08-03,35.29,35.58,34.97,35.25,3861200
2023-08-02,36.25,36.25,34.95,35.14,7780600
2023-08-01,36.68,37.04,36.21,36.29,7580100
2023-07-31,36.86,38.09,36.86,37.66,6845700
2023-07-28,36.45,36.74,36.19,36.55,4124200
2023-07-27,37.54,37.59,36.1,36.1,10154300
2023-07-26,38.18,38.18,37.56,37.98,4455200
2023-07-25,37.6,38.18,37.46,38.05,4222800
2023-07-24,37.86,38.06,37.21,37.62,4359300
2023-07-21,37.75,38.1,37.66,37.91,3188300
2023-07-20,39.03,39.11,37.99,37.99,6270900
2023-07-19,39.16,39.34,38.94,39.06,2738900
2023-07-18,39.0,39.7,38.65,39.41,5814300
2023-07-17,38.04,38.63,37.76,38.54,3148100
2023-07-14,38.66,38.83,38.14,38.37,3523700
2023-07-13,38.5,38.8,38.35,38.65,3982100
2023-07-12,36.96,38.47,36.89,38.31,10856300
2023-07-11,36.32,36.82,36.15,36.26,4522500
2023-07-10,34.93,36.24,34.85,36.15,9600900
2023-07-07,34.75,35.47,34.67,35.06,5687900
2023-07-06,35.29,35.29,34.4,34.51,7171800
2023-07-05,36.55,36.66,35.41,35.43,5499400
2023-07-03,35.8,36.47,35.75,36.46,3971800
2023-06-30,35.28,35.66,34.81,35.66,4749500
2023-06-29,34.12,35.09,33.95,35.08,5560700
2023-06-28,34.65,34.83,34.29,34.33,6806300
2023-06-27,35.54,35.65,34.62,34.85,4898700
2023-06-26,35.41,35.8,35.04,35.59,3950200
2023-06-23,35.45,35.9,35.05,35.21,5007500
2023-06-22,35.08,35.39,34.86,35.21,6604000
2023-06-21,35.5,35.9,35.03,35.68,4345800
2023-06-20,36.5,36.51,35.59,35.77,7588900
2023-06-16,36.97,37.68,36.53,37.18,5517300
2023-06-15,36.41,36.73,36.18,36.71,4238600
2023-06-14,37.35,37.55,36.24,36.63,3883200
2023-06-13,37.63,37.96,36.78,36.78,6417800
2023-06-12,37.42,37.51,36.86,37.42,2969100
2023-06-09,37.92,38.03,37.37,37.41,4434500
2023-06-08,37.65,38.26,37.63,38.02,4829700
2023-06-07,38.01,38.95,37.02,37.19,5647400
2023-06-06,37.88,38.21,37.42,38.18,3463200
2023-06-05,37.53,38.1,37.37,37.87,3216100
2023-06-02,38.3,38.78,37.24,37.57,5919800
2023-06-01,37.39,38.88,37.34,38.5,8033300
2023-05-31,36.48,37.57,36.38,37.14,8639300
2023-05-30,36.63,36.86,36.2,36.42,4045500
2023-05-26,36.56,36.67,36.02,36.32,4391000
2023-05-25,36.58,36.65,35.79,36.05,6238200
2023-05-24,37.95,38.03,36.73,36.88,5656300
2023-05-23,37.74,38.24,37.59,37.92,3877400
2023-05-22,38.18,38.47,37.9,37.98,3330700
2023-05-19,38.19,38.85,37.79,38.3,5190700
2023-05-18,38.23,38.25,37.48,37.94,7797700
2023-05-17,39.08,39.1,38.44,38.92,4275500
2023-05-16,40.08,40.31,38.95,39.12,5845300
