date,open,high,low,close,volume
2024-03-28,31.41,31.78,31.11,31.62,28409154
2024-03-27,30.04,30.97,30.02,30.96,26953080
2024-03-26,30.46,30.47,29.82,29.85,13428595
2024-03-25,29.83,30.39,29.82,29.83,17643335
2024-03-22,29.77,30.05,29.59,29.6,21654895
2024-03-21,30.54,30.84,29.96,29.96,34092053
2024-03-20,28.96,30.52,28.91,30.26,35671389
2024-03-19,29.51,29.53,29.02,29.06,28698855
2024-03-18,29.85,29.93,29.66,29.74,25774493
2024-03-15,29.79,30.08,29.61,29.89,22359864
2024-03-14,29.96,30.09,29.71,29.89,22337696
2024-03-13,29.78,30.49,29.73,30.29,24676598
2024-03-12,29.55,29.62,29.2,29.58,25334163
2024-03-11,29.6,30.34,29.45,30.13,28313992
2024-03-08,29.82,30.0,29.44,29.64,32729211
2024-03-07,29.5,29.72,29.34,29.61,25808818
2024-03-06,29.05,29.54,29.01,29.16,28673013
2024-03-05,28.98,29.15,28.63,28.66,33710238
2024-03-04,27.8,28.58,27.68,28.51,49404913
2024-03-01,26.71,27.45,26.3,27.33,41346787
2024-02-29,26.33,26.69,26.28,26.36,28381710
2024-02-28,25.92,25.94,25.67,25.78,20071358
2024-02-27,26.27,26.36,26.01,26.03,20494059
2024-02-26,26.36,26.36,26.02,26.25,20293198
2024-02-23,26.25,26.76,26.01,26.66,27368364
2024-02-22,26.7,26.74,26.06,26.16,27627548
2024-02-21,27.0,27.0,26.44,26.82,21676282
2024-02-20,27.18,27.24,26.87,26.99,16047539
2024-02-16,26.6,27.16,26.52,26.86,19619152
2024-02-15,26.35,27.06,26.34,26.77,26932033
2024-02-14,25.97,26.1,25.69,26.01,26125921
2024-02-13,26.62,26.63,25.68,25.89,48888973
2024-02-12,26.92,27.41,26.85,27.29,17511302
2024-02-09,27.17,27.19,26.77,26.97,20973733
2024-02-08,27.3,27.45,27.17,27.3,12609476
2024-02-07,27.65,27.75,27.38,27.46,13055861
2024-02-06,27.49,27.77,27.37,27.72,11292708
2024-02-05,27.46,27.67,27.23,27.36,22148909
2024-02-02,28.21,28.24,27.69,28.02,37211287
2024-02-01,28.29,29.14,28.25,29.03,34101996
2024-01-31,28.26,28.77,27.87,27.94,28238930
2024-01-30,28.54,28.59,27.98,28.15,15319890
2024-01-29,28.4,28.4,27.87,28.36,16190837
2024-01-26,28.24,28.46,28.03,28.07,14246481
2024-01-25,28.14,28.36,27.99,28.25,17607995
2024-01-24,28.85,29.04,27.69,27.7,27261783
2024-01-23,27.82,28.25,27.71,28.23,17398142
2024-01-22,27.33,27.73,27.23,27.6,11064323
2024-01-19,27.81,27.81,27.33,27.69,20568553
2024-01-18,27.79,27.79,27.41,27.59,18315060
2024-01-17,27.95,27.97,27.44,27.51,37527452
2024-01-16,29.21,29.22,28.33,28.39,31802272
2024-01-12,29.72,30.22,29.56,29.7,29232839
2024-01-11,29.14,29.3,28.52,28.89,22435145
2024-01-10,29.14,29.34,28.91,29.11,19691898
2024-01-09,29.77,29.77,29.07,29.17,20971228
2024-01-08,29.29,29.87,29.22,29.7,14185485
2024-01-05,29.81,30.36,29.51,29.77,19585769
2024-01-04,29.85,29.96,29.44,29.77,17862253
2024-01-03,29.91,30.06,29.53,29.76,33470550
2024-01-02,31.04,31.24,30.5,30.56,21612252
2023-12-29,31.0,31.16,30.68,31.01,19129744
2023-12-28,31.83,31.97,31.15,31.17,27291681
2023-12-27,31.85,32.29,31.79,31.98,18337517
2023-12-26,31.69,31.9,31.47,31.67,10339454
2023-12-22,32.0,32.35,31.56,31.56,22684408
2023-12-21,31.3,31.56,31.18,31.35,19965932
2023-12-20,31.63,31.68,30.77,30.78,20212479
2023-12-19,30.9,31.85,30.82,31.55,33525943
2023-12-18,30.72,30.83,30.41,30.73,20872462
2023-12-15,31.11,31.35,30.89,30.95,21266032
2023-12-14,31.18,31.93,31.04,31.31,36945266
2023-12-13,28.87,30.7,28.67,30.7,44140119
2023-12-12,29.65,29.65,28.72,28.86,25652723
2023-12-11,29.34,29.63,29.08,29.55,18238438
2023-12-08,29.68,30.11,29.36,29.68,27561000
2023-12-07,30.62,30.63,29.99,30.32,18814971
2023-12-06,30.84,30.97,30.41,30.42,16836977
2023-12-05,30.69,30.95,30.17,30.48,28217670
2023-12-04,31.12,31.3,30.74,31.02,45796134
2023-12-01,31.24,31.91,31.12,31.81,33498300
2023-11-30,31.07,31.33,30.86,31.32,18194300
2023-11-29,31.22,31.39,30.95,31.2,21026400
2023-11-28,30.15,31.23,30.06,31.22,41105000
2023-11-27,29.71,29.95,29.46,29.79,19761600
2023-11-24,29.26,29.52,29.18,29.32,8156800
2023-11-22,29.24,29.4,29.01,29.25,12381600
2023-11-21,28.95,29.6,28.95,29.21,28990800
2023-11-20,28.14,28.54,27.97,28.51,15284300
2023-11-17,28.69,28.86,28.38,28.43,14430300
2023-11-16,28.25,29.07,28.19,28.61,34034700
2023-11-15,28.36,28.51,28.0,28.19,16306700
2023-11-14,27.75,28.52,27.68,28.33,31498100
2023-11-13,27.14,27.39,27.02,27.04,13324200
2023-11-10,27.35,27.4,27.02,27.25,19074900
2023-11-09,27.78,28.25,27.41,27.59,19587000
2023-11-08,28.33,28.44,27.53,27.69,25654000
2023-11-07,28.77,28.84,28.11,28.59,42313000
2023-11-06,29.37,29.55,29.11,29.15,26550900
2023-11-03,28.54,29.81,28.5,29.47,44102100
2023-11-02,28.41,28.41,27.9,28.26,15682800
2023-11-01,28.1,28.33,27.61,28.11,29754900
2023-10-31,28.62,28.85,27.79,28.01,30992600
2023-10-30,29.25,29.36,28.7,28.77,21899300
2023-10-27,28.64,29.22,28.32,29.2,31547300
2023-10-26,28.71,28.88,28.09,28.52,37274000
2023-10-25,29.11,29.51,28.76,28.78,21062700
2023-10-24,28.91,29.38,28.88,29.26,13488300
2023-10-23,29.26,29.53,28.71,29.24,16690200
2023-10-20,29.6,30.16,29.47,29.48,29692900
2023-10-19,29.45,29.59,29.0,29.51,24517100
2023-10-18,29.98,30.07,29.27,29.45,23181100
2023-10-17,28.98,29.57,28.83,29.53,17620000
2023-10-16,28.86,29.19,28.64,29.0,16394500
2023-10-13,28.69,29.11,28.47,28.95,34493700
2023-10-12,28.32,28.42,27.59,27.74,22359700
2023-10-11,28.22,28.34,27.95,28.32,22283500
2023-10-10,27.67,27.87,27.48,27.81,18948800
2023-10-09,27.36,27.6,27.26,27.54,23042900
2023-10-06,26.36,27.1,26.26,26.89,25553400
2023-10-05,25.89,26.33,25.88,26.32,15613200
2023-10-04,26.13,26.17,25.62,25.91,17971600
2023-10-03,25.91,26.28,25.68,26.07,25713100
2023-10-02,26.56,26.56,25.89,25.99,28436800
2023-09-29,27.46,27.59,26.66,26.91,23082300
2023-09-28,26.87,27.08,26.62,27.05,28477300
2023-09-27,27.56,27.6,26.66,26.91,33534700
2023-09-26,28.26,28.33,27.74,27.74,18917000
2023-09-25,28.77,28.79,28.26,28.51,16134800
2023-09-22,29.15,29.42,28.85,28.87,15052500
