date,open,high,low,close,volume
2024-03-28,282.6,283.15,281.28,282.49,643622
2024-03-27,279.56,281.93,278.95,281.9,746031
2024-03-26,278.81,280.46,278.35,278.35,567677
2024-03-25,280.93,281.45,278.39,278.98,776513
2024-03-22,282.33,283.21,281.13,281.16,730558
2024-03-21,283.36,284.75,281.22,281.34,1084155
2024-03-20,280.0,282.98,279.31,282.55,1043440
2024-03-19,279.12,280.35,277.73,279.7,703565
2024-03-18,275.99,277.72,274.67,277.6,865390
2024-03-15,273.83,276.93,273.83,275.21,1305858
2024-03-14,276.3,276.65,273.4,275.4,839801
2024-03-13,275.52,275.9,274.47,275.36,829836
2024-03-12,273.01,275.06,271.58,274.65,845026
2024-03-11,271.64,273.29,270.43,273.27,559770
2024-03-08,272.43,273.62,270.71,272.31,696906
2024-03-07,274.0,274.97,272.11,273.03,761791
2024-03-06,274.0,275.85,273.17,273.7,585056
2024-03-05,275.57,277.43,272.39,273.6,979366
2024-03-04,272.0,275.34,271.39,274.71,974559
2024-03-01,273.3,273.3,271.05,271.95,651383
2024-02-29,274.98,274.98,272.37,273.25,886287
2024-02-28,273.68,274.66,272.48,274.31,569835
2024-02-27,272.33,273.8,270.77,273.7,554426
2024-02-26,274.19,274.59,272.59,273.02,629667
2024-02-23,272.5,274.9,272.17,273.75,663926
2024-02-22,271.38,272.46,270.66,272.33,636360
2024-02-21,270.16,272.28,268.91,271.9,691282
2024-02-20,270.4,271.96,268.35,268.93,697551
2024-02-16,269.98,271.18,268.89,269.44,702718
2024-02-15,269.68,270.96,268.54,270.0,801479
2024-02-14,268.31,269.22,263.1,269.1,1629840
2024-02-13,269.93,270.9,265.11,267.22,1164204
2024-02-12,269.98,270.97,269.21,269.44,696309
2024-02-09,270.07,271.37,269.06,270.14,878245
2024-02-08,269.0,269.44,267.12,269.0,617092
2024-02-07,269.5,270.15,267.95,269.09,1058802
2024-02-06,266.1,267.79,264.64,267.69,814601
2024-02-05,264.0,267.07,262.5,265.52,1032428
2024-02-02,265.74,266.4,264.33,265.27,1949414
2024-02-01,265.65,267.24,263.07,266.87,1715158
2024-01-31,269.0,269.5,263.84,264.99,2305088
2024-01-30,266.29,269.37,265.99,268.67,2040351
2024-01-29,264.57,265.91,263.2,264.78,961685
2024-01-26,266.56,267.97,262.05,265.07,1329931
2024-01-25,261.76,265.97,261.16,265.86,1968787
2024-01-24,252.32,263.69,251.62,261.18,2749487
2024-01-23,250.35,252.1,247.88,249.37,1775553
2024-01-22,249.5,251.32,248.7,249.76,2043282
2024-01-19,251.5,251.5,248.98,249.34,1410323
2024-01-18,249.04,251.1,247.36,250.95,907695
2024-01-17,249.23,252.1,249.0,249.97,882739
2024-01-16,254.29,254.7,249.72,250.65,1038498
2024-01-12,251.34,254.91,251.34,254.81,1107546
2024-01-11,251.76,252.35,248.09,249.94,1500115
2024-01-10,251.24,253.01,250.81,251.25,877919
2024-01-09,253.77,253.77,250.89,251.24,1255981
2024-01-08,253.0,253.85,250.88,253.82,1257124
2024-01-05,256.59,257.0,253.41,253.9,959670
2024-01-04,258.75,259.0,256.0,256.18,1096846
2024-01-03,259.55,261.39,256.5,256.54,1378672
2024-01-02,259.67,261.14,257.62,258.6,992514
2023-12-29,258.52,259.88,257.85,259.67,812338
2023-12-28,257.97,258.79,257.46,258.14,569704
2023-12-27,255.38,257.73,255.08,257.43,750986
2023-12-26,254.04,256.81,253.85,256.21,637901
2023-12-22,253.37,255.26,252.56,254.1,650642
2023-12-21,251.0,252.97,250.0,252.43,702281
2023-12-20,253.12,253.97,249.4,249.56,1018223
2023-12-19,252.71,253.98,252.25,253.89,738976
2023-12-18,252.66,253.93,251.77,252.87,708697
2023-12-15,249.64,252.74,249.35,252.55,2410879
2023-12-14,255.4,255.56,248.58,251.15,1778754
2023-12-13,253.66,256.32,253.03,255.85,1287264
2023-12-12,252.01,254.35,251.7,253.2,863986
2023-12-11,252.02,253.64,252.02,252.42,704582
2023-12-08,251.75,253.19,251.75,252.29,968475
2023-12-07,252.72,254.76,250.52,251.49,895769
2023-12-06,250.89,252.85,250.26,251.95,874733
2023-12-05,252.23,252.61,250.2,250.89,925879
2023-12-04,248.55,252.25,248.11,252.21,1618211
2023-12-01,247.09,249.69,246.81,249.69,842300
2023-11-30,245.59,247.3,245.01,246.97,951100
2023-11-29,245.22,246.0,243.87,244.83,835200
2023-11-28,247.4,247.53,245.07,245.22,846800
2023-11-27,247.71,247.71,245.51,246.36,717900
2023-11-24,247.68,248.55,247.44,247.83,339000
2023-11-22,245.81,247.45,245.46,247.33,617700
2023-11-21,246.11,247.51,245.37,246.41,806500
2023-11-20,244.65,247.08,244.35,245.78,894100
2023-11-17,246.05,246.22,244.41,244.69,1060600
2023-11-16,246.28,246.88,244.53,245.26,824400
2023-11-15,247.56,248.27,245.69,245.76,1073600
2023-11-14,245.77,248.89,245.49,247.86,1115600
2023-11-13,243.55,247.28,243.53,246.65,1569200
2023-11-10,241.11,244.14,240.74,243.55,1102800
2023-11-09,242.0,242.0,238.31,240.1,1733000
2023-11-08,243.34,244.11,241.42,242.02,694900
2023-11-07,244.06,244.08,242.21,242.73,804600
2023-11-06,243.19,244.48,242.32,243.93,1286800
2023-11-03,245.0,245.39,243.11,243.21,1004300
2023-11-02,241.32,244.24,241.03,244.01,1749300
2023-11-01,242.0,243.87,240.63,242.7,1490500
2023-10-31,239.65,241.79,237.5,241.31,2534200
2023-10-30,238.61,240.24,237.35,238.98,1485100
2023-10-27,237.88,239.3,236.58,238.25,1816200
2023-10-26,243.0,243.8,240.16,240.55,1580900
2023-10-25,239.06,244.38,238.47,242.4,2440600
2023-10-24,235.28,236.67,232.29,233.0,1060600
