date,open,high,low,close,volume
2024-03-28,73.25,73.87,73.2,73.25,8369703
2024-03-27,72.92,73.06,72.55,73.01,7747590
2024-03-26,72.32,72.66,72.11,72.41,5362890
2024-03-25,72.5,72.84,72.2,72.58,5543898
2024-03-22,73.11,73.23,72.56,72.61,7730620
2024-03-21,73.9,74.28,73.03,73.09,5836856
2024-03-20,73.27,73.98,72.8,73.98,7311351
2024-03-19,73.34,73.77,73.19,73.41,8661777
2024-03-18,73.69,74.17,73.21,73.26,6939612
2024-03-15,74.25,74.66,73.29,73.69,13963774
2024-03-14,74.72,75.02,73.82,74.21,8399270
2024-03-13,75.49,76.18,74.96,75.94,6003025
2024-03-12,75.25,75.34,74.25,75.08,7056289
2024-03-11,74.88,76.21,74.83,75.32,7394928
2024-03-08,73.96,75.44,73.66,75.12,9519011
2024-03-07,72.97,74.08,72.68,73.66,9902838
2024-03-06,72.88,73.32,72.51,72.63,6170328
2024-03-05,72.4,73.01,72.1,72.99,6280430
2024-03-04,72.39,72.6,71.96,72.25,5750080
2024-03-01,72.28,72.66,72.04,72.31,5401188
2024-02-29,72.72,72.91,71.92,72.1,8583444
2024-02-28,73.18,73.25,72.61,72.7,4245558
2024-02-27,72.85,73.14,72.63,73.02,6090379
2024-02-26,73.5,73.89,72.84,72.95,5177937
2024-02-23,73.25,74.24,73.0,73.55,5573505
2024-02-22,72.26,72.89,71.83,72.78,7323717
2024-02-21,72.51,73.29,72.51,73.2,6233571
2024-02-20,71.59,72.73,71.45,72.04,7874245
2024-02-16,73.0,73.09,71.37,71.58,12823245
2024-02-15,73.04,73.57,72.81,73.37,5482851
2024-02-14,73.11,73.83,72.83,73.04,7487680
2024-02-13,74.69,74.77,72.97,73.53,8560069
2024-02-12,73.41,75.14,73.11,74.45,7605845
2024-02-09,73.82,74.12,72.81,73.67,10718253
2024-02-08,74.4,74.59,73.03,73.8,8815205
2024-02-07,76.21,76.45,73.94,74.42,12449831
2024-02-06,76.87,77.87,76.71,77.72,8121246
2024-02-05,76.65,77.05,76.01,76.71,6690385
2024-02-02,77.61,77.99,76.91,76.96,7588850
2024-02-01,78.0,78.58,77.4,78.16,7697961
2024-01-31,78.79,79.03,78.01,78.26,7637274
2024-01-30,78.8,78.9,77.96,78.62,8102375
2024-01-29,79.65,80.01,78.91,79.07,6585955
2024-01-26,80.23,80.51,79.4,79.52,5481416
2024-01-25,80.08,81.06,79.55,80.23,8337419
2024-01-24,79.56,79.9,78.48,79.53,7563017
2024-01-23,78.54,79.88,78.39,79.48,7837815
2024-01-22,80.5,80.75,77.37,78.43,20378551
2024-01-19,86.38,87.87,86.09,87.29,6400664
2024-01-18,85.76,86.55,85.33,86.4,6260570
2024-01-17,85.83,86.58,85.57,86.48,5809469
2024-01-16,85.85,86.09,85.31,85.99,5139530
2024-01-12,85.88,86.45,85.64,86.38,5884164
2024-01-11,84.32,85.48,84.04,85.39,5862246
2024-01-10,83.9,84.94,83.37,84.5,8386587
2024-01-09,83.52,86.29,83.19,86.06,7601842
2024-01-08,82.86,84.07,82.5,83.99,8641184
2024-01-05,84.3,84.52,83.25,83.31,7369160
2024-01-04,83.79,84.95,83.44,84.48,5881040
2024-01-03,83.65,84.21,82.97,83.48,7329590
2024-01-02,80.91,83.76,80.87,83.24,7417495
2023-12-29,81.07,81.3,80.69,81.01,3586926
2023-12-28,80.52,81.26,80.38,81.14,3553165
2023-12-27,80.11,80.75,79.74,80.37,3541252
2023-12-26,79.72,80.06,79.39,79.95,2659492
2023-12-22,79.19,80.0,79.16,79.66,4109738
2023-12-21,78.82,79.42,78.52,78.93,3791022
2023-12-20,79.66,79.78,78.58,78.59,5227782
2023-12-19,79.58,80.02,79.22,79.49,7452371
2023-12-18,80.63,80.63,79.43,79.5,4926692
2023-12-15,81.35,82.31,80.1,80.33,20354199
2023-12-14,82.4,82.46,81.07,81.78,8531101
2023-12-13,81.3,83.12,80.89,83.09,10582405
2023-12-12,80.78,81.18,80.06,80.82,6118338
2023-12-11,79.63,80.84,79.46,80.09,8189977
2023-12-08,78.11,79.24,77.94,79.02,6568994
2023-12-07,79.58,79.81,77.85,78.05,8588558
2023-12-06,79.25,80.18,79.04,79.36,5745464
2023-12-05,78.37,79.28,77.85,79.02,6277013
2023-12-04,77.29,78.47,77.16,78.34,8194691
2023-12-01,76.78,77.66,76.2,77.65,5400471
2023-11-30,75.38,76.74,75.31,76.6,10393741
2023-11-29,74.85,75.45,74.68,75.23,5091775
2023-11-28,74.8,74.95,74.19,74.51,6792720
2023-11-27,75.11,75.3,74.52,74.92,4552184
2023-11-24,75.89,75.99,75.03,75.38,1931048
2023-11-22,74.99,75.73,74.9,75.7,4419129
2023-11-21,76.0,76.15,74.54,74.69,5120372
2023-11-20,75.23,76.1,75.07,76.0,7012251
2023-11-17,74.89,75.51,74.57,75.45,7874576
2023-11-16,75.53,76.15,73.99,74.52,6820760
2023-11-15,74.23,75.46,74.11,75.04,7102130
2023-11-14,75.32,75.72,74.55,74.72,5534445
2023-11-13,75.37,75.65,74.54,74.93,4742560
2023-11-10,75.46,76.03,74.86,75.92,5946775
2023-11-09,77.53,77.71,74.72,74.98,8878924
2023-11-08,77.49,78.26,75.09,77.9,13103484
2023-11-07,81.07,81.35,80.32,80.61,7609016
2023-11-06,81.67,81.98,80.74,81.14,6649996
2023-11-03,82.0,82.59,81.51,81.59,7040044
2023-11-02,79.81,81.31,79.64,81.23,6166113
2023-11-01,79.0,80.42,78.81,80.19,5446074
2023-10-31,77.59,78.71,77.46,78.54,4684184
2023-10-30,76.92,77.99,76.9,77.77,4760785
2023-10-27,78.39,78.5,76.33,76.62,6037772
2023-10-26,78.51,78.95,77.64,78.5,4630880
2023-10-25,77.91,78.6,77.43,78.39,5148042
2023-10-24,77.59,78.54,77.28,78.15,5424853
2023-10-23,77.7,77.97,77.17,77.56,4049810
2023-10-20,78.74,79.09,77.74,77.8,5183656
2023-10-19,79.07,79.87,78.23,78.44,5563541
2023-10-18,80.47,80.71,79.53,79.67,6781870
2023-10-17,79.19,81.07,78.61,80.48,10602218
2023-10-16,77.74,79.44,77.63,79.2,6958195
2023-10-13,77.19,77.86,76.97,77.65,5651907
2023-10-12,76.88,77.11,76.29,76.76,4038083
2023-10-11,76.25,77.01,76.01,76.96,4434127
2023-10-10,75.06,76.46,74.78,75.97,5040261
2023-10-09,74.78,75.34,74.24,75.06,3393989
2023-10-06,74.46,75.01,73.91,74.74,4635272
2023-10-05,74.67,75.03,74.15,74.7,4781934
2023-10-04,73.3,74.82,73.25,74.74,4707663
2023-10-03,73.21,73.87,72.87,73.27,6075317
2023-10-02,75.0,75.04,73.16,74.1,4578676
2023-09-29,75.51,75.75,74.58,74.94,4179998
2023-09-28,75.79,76.05,75.21,75.42,3483111
2023-09-27,75.67,76.06,75.14,75.55,4442649
2023-09-26,75.41,76.27,75.32,75.53,5643933
2023-09-25,74.75,74.93,74.53,74.83,3885751
2023-09-22,74.76,75.61,74.35,75.01,4351920
2023-09-21,75.88,76.14,75.22,75.27,5272598
2023-09-20,75.98,76.39,75.73,75.82,4826589
2023-09-19,75.39,76.13,75.26,75.77,4002720
2023-09-18,75.86,76.15,75.14,75.62,3337942
2023-09-15,77.21,77.41,75.42,75.67,11145107
2023-09-14,76.79,77.73,76.74,77.36,4424387
2023-09-13,77.0,77.53,76.92,77.31,4407900
2023-09-12,76.99,77.23,76.28,76.8,4181296
2023-09-11,76.05,77.17,76.0,77.04,8053756
2023-09-08,76.12,76.6,75.05,76.0,6695505
2023-09-07,74.62,74.76,73.71,73.94,6586147
2023-09-06,75.12,75.14,73.25,74.24,5753846
2023-09-05,76.95,77.0,75.13,75.16,6045567
2023-09-01,77.22,77.41,76.47,76.65,2993042
2023-08-31,77.28,77.41,76.24,76.48,9200069
2023-08-30,78.22,78.5,77.53,77.66,3298134
2023-08-29,77.25,78.25,77.05,78.21,4156307
2023-08-28,77.29,77.49,76.63,77.04,2783563
2023-08-25,76.61,77.19,76.07,76.86,3773271
2023-08-24,77.25,78.14,76.29,76.33,4793948
2023-08-23,78.3,78.98,76.96,77.04,7422835
2023-08-22,75.69,76.75,75.36,76.35,4536485
2023-08-21,75.67,76.26,75.54,75.94,5359172
2023-08-18,76.55,76.71,75.7,75.88,6483931
2023-08-17,77.99,78.11,76.5,76.5,5741193
2023-08-16,79.12,80.55,77.91,78.0,7264693
2023-08-15,79.63,80.21,78.96,79.64,3798828
2023-08-14,80.06,80.42,79.52,79.85,3681994
2023-08-11,80.0,80.13,79.46,80.0,3383722
2023-08-10,80.38,81.09,79.95,80.0,3776325
2023-08-09,80.57,81.43,80.03,80.17,4551333
2023-08-08,80.69,80.92,78.78,80.08,5546495
2023-08-07,78.33,80.97,77.94,80.67,6831501
2023-08-04,77.38,80.14,77.25,78.68,9062442
2023-08-03,75.72,75.82,75.17,75.53,5748804
2023-08-02,76.0,76.32,75.35,75.68,5325487
2023-08-01,76.09,76.38,75.1,75.68,4025933
2023-07-31,76.67,76.89,75.85,76.14,6059581
2023-07-28,76.42,77.32,76.34,76.86,5026550
2023-07-27,77.33,78.28,76.4,76.51,6258578
2023-07-26,76.77,77.38,76.61,77.19,4049720
2023-07-25,77.02,78.15,76.86,77.23,5298431
2023-07-24,79.82,80.18,76.25,77.66,11334045
2023-07-21,80.41,81.13,80.0,80.64,14984374
2023-07-20,79.56,80.78,79.54,79.94,6046049
2023-07-19,78.1,79.6,78.1,78.96,5351637
2023-07-18,77.54,78.86,77.4,78.22,5245145
2023-07-17,76.67,77.76,76.46,77.48,4954592
2023-07-14,76.61,77.64,76.46,77.19,6072293
2023-07-13,76.7,77.29,76.3,76.71,3341667
2023-07-12,76.36,77.18,76.33,76.38,5185153
2023-07-11,75.49,76.25,75.36,76.12,3530239
2023-07-10,74.5,75.88,74.45,75.69,5554910
2023-07-07,75.66,75.94,74.33,74.42,6550657
2023-07-06,76.91,77.04,76.02,76.24,5020781
2023-07-05,76.57,77.6,76.1,77.24,5308332
2023-07-03,76.26,76.84,75.84,76.72,3437332
2023-06-30,76.49,77.24,76.16,77.07,6017248
2023-06-29,75.88,76.48,75.49,76.01,5296008
2023-06-28,75.92,76.22,75.25,76.18,4486929
2023-06-27,76.65,76.89,75.8,76.01,5111206
2023-06-26,77.2,77.2,74.96,76.56,6106237
2023-06-23,78.33,78.36,77.26,77.47,4815731
2023-06-22,77.75,78.19,77.31,78.11,3408858
2023-06-21,77.67,78.45,77.0,77.61,5342319
2023-06-20,78.64,79.18,77.71,77.71,5410061
2023-06-16,79.25,79.53,78.5,78.86,13982721
2023-06-15,78.28,79.01,77.77,79.0,6526216
2023-06-14,78.04,78.4,77.32,77.95,6069411
2023-06-13,77.0,78.5,76.9,78.45,4920512
2023-06-12,78.2,78.3,76.81,77.86,5687482
2023-06-09,77.52,78.4,77.28,78.12,6375501
2023-06-08,75.76,78.46,75.76,78.4,8860670
2023-06-07,76.15,76.23,75.12,76.08,7037539
2023-06-06,78.29,78.43,76.02,76.2,5408479
2023-06-05,77.82,78.03,77.18,77.72,5744122
2023-06-02,76.12,77.99,75.8,77.89,4877195
2023-06-01,77.54,77.54,75.87,76.21,5031234
2023-05-31,76.62,77.02,76.27,76.94,8073195
2023-05-30,76.52,76.87,76.01,76.33,5038456
2023-05-26,78.0,78.62,77.01,77.09,5439022
2023-05-25,77.47,78.18,76.26,77.65,8118148
2023-05-24,79.12,79.26,78.14,79.05,5863905
2023-05-23,78.6,79.56,78.1,78.58,4542896
2023-05-22,79.3,79.85,78.4,78.62,3559625
2023-05-19,78.78,79.62,78.65,78.85,5694350
2023-05-18,78.88,79.05,77.36,78.21,5049855
2023-05-17,78.15,79.02,77.05,78.81,5507045
2023-05-16,79.77,79.77,78.16,78.32,5765332
2023-05-15,78.07,78.4,77.83,78.38,2723343
2023-05-12,78.77,79.08,77.91,78.17,3519067
2023-05-11,78.16,78.76,77.45,78.7,5123741
2023-05-10,78.77,78.84,77.16,78.11,5614104
2023-05-09,78.31,79.28,78.3,78.8,4546645
2023-05-08,79.61,79.66,78.13,78.59,3823590
2023-05-05,78.75,79.83,78.22,79.75,4613704
2023-05-04,79.61,79.68,78.41,78.52,4564159
2023-05-03,80.49,80.9,79.12,79.45,5057565
2023-05-02,81.53,82.04,80.08,80.44,5647923
2023-05-01,82.47,82.55,81.2,81.42,5561392
2023-04-28,82.52,82.85,80.08,82.21,10709411
2023-04-27,83.74,83.86,82.42,83.55,8658988
2023-04-26,84.24,84.42,82.9,83.74,4439499
2023-04-25,86.95,87.08,85.5,85.59,5378614
2023-04-24,86.62,87.37,86.49,86.7,6630846
2023-04-21,84.87,86.88,84.75,86.57,8039535
2023-04-20,83.75,84.88,83.7,84.69,5927758
2023-04-19,83.46,84.31,83.39,84.11,3112324
2023-04-18,83.74,83.93,82.97,83.78,4284058
2023-04-17,83.41,83.74,83.03,83.63,4444671
2023-04-14,83.03,83.24,81.98,83.0,4886601
2023-04-13,81.96,83.34,81.93,83.27,4224736
2023-04-12,82.97,83.24,81.74,82.16,5146730
2023-04-11,82.56,83.11,82.26,82.54,3669443
2023-04-10,83.5,83.5,82.32,82.6,3465548
2023-04-06,84.07,84.83,83.26,83.37,3729061
2023-04-05,82.3,83.72,81.95,83.65,4615196
2023-04-04,83.16,83.45,81.82,82.12,4490721
2023-04-03,82.94,83.8,82.64,83.24,5083675
2023-03-31,81.64,83.14,81.19,82.97,7135830
2023-03-30,81.78,81.9,81.06,81.45,3822725
2023-03-29,81.26,81.97,80.93,81.29,5469280
2023-03-28,79.96,81.11,79.79,80.97,4154918
2023-03-27,80.38,80.99,79.41,79.58,4444950
2023-03-24,78.93,80.4,78.33,80.0,4807017
2023-03-23,77.78,78.93,77.64,78.76,5015742
2023-03-22,79.1,79.38,77.76,77.81,4909540
2023-03-21,79.53,80.05,78.36,79.14,4744836
2023-03-20,77.71,79.68,77.63,79.46,4672679
2023-03-17,79.76,79.76,76.53,77.31,16828078
2023-03-16,79.18,79.97,78.42,79.85,7274465
2023-03-15,79.1,79.89,78.51,79.65,4875419
2023-03-14,79.03,79.91,78.32,79.77,5499121
2023-03-13,78.57,81.27,78.57,79.51,6845669
2023-03-10,79.02,80.31,78.9,79.5,6203914
2023-03-09,80.57,80.7,78.29,78.95,7500053
2023-03-08,80.5,80.83,79.82,80.2,3859680
2023-03-07,81.3,81.3,79.94,80.28,6112573
2023-03-06,81.11,81.34,80.54,81.11,4500484
2023-03-03,79.81,81.18,79.59,81.07,4915444
2023-03-02,79.51,79.9,79.21,79.62,3459569
2023-03-01,80.34,80.34,79.39,79.59,5269941
2023-02-28,80.81,80.93,79.92,80.53,5808885
2023-02-27,81.16,81.31,80.58,80.89,4930041
2023-02-24,82.27,82.3,80.33,80.66,6289964
2023-02-23,83.15,83.85,82.25,82.54,5344979
2023-02-22,84.63,84.75,83.04,83.5,4986884
2023-02-21,84.73,85.49,84.62,84.64,6085631
2023-02-17,83.61,85.25,83.28,84.76,6306264
2023-02-16,84.31,84.76,83.37,83.39,5760563
2023-02-15,85.27,85.27,84.44,85.05,5614951
2023-02-14,87.59,87.61,85.02,85.68,7206203
2023-02-13,86.7,87.82,86.39,87.49,5801725
2023-02-10,85.56,86.96,85.28,86.7,5522187
2023-02-09,85.83,86.61,85.13,85.53,6656819
2023-02-08,85.4,86.03,85.29,85.67,7376596
2023-02-07,86.6,86.69,85.38,86.05,7298804
2023-02-06,84.5,87.18,84.5,86.36,7611135
2023-02-03,84.66,86.97,83.62,84.5,12852404
2023-02-02,82.37,82.5,80.48,81.39,10933779
2023-02-01,84.01,84.66,82.7,84.0,6673648
2023-01-31,83.52,84.21,83.23,83.94,9621752
2023-01-30,83.52,83.84,82.33,83.35,7283048
2023-01-27,83.33,83.97,83.11,83.73,4108412
2023-01-26,83.76,83.81,82.61,83.62,3670867
2023-01-25,84.15,84.55,83.56,84.07,3892838
2023-01-24,83.43,84.08,82.11,84.02,4776447
2023-01-23,82.76,84.38,82.42,83.23,5673156
2023-01-20,83.54,83.8,82.51,83.01,16678603
2023-01-19,84.17,84.58,83.25,83.62,6922528
2023-01-18,85.02,85.13,83.6,83.74,6374849
2023-01-17,86.05,86.37,85.36,85.41,5959790
2023-01-13,85.54,86.3,85.33,86.27,5305720
2023-01-12,86.5,86.59,85.08,85.72,6013291
2023-01-11,87.12,87.2,86.02,87.19,5947077
