date,open,high,low,close,volume
2024-03-28,150.85,151.43,150.17,150.93,23969267
2024-03-27,151.18,151.64,148.9,150.87,22879178
2024-03-26,150.22,152.26,149.98,150.67,22149137
2024-03-25,149.94,150.38,147.82,150.07,19229285
2024-03-22,149.12,151.58,148.98,150.77,29211769
2024-03-21,149.47,150.37,146.9,147.6,24755597
2024-03-20,148.0,148.86,146.74,148.74,21311501
2024-03-19,148.16,148.79,146.08,147.03,24070435
2024-03-18,148.61,152.15,147.17,147.68,69273699
2024-03-15,142.5,143.18,140.03,141.18,49475417
2024-03-14,141.19,143.59,140.46,143.1,42753387
2024-03-13,139.0,141.09,138.99,139.79,23347208
2024-03-12,137.03,139.38,137.03,138.5,27563354
2024-03-11,136.13,139.1,136.13,137.67,32437772
2024-03-08,134.21,138.09,134.0,135.41,39370392
2024-03-07,132.79,134.94,131.61,134.38,37738209
2024-03-06,133.12,133.58,130.85,131.4,35318610
2024-03-05,131.88,133.24,130.67,132.67,40194757
2024-03-04,135.66,135.66,131.91,133.35,55999415
2024-03-01,138.43,138.87,136.92,137.14,31151116
2024-02-29,137.28,138.86,136.4,138.46,42132953
2024-02-28,137.9,138.01,135.41,136.38,37328558
2024-02-27,138.02,139.25,137.09,138.88,33099190
2024-02-26,142.14,142.44,137.39,137.57,53641795
2024-02-23,143.67,144.68,143.43,143.96,19493752
2024-02-22,144.93,145.0,142.8,144.09,27191892
2024-02-21,141.45,142.69,140.68,142.55,23315687
2024-02-20,139.66,142.08,139.49,141.12,24935710
2024-02-16,142.99,143.19,140.14,140.52,31468926
2024-02-15,143.14,143.52,140.46,142.77,37590695
2024-02-14,146.08,146.52,144.09,145.94,22704166
2024-02-13,144.92,146.67,143.69,145.14,27837730
2024-02-12,148.42,149.34,147.37,147.53,21564085
2024-02-09,146.68,149.44,146.18,149.0,26829504
2024-02-08,145.83,146.33,145.1,145.91,22563764
2024-02-07,144.76,145.62,143.93,145.54,25208862
2024-02-06,144.65,145.36,143.19,144.1,29128201
2024-02-05,142.82,145.47,142.78,143.68,38505405
2024-02-02,139.26,142.62,136.5,142.38,62499574
2024-02-01,142.12,143.06,140.79,141.16,40466549
2024-01-31,143.62,144.0,139.87,140.1,71910044
2024-01-30,152.8,153.62,151.19,151.46,36331833
2024-01-29,152.06,153.78,151.43,153.51,27784259
2024-01-26,151.1,152.54,151.01,152.19,26115494
2024-01-25,150.07,153.05,149.54,151.87,29149069
2024-01-24,148.54,149.85,148.1,148.7,25233450
2024-01-23,145.89,147.18,145.5,147.04,21636129
2024-01-22,147.1,148.39,145.84,145.99,32200369
2024-01-19,144.74,146.45,144.38,146.38,34271867
2024-01-18,142.05,144.21,141.99,143.48,25746417
2024-01-17,141.35,141.84,138.9,141.47,20968649
2024-01-16,142.0,144.35,141.45,142.49,22670467
2024-01-12,142.67,143.2,141.82,142.65,18785514
2024-01-11,143.49,145.22,140.64,142.08,24008722
2024-01-10,141.0,143.0,140.91,142.28,21320203
