date,open,high,low,close,volume
2024-03-28,148.44,149.54,148.05,148.87,852044
2024-03-27,147.96,148.18,146.91,147.98,709455
2024-03-26,146.52,147.79,146.52,147.4,676001
2024-03-25,146.95,147.85,146.45,146.68,520853
2024-03-22,147.87,148.26,146.91,147.29,977313
2024-03-21,146.75,148.5,146.52,148.14,628423
2024-03-20,146.32,146.89,145.45,146.68,746677
2024-03-19,146.3,146.76,145.44,146.48,747450
2024-03-18,146.2,146.87,145.81,146.01,586214
2024-03-15,145.81,147.29,145.32,145.75,3466219
2024-03-14,148.03,148.88,146.45,147.03,985721
2024-03-13,149.0,149.42,148.09,148.35,925516
2024-03-12,146.08,148.89,145.32,148.45,1625622
2024-03-11,141.63,146.67,141.6,145.99,2714492
2024-03-08,141.47,142.73,141.06,141.94,832169
2024-03-07,140.5,141.65,139.77,141.43,917988
2024-03-06,140.64,141.78,139.53,139.95,999918
2024-03-05,139.53,140.23,138.3,140.09,1149235
2024-03-04,137.06,140.46,137.0,139.67,1281515
2024-03-01,137.0,138.39,136.79,137.43,927599
2024-02-29,137.4,138.06,136.25,137.35,1627456
2024-02-28,134.11,139.49,134.11,137.3,1809545
2024-02-27,134.99,135.34,134.01,134.69,936619
2024-02-26,134.94,135.49,133.16,135.22,1352401
2024-02-23,134.64,135.72,133.61,135.51,1236802
2024-02-22,134.77,134.77,131.2,133.94,2101546
2024-02-21,129.99,137.87,128.89,133.58,2561139
2024-02-20,121.61,123.46,121.2,122.75,1233272
2024-02-16,123.63,123.78,122.1,122.2,1602529
2024-02-15,122.97,124.04,122.89,123.96,644736
2024-02-14,121.78,122.89,120.73,122.83,723722
2024-02-13,121.89,121.89,120.06,121.12,538788
2024-02-12,123.27,123.93,122.96,123.62,713996
2024-02-09,122.27,123.7,121.9,123.27,599454
2024-02-08,122.04,122.46,120.86,122.32,596359
2024-02-07,121.81,122.22,121.0,121.73,708129
2024-02-06,120.18,121.93,120.06,121.81,570101
2024-02-05,119.52,120.81,119.31,119.88,734380
2024-02-02,119.97,120.94,119.27,120.41,722129
2024-02-01,120.04,121.03,119.15,121.01,708525
2024-01-31,121.86,121.86,119.3,119.49,936020
2024-01-30,123.98,124.04,121.74,121.86,1039027
2024-01-29,124.38,125.21,123.73,125.19,459369
2024-01-26,125.39,125.75,124.38,124.74,488136
2024-01-25,124.8,125.51,124.15,125.04,675206
2024-01-24,127.73,127.73,125.02,125.11,632526
