date,open,high,low,close,volume
2024-03-28,416.21,419.2,414.98,417.69,2400315
2024-03-27,409.62,415.49,408.37,415.25,2353629
2024-03-26,406.09,409.33,404.52,406.18,1406974
2024-03-25,406.87,410.46,403.86,404.94,1683977
2024-03-22,414.4,416.76,405.78,406.82,2190278
2024-03-21,399.77,414.02,399.09,413.71,4613791
2024-03-20,386.36,396.5,386.0,396.47,2157408
2024-03-19,384.07,390.78,383.71,388.66,1858220
2024-03-18,388.65,389.03,383.41,384.37,2069030
2024-03-15,388.87,391.13,386.4,387.21,3763948
2024-03-14,394.43,396.38,385.45,388.61,3029744
2024-03-13,388.91,395.25,388.18,392.31,2370677
2024-03-12,387.62,389.13,383.78,388.18,1703880
2024-03-11,385.67,386.41,381.42,386.16,1654403
2024-03-08,388.73,395.62,386.71,386.99,1657387
2024-03-07,391.9,394.51,387.06,388.43,2033080
2024-03-06,395.0,395.29,384.52,389.57,2692376
2024-03-05,390.72,397.49,390.31,390.91,2697770
2024-03-04,388.81,396.57,386.2,392.25,1955263
2024-03-01,389.63,391.04,385.25,388.1,1573017
2024-02-29,395.22,395.98,385.67,389.05,3139123
2024-02-28,387.19,393.26,387.0,393.18,2572859
2024-02-27,392.26,395.9,389.33,390.81,1725071
2024-02-26,391.05,396.06,388.82,390.22,1797790
2024-02-23,390.0,396.79,389.21,391.05,2247640
2024-02-22,389.23,395.6,389.0,390.47,2326776
2024-02-21,381.84,388.66,381.26,388.27,1773121
2024-02-20,380.95,385.58,380.85,384.52,2358977
2024-02-16,383.24,387.58,380.95,384.44,2376824
2024-02-15,379.42,387.21,379.14,385.42,2218890
2024-02-14,380.88,381.48,375.78,378.04,2041326
2024-02-13,387.59,389.16,375.2,378.75,3030784
2024-02-12,385.0,396.35,384.32,392.64,2797421
2024-02-09,384.77,386.13,382.59,384.26,2028204
2024-02-08,386.0,388.11,381.34,385.04,1913833
2024-02-07,385.31,387.07,382.5,386.66,1963216
2024-02-06,383.02,386.82,383.0,384.99,1488144
2024-02-05,384.6,385.33,381.0,383.02,2231062
2024-02-02,381.8,388.74,380.6,387.86,2180892
2024-02-01,384.43,389.54,378.8,383.85,2138452
2024-01-31,386.0,393.91,383.7,384.01,3421105
2024-01-30,384.0,387.92,381.59,386.87,3897864
2024-01-29,375.89,380.84,374.24,380.56,1632534
2024-01-26,378.65,380.9,376.75,377.79,3464718
2024-01-25,382.69,386.71,382.01,382.7,2376324
2024-01-24,381.81,384.61,379.18,379.4,2235811
2024-01-23,379.98,383.36,378.63,380.77,3313294
2024-01-22,386.36,392.73,384.56,385.96,2922749
2024-01-19,376.73,383.3,372.07,382.2,2603278
2024-01-18,380.33,381.64,374.56,376.91,1771217
2024-01-17,375.2,380.2,374.13,377.18,2415333
2024-01-16,378.36,385.01,374.32,380.45,3926571
2024-01-12,383.34,385.85,376.58,377.75,2223834
2024-01-11,380.89,380.98,374.68,379.75,2209933
2024-01-10,381.35,383.05,378.53,381.96,1547381
2024-01-09,384.6,385.95,381.77,383.74,1708765
2024-01-08,385.97,389.08,382.03,388.86,1902568
2024-01-05,381.92,389.47,381.08,386.44,2913924
2024-01-04,383.55,387.09,381.95,382.95,1618314
2024-01-03,383.88,385.4,376.76,381.79,2265306
2024-01-02,383.0,389.14,382.19,388.3,2263330
2023-12-29,385.57,386.64,383.57,385.77,881319
2023-12-28,384.52,387.76,383.63,386.41,1024818
2023-12-27,381.2,385.75,380.31,384.48,1367219
2023-12-26,380.65,382.61,380.05,381.61,837409
2023-12-22,382.0,383.49,379.41,380.65,1538183
2023-12-21,380.05,381.49,377.01,380.57,1301713
2023-12-20,380.73,385.13,377.25,377.52,1836529
2023-12-19,376.01,383.77,374.55,382.45,2091787
2023-12-18,381.26,382.76,375.91,376.4,2741011
2023-12-15,380.19,385.9,379.32,380.51,4522310
2023-12-14,366.5,386.2,365.0,383.47,5376303
2023-12-13,352.94,362.85,351.6,362.73,2876467
2023-12-12,351.41,354.0,349.58,352.61,1597669
2023-12-11,351.44,353.03,349.05,351.76,1635961
2023-12-08,344.31,352.29,343.78,350.83,2239001
2023-12-07,343.71,344.69,342.0,344.62,2162631
2023-12-06,343.51,347.0,341.6,341.97,1869436
2023-12-05,346.6,346.83,340.54,341.75,2429702
2023-12-04,346.3,350.49,345.29,349.39,2178216
2023-12-01,341.46,348.89,340.42,348.43,3623292
2023-11-30,341.68,344.76,340.09,341.54,1903754
2023-11-29,337.0,343.53,336.51,340.26,2038124
2023-11-28,337.38,338.4,334.87,337.65,1418976
2023-11-27,339.19,340.02,335.74,337.71,1250571
2023-11-24,338.8,340.27,337.64,339.15,460100
2023-11-22,336.94,338.91,335.37,338.64,1235402
2023-11-21,338.36,339.09,334.55,334.97,1901001
2023-11-20,340.0,341.32,337.5,339.45,3149459
2023-11-17,339.5,340.45,338.12,339.19,1465594
2023-11-16,337.76,339.75,335.01,336.67,1620383
2023-11-15,339.9,341.08,335.34,337.6,2534619
2023-11-14,333.53,341.78,332.47,338.72,3592920
2023-11-13,324.16,328.72,323.53,326.91,1403320
2023-11-10,323.32,326.06,321.65,325.51,1781440
2023-11-09,326.0,326.65,319.66,320.78,1788040
2023-11-08,323.95,326.66,323.67,324.56,1484489
2023-11-07,322.13,326.39,321.29,323.95,1504999
2023-11-06,326.66,328.9,322.1,323.91,2087563
2023-11-03,318.46,329.33,317.93,327.62,3742027
2023-11-02,309.69,314.54,308.0,313.76,2596968
2023-11-01,303.33,308.25,302.84,307.16,2345370
2023-10-31,301.68,304.29,300.7,303.61,2611046
2023-10-30,293.45,301.81,293.29,300.83,3065158
2023-10-27,297.55,298.27,289.36,289.91,2601664
2023-10-26,296.96,300.14,294.78,296.99,2011172
2023-10-25,298.6,300.0,295.03,296.76,1809273
2023-10-24,300.0,303.1,299.08,299.18,1697300
2023-10-23,298.29,303.55,298.19,299.22,2959982
2023-10-20,298.5,303.25,298.1,300.05,2328977
2023-10-19,301.96,305.34,298.63,299.19,3211804
2023-10-18,307.0,307.22,301.48,301.96,3460269
2023-10-17,313.38,316.18,305.91,309.36,4122960
2023-10-16,313.18,315.9,310.25,314.39,2273906
2023-10-13,312.0,316.18,308.17,309.3,1785777
2023-10-12,314.15,314.25,308.02,309.85,1727714
2023-10-11,315.43,316.63,311.6,313.02,1672491
2023-10-10,314.47,316.85,312.29,314.77,1194030
2023-10-09,308.9,313.48,308.37,312.61,1094602
2023-10-06,308.11,315.32,307.17,312.48,1595270
2023-10-05,307.36,310.55,304.21,310.5,1584764
2023-10-04,304.85,309.06,303.48,308.6,1872003
2023-10-03,315.27,315.68,304.39,306.12,3118598
2023-10-02,322.03,323.58,317.1,318.5,1303821
