date,open,high,low,close,volume
2024-03-28,62.41,62.63,60.59,60.7,1118163
2024-03-27,59.76,62.38,59.07,62.07,1114409
2024-03-26,59.15,61.5,58.47,59.47,1239977
2024-03-25,56.89,58.77,56.89,57.94,800735
2024-03-22,56.45,57.59,56.45,56.54,718314
2024-03-21,56.18,56.63,55.56,56.48,562687
2024-03-20,55.35,55.84,54.01,55.59,720902
2024-03-19,54.2,55.85,53.77,55.71,779130
2024-03-18,54.22,54.77,52.85,53.99,842161
2024-03-15,53.07,54.2,52.0,53.76,3345199
2024-03-14,53.15,53.29,52.06,53.03,1346530
2024-03-13,54.87,55.0,53.23,53.85,1420879
2024-03-12,56.92,56.99,54.14,54.79,1137006
2024-03-11,60.5,60.9,55.68,56.98,1234602
2024-03-08,61.37,62.38,60.66,60.95,544284
2024-03-07,60.6,62.24,60.6,61.33,697455
2024-03-06,59.39,60.69,59.19,60.07,526141
2024-03-05,59.0,60.67,58.26,58.76,690494
2024-03-04,57.64,59.8,57.24,59.12,816293
2024-03-01,57.58,58.29,56.87,57.54,836456
2024-02-29,57.41,57.67,55.7,56.97,1938996
2024-02-28,59.7,60.22,56.97,57.07,1007974
2024-02-27,59.15,60.17,58.7,59.56,706783
2024-02-26,57.72,59.94,57.7,58.85,611634
2024-02-23,57.37,58.65,56.75,57.85,479471
2024-02-22,56.5,57.66,55.52,57.58,699171
2024-02-21,55.0,57.23,54.66,56.75,856875
2024-02-20,57.71,57.92,55.2,55.68,1131455
2024-02-16,59.54,59.54,56.0,57.71,1244406
2024-02-15,57.05,58.79,55.35,58.79,1903289
2024-02-14,59.83,61.0,58.0,60.78,1395172
2024-02-13,59.39,60.62,58.77,59.56,1265636
2024-02-12,60.09,61.12,59.68,60.34,1079553
2024-02-09,60.48,60.48,58.88,59.1,780504
2024-02-08,59.07,60.76,58.9,60.39,1065895
2024-02-07,59.14,59.99,58.65,59.86,752519
2024-02-06,61.37,61.6,58.94,59.56,771175
2024-02-05,62.94,63.06,60.45,60.93,711844
