date,open,high,low,close,volume
2024-03-28,289.81,293.17,289.58,291.47,435008
2024-03-27,291.6,292.86,288.86,289.75,754195
2024-03-26,290.82,294.24,289.57,289.87,401881
2024-03-25,294.09,294.09,290.53,290.8,193410
2024-03-22,294.79,294.79,291.09,292.55,216803
2024-03-21,292.78,294.81,291.87,293.93,229760
2024-03-20,290.69,294.32,290.69,292.2,216761
2024-03-19,291.58,293.0,289.27,290.69,289270
2024-03-18,289.42,292.08,288.78,290.59,228016
2024-03-15,284.78,289.58,284.7,289.02,692926
2024-03-14,288.6,290.0,285.43,286.87,243515
2024-03-13,290.39,291.42,288.12,289.9,231164
2024-03-12,287.8,290.69,285.85,290.16,202454
2024-03-11,292.35,292.35,287.24,288.53,225238
2024-03-08,291.27,293.39,290.95,293.32,207746
2024-03-07,293.25,294.4,291.44,291.85,273098
2024-03-06,291.91,295.74,290.4,293.99,268569
2024-03-05,297.54,299.5,289.06,291.33,395639
2024-03-04,292.59,298.19,292.59,296.43,226161
2024-03-01,290.75,292.9,287.69,292.46,184338
2024-02-29,292.3,292.86,290.06,291.62,314806
2024-02-28,290.0,292.82,289.85,291.85,257767
2024-02-27,287.79,289.68,285.79,289.49,201759
2024-02-26,288.74,289.88,286.96,288.33,218736
2024-02-23,287.88,289.5,287.33,288.14,181356
2024-02-22,287.45,287.74,284.49,287.29,199942
2024-02-21,285.88,288.68,285.19,288.13,234943
2024-02-20,285.51,288.0,284.57,284.8,255849
2024-02-16,284.64,287.33,283.34,285.09,263212
2024-02-15,281.36,285.12,281.35,284.99,300957
2024-02-14,276.93,280.71,276.49,280.31,264548
2024-02-13,274.42,277.11,273.39,275.11,312866
2024-02-12,273.98,276.74,273.98,275.74,160301
2024-02-09,272.72,274.32,271.01,273.9,196993
2024-02-08,274.56,275.39,270.17,272.13,260572
2024-02-07,266.62,275.85,266.3,274.74,472932
2024-02-06,265.78,267.53,265.02,266.22,392757
2024-02-05,266.27,267.77,263.01,265.93,247594
2024-02-02,266.08,269.33,263.36,268.5,324251
2024-02-01,264.0,268.51,254.19,267.81,778041
2024-01-31,261.21,263.0,257.98,258.92,443889
2024-01-30,258.59,260.62,257.46,260.32,306682
2024-01-29,256.33,258.59,255.72,258.59,374132
2024-01-26,255.47,256.71,254.09,255.65,387254
2024-01-25,254.16,254.64,251.76,254.4,261086
2024-01-24,256.0,257.9,252.99,253.64,280718
2024-01-23,256.99,258.12,254.54,255.81,175606
2024-01-22,257.11,259.32,255.93,256.77,234832
2024-01-19,261.15,261.15,255.36,256.23,287453
2024-01-18,255.66,260.3,254.37,260.19,307966
2024-01-17,253.67,258.38,253.67,254.81,205590
2024-01-16,253.97,256.13,252.28,255.18,214175
2024-01-12,253.27,254.78,251.74,254.68,204778
2024-01-11,252.28,252.28,248.78,250.63,190538
2024-01-10,253.12,254.99,252.37,252.82,155192
2024-01-09,254.21,254.21,252.52,253.24,128020
2024-01-08,250.84,255.43,250.0,255.36,265578
2024-01-05,254.9,254.9,248.65,252.5,637082
2024-01-04,257.53,259.06,255.97,256.32,223617
2024-01-03,260.0,260.0,256.25,256.3,275980
2024-01-02,259.08,261.42,259.0,260.11,173055
2023-12-29,258.47,260.0,257.9,259.64,168180
2023-12-28,257.81,259.33,257.72,258.47,117439
2023-12-27,257.09,258.71,256.82,258.31,108294
2023-12-26,256.17,258.11,255.85,257.83,79200
2023-12-22,255.41,256.9,254.87,256.09,133633
2023-12-21,253.99,254.65,252.29,254.02,108500
2023-12-20,256.03,257.14,252.37,252.43,206749
2023-12-19,255.7,257.13,254.45,257.01,203423
2023-12-18,253.68,255.31,253.44,255.02,261432
2023-12-15,254.66,257.02,253.55,253.55,1256614
2023-12-14,257.8,257.82,252.26,255.83,466389
2023-12-13,254.48,258.56,253.24,257.59,345064
2023-12-12,250.3,256.09,249.77,254.48,432908
2023-12-11,247.25,250.57,246.69,250.38,415564
2023-12-08,245.57,247.25,244.9,246.89,235978
2023-12-07,244.2,245.32,243.46,245.19,206917
2023-12-06,240.89,243.66,240.89,243.59,183630
2023-12-05,241.82,242.08,239.87,240.48,230964
2023-12-04,237.75,242.65,237.75,242.6,308461
2023-12-01,237.05,239.47,235.68,238.74,228400
2023-11-30,234.04,237.14,233.77,237.02,332100
2023-11-29,237.06,238.22,233.14,233.75,257600
2023-11-28,237.32,237.84,235.81,236.68,194000
2023-11-27,237.71,237.71,234.18,236.45,239900
2023-11-24,238.34,240.44,238.21,238.34,100100
2023-11-22,237.24,239.47,237.24,238.08,188300
2023-11-21,239.14,239.53,237.53,239.28,142400
2023-11-20,237.7,240.46,236.33,239.56,216200
2023-11-17,236.54,237.87,234.43,236.75,721500
2023-11-16,235.0,237.66,233.35,234.57,184600
2023-11-15,235.32,237.2,234.16,234.9,329100
2023-11-14,234.0,236.87,233.26,235.92,268200
2023-11-13,230.25,234.69,230.21,233.36,307400
2023-11-10,228.77,230.65,227.58,229.93,197400
2023-11-09,229.18,230.0,226.36,228.14,216200
2023-11-08,233.04,233.2,227.49,228.52,195100
2023-11-07,234.47,234.47,230.98,232.24,216600
2023-11-06,233.99,235.44,232.94,234.55,348400
2023-11-03,235.28,236.28,232.66,233.96,342500
2023-11-02,228.86,234.18,225.31,233.85,505400
2023-11-01,221.75,221.75,218.52,220.99,327500
2023-10-31,217.65,221.32,217.3,219.82,291300
2023-10-30,214.16,218.33,213.62,217.35,270800
2023-10-27,216.87,218.15,213.02,213.12,297800
2023-10-26,215.41,218.52,214.56,218.03,294900
2023-10-25,215.72,217.93,214.73,215.06,213500
2023-10-24,218.15,218.85,212.58,214.33,176300
2023-10-23,219.38,220.53,216.12,216.34,177800
2023-10-20,222.43,223.04,219.01,219.09,406600
2023-10-19,222.56,224.77,221.0,221.33,285800
2023-10-18,223.6,225.19,221.86,223.01,259900
2023-10-17,224.44,226.07,221.71,222.96,278100
2023-10-16,225.33,225.93,222.6,225.16,254300
2023-10-13,221.8,225.32,219.92,224.83,266000
2023-10-12,220.79,220.97,217.33,218.81,220800
2023-10-11,219.54,221.16,218.58,220.3,222700
2023-10-10,222.45,222.87,218.56,219.34,324400
2023-10-09,208.81,221.79,208.81,221.44,665200
2023-10-06,199.6,203.77,199.11,202.52,238800
2023-10-05,201.68,202.63,200.27,200.29,167200
2023-10-04,201.66,203.51,199.63,201.65,251100
2023-10-03,201.44,202.8,200.43,202.22,230700
2023-10-02,204.34,204.98,201.75,202.01,260400
2023-09-29,205.71,206.85,204.1,204.58,189400
2023-09-28,204.54,206.84,203.96,205.06,340800
2023-09-27,201.19,203.21,200.47,203.19,210600
2023-09-26,200.67,202.31,200.04,200.41,214400
2023-09-25,200.55,202.36,199.57,201.33,174400
2023-09-22,202.22,203.4,200.04,201.08,241100
2023-09-21,204.66,205.13,199.57,202.5,566500
2023-09-20,210.22,210.22,205.51,205.58,539200
2023-09-19,212.61,212.73,208.59,208.92,261300
2023-09-18,212.04,213.84,210.55,212.28,178300
2023-09-15,212.62,214.19,211.59,211.65,344600
2023-09-14,209.58,212.99,209.39,212.93,179300
2023-09-13,212.08,212.71,209.07,209.52,211500
2023-09-12,210.04,212.94,210.04,211.35,127900
2023-09-11,210.59,211.92,208.37,211.1,141600
2023-09-08,209.38,210.99,208.76,210.84,170300
