date,open,high,low,close,volume
2024-03-28,190.94,191.93,190.34,190.96,3686855
2024-03-27,189.6,190.96,188.6,190.8,3693305
2024-03-26,189.02,190.0,188.5,188.5,4229535
2024-03-25,190.26,190.82,188.75,188.79,3718289
2024-03-22,192.0,192.99,190.51,190.84,3988398
2024-03-21,193.0,193.37,190.01,191.9,6013561
2024-03-20,192.87,193.98,191.31,193.96,3238643
2024-03-19,191.49,193.58,190.28,193.34,5317341
2024-03-18,191.7,193.23,190.32,191.69,5410562
2024-03-15,191.99,193.06,190.7,191.07,8828184
2024-03-14,196.95,197.75,192.12,193.43,4109636
2024-03-13,197.55,198.1,195.32,196.7,3993258
2024-03-12,192.46,199.18,192.15,197.78,5880075
2024-03-11,195.09,195.38,190.88,191.73,4725057
2024-03-08,196.06,197.77,194.38,195.95,3943113
2024-03-07,197.58,198.73,196.14,196.54,4604458
2024-03-06,193.5,198.13,192.96,196.16,6945818
2024-03-05,192.0,193.94,190.57,191.95,5653641
2024-03-04,187.76,193.9,187.6,193.06,7938266
2024-03-01,185.49,188.38,185.18,188.2,4018354
2024-02-29,186.15,186.85,184.69,185.03,6458487
2024-02-28,184.63,185.37,183.55,185.3,3216345
2024-02-27,184.16,185.13,182.62,184.87,3641378
2024-02-26,185.6,186.13,184.06,184.13,4620815
2024-02-23,184.9,186.46,184.57,185.72,3433800
2024-02-22,182.45,184.55,181.93,184.21,5078398
2024-02-21,182.56,183.03,178.75,179.7,4728473
2024-02-20,187.64,188.77,183.06,183.44,4247181
2024-02-16,186.63,188.95,185.95,187.64,4842840
2024-02-15,183.62,186.98,183.62,186.87,4714301
2024-02-14,185.0,185.0,182.26,183.57,3173391
2024-02-13,184.28,184.77,182.36,183.7,4290453
2024-02-12,185.9,186.48,184.03,186.16,4724021
2024-02-09,184.44,187.18,183.85,186.34,5064641
2024-02-08,182.63,184.55,181.49,184.36,5161185
2024-02-07,183.34,184.02,182.63,183.74,4841188
2024-02-06,183.55,184.68,183.04,183.41,3338196
2024-02-05,185.51,185.78,183.26,183.42,4379602
2024-02-02,187.1,187.39,185.62,185.79,4055411
2024-02-01,183.63,187.51,182.71,186.9,4669444
2024-01-31,187.05,187.65,183.14,183.66,8876055
2024-01-30,187.71,188.65,186.77,187.87,4575058
2024-01-29,187.46,189.46,186.05,187.14,6107908
2024-01-26,191.31,192.39,186.16,187.42,9895941
2024-01-25,184.96,196.9,184.83,190.43,29596239
2024-01-24,174.76,174.86,172.9,173.93,9097827
2024-01-23,172.9,174.02,172.48,173.94,3983461
2024-01-22,172.82,174.45,172.4,172.83,4925964
2024-01-19,170.59,171.58,169.18,171.48,6929079
2024-01-18,166.49,166.99,165.04,166.84,3776990
2024-01-17,166.79,167.82,165.5,166.08,4288604
2024-01-16,165.8,167.25,165.34,166.96,4869635
2024-01-12,162.97,165.98,162.35,165.8,4958261
2024-01-11,161.02,162.23,160.29,162.16,3778395
2024-01-10,160.28,161.34,159.74,161.23,2967852
2024-01-09,160.0,160.48,159.51,160.08,2617186
2024-01-08,158.69,161.22,157.89,161.14,3321698
2024-01-05,159.91,160.55,158.67,159.16,4199504
2024-01-04,160.22,161.81,160.17,160.86,3212004
2024-01-03,161.0,161.73,160.08,160.1,4086065
2024-01-02,162.83,163.29,160.46,161.5,3825044
2023-12-29,163.75,164.18,162.83,163.55,2526169
2023-12-28,163.96,163.96,163.4,163.75,2071313
2023-12-27,163.14,163.64,162.68,163.46,3234550
2023-12-26,162.23,163.31,162.05,163.21,1772443
2023-12-22,161.1,162.41,161.0,162.14,2442715
2023-12-21,160.59,161.08,159.53,160.78,2982924
2023-12-20,161.29,161.8,160.01,160.05,4865797
2023-12-19,161.8,162.28,161.32,161.56,3766591
2023-12-18,162.23,163.33,161.58,162.74,3677533
2023-12-15,162.3,164.09,162.04,162.23,11016108
2023-12-14,162.93,163.5,160.15,162.91,6129804
2023-12-13,164.37,164.97,162.74,163.62,4989141
2023-12-12,163.27,166.34,162.92,164.71,5292290
2023-12-11,162.68,163.65,161.95,163.51,6077207
2023-12-08,160.0,162.04,160.0,161.96,4561342
2023-12-07,161.0,161.47,159.97,160.22,3665498
2023-12-06,161.59,162.35,160.01,160.28,3555863
2023-12-05,160.76,162.47,160.72,161.39,4556668
2023-12-04,160.29,162.79,160.29,161.1,5779000
2023-12-01,158.41,160.59,158.0,160.55,4871000
2023-11-30,156.95,158.6,156.89,158.56,6740600
2023-11-29,156.15,157.51,156.02,156.41,3568900
2023-11-28,155.44,155.75,154.86,155.65,2666200
2023-11-27,154.99,156.14,154.75,155.57,4053100
2023-11-24,155.13,155.4,153.92,155.18,1799200
2023-11-22,154.5,155.71,154.16,155.13,3044700
2023-11-21,154.6,154.66,153.51,153.91,2859500
2023-11-20,152.51,154.68,152.35,154.35,3658500
2023-11-17,153.29,153.5,152.46,152.89,4426500
2023-11-16,153.0,153.35,152.13,153.06,3519200
2023-11-15,150.4,153.22,150.4,152.58,4632500
2023-11-14,149.45,150.81,149.05,150.41,4321900
2023-11-13,148.46,148.49,147.35,148.1,2647200
2023-11-10,147.44,149.17,146.85,149.02,3179000
2023-11-09,146.55,146.99,145.28,146.62,3412700
