date,open,high,low,close,volume
2024-03-28,57.3,57.78,57.3,57.68,121623
2024-03-27,56.25,57.27,56.15,57.25,179986
2024-03-26,56.16,56.2,55.76,55.82,119668
2024-03-25,56.37,56.54,56.01,56.01,95957
2024-03-22,56.81,57.0,56.25,56.26,81001
2024-03-21,56.98,57.31,56.62,56.95,99347
2024-03-20,56.37,57.22,56.23,57.04,166365
2024-03-19,56.85,57.05,56.54,56.9,93772
2024-03-18,57.03,57.16,56.8,56.88,107045
2024-03-15,56.96,57.11,56.61,56.91,120112
2024-03-14,57.88,57.88,56.61,57.11,100848
2024-03-13,58.18,58.55,57.88,57.99,129947
2024-03-12,58.37,58.54,57.84,58.31,75724
2024-03-11,58.53,59.0,58.24,58.45,149641
2024-03-08,58.67,58.91,58.49,58.75,72634
2024-03-07,58.33,58.5,57.81,58.15,100030
2024-03-06,58.07,58.32,57.77,58.06,162453
2024-03-05,58.38,58.75,57.59,57.85,120170
2024-03-04,57.76,58.6,57.36,58.55,135586
2024-03-01,57.13,57.78,56.52,57.74,391381
2024-02-29,57.14,57.55,57.01,57.23,188533
2024-02-28,55.94,57.07,55.84,56.77,129616
2024-02-27,56.3,56.67,56.04,56.2,148522
2024-02-26,56.77,56.93,56.05,56.09,118096
2024-02-23,56.84,57.06,56.66,56.73,151163
2024-02-22,56.8,57.03,56.62,56.77,124774
2024-02-21,56.27,56.75,56.27,56.71,103205
2024-02-20,56.11,56.54,55.86,56.28,130578
2024-02-16,56.17,56.59,55.91,56.31,133571
2024-02-15,55.94,56.88,55.94,56.78,81264
2024-02-14,55.3,55.85,55.13,55.52,161254
2024-02-13,55.04,55.15,54.44,55.12,175665
2024-02-12,56.33,56.65,56.06,56.19,117325
2024-02-09,56.28,56.42,55.82,56.4,104297
2024-02-08,55.68,56.38,55.68,56.27,129950
2024-02-07,56.07,56.19,55.54,55.9,245069
2024-02-06,55.31,56.03,55.13,55.95,153697
2024-02-05,55.74,55.87,55.07,55.13,149225
