date,open,high,low,close,volume
2024-03-28,83.98,84.67,83.92,84.52,24113
2024-03-27,82.58,84.02,82.58,84.01,19866
2024-03-26,82.9,83.19,81.95,81.99,21331
2024-03-25,82.62,82.88,82.46,82.8,24908
2024-03-22,82.64,82.72,82.41,82.44,19248
2024-03-21,82.58,83.1,82.38,82.38,35075
2024-03-20,82.57,83.2,82.54,82.91,32645
2024-03-19,82.1,82.7,82.1,82.69,31457
2024-03-18,81.61,82.4,81.39,81.98,118309
2024-03-15,81.32,81.95,81.16,81.59,22482
2024-03-14,82.12,82.12,81.0,81.48,37703
2024-03-13,81.95,82.57,81.89,82.04,27502
2024-03-12,81.95,82.09,81.17,81.55,79406
2024-03-11,81.8,82.19,81.39,82.13,28365
2024-03-08,81.83,82.04,81.23,81.81,43529
2024-03-07,81.55,81.93,81.54,81.71,35036
2024-03-06,80.73,81.47,80.73,81.16,65307
2024-03-05,80.64,81.93,80.12,80.42,52829
2024-03-04,78.92,80.69,78.92,80.55,45391
2024-03-01,79.39,79.39,78.47,79.31,36775
2024-02-29,80.0,80.31,79.4,79.76,30462
2024-02-28,79.38,79.82,79.38,79.71,57170
2024-02-27,78.4,79.5,78.27,79.47,45008
2024-02-26,79.26,79.26,78.07,78.19,38233
2024-02-23,79.04,79.8,79.02,79.54,22937
2024-02-22,79.13,79.31,78.52,79.06,31322
2024-02-21,78.67,79.43,78.67,79.39,28093
2024-02-20,78.39,79.23,78.39,78.42,33436
2024-02-16,78.09,78.89,77.87,78.51,53747
2024-02-15,77.69,78.54,77.69,78.52,51312
2024-02-14,77.33,77.4,76.83,77.34,42149
2024-02-13,77.34,77.56,75.93,76.87,60860
2024-02-12,76.8,77.68,76.75,77.68,33802
2024-02-09,76.39,76.96,76.35,76.92,27218
2024-02-08,77.0,77.0,76.12,76.63,60482
2024-02-07,77.4,77.4,76.84,77.15,45266
2024-02-06,76.72,77.24,76.5,77.04,32747
2024-02-05,77.57,77.57,76.72,76.76,50855
2024-02-02,78.67,78.86,77.7,78.22,64789
2024-02-01,77.78,79.41,77.72,79.41,25615
2024-01-31,78.63,78.96,77.82,77.89,46878
2024-01-30,78.03,78.57,77.6,78.19,40193
2024-01-29,77.65,78.41,77.36,78.13,33534
2024-01-26,77.56,77.93,77.48,77.72,52455
2024-01-25,77.12,77.46,76.48,77.46,49959
2024-01-24,77.59,77.78,76.1,76.16,69514
2024-01-23,77.12,77.26,76.88,77.21,56854
2024-01-22,77.33,77.86,76.77,77.09,117247
2024-01-19,77.32,77.49,76.86,77.32,121957
2024-01-18,77.76,77.76,76.94,77.32,68595
2024-01-17,78.65,79.13,77.49,77.93,88087
2024-01-16,79.37,79.6,78.8,78.96,62464
2024-01-12,79.74,80.03,79.49,79.82,30320
2024-01-11,80.79,80.79,79.07,79.34,114647
2024-01-10,81.07,81.3,80.72,80.97,38821
2024-01-09,81.22,81.29,80.91,80.99,83151
2024-01-08,80.79,81.59,80.68,81.55,40464
2024-01-05,80.61,81.34,80.34,81.03,80001
2024-01-04,81.19,81.48,80.7,80.76,46297
2024-01-03,80.66,81.16,80.41,81.01,83315
2024-01-02,79.53,81.0,79.53,80.8,55122
2023-12-29,79.63,79.99,79.36,79.93,32463
2023-12-28,79.18,80.03,79.18,79.93,63787
2023-12-27,79.65,79.65,79.14,79.39,56519
2023-12-26,78.9,79.72,78.83,79.5,80646
2023-12-22,78.9,79.64,78.86,78.99,42597
2023-12-21,78.83,79.2,78.24,78.71,50321
2023-12-20,79.99,79.99,78.52,78.52,52532
2023-12-19,80.37,80.69,80.23,80.61,50957
2023-12-18,80.29,80.88,80.04,80.22,52963
2023-12-15,81.25,81.25,79.73,80.25,54249
2023-12-14,83.15,83.4,81.45,81.61,91743
2023-12-13,79.75,82.55,79.73,82.51,65789
2023-12-12,80.14,80.14,79.16,79.77,107757
2023-12-11,79.18,79.98,79.16,79.95,65078
2023-12-08,79.49,79.55,78.95,79.44,75140
2023-12-07,79.68,80.05,79.52,79.59,74889
2023-12-06,78.98,79.72,78.98,79.72,36069
2023-12-05,79.25,79.34,78.59,78.78,48358
2023-12-04,79.06,79.96,79.06,79.41,53501
